ACCO,Acco Brands Corporation Common Stock,NASDAQ
7.49,7.90,7.98,7.39
7.91,7.68,7.99,7.61
7.69,7.90,8.05,7.66
7.88,8.11,8.11,7.84
8.05,8.08,8.14,7.90
8.15,8.26,8.34,8.08
8.16,8.00,8.18,7.87
8.06,8.04,8.14,7.82
8.03,8.12,8.14,7.93
8.09,8.14,8.20,7.75
8.19,8.44,8.46,8.19
8.37,8.20,8.41,8.06
8.25,8.24,8.34,8.02
8.23,8.22,8.29,8.11
8.30,8.16,8.35,8.13
8.12,8.00,8.13,7.97
7.96,7.99,8.06,7.66
8.02,7.75,8.02,7.56
7.79,7.70,7.96,7.63
7.77,7.85,7.94,7.61
7.84,7.73,7.89,7.63
7.72,7.83,7.86,7.46
7.71,7.21,7.78,7.20
7.25,7.19,7.26,6.89
7.16,6.98,7.31,6.98
7.10,7.14,7.16,6.94
7.08,6.48,7.14,5.92
6.47,7.46,7.53,6.33
7.34,7.25,7.40,7.07
7.36,7.50,7.56,7.19
7.53,7.49,7.61,7.45
7.50,7.50,7.56,7.40
7.50,7.51,7.68,7.39
7.55,7.54,7.77,7.51
7.50,7.25,7.59,7.25
7.27,7.38,7.45,7.23
7.17,7.26,7.28,6.94
7.25,7.17,7.35,7.04
7.21,7.95,8.00,7.10
7.95,7.68,8.08,7.63
7.72,7.90,8.04,7.64
7.90,7.80,7.99,7.71
7.88,7.85,8.00,7.76
7.87,8.10,8.17,7.87
8.06,8.29,8.36,8.00
8.27,8.16,8.62,8.09
8.07,8.07,8.15,7.84
8.10,7.76,8.16,7.65
7.77,7.76,7.82,7.56
7.78,7.42,7.95,7.34
7.42,7.49,7.55,7.25
7.46,7.48,7.59,7.38
7.48,7.13,7.65,7.06
7.10,7.33,7.35,7.02
7.31,7.36,7.40,7.09
7.30,7.61,7.68,7.30
7.64,7.61,7.67,7.55
7.62,7.68,7.71,7.55
7.70,7.81,7.82,7.63
7.80,7.82,7.87,7.70
7.76,7.66,7.84,7.59
7.76,7.73,7.92,7.56
7.76,7.94,7.97,7.64
7.83,8.12,8.13,7.73
8.08,7.93,8.08,7.79
7.86,7.58,7.86,7.53
7.58,7.67,7.75,7.48
7.70,7.61,7.70,7.45
7.57,7.51,7.57,7.32
7.57,7.88,7.96,7.51
7.86,7.73,7.98,7.69
7.71,7.40,7.95,7.40
