ADTN,ADTRAN,NASDAQ
22.70,22.70,22.88,22.63
22.60,22.97,23.02,22.47
23.04,22.93,23.18,22.81
22.85,23.50,23.60,22.79
23.40,23.33,23.56,23.27
23.35,22.79,23.40,22.61
22.72,22.36,22.84,22.18
22.43,22.88,23.02,22.39
22.77,22.94,23.04,22.77
23.04,22.58,23.07,22.53
23.00,22.87,23.00,22.65
23.18,22.53,23.60,21.88
22.97,23.10,23.66,22.89
23.10,22.25,23.57,22.18
22.34,21.77,22.36,21.75
21.75,21.99,22.48,21.61
21.90,22.22,22.30,21.64
22.27,21.78,22.54,21.69
21.90,21.20,22.00,21.16
21.18,21.39,21.46,21.18
21.35,21.49,21.54,21.18
21.43,21.35,21.55,21.24
21.30,20.96,21.36,20.94
20.96,21.19,21.22,20.76
21.15,21.14,21.48,21.07
21.44,21.49,21.55,21.16
21.39,21.61,21.63,21.13
21.54,22.09,22.21,21.43
21.77,22.50,22.52,21.66
22.51,22.56,22.68,22.26
22.62,22.47,22.69,22.34
22.51,22.88,22.92,22.46
22.92,23.29,23.38,22.86
23.31,23.29,23.46,23.19
23.29,23.14,23.36,23.05
23.28,23.67,23.84,23.19
23.50,23.67,23.67,23.26
23.62,23.38,23.71,23.29
23.46,23.66,23.83,23.42
23.65,23.71,23.81,23.48
23.80,24.43,24.83,23.78
24.50,24.54,24.56,24.16
24.62,24.79,25.10,24.54
24.83,25.05,25.17,24.76
24.90,25.33,25.49,24.80
25.29,25.53,25.81,25.29
25.50,25.40,25.63,25.15
25.57,25.25,25.59,25.04
25.28,25.12,25.44,24.94
25.10,25.25,25.37,25.01
25.24,26.08,26.15,25.24
26.18,26.73,26.79,25.96
26.84,26.18,26.85,26.03
26.16,26.45,26.50,25.99
26.39,26.56,26.62,26.20
26.38,26.26,26.61,26.14
26.47,26.55,26.96,26.35
26.70,26.53,26.84,26.31
26.67,26.95,27.11,26.52
27.00,26.66,27.21,26.44
26.50,26.35,26.77,26.33
N/A,N/A,N/A,N/A
26.68,27.18,27.24,26.53
27.00,27.27,27.31,26.90
27.29,27.44,27.70,27.01
27.26,27.32,27.47,26.91
27.41,27.40,27.47,27.22
27.52,27.90,27.99,27.44
27.79,27.32,27.95,27.16
28.65,29.40,29.92,28.16
29.52,29.60,29.64,29.19
29.51,29.27,29.89,28.99
29.10,28.81,29.24,28.24
28.97,29.21,29.22,28.79
29.11,29.22,29.36,28.96
28.03,27.59,28.08,26.36
27.53,27.47,27.72,27.26
27.41,27.54,27.85,27.41
27.30,27.14,27.68,27.08
27.19,27.13,27.67,27.08
27.33,27.47,27.50,27.21
27.43,26.77,27.70,26.76
26.81,27.59,27.59,26.77
27.26,26.75,27.26,26.48
26.54,26.94,27.33,26.21
26.95,25.60,27.19,23.40
26.36,25.57,26.40,25.03
26.53,26.74,27.25,26.48
26.52,26.79,27.36,26.40
26.92,27.28,27.44,26.85
27.12,26.59,27.44,26.42
26.39,26.37,26.58,25.79
26.52,26.44,26.88,25.70
26.70,25.72,26.94,25.54
25.71,25.89,26.00,25.20
25.37,25.35,25.81,25.13
25.08,25.65,25.76,24.75
25.51,25.64,25.95,25.32
25.35,26.99,27.02,24.99
27.05,27.04,27.74,26.80
27.54,27.48,27.73,27.16
27.37,27.43,27.63,27.08
27.20,26.41,27.32,26.41
26.55,27.81,27.87,26.42
27.66,28.66,28.76,27.51
28.37,26.90,28.37,26.80
26.90,26.38,27.03,26.23
26.46,26.61,26.71,25.57
26.82,26.65,27.28,26.51
27.08,27.27,27.46,26.76
27.00,27.37,27.64,26.98
27.50,27.16,27.87,27.10
27.28,27.75,27.83,27.01
27.50,27.53,27.91,27.38
27.60,27.85,27.87,27.23
27.87,28.09,28.29,27.42
28.40,28.16,28.68,28.00
28.23,27.72,28.59,27.68
27.59,27.86,28.15,27.15
27.81,27.67,28.18,27.54
27.67,27.71,27.95,27.19
27.71,27.97,28.30,27.53
27.61,27.37,27.88,27.20
27.44,27.27,27.89,27.20
27.28,27.57,27.73,26.63
27.73,27.24,27.80,27.12
27.54,27.04,27.94,26.86
27.16,28.11,28.13,27.16
28.35,28.20,28.43,27.99
28.27,28.55,28.97,28.26
28.49,28.30,28.72,27.83
28.79,28.86,28.95,28.45
30.36,31.24,31.38,29.56
31.41,31.53,31.63,30.70
31.32,30.80,31.67,30.49
31.05,31.43,31.78,30.74
31.19,31.57,31.62,30.72
31.75,30.84,31.75,30.71
31.47,32.08,32.18,31.03
31.92,32.29,32.68,31.62
32.26,32.92,32.98,32.15
33.00,31.99,33.00,31.69
31.85,31.78,32.22,31.40
32.00,31.74,32.10,31.25
31.32,31.58,31.93,31.16
32.24,31.82,32.48,31.75
31.66,31.65,32.02,31.36
31.69,32.13,32.20,31.64
31.85,31.60,32.88,31.43
31.30,31.46,31.74,30.87
31.46,31.84,32.12,31.33
31.50,31.72,31.90,31.29
31.13,30.21,31.38,30.05
29.62,29.68,29.84,28.51
