AGII,Argo Group International Holdings,NASDAQ
26.82,27.12,27.13,26.49
27.00,26.58,27.13,26.55
26.15,25.14,26.55,24.95
25.19,25.27,25.31,24.68
25.21,25.20,25.29,25.10
25.26,25.10,25.26,24.81
24.86,24.93,25.16,24.74
25.09,24.93,25.09,24.77
24.91,24.71,24.96,24.68
24.78,24.60,24.78,23.95
24.67,24.91,24.92,24.42
24.66,24.65,24.73,24.32
24.75,24.27,24.85,24.13
24.19,24.03,24.34,23.87
24.20,23.93,24.33,23.91
23.87,23.75,24.29,23.75
23.69,24.42,24.43,23.64
24.54,24.31,24.54,24.02
24.33,24.31,24.59,24.16
24.33,24.30,24.42,23.91
24.25,23.95,24.43,23.91
23.91,23.80,24.02,23.65
23.70,23.62,23.97,23.54
23.62,23.50,23.75,23.33
23.49,23.26,23.56,23.26
23.59,23.55,24.08,23.28
23.40,23.65,23.83,23.27
23.64,23.75,23.75,23.31
23.60,24.09,24.10,23.27
24.20,24.51,24.54,23.90
24.69,24.74,25.25,24.34
24.57,24.88,25.00,24.48
26.72,25.89,26.72,25.79
26.04,26.42,26.61,26.04
26.42,25.68,26.43,25.67
25.68,25.90,25.95,25.68
25.52,25.58,25.73,25.40
25.72,25.30,25.72,25.30
25.36,25.46,25.53,25.21
25.57,25.95,25.95,25.23
26.06,26.05,26.06,25.77
26.23,26.43,26.48,26.15
26.47,26.77,26.88,25.91
26.68,26.99,27.06,26.64
26.77,26.95,27.16,26.77
26.93,27.26,27.28,26.90
27.24,27.32,27.58,27.24
27.55,27.75,27.82,27.55
27.63,27.82,27.91,27.63
27.83,28.42,28.42,27.72
28.53,29.18,29.29,28.53
29.28,29.36,29.55,28.98
29.42,29.75,29.76,29.32
29.57,29.53,29.71,29.27
29.44,29.20,29.54,28.97
29.17,29.05,29.33,28.97
29.28,28.86,29.35,28.84
28.82,29.03,29.25,28.82
29.18,29.45,29.47,29.15
29.45,29.71,29.98,29.45
29.52,29.63,30.08,29.46
N/A,N/A,N/A,N/A
29.94,30.18,30.31,29.76
30.18,30.29,30.48,30.18
30.09,30.23,30.42,29.86
30.22,30.29,30.32,29.21
30.28,30.35,30.47,30.06
30.22,30.23,30.40,30.14
30.08,30.40,30.41,29.69
30.56,30.90,30.90,30.34
30.91,30.79,30.91,30.55
30.80,30.53,31.00,30.38
30.32,30.12,30.45,29.91
30.32,31.59,31.60,30.14
31.59,31.60,31.67,31.33
31.36,31.75,31.79,31.29
31.77,31.94,32.09,31.58
31.91,31.15,32.14,31.09
30.87,29.67,31.55,29.65
29.82,30.07,30.48,29.50
30.28,30.97,31.07,30.15
31.08,29.96,31.08,29.95
30.22,30.00,30.45,29.74
29.77,28.92,29.94,28.92
29.03,28.91,30.75,28.89
28.89,28.02,29.36,27.74
28.02,27.82,28.71,27.74
31.73,29.19,31.73,28.60
28.85,29.17,29.43,28.54
29.15,29.38,29.49,28.98
29.21,28.87,29.32,28.79
28.65,28.75,28.83,28.45
29.00,28.96,29.55,28.56
29.33,28.54,29.53,28.50
28.54,28.64,29.07,28.49
28.03,27.41,28.15,27.36
27.03,27.75,28.85,26.85
27.59,27.06,27.65,26.85
26.50,26.98,27.05,25.97
27.10,26.98,27.45,26.95
27.51,27.80,27.85,27.00
27.76,27.47,27.77,27.35
27.11,26.70,27.37,26.68
26.97,27.27,27.38,26.85
27.16,27.47,27.50,27.16
26.89,26.67,27.33,26.62
26.77,26.46,26.92,26.43
26.65,26.62,26.66,26.11
26.91,26.59,26.91,26.40
27.06,27.19,27.27,26.84
26.85,27.52,27.52,26.77
27.81,27.31,27.81,27.26
27.62,28.49,28.56,27.49
28.24,29.05,29.09,28.01
29.16,29.11,29.38,28.88
29.27,29.97,30.08,28.95
30.22,29.62,30.24,29.55
29.66,29.66,30.21,29.58
29.57,29.33,29.95,29.29
29.06,28.45,29.40,28.40
28.50,28.94,28.95,28.17
28.89,28.96,29.16,28.80
28.45,28.26,29.04,28.11
28.18,27.81,28.45,27.79
27.90,27.42,28.16,27.19
27.56,27.13,27.56,26.95
27.50,26.45,27.55,26.38
26.62,27.36,27.38,26.59
27.61,27.92,27.92,27.02
27.81,28.44,28.45,27.81
28.51,27.96,28.51,27.94
28.41,28.73,28.77,28.16
28.54,28.39,28.78,28.24
28.28,27.95,28.28,27.64
27.70,26.71,27.70,26.65
26.75,26.65,26.75,26.36
26.36,26.82,27.25,26.36
27.09,26.40,27.43,26.40
26.86,27.48,27.53,26.83
27.35,28.13,28.33,27.35
28.22,28.42,28.62,28.11
28.72,28.90,29.14,28.33
28.81,28.49,28.84,28.45
28.73,28.46,28.80,28.31
28.13,28.31,28.91,28.13
28.74,28.38,28.74,27.91
28.16,28.51,29.26,27.76
28.59,28.29,28.72,28.08
28.00,27.99,28.31,27.87
27.64,27.75,27.78,27.03
27.98,28.33,28.42,27.65
27.93,27.52,28.01,27.45
27.21,26.71,27.21,26.64
26.26,26.53,26.63,26.14
26.37,26.27,26.63,26.24
