AGU,Agrium Inc. Common Stock,NASDAQ
62.33,62.85,63.48,62.19
63.77,65.04,65.53,63.60
65.35,67.26,67.50,65.27
66.99,66.99,67.39,66.17
67.84,68.56,69.97,67.70
69.99,69.38,71.11,69.12
67.97,66.57,68.41,66.20
66.29,67.47,67.60,64.35
67.17,65.32,67.44,64.80
64.88,62.33,64.95,62.00
63.31,63.76,63.99,62.03
61.34,61.88,62.46,60.70
62.10,60.76,63.01,60.41
60.34,59.53,61.00,59.27
60.11,59.06,60.69,58.88
58.51,59.28,60.48,57.98
59.24,59.60,59.84,58.17
59.25,57.76,59.65,56.37
58.20,56.35,58.96,56.10
57.42,58.99,59.27,56.93
59.90,60.00,60.08,58.71
60.34,61.08,61.62,60.09
60.05,58.07,60.07,57.50
58.14,58.93,59.09,56.85
59.46,57.77,59.87,57.74
59.10,60.68,61.36,59.05
61.78,62.62,63.10,61.27
63.35,64.52,64.96,63.07
63.72,64.26,64.72,63.25
65.50,65.83,66.09,65.31
66.42,66.14,67.22,65.34
65.62,65.98,66.45,65.42
65.75,65.66,66.17,65.34
65.60,64.66,66.31,64.53
64.34,63.62,64.85,63.13
63.45,63.22,64.06,62.53
62.12,64.83,65.52,61.45
64.82,64.75,65.18,64.10
65.05,65.83,66.13,64.84
66.93,66.81,67.81,66.61
67.26,67.74,68.50,67.11
68.38,67.18,68.44,67.01
68.33,67.94,69.09,67.40
68.58,67.96,68.68,67.72
67.74,67.75,68.73,67.52
68.19,68.15,68.97,67.75
67.69,66.78,67.88,66.56
71.08,72.10,72.44,70.77
71.82,71.71,72.05,70.70
71.86,72.67,73.35,71.60
73.30,72.28,73.85,71.95
71.70,70.71,72.40,69.74
71.25,70.34,71.39,69.27
69.45,70.63,70.87,69.19
70.71,71.24,71.30,70.11
70.49,70.84,71.79,70.30
71.72,70.10,71.89,70.09
70.35,70.29,71.17,70.06
70.88,70.69,71.15,70.61
71.08,70.62,71.35,70.41
70.69,70.63,71.08,70.34
71.37,70.55,71.44,70.29
71.13,70.91,71.45,70.45
70.74,69.46,70.97,69.27
68.89,68.30,69.36,67.91
67.59,68.43,68.74,67.31
68.99,68.85,69.02,68.29
69.00,68.35,69.26,68.15
68.14,67.26,68.14,66.79
66.86,64.67,67.16,64.03
64.54,64.44,65.11,64.34
64.06,62.72,64.50,62.59
61.97,62.39,62.51,60.47
63.49,64.66,64.87,63.49
65.04,63.94,65.19,63.61
63.33,63.35,63.64,62.12
63.23,62.68,63.27,62.31
62.68,62.11,63.19,61.84
61.52,60.41,61.84,59.83
60.82,61.39,61.89,60.03
61.98,62.67,63.86,61.60
63.68,62.41,63.72,62.24
62.83,62.38,63.24,61.36
61.28,60.45,61.30,59.93
58.24,59.64,60.91,58.04
59.20,56.44,60.09,53.33
57.00,57.40,58.20,55.55
60.92,59.05,60.99,58.61
58.59,57.61,58.89,57.49
58.21,58.78,58.98,58.08
58.67,57.43,59.15,57.16
56.83,57.74,57.84,56.20
57.46,56.41,57.61,54.99
57.08,55.82,58.02,55.54
54.92,54.90,55.40,53.59
53.04,52.61,53.64,52.18
51.60,54.86,55.06,51.41
55.11,55.28,56.32,55.11
52.57,53.62,53.73,51.73
54.32,53.39,55.19,53.12
54.57,56.13,56.13,54.57
56.63,54.89,56.63,54.65
54.58,53.53,55.55,53.49
54.00,55.34,55.34,53.77
55.93,54.30,55.93,53.32
52.96,51.62,53.54,51.44
51.31,50.43,51.95,50.33
50.42,50.33,50.75,49.59
