AIMC,Altra Industrial Motion Corp. - Common Stock,NASDAQ
12.57,12.69,12.70,12.44
12.63,12.33,12.80,12.31
12.35,12.41,12.66,12.35
12.43,12.93,12.98,12.16
12.83,12.84,12.91,12.69
12.89,12.48,12.99,12.39
12.37,12.06,12.52,11.95
12.08,12.00,12.11,11.62
11.95,12.31,12.33,11.95
12.37,12.32,12.57,12.22
12.43,13.01,13.10,12.43
12.88,12.40,13.08,12.06
12.45,11.58,12.49,11.55
11.58,11.32,11.78,11.03
11.44,11.47,11.54,11.14
11.38,11.19,11.53,11.01
11.09,11.44,11.51,11.01
11.45,11.03,11.45,10.68
11.09,11.02,11.30,10.97
11.04,10.73,11.12,10.69
10.72,10.70,10.83,10.58
10.68,10.78,11.03,10.68
10.69,10.20,10.81,10.19
10.26,10.17,10.42,9.81
10.12,10.10,10.19,9.84
10.28,10.43,10.48,10.10
10.34,10.80,10.81,10.25
10.72,11.14,11.20,10.54
10.97,11.15,11.32,10.76
11.24,11.50,11.52,11.10
11.58,11.46,11.61,11.33
11.48,11.61,11.70,11.37
11.60,11.64,11.80,11.45
11.79,11.90,12.16,11.78
11.93,11.57,12.00,11.52
11.59,11.73,11.89,11.59
11.53,11.62,11.64,11.31
11.67,11.55,11.71,11.47
11.66,11.97,12.13,11.66
11.92,12.02,12.07,11.50
12.08,12.08,12.33,11.90
12.08,12.79,13.25,11.50
12.83,12.70,13.04,12.43
12.67,12.52,12.70,12.42
12.26,12.32,12.55,12.26
12.36,12.41,12.78,12.10
12.22,12.29,12.30,11.85
12.39,12.12,12.42,11.99
12.12,12.27,12.44,12.06
12.36,12.12,12.36,12.01
12.17,12.85,12.93,11.93
12.91,12.98,13.09,12.18
13.07,12.72,13.07,12.70
12.57,12.79,12.93,12.28
12.79,13.32,13.52,12.75
13.21,13.19,13.39,12.73
13.41,13.63,13.91,12.31
13.74,13.49,13.87,13.45
13.49,13.19,13.75,13.09
13.25,13.90,14.00,13.03
13.79,13.73,13.87,13.49
N/A,N/A,N/A,N/A
13.36,13.53,13.77,13.07
13.39,14.25,14.35,13.39
14.25,14.30,14.48,14.19
14.19,14.38,14.52,14.16
14.35,14.59,14.71,14.19
14.55,14.65,14.85,14.53
14.63,14.57,14.73,14.55
14.72,15.22,15.24,14.63
15.19,15.07,15.37,14.93
15.06,14.75,15.06,14.70
14.71,14.90,15.01,14.68
14.97,15.09,15.30,14.89
15.08,15.08,15.36,14.97
14.93,15.44,15.50,14.93
15.41,15.48,15.66,15.36
15.50,15.40,15.63,15.36
15.36,14.94,15.51,14.90
15.02,14.92,15.19,14.85
15.03,15.61,15.66,15.03
15.63,15.16,15.90,15.14
15.20,15.67,15.77,15.20
15.43,14.95,15.57,14.92
15.11,14.95,15.16,14.63
14.88,14.52,15.07,14.00
14.45,14.10,14.82,13.91
14.90,14.94,14.98,14.14
14.77,14.91,15.01,14.43
14.81,15.04,15.07,14.81
14.94,15.11,15.15,14.86
14.91,14.55,15.07,14.43
14.63,14.26,14.78,14.17
14.50,14.08,14.63,14.07
14.05,13.46,14.20,13.33
13.21,12.77,13.37,12.62
12.53,13.05,13.28,12.53
13.05,12.82,13.06,12.68
12.44,12.24,12.52,11.88
12.32,12.13,12.69,12.09
12.47,12.96,12.96,12.32
12.88,12.48,12.88,12.29
12.38,11.83,12.62,11.79
11.85,12.22,12.22,11.59
12.33,13.13,13.16,12.32
12.81,12.66,13.00,12.49
12.76,12.75,12.86,12.62
13.21,12.94,13.48,12.75
13.12,12.96,13.25,12.75
13.17,13.21,13.40,12.93
13.01,13.51,13.53,12.89
13.70,13.59,13.88,13.31
13.70,14.29,14.40,13.56
14.18,14.44,14.56,14.18
14.60,14.63,14.71,14.26
14.73,14.63,15.30,14.49
14.80,14.36,15.05,14.21
14.39,13.99,14.64,13.95
14.00,13.77,14.00,13.65
13.63,13.59,13.97,13.45
13.66,12.77,13.66,12.68
12.90,12.81,13.58,12.59
12.54,12.82,12.93,12.54
12.86,13.02,13.18,12.86
12.99,12.55,13.01,12.40
12.65,12.15,12.95,11.95
12.41,11.95,12.53,11.76
12.02,12.53,12.55,11.93
12.67,12.74,12.75,12.47
12.67,12.79,12.79,12.49
12.78,12.58,12.78,12.45
12.81,13.21,13.25,12.75
13.13,13.03,13.13,12.89
13.05,13.02,13.07,12.66
12.88,12.69,12.99,12.65
12.77,12.82,12.83,12.64
12.62,13.31,13.32,12.62
13.42,13.16,13.68,13.05
13.41,14.06,14.08,13.38
13.93,14.61,14.77,13.93
14.68,14.63,15.04,14.51
14.76,14.40,14.79,14.19
14.34,13.95,14.54,13.91
14.10,14.38,14.70,13.97
14.11,14.50,14.66,14.00
14.80,15.09,15.20,13.90
14.97,14.52,14.97,14.11
14.57,14.66,14.75,14.41
14.45,14.38,14.65,14.38
14.09,14.75,14.78,14.09
14.90,14.81,15.04,14.71
14.57,14.26,14.72,14.16
13.99,13.41,14.21,13.24
13.22,13.38,13.48,12.97
13.29,13.49,13.64,13.15
13.37,13.37,13.76,13.17
13.57,13.95,14.10,13.30
13.89,13.98,14.15,13.83
13.88,13.40,14.00,13.37
13.30,13.32,13.54,13.23
13.25,12.87,13.35,12.72
12.70,12.68,12.94,12.35
12.54,13.10,13.12,12.50
13.14,12.76,13.34,12.74
12.22,13.24,13.30,12.20
13.16,12.59,13.28,12.58
12.59,12.87,13.10,12.59
13.12,13.56,13.57,12.88
13.48,13.57,13.59,13.04
13.79,14.14,14.24,13.63
14.12,13.29,14.12,13.23
13.35,13.73,13.91,13.32
13.99,13.29,13.99,13.18
13.39,13.30,13.66,13.25
13.49,13.83,13.93,13.30
13.75,13.61,13.93,13.58
13.58,13.65,13.98,13.47
13.57,13.35,13.63,13.12
13.52,13.62,13.74,13.26
13.70,14.41,14.45,13.53
14.37,14.21,14.50,14.04
14.15,14.01,14.18,13.78
13.86,13.16,13.98,13.14
13.36,14.20,14.24,13.30
14.16,14.26,14.38,13.77
14.34,14.44,14.49,14.05
14.35,14.85,14.86,14.27
14.96,14.73,15.40,14.55
15.02,14.70,15.02,14.41
14.58,14.37,14.69,14.24
14.52,14.80,14.90,14.26
14.72,14.87,14.99,14.69
15.04,14.80,15.04,14.65
14.76,15.21,15.37,14.66
15.20,15.26,15.43,14.95
15.16,14.98,15.25,14.88
15.03,15.10,15.35,14.86
15.10,14.89,15.10,14.76
15.14,14.67,15.14,14.57
14.75,14.95,15.02,14.51
14.69,14.45,15.03,14.36
14.59,14.41,14.89,14.38
14.54,14.76,14.79,14.44
14.80,14.84,14.89,14.56
15.00,15.28,15.40,15.00
15.14,15.24,15.36,15.09
15.08,15.23,15.31,14.95
15.43,14.64,15.51,14.63
14.52,14.80,14.98,14.35
14.93,14.54,15.21,14.22
15.77,16.00,16.12,14.77
16.00,16.05,16.15,15.78
16.25,16.42,16.60,16.25
16.40,16.18,16.42,16.08
16.18,15.91,16.18,15.84
16.00,15.82,16.13,15.74
15.84,15.94,15.96,15.43
15.69,15.73,16.09,15.64
15.51,15.58,15.81,15.41
15.73,15.50,15.84,15.44
15.31,15.24,15.43,14.98
15.32,15.30,15.39,15.10
15.55,15.92,16.09,15.55
15.94,16.04,16.12,15.48
15.92,15.95,16.11,15.61
15.80,15.98,16.01,15.48
16.15,16.54,16.70,16.12
16.40,16.76,16.80,16.08
16.63,16.61,16.76,16.18
16.35,16.78,16.96,16.35
17.14,17.64,17.75,16.86
17.68,17.92,18.00,17.68
17.86,17.70,17.87,17.16
17.54,17.49,17.59,17.33
18.00,17.82,18.00,17.50
17.97,18.30,18.42,17.85
18.52,18.65,18.73,18.35
18.77,18.76,18.99,18.58
18.92,18.51,19.00,18.50
18.54,18.52,18.65,18.50
18.50,18.92,19.25,18.50
18.93,19.07,19.32,18.66
19.16,19.39,19.51,18.97
19.60,20.10,20.29,19.60
20.28,20.69,21.19,20.25
20.80,20.92,21.10,20.69
20.99,20.34,21.01,20.25
20.26,20.11,20.27,20.02
20.23,20.37,20.40,19.94
20.48,20.30,20.55,20.26
20.32,20.28,20.50,20.27
20.16,19.86,20.44,19.86
20.09,20.82,20.96,20.03
20.95,20.90,21.00,20.70
20.68,20.85,21.00,20.68
20.90,20.87,21.20,20.76
20.98,20.99,21.43,20.75
20.89,21.29,21.50,20.63
21.39,21.22,21.59,20.96
21.36,21.19,21.56,21.04
21.12,21.18,21.41,21.09
21.24,20.81,21.41,20.71
20.87,21.22,21.30,20.59
21.32,20.83,21.53,20.80
20.63,19.97,20.93,19.76
20.08,19.65,20.08,19.43
19.57,19.55,19.64,19.36
19.34,19.42,19.51,18.68
19.55,20.47,20.69,19.21
20.53,21.11,21.18,20.34
21.16,20.72,21.16,20.56
20.93,20.91,21.00,20.74
21.10,21.70,21.81,20.88
21.68,21.56,21.90,21.53
21.60,21.83,21.84,21.35
22.01,22.04,22.25,21.87
22.18,22.50,23.11,22.18
22.54,22.26,22.85,22.12
22.24,21.92,22.30,21.55
21.89,21.93,22.06,21.71
21.94,22.08,22.13,21.75
22.20,22.07,22.37,21.90
22.10,21.79,22.19,21.64
21.74,21.53,21.83,21.38
21.46,21.97,22.11,21.38
22.14,22.08,22.33,21.76
21.85,21.06,22.37,20.96
21.12,20.82,21.16,19.82
20.92,20.94,21.06,20.61
20.99,21.64,21.67,20.91
21.85,21.63,22.71,21.29
20.92,20.52,21.82,19.39
20.52,20.92,21.07,20.36
21.61,21.08,21.61,20.91
20.98,20.92,21.20,20.68
21.00,20.69,21.00,20.46
20.62,20.59,20.80,20.33
20.45,20.19,20.57,20.15
19.88,19.94,20.12,19.60
19.85,19.91,20.11,19.63
19.62,19.84,20.02,19.54
19.14,19.54,19.76,19.00
19.42,19.29,19.58,19.12
19.63,19.14,19.63,19.13
19.42,19.46,19.46,19.26
19.75,20.10,20.14,19.75
20.14,20.85,20.95,20.03
20.78,21.27,21.49,20.58
21.50,22.13,22.18,21.35
22.29,22.65,22.99,21.97
22.81,22.54,22.90,22.46
21.90,23.82,23.85,21.90
24.31,23.59,24.77,23.25
23.58,23.62,23.78,23.43
23.82,24.17,24.30,23.67
24.32,24.09,24.60,23.99
24.16,23.64,24.16,23.60
23.71,23.44,23.75,23.24
23.42,23.35,23.74,23.26
23.54,23.19,23.68,22.93
23.16,22.64,23.16,22.49
22.44,22.65,22.77,22.14
22.84,22.84,23.19,22.64
22.51,22.95,23.05,22.17
22.85,23.29,23.37,22.67
22.76,23.33,23.34,22.45
23.49,24.07,24.09,23.13
24.44,24.00,24.65,23.84
24.24,24.21,24.75,23.96
24.17,24.09,24.75,23.88
24.34,24.10,24.37,23.98
25.96,24.96,26.00,24.44
25.10,25.23,25.31,24.88
25.32,25.39,25.47,25.08
25.62,26.06,26.28,25.57
26.15,26.47,27.30,26.15
26.46,25.18,26.46,25.17
24.90,24.90,25.46,24.47
25.27,24.47,25.27,23.97
24.42,25.05,25.26,24.42
25.05,25.00,25.30,24.78
24.84,24.57,25.01,24.11
24.35,25.34,25.74,24.30
25.40,24.88,26.03,24.72
24.71,25.08,25.59,24.69
24.94,24.93,25.50,24.44
24.95,25.11,25.16,24.71
25.36,25.12,25.58,25.01
24.96,24.95,25.11,24.51
24.46,24.97,25.28,24.00
25.02,24.47,25.13,24.47
24.40,25.10,25.26,24.19
25.07,25.95,26.07,25.03
26.07,26.73,27.07,25.96
27.00,26.35,27.48,26.08
26.33,25.00,26.63,24.92
25.03,25.12,25.44,24.69
24.60,24.66,25.04,24.29
24.45,24.42,24.90,24.25
24.60,24.19,24.60,24.19
24.07,23.36,24.09,23.35
23.41,23.51,23.71,23.03
23.38,22.89,23.38,22.81
23.08,22.28,23.12,22.23
22.60,23.32,23.49,22.27
23.10,22.61,23.30,22.59
22.61,22.73,23.07,22.21
22.92,23.02,23.43,22.57
22.86,23.29,23.42,22.69
23.50,24.04,24.07,23.24
23.95,23.38,24.33,23.28
22.96,23.91,23.91,22.65
23.92,23.45,23.92,23.26
23.41,23.49,23.74,23.10
23.61,23.26,23.73,23.07
23.40,23.34,23.58,22.96
23.36,23.99,24.09,23.24
24.02,24.23,24.64,23.71
24.29,24.45,24.61,24.16
24.42,24.92,24.98,24.00
25.30,25.44,25.66,24.98
24.97,25.31,25.50,24.56
24.91,24.81,25.14,24.50
24.80,24.27,24.90,24.23
24.26,25.24,25.26,24.25
25.37,24.84,25.54,24.75
24.93,25.12,25.27,24.72
24.97,25.28,25.48,24.77
25.56,25.60,25.98,25.45
25.65,25.30,25.65,25.18
25.39,25.50,25.64,25.19
25.50,25.39,25.64,25.19
25.24,25.02,25.60,25.00
25.00,24.42,25.00,24.00
24.15,23.06,24.24,22.92
23.02,22.27,23.10,22.18
21.87,22.24,22.34,21.49
22.45,22.25,22.81,21.63
22.02,21.15,21.37,20.56
21.14,21.46,21.53,20.56
21.15,19.73,21.34,19.73
19.98,18.34,20.15,18.10
15.55,13.31,17.00,12.00
13.70,15.92,16.43,13.40
15.31,14.18,15.95,14.13
14.25,15.18,15.60,14.25
15.42,14.88,15.99,14.61
15.02,15.51,15.95,15.02
15.25,15.35,15.65,14.93
15.48,15.74,15.76,15.10
14.97,14.13,15.64,14.10
13.91,13.88,14.47,13.59
14.39,13.60,14.57,13.36
13.64,14.11,14.26,13.56
14.15,14.58,14.72,14.10
14.72,13.96,14.72,13.88
13.73,14.20,14.45,13.69
14.44,15.91,15.93,14.18
15.77,16.11,16.31,15.38
16.38,15.52,16.74,15.00
15.48,14.78,15.79,14.56
14.20,13.64,14.44,13.50
12.99,12.71,13.11,12.47
13.09,12.91,13.53,12.70
12.68,13.00,13.08,12.65
12.84,12.62,12.84,12.30
12.38,12.61,12.72,12.22
12.70,13.05,13.29,12.70
13.11,13.46,13.71,12.88
13.50,14.00,14.00,13.25
14.02,13.95,14.27,13.84
13.57,13.51,13.69,13.15
13.53,12.85,13.68,12.70
12.82,12.00,12.96,11.90
11.33,10.98,12.06,10.77
11.02,11.08,11.25,10.81
11.22,11.38,11.57,10.64
11.78,12.30,12.56,11.44
12.34,11.80,12.63,11.79
12.24,12.13,12.36,11.72
11.79,11.57,11.92,11.55
11.40,10.60,11.65,10.56
10.37,11.46,11.56,10.12
11.47,12.03,12.11,11.42
11.95,12.64,12.72,11.79
12.69,12.01,12.69,11.81
12.37,12.96,13.00,12.00
12.79,13.18,13.27,12.59
13.38,13.30,13.66,13.21
13.15,13.08,13.22,12.55
13.36,13.57,13.59,12.95
13.38,12.50,13.43,12.18
12.56,12.98,13.08,12.11
12.92,12.26,13.23,12.14
12.23,12.34,12.61,11.91
12.68,12.85,12.99,12.44
12.95,14.02,14.05,12.95
13.92,13.81,13.98,13.51
14.18,14.19,14.32,13.66
14.99,15.48,15.65,14.90
15.31,15.26,15.68,15.16
14.88,14.70,15.17,14.67
14.70,14.97,15.45,13.99
15.35,16.19,16.25,15.32
16.51,16.74,17.01,16.16
16.45,16.75,16.93,16.21
17.06,16.77,17.25,16.09
16.97,17.52,17.62,16.27
16.86,16.31,17.46,16.28
16.58,16.39,16.58,16.07
16.65,17.05,17.17,16.54
16.92,16.85,16.97,16.57
16.72,17.44,17.61,16.46
17.12,16.78,17.48,16.75
16.79,16.25,16.94,16.11
16.32,16.25,16.56,16.11
15.83,15.74,16.00,15.50
15.77,15.79,15.96,15.50
15.58,15.50,15.63,15.35
15.39,15.41,15.81,15.39
16.16,16.25,16.59,15.62
16.22,16.20,16.26,15.77
17.19,17.74,17.82,17.19
17.63,17.67,18.01,17.37
18.03,18.04,18.29,17.71
18.57,18.40,18.73,18.08
18.40,18.42,18.75,18.28
18.24,18.51,18.81,17.87
18.27,17.92,18.50,17.81
18.03,18.45,18.57,17.58
18.13,18.14,18.16,17.68
18.37,17.97,18.66,17.80
17.75,17.29,18.04,17.20
17.65,17.61,17.76,17.28
17.89,17.92,18.52,17.79
18.14,17.46,18.35,17.41
17.98,18.38,18.42,17.78
18.37,18.88,18.99,18.26
18.95,18.95,19.19,18.79
19.04,19.08,19.29,18.85
18.95,18.93,19.07,18.58
18.92,18.41,18.92,18.30
18.46,18.80,19.18,18.46
18.74,18.83,18.97,18.68
19.51,18.96,19.76,18.90
18.80,18.85,19.16,18.67
18.76,18.97,19.01,18.31
18.91,18.80,18.95,18.69
18.84,18.51,18.84,18.21
18.81,18.49,18.81,18.36
18.42,18.42,18.80,18.30
18.45,18.15,18.45,18.07
17.83,17.88,18.18,17.67
18.09,17.76,18.14,17.64
17.77,18.52,18.59,17.69
18.57,18.82,19.14,18.55
18.80,18.84,19.09,18.79
18.85,18.57,19.00,18.53
18.42,19.17,19.21,18.38
19.19,18.83,19.19,18.80
19.09,18.59,19.09,18.53
18.46,18.54,18.74,18.46
18.31,18.53,18.73,18.31
