AIR,AAR Corp. Common Stock,NASDAQ
23.19,23.77,23.77,22.99
23.72,24.23,24.28,23.72
23.86,25.45,25.97,23.86
25.24,25.85,25.91,25.21
25.75,25.44,26.08,25.38
25.61,25.15,25.61,24.88
24.95,24.75,25.05,24.46
24.79,24.57,24.79,24.25
24.62,24.93,25.01,24.35
25.00,24.74,25.00,24.25
24.71,24.48,24.77,24.35
24.18,24.10,24.32,23.76
24.21,23.53,24.33,23.51
23.41,23.66,24.00,23.23
23.93,23.45,23.93,23.34
23.32,23.33,23.50,22.93
23.21,23.27,23.35,22.73
23.35,23.42,23.50,22.45
23.48,23.17,23.84,23.14
23.33,23.23,23.47,23.10
23.18,23.74,23.98,23.06
23.58,23.72,23.99,23.46
23.44,22.45,23.46,22.38
22.45,22.26,22.48,21.66
22.24,22.06,22.74,22.02
22.24,22.39,22.56,21.82
22.38,23.43,23.46,22.37
23.30,22.67,23.32,22.45
22.47,22.54,22.56,22.28
22.78,23.05,23.07,22.51
23.20,23.10,23.30,22.94
23.01,23.45,23.50,23.01
23.40,23.59,23.81,23.39
23.60,23.50,23.60,23.40
23.47,22.80,23.56,22.75
22.80,22.98,23.07,22.69
22.68,22.78,22.86,22.59
22.84,22.68,22.90,22.57
22.78,22.87,22.96,22.64
22.97,23.38,23.45,22.92
23.49,23.90,24.15,23.48
23.90,24.24,24.33,23.72
24.40,24.79,24.84,24.26
24.73,24.64,24.93,24.60
24.53,25.10,25.16,24.53
25.03,25.45,25.70,25.03
25.39,25.56,25.63,25.04
25.68,25.45,25.68,24.97
25.48,25.44,25.52,25.25
25.60,25.64,25.70,25.26
25.50,24.93,25.51,24.67
24.81,24.71,25.00,24.64
24.65,23.73,24.91,23.67
23.52,24.04,24.15,23.40
24.06,24.50,24.55,24.00
24.33,24.19,24.69,24.15
24.46,23.81,24.55,23.75
23.92,25.00,25.23,23.92
25.18,24.86,25.20,24.85
24.93,25.09,25.13,24.38
24.94,24.82,25.35,24.75
25.05,24.88,25.31,24.66
25.04,25.36,25.36,24.83
25.30,24.98,25.33,24.88
24.82,25.12,25.35,24.67
25.10,24.74,25.10,24.61
24.83,24.88,24.93,24.57
24.96,24.95,25.10,24.52
25.10,25.24,25.31,24.92
25.28,25.53,25.63,25.28
25.45,25.56,25.80,25.45
25.53,24.44,25.63,24.26
24.26,24.60,24.67,24.06
24.78,25.10,25.20,24.59
25.20,25.47,25.54,24.92
25.13,25.53,25.58,24.64
25.61,25.50,25.65,25.36
25.40,25.13,25.63,25.07
24.95,24.37,25.18,24.36
24.59,24.48,24.70,24.17
24.64,25.25,25.25,24.25
25.19,24.38,25.35,24.34
24.57,25.90,25.91,24.57
25.47,24.07,25.47,23.80
23.95,24.16,24.49,23.50
23.98,23.38,24.63,21.74
23.36,22.03,23.50,21.88
23.35,23.43,23.62,22.76
23.23,23.39,24.10,23.08
23.45,23.74,23.78,23.19
23.64,24.02,24.14,23.40
23.77,23.76,23.85,23.36
23.95,23.69,24.12,23.08
23.99,23.50,24.24,23.36
23.39,23.36,23.52,22.76
22.75,21.56,22.76,21.53
21.19,21.91,22.00,21.09
21.84,22.04,22.34,21.63
19.66,18.26,19.66,18.03
18.33,18.43,18.74,18.27
18.92,19.26,19.28,18.74
19.41,19.70,19.96,19.10
19.38,18.39,19.46,18.37
18.51,18.87,18.89,18.25
18.65,19.15,19.43,18.65
18.74,18.30,18.86,18.23
18.39,17.97,18.50,17.93
18.00,17.77,18.18,17.52
17.94,17.84,18.23,17.63
18.11,17.85,18.37,17.58
17.67,17.89,18.13,17.61
18.01,17.64,18.09,17.60
17.86,18.67,18.72,17.61
18.45,18.69,18.94,18.42
18.82,18.72,18.96,18.38
18.70,18.50,19.04,18.49
18.66,18.16,18.88,18.00
18.18,17.94,18.62,17.89
17.86,18.09,18.22,17.40
17.99,17.63,18.33,17.58
17.67,18.02,18.09,17.53
18.00,18.25,18.72,17.89
17.85,16.99,17.85,16.85
16.96,16.74,17.21,16.64
16.81,16.56,16.94,16.26
16.67,16.39,16.77,16.08
16.68,15.51,16.71,15.47
15.53,16.06,16.10,15.52
16.25,17.17,17.21,16.20
17.18,17.30,17.36,17.03
17.18,17.27,17.38,17.01
17.60,17.91,17.96,17.45
17.88,17.18,17.99,17.05
17.21,17.02,17.27,16.78
16.91,15.94,16.91,15.88
15.97,15.79,16.05,15.68
15.61,15.84,15.89,14.91
16.01,15.54,16.11,15.52
15.80,16.58,16.68,15.71
16.54,16.96,17.30,16.41
16.95,17.28,17.32,16.52
17.40,17.69,17.79,17.29
17.66,17.25,17.75,17.09
17.35,17.13,17.38,16.76
16.80,16.80,17.35,16.76
17.13,16.96,17.27,16.86
16.91,16.77,17.18,16.73
16.83,16.80,16.97,16.68
16.62,16.98,17.08,16.62
16.72,16.83,17.04,16.66
16.96,16.92,16.99,16.78
16.74,16.47,16.77,16.42
16.00,15.65,16.29,15.60
15.30,15.27,15.59,15.21
15.24,15.24,15.44,15.05
15.11,15.25,15.41,15.00
15.48,15.70,16.06,15.32
15.64,15.87,16.00,15.40
15.75,15.49,15.87,15.41
15.45,15.72,15.76,15.43
15.79,15.25,15.90,15.21
15.04,15.23,15.45,14.96
15.14,15.55,15.65,14.96
15.67,15.74,16.22,15.54
15.92,16.19,16.22,15.61
16.14,15.60,16.14,15.57
15.54,15.36,15.64,15.21
15.66,16.48,16.49,15.56
16.36,16.67,16.70,16.16
16.92,17.47,17.47,16.80
17.29,16.69,17.29,16.58
16.70,16.84,17.00,16.59
17.15,16.85,17.33,16.72
16.87,17.06,17.14,16.72
17.30,17.68,17.77,17.20
17.67,17.55,17.80,17.35
17.52,17.66,17.70,17.20
18.79,18.71,19.25,18.50
18.90,18.65,18.94,18.27
18.76,19.30,19.34,18.56
19.23,19.02,19.40,18.99
18.98,18.56,19.26,18.46
18.35,18.05,18.79,18.00
18.37,19.35,19.89,18.07
19.32,18.43,19.36,18.34
18.45,18.72,18.86,18.22
18.60,18.87,18.88,18.52
19.01,18.66,19.07,18.32
18.78,18.75,18.82,18.53
18.66,18.21,18.81,17.95
18.49,18.97,18.97,18.27
19.28,19.60,19.81,19.11
20.39,21.11,21.30,20.29
21.21,21.38,21.49,21.00
21.35,21.29,21.52,21.29
21.25,21.22,21.43,20.93
21.37,22.31,22.58,21.25
22.20,21.64,22.27,21.50
21.85,21.94,22.20,21.73
21.94,22.34,22.35,21.77
22.02,22.37,22.55,21.90
22.44,22.67,22.76,22.33
22.73,22.75,23.00,22.53
22.78,22.80,22.89,22.39
22.93,22.72,23.36,22.67
22.56,22.58,22.83,22.29
22.44,21.90,22.44,21.53
22.03,21.95,22.31,21.53
