ALV,Autoliv,NASDAQ
44.41,44.20,44.41,43.90
44.55,44.77,44.97,44.31
44.86,44.89,45.84,44.67
44.37,44.86,44.91,44.00
44.75,45.47,45.50,44.75
45.78,45.64,46.14,45.35
45.00,45.38,45.79,44.95
45.46,45.85,45.86,44.91
45.25,45.27,45.74,45.11
45.01,44.00,45.09,43.91
42.71,42.87,43.31,42.59
42.10,42.72,42.72,41.93
42.97,41.99,43.13,41.91
41.87,41.79,42.57,41.50
42.66,42.26,43.20,42.06
41.67,41.50,42.24,41.35
41.58,41.34,41.58,40.50
41.89,40.91,42.00,40.35
44.14,42.81,44.59,42.42
45.68,47.50,47.80,45.14
47.65,47.62,47.83,46.71
46.87,47.53,47.95,46.81
46.34,45.17,46.61,45.12
44.42,44.44,44.77,43.00
43.35,43.50,44.26,42.80
44.13,44.19,44.50,43.32
43.51,43.45,43.88,43.16
43.63,43.70,43.85,42.86
42.92,43.98,44.08,42.73
43.55,43.77,44.24,43.33
44.66,44.85,44.98,44.41
44.09,44.70,44.90,43.89
43.97,44.12,44.42,43.84
44.55,44.66,44.97,44.20
44.40,44.14,44.99,43.92
44.34,44.88,45.17,44.11
43.83,44.46,44.54,43.67
44.35,44.61,44.95,43.95
44.47,45.47,45.52,44.45
45.82,46.39,46.75,45.72
46.52,47.01,47.37,46.44
47.41,47.48,47.83,47.15
47.97,48.18,48.35,47.82
48.00,47.12,48.05,46.95
46.65,46.77,47.10,46.33
47.47,47.15,47.47,46.75
47.38,47.46,47.86,47.07
48.63,48.33,49.00,47.94
47.65,47.34,47.92,47.00
47.52,48.03,48.06,47.12
48.80,48.80,49.12,48.62
49.36,49.05,49.50,48.84
49.09,49.02,49.32,48.62
52.39,51.94,52.60,51.46
52.91,53.50,53.58,52.60
52.93,53.40,53.70,52.88
53.93,52.87,54.07,52.86
52.60,52.52,52.91,51.83
51.67,52.03,52.55,51.67
52.00,51.65,52.30,51.43
51.89,51.53,51.96,51.34
52.10,52.33,52.84,52.04
52.36,52.17,52.49,51.77
52.18,52.31,52.43,51.88
51.96,51.49,52.06,51.06
51.14,51.43,51.50,50.84
52.37,53.77,53.89,52.37
54.07,53.95,54.30,53.79
54.17,53.73,54.23,53.49
54.01,54.40,54.40,53.78
54.01,54.58,54.69,53.74
55.21,54.24,55.53,53.69
53.78,54.11,54.57,53.31
55.40,55.95,56.34,55.32
55.87,56.31,56.39,55.71
55.34,56.37,56.37,55.00
56.72,57.74,57.74,56.66
57.99,57.38,58.34,57.18
54.60,52.20,54.70,52.02
54.15,53.55,54.22,52.70
54.51,55.43,55.55,54.41
55.55,54.75,56.33,54.63
55.33,55.92,56.11,55.33
54.14,53.50,54.41,53.32
51.28,51.49,52.80,50.53
50.43,49.47,52.04,45.75
48.34,47.51,48.73,46.58
51.09,51.72,51.74,50.50
49.71,50.15,50.76,49.56
50.63,51.87,52.27,50.57
51.46,51.44,51.94,51.32
50.60,49.19,50.67,48.51
49.42,49.55,49.98,48.14
50.19,47.64,50.26,47.60
47.19,46.56,47.46,45.41
45.04,44.53,45.40,43.68
45.01,46.53,46.84,44.33
46.13,46.36,47.28,45.86
44.27,45.30,45.35,43.61
46.45,46.09,47.24,45.69
47.65,49.11,49.15,47.61
48.54,47.50,49.32,47.10
47.88,47.18,48.94,47.17
48.01,49.45,49.45,47.78
50.86,50.52,51.16,49.78
49.08,47.09,49.41,46.58
47.54,46.15,47.65,46.03
46.72,46.55,46.93,45.65
47.28,46.45,48.18,46.18
49.13,49.50,49.50,48.19
48.83,49.37,49.61,48.46
50.57,50.30,51.64,50.21
51.28,52.09,52.17,50.86
50.67,51.10,51.71,50.62
51.14,51.00,51.35,50.17
50.96,51.50,51.73,50.84
52.44,52.12,53.36,51.69
51.92,50.46,52.22,50.17
50.93,50.52,51.22,49.89
49.93,49.31,50.07,48.89
49.32,49.60,49.74,48.60
49.77,49.26,49.89,49.04
48.57,46.70,48.57,46.30
48.11,47.85,49.35,47.61
48.20,47.58,48.52,46.35
48.61,47.54,48.72,47.19
48.56,47.49,48.87,46.83
48.00,49.60,49.66,47.92
49.65,49.90,50.00,48.83
49.64,50.36,50.45,49.51
50.33,49.92,50.55,49.31
51.32,52.09,52.43,50.96
51.99,52.48,52.76,51.47
52.30,52.23,52.42,51.40
51.63,50.60,51.78,50.45
50.88,50.85,51.08,50.21
49.47,51.30,51.40,49.40
52.02,51.58,52.68,51.45
52.98,54.10,54.24,52.89
54.84,55.38,55.38,54.21
56.72,58.17,58.27,56.38
58.25,57.37,58.27,56.75
57.20,57.31,57.79,56.77
57.78,57.50,58.08,56.44
56.78,57.44,57.72,56.73
58.93,59.49,59.68,58.75
59.12,57.78,59.12,57.73
58.12,58.55,58.65,57.85
58.42,58.81,59.08,58.16
58.27,59.11,59.15,57.93
58.72,59.20,59.42,58.45
57.70,58.05,58.37,57.00
55.51,55.27,55.94,54.68
54.19,55.07,55.31,53.76
54.36,54.81,55.58,54.36
54.18,55.22,55.69,54.17
55.91,56.38,56.69,55.70
56.09,56.16,56.49,55.68
55.96,54.93,56.04,54.77
54.17,54.17,54.28,53.82
54.47,53.72,54.72,53.65
52.59,52.58,53.19,51.93
51.61,52.48,52.69,51.44
52.98,52.88,53.45,52.70
54.26,55.40,55.52,53.23
54.19,53.88,54.95,53.81
53.84,54.14,54.95,53.67
55.95,56.75,57.11,55.63
56.77,57.06,57.14,56.66
57.84,58.52,58.67,57.83
57.44,57.30,58.00,57.18
58.20,57.44,58.32,57.30
58.53,57.80,58.57,57.40
59.10,58.91,59.18,58.67
60.05,60.19,60.34,59.84
60.27,60.75,61.19,60.09
60.38,60.85,61.02,60.01
60.76,61.00,61.05,60.46
61.09,61.29,61.38,60.76
61.60,61.78,62.01,61.40
