ALXN,Alexion Pharmaceuticals,NASDAQ
24.50,24.12,24.78,23.94
24.24,23.78,24.25,23.62
23.86,23.84,24.05,23.76
23.94,23.93,23.95,23.65
23.83,23.98,24.02,23.76
23.92,23.83,24.00,23.68
23.70,23.50,23.70,23.46
23.48,23.57,23.64,23.46
23.64,23.84,24.02,23.46
23.96,23.70,24.12,23.51
23.82,23.82,23.99,23.58
23.71,23.46,23.98,23.31
23.36,23.42,23.62,23.25
23.64,23.10,23.64,23.05
23.28,23.10,23.36,22.91
23.13,22.75,23.13,22.73
22.72,22.87,22.90,22.43
22.90,22.90,23.02,22.60
23.08,23.18,23.42,22.99
23.15,23.68,23.71,23.15
23.64,24.32,24.38,23.56
24.19,24.56,24.62,24.19
24.54,24.01,24.60,23.83
23.93,23.39,23.93,23.00
23.34,22.98,23.34,22.91
23.05,23.46,23.51,23.05
23.55,23.74,23.97,23.40
23.34,23.18,23.55,22.85
23.00,23.34,23.36,22.86
23.43,23.96,24.02,23.12
23.92,24.36,24.47,23.91
24.36,24.76,24.96,24.30
24.72,24.88,25.00,24.54
24.98,24.98,25.16,24.83
24.88,24.36,24.99,24.29
24.35,24.58,24.70,24.28
24.44,24.47,24.61,24.15
24.58,24.76,24.88,24.21
24.74,25.54,25.61,24.66
25.46,25.88,26.04,25.46
25.96,25.96,25.99,25.83
26.06,26.24,26.48,25.79
26.36,26.86,26.89,26.27
26.88,26.84,26.89,26.66
26.72,26.74,26.94,26.68
26.89,26.88,27.04,26.75
26.88,26.78,26.88,26.54
26.80,26.42,26.86,26.27
26.40,26.42,26.55,26.22
27.01,26.92,27.07,26.63
27.06,26.73,27.08,26.54
26.69,26.62,26.76,26.44
26.54,27.13,27.22,26.50
26.90,27.00,27.24,26.79
27.10,27.30,27.49,26.96
27.25,26.88,27.40,26.54
27.39,27.70,28.15,26.86
27.82,27.46,28.00,27.18
27.56,27.60,27.85,27.49
27.51,27.45,27.76,27.38
27.47,27.18,27.57,27.14
N/A,N/A,N/A,N/A
27.29,27.25,27.45,27.10
27.33,27.26,27.52,27.22
27.32,27.29,27.41,27.11
27.19,27.00,27.24,26.93
27.14,27.48,27.48,26.89
27.65,27.55,27.72,27.15
27.48,27.14,27.65,27.05
27.22,27.74,27.77,27.05
27.74,27.47,27.98,27.45
27.55,27.44,27.72,27.22
27.48,27.34,27.69,27.08
27.58,28.34,28.42,27.58
28.34,27.92,28.60,27.68
27.93,28.14,28.36,27.10
28.09,28.14,28.29,27.52
28.14,27.84,28.54,27.75
27.60,27.26,28.00,27.18
27.20,27.20,27.50,26.82
27.43,27.42,27.70,27.12
27.37,27.44,27.68,27.36
27.48,27.48,27.90,27.36
27.32,27.21,27.36,26.88
26.78,27.06,27.16,25.93
26.92,26.06,27.24,22.59
25.87,25.12,26.17,24.90
26.00,26.16,26.89,26.00
26.00,26.46,26.60,25.70
26.58,26.64,26.78,26.26
26.63,26.57,26.85,26.45
26.42,26.06,26.58,25.52
25.99,25.72,26.30,25.50
25.84,25.22,26.00,25.06
25.08,25.22,25.68,25.00
24.74,24.70,25.03,24.42
24.48,24.92,25.11,24.36
24.72,24.74,25.22,24.68
24.17,24.30,24.37,23.58
24.55,24.69,25.34,24.51
25.14,25.34,25.34,24.75
25.28,25.02,25.45,24.81
24.74,24.42,25.16,24.42
24.56,26.17,26.31,24.56
26.60,26.68,26.78,26.36
26.34,25.88,26.90,25.84
25.90,25.42,26.06,25.30
25.36,25.21,25.56,24.70
25.42,25.12,25.84,25.06
25.30,25.79,25.83,25.06
25.54,25.98,26.26,25.28
25.94,26.46,26.87,25.94
26.49,26.92,27.08,26.34
26.91,26.66,27.25,26.59
26.62,27.11,27.16,26.62
27.13,27.20,27.40,27.02
27.40,27.19,27.57,27.08
27.18,26.96,27.29,26.91
26.78,26.94,27.12,26.70
26.74,26.34,26.86,26.32
26.38,26.78,27.02,26.35
26.88,26.98,27.15,26.66
26.74,26.24,26.77,26.14
26.31,25.60,26.52,25.54
25.60,24.82,25.60,24.30
24.72,25.22,25.50,24.72
25.58,25.22,25.86,25.02
25.18,25.20,25.30,24.64
25.28,25.68,25.78,25.22
25.55,26.08,26.12,25.55
25.96,24.99,26.14,24.74
25.25,25.42,25.76,25.02
25.54,25.64,25.70,25.27
25.58,25.68,25.82,25.42
25.54,25.20,25.71,25.12
25.20,25.12,25.42,25.00
24.90,25.38,25.44,24.73
25.42,25.56,26.08,25.42
25.76,26.60,26.86,25.75
26.57,26.40,26.57,25.50
26.60,27.21,27.50,26.52
27.34,27.22,27.34,26.81
27.26,26.61,27.42,26.58
26.54,26.95,27.16,26.52
26.77,27.18,27.35,26.61
27.36,27.97,28.00,27.36
27.94,28.29,28.44,27.78
28.30,28.76,28.80,28.29
28.65,28.64,28.84,28.50
28.52,28.36,28.66,27.93
28.55,28.48,28.70,28.32
28.22,28.16,28.38,27.82
27.76,27.50,27.76,27.08
27.37,28.34,28.74,27.03
28.28,28.12,28.46,28.08
27.90,28.86,29.00,27.80
29.00,28.99,29.34,28.90
28.86,28.88,29.07,28.62
28.75,28.38,28.75,28.05
28.23,27.82,28.23,27.64
28.06,28.08,28.50,27.98
27.92,27.73,28.06,27.54
27.66,28.22,28.30,27.62
28.34,27.97,28.48,27.88
28.20,28.76,28.84,27.66
28.76,28.57,29.03,28.42
28.36,28.24,28.77,28.11
28.73,29.00,29.33,28.66
28.94,29.06,29.15,28.81
29.18,29.09,29.35,28.74
29.00,28.86,29.09,28.78
28.99,29.52,29.68,28.98
29.74,29.42,29.75,29.29
29.52,30.32,30.39,29.44
30.46,29.94,30.68,29.88
30.00,29.88,30.18,29.75
29.74,30.04,30.06,29.74
29.92,29.89,30.10,29.84
30.00,30.04,30.16,29.70
30.17,30.66,30.82,30.08
30.52,30.60,30.85,30.36
30.98,31.48,32.04,30.91
31.44,31.50,31.86,31.35
31.88,31.77,31.96,31.44
31.79,32.04,32.16,31.56
32.08,32.49,32.54,31.17
32.54,32.16,32.69,32.06
32.25,32.18,32.32,31.88
32.28,32.10,32.32,31.43
31.88,31.78,32.25,31.72
32.09,33.16,33.22,32.02
33.24,33.50,33.84,33.24
33.62,33.54,33.80,33.37
33.50,33.70,33.70,33.28
33.70,33.68,33.78,33.50
33.74,34.20,34.32,33.40
34.28,33.60,34.46,33.54
33.70,33.74,33.86,33.43
33.88,33.88,34.12,33.58
34.04,34.16,34.20,33.95
33.70,33.76,34.00,33.58
33.76,34.04,34.30,33.58
35.85,34.20,36.22,33.78
33.86,33.51,33.97,33.07
33.84,33.93,34.32,33.72
33.85,33.80,34.12,33.62
33.71,33.94,34.28,33.56
34.10,34.12,34.46,34.06
34.18,34.15,34.44,34.04
34.30,33.70,34.36,33.48
34.08,34.64,34.66,34.02
34.67,35.24,35.36,34.64
35.59,36.38,36.38,35.50
36.36,36.36,36.44,35.95
36.29,36.36,36.42,35.92
36.30,36.02,36.34,36.00
36.08,36.23,36.36,35.74
35.90,36.20,36.36,35.90
35.94,36.24,36.41,35.90
36.32,36.62,36.80,36.16
36.32,36.36,36.63,35.88
36.24,36.13,36.60,36.04
36.25,37.04,37.16,36.16
36.93,37.50,37.50,36.69
37.56,37.99,38.12,37.12
37.84,37.64,38.00,37.40
37.75,38.08,38.34,37.75
37.76,38.42,38.80,37.62
38.28,37.77,38.33,37.28
37.88,38.22,38.82,37.59
38.39,38.12,38.47,37.93
38.00,38.08,38.24,37.76
37.94,38.00,38.21,37.70
38.07,38.02,38.26,37.80
38.28,38.46,38.68,37.86
38.58,38.60,38.72,38.26
38.70,37.85,38.70,37.56
37.82,38.12,38.31,37.72
38.21,37.58,38.21,37.46
37.52,39.12,39.28,37.52
39.06,39.50,39.92,38.75
39.73,40.42,40.49,39.42
40.50,41.17,41.81,40.50
41.20,40.86,41.22,40.30
41.06,40.86,41.14,40.48
40.88,40.72,40.98,40.48
40.57,40.59,40.67,40.32
40.44,40.60,40.82,40.26
40.56,40.59,40.74,40.45
40.59,40.43,40.61,40.32
40.33,40.32,40.50,40.18
40.34,40.28,40.58,39.88
40.68,40.66,40.90,40.56
40.68,40.74,40.98,40.48
40.70,41.38,41.74,40.52
41.45,41.28,41.72,41.00
41.24,41.17,41.45,40.04
40.64,41.40,41.57,40.57
41.61,41.76,42.00,41.50
41.89,42.12,42.14,41.58
42.16,42.32,42.48,42.04
42.00,41.18,42.00,40.67
41.33,43.18,43.57,41.33
43.22,42.34,43.30,42.16
42.08,42.58,42.80,41.98
42.78,42.22,42.96,42.14
42.28,42.30,43.17,42.26
42.36,42.62,42.67,42.10
42.54,42.75,43.20,42.50
42.72,42.52,43.20,42.14
42.63,41.17,42.70,40.71
41.24,41.91,42.40,40.91
42.18,42.82,43.02,42.00
42.52,42.66,42.98,42.26
42.64,41.84,42.76,41.67
42.09,42.49,42.62,41.64
42.50,42.14,42.76,42.00
42.14,43.20,43.33,41.73
43.16,43.06,43.25,42.42
42.25,44.97,45.14,42.04
44.36,45.02,45.09,44.04
44.54,44.96,45.02,44.54
44.93,45.04,45.11,44.64
45.22,46.20,46.40,45.12
46.22,46.68,46.72,45.86
47.18,47.32,47.33,46.78
47.50,46.72,47.75,46.50
46.88,46.18,47.11,46.04
46.04,46.08,46.32,45.50
46.38,47.46,47.52,46.30
48.47,48.14,48.47,47.32
48.46,48.52,48.52,47.62
48.43,49.21,50.18,48.25
49.64,49.74,49.76,49.16
49.81,49.17,49.90,48.96
49.54,49.20,49.88,48.84
49.20,49.80,50.00,49.06
49.79,49.86,50.00,49.62
49.46,48.63,49.54,48.50
48.60,49.11,49.52,48.50
48.70,48.88,49.08,48.40
47.56,47.62,48.00,46.64
47.50,47.00,47.98,46.75
47.14,46.84,47.66,46.74
47.48,46.88,47.48,46.78
47.73,47.30,47.80,47.22
47.54,47.20,47.54,46.88
47.09,46.86,47.17,46.48
47.00,47.20,47.38,46.80
47.22,47.41,48.18,47.13
47.38,46.76,47.38,46.40
46.81,48.57,48.64,46.81
49.44,49.73,50.00,49.00
49.51,49.34,49.96,49.05
49.69,50.00,50.31,49.10
50.08,50.40,50.84,49.66
50.66,52.20,52.44,50.44
52.50,51.00,52.50,50.90
51.34,51.56,51.74,50.39
51.76,51.19,51.76,50.38
49.90,49.43,50.13,49.03
49.40,49.44,49.55,49.00
50.61,50.65,50.66,49.04
50.45,50.56,50.61,49.75
50.72,50.64,50.74,50.06
50.26,49.01,50.26,48.54
48.94,49.08,49.21,48.82
49.64,50.88,50.90,49.53
50.76,49.88,50.98,48.58
49.04,47.80,49.08,47.50
48.10,46.88,48.12,46.47
47.00,48.28,48.36,46.70
48.09,48.54,48.97,48.00
48.44,48.44,49.22,48.34
48.48,48.80,49.82,48.46
48.70,48.44,49.04,47.97
48.49,47.53,49.10,46.88
47.22,47.06,47.88,46.84
47.25,47.94,48.40,47.25
48.10,48.79,48.84,47.76
48.84,49.80,49.86,48.80
49.55,49.43,49.90,49.06
49.42,50.44,50.50,48.75
50.50,49.76,50.98,49.74
49.61,48.16,50.08,47.80
47.62,48.60,48.82,47.03
48.27,48.33,48.38,47.65
48.54,47.60,48.96,47.30
47.64,47.79,48.09,47.06
0.00,47.33,47.67,44.36
47.25,45.99,47.44,45.87
46.09,46.06,46.44,45.35
45.99,46.30,46.56,45.64
46.14,46.18,46.52,45.52
47.69,47.42,48.69,46.64
48.70,48.14,48.99,47.73
47.97,48.11,48.92,47.61
47.52,47.35,47.91,47.14
47.43,47.35,47.95,46.98
47.66,47.94,48.44,47.14
47.89,48.44,48.86,47.72
48.20,47.03,48.20,46.97
47.21,45.52,47.21,45.45
45.09,45.47,46.77,44.58
45.59,45.44,45.65,44.45
45.13,45.42,46.42,45.08
45.29,44.93,45.66,44.38
45.82,44.61,45.99,44.50
44.60,45.01,45.21,43.84
44.98,45.31,45.44,44.19
45.09,44.84,45.50,44.17
44.50,45.29,45.36,43.78
45.24,44.82,45.36,44.42
44.58,45.59,45.83,44.51
45.65,46.86,47.03,45.35
46.92,46.78,47.16,46.30
46.86,47.03,47.58,46.86
46.91,47.51,47.51,46.91
47.37,47.96,48.00,46.73
47.94,47.81,48.10,47.62
48.08,48.46,48.49,47.52
48.23,50.30,50.35,48.13
50.00,50.37,50.68,49.58
50.48,50.41,50.72,50.04
50.52,51.25,52.66,50.39
51.31,51.27,51.66,50.61
51.43,52.37,52.47,51.15
52.24,51.71,52.25,51.38
52.11,53.20,53.21,52.06
53.14,52.04,53.35,51.82
53.00,56.77,57.73,52.78
57.00,58.98,59.07,56.78
58.52,57.74,58.98,57.62
57.75,57.70,58.32,57.23
57.27,56.49,57.48,55.80
56.50,56.49,57.57,56.27
55.90,56.80,57.18,55.62
57.81,56.01,57.95,55.10
55.54,53.82,55.05,52.06
53.82,54.90,55.05,52.06
53.73,50.99,54.31,50.92
50.74,50.70,51.66,48.33
48.88,48.05,50.30,46.90
48.32,49.85,50.90,46.56
51.04,48.74,51.04,47.29
48.96,50.58,51.28,48.01
50.65,52.59,53.15,49.67
52.88,53.13,53.66,52.03
52.93,52.45,53.02,51.64
52.51,51.74,53.40,50.84
50.66,50.31,50.85,49.67
49.76,50.46,51.74,49.73
51.31,50.41,51.49,49.91
50.49,51.73,52.00,49.50
51.19,53.51,53.58,50.70
53.49,52.99,54.00,52.65
52.63,54.68,54.89,52.23
55.49,57.02,57.29,55.03
56.93,57.59,58.05,56.16
57.92,57.94,59.41,57.21
57.66,56.63,57.77,55.92
55.71,56.89,58.07,55.24
55.98,59.84,60.09,55.43
60.15,59.54,60.81,59.08
59.42,59.69,60.14,58.32
59.25,58.07,59.56,57.60
57.09,58.81,58.90,56.85
59.13,59.87,59.93,58.34
60.09,60.09,60.72,58.75
62.31,64.08,64.17,61.82
63.74,62.07,63.74,61.62
61.57,63.85,64.40,61.00
64.12,66.20,66.90,63.71
66.10,65.71,67.75,65.45
63.96,63.37,64.96,62.20
63.09,66.15,67.58,62.47
67.87,66.18,68.46,64.84
67.48,66.99,68.50,66.76
67.62,65.90,68.31,65.81
66.98,64.23,67.00,62.50
63.59,64.06,65.12,62.49
63.33,60.87,64.12,59.42
60.27,62.68,62.99,59.98
63.16,64.71,65.00,60.92
64.92,65.64,65.87,64.29
65.48,65.18,66.04,63.47
66.11,67.88,68.16,65.62
67.72,68.83,70.20,67.42
