AMS,American Shared Hospital Services Common Stock,NASDAQ
2.80,2.83,2.85,2.80
2.70,2.61,2.75,2.61
2.74,2.76,2.76,2.74
2.75,2.74,2.75,2.74
2.72,2.68,2.72,2.65
2.68,2.72,2.72,2.68
2.68,2.72,2.72,2.65
2.72,2.78,2.78,2.72
2.74,2.97,2.97,2.74
2.95,2.97,3.00,2.90
3.00,3.01,3.01,2.96
2.97,2.90,2.97,2.90
2.93,2.93,2.93,2.93
2.82,2.79,2.82,2.68
2.70,2.68,2.70,2.66
2.69,2.76,2.82,2.69
2.71,2.72,2.82,2.60
2.67,2.61,2.73,2.60
2.61,2.60,2.61,2.56
2.64,2.57,2.67,2.57
2.60,2.60,2.60,2.50
2.59,2.75,2.75,2.49
2.76,2.78,2.78,2.76
2.79,2.69,2.79,2.69
2.68,2.72,2.79,2.67
2.68,2.74,2.79,2.67
2.72,2.63,2.72,2.53
2.64,2.68,2.78,2.64
2.70,2.53,2.70,2.51
2.52,2.60,2.69,2.52
2.60,2.56,2.79,2.55
2.59,2.70,2.70,2.59
2.60,2.61,2.61,2.51
2.61,2.72,2.80,2.61
2.72,2.70,2.75,2.65
2.75,2.75,2.75,2.75
2.79,2.74,2.79,2.72
2.80,2.85,2.85,2.80
2.86,2.61,2.86,2.61
2.59,2.62,2.63,2.56
2.62,2.73,2.80,2.62
2.73,2.67,2.73,2.67
2.67,2.72,2.72,2.67
2.67,2.86,2.90,2.67
2.80,2.90,2.95,2.76
2.96,2.73,3.05,2.68
2.73,2.93,3.00,2.73
2.93,3.04,3.07,2.93
2.98,2.77,2.98,2.77
2.77,2.70,2.86,2.70
2.50,2.50,2.50,2.50
2.66,2.80,2.80,2.66
2.73,2.66,2.73,2.66
2.64,2.66,2.66,2.56
2.58,2.65,2.66,2.50
2.62,2.71,2.71,2.61
2.71,2.80,2.80,2.71
2.85,2.89,2.90,2.78
2.89,2.89,2.93,2.87
2.86,2.86,2.86,2.86
2.83,2.89,2.89,2.80
2.89,2.89,2.89,2.89
2.89,2.89,2.89,2.89
2.82,2.80,2.82,2.70
2.89,2.55,2.89,2.50
2.59,2.60,2.69,2.56
2.61,2.70,2.70,2.61
2.70,2.77,2.79,2.70
2.71,2.71,2.71,2.71
2.76,2.81,2.81,2.69
2.52,2.52,2.52,2.52
2.85,2.80,2.85,2.80
2.78,2.80,2.80,2.78
2.76,2.76,2.76,2.76
2.62,2.85,2.85,2.60
2.77,2.88,2.88,2.77
2.70,2.78,2.80,2.70
2.83,2.78,2.83,2.78
2.73,2.72,2.76,2.70
2.75,2.84,2.84,2.74
2.83,2.88,2.88,2.83
2.89,2.93,2.93,2.89
2.28,3.00,3.10,2.28
3.04,2.95,3.04,2.86
2.94,3.00,3.00,2.75
2.93,2.83,2.94,2.75
2.76,2.76,2.80,2.74
2.76,2.73,2.77,2.73
2.70,2.66,2.70,2.66
2.71,2.66,2.85,2.66
