AMSWA,American Software,NASDAQ
6.07,6.03,6.15,5.90
6.00,6.00,6.04,5.96
5.97,5.89,6.02,5.89
5.90,5.89,6.07,5.85
5.86,5.95,5.96,5.86
5.96,6.07,6.08,5.90
5.99,5.98,6.05,5.96
5.94,5.99,6.03,5.94
5.98,6.03,6.07,5.98
6.06,5.97,6.10,5.95
5.96,6.13,6.13,5.95
6.06,5.91,6.06,5.90
5.91,5.68,5.95,5.66
5.65,5.56,5.75,5.53
5.64,5.64,5.75,5.57
5.61,5.53,5.76,5.51
5.52,5.60,5.69,5.52
5.62,5.53,5.65,5.44
5.57,5.48,5.78,5.48
5.50,5.39,5.52,5.35
5.50,5.38,5.61,5.36
5.35,5.36,5.46,5.35
5.32,5.16,5.60,5.14
5.38,5.45,5.48,5.16
5.43,5.25,5.49,5.24
5.35,5.39,5.49,5.25
5.36,5.41,5.44,5.26
5.37,5.65,5.68,5.30
5.59,5.86,5.89,5.55
5.86,5.94,5.97,5.84
5.94,5.86,5.94,5.75
5.84,5.86,5.87,5.59
5.85,5.85,5.92,5.69
5.85,5.91,5.93,5.72
5.89,5.86,5.95,5.66
5.80,5.88,5.91,5.79
5.77,5.86,5.86,5.68
5.83,5.78,5.83,5.68
5.83,5.91,5.93,5.75
5.91,5.99,5.99,5.80
5.99,5.91,5.99,5.64
5.91,5.97,6.00,5.83
6.02,6.20,6.23,5.95
6.22,6.23,6.30,6.15
6.18,6.29,6.29,6.11
5.79,5.98,6.25,5.77
5.96,6.09,6.14,5.84
6.10,6.03,6.15,5.95
6.02,5.98,6.05,5.92
5.92,5.88,5.96,5.75
5.89,6.03,6.07,5.83
5.98,5.96,6.05,5.90
6.00,6.07,6.09,5.87
6.02,6.14,6.17,6.02
6.12,6.17,6.24,6.03
6.12,6.01,6.17,5.96
6.05,6.00,6.07,5.97
6.01,6.02,6.04,5.98
6.03,5.96,6.06,5.94
5.94,6.03,6.07,5.90
5.98,5.81,6.05,5.77
N/A,N/A,N/A,N/A
5.96,5.89,5.96,5.83
5.89,5.96,6.03,5.85
5.93,6.03,6.03,5.85
5.99,5.96,6.02,5.95
5.95,5.88,6.02,5.85
5.87,5.80,5.88,5.70
5.80,5.85,5.86,5.77
5.91,5.93,5.95,5.83
5.91,6.04,6.06,5.81
6.04,6.10,6.17,5.95
6.05,6.12,6.20,5.97
6.16,6.21,6.21,6.10
6.20,6.24,6.24,6.14
6.15,6.23,6.23,6.12
6.24,6.30,6.30,6.15
6.26,6.30,6.40,6.19
6.30,6.45,6.45,6.26
6.44,6.44,6.45,6.33
6.37,6.51,6.53,6.01
6.49,6.39,6.49,6.36
6.39,6.29,6.39,6.20
6.20,6.31,6.32,6.16
6.25,6.23,6.35,6.23
6.21,5.96,6.36,5.95
5.97,6.05,6.15,5.84
6.23,6.32,6.35,6.08
6.22,6.40,6.41,6.14
6.29,6.54,6.55,6.17
6.53,6.49,6.53,6.30
6.42,6.40,6.45,6.30
6.46,6.40,6.47,6.26
6.50,6.37,6.50,6.30
6.41,6.18,6.41,6.17
6.12,5.85,6.27,5.80
5.75,5.99,6.07,5.75
5.99,5.81,6.11,5.78
5.80,5.73,5.85,5.64
5.78,5.71,5.85,5.59
5.86,5.84,5.87,5.66
5.82,5.79,5.90,5.74
5.77,5.62,5.91,5.62
5.63,5.81,5.81,5.62
5.78,5.81,5.99,5.77
5.67,5.50,5.75,5.50
5.51,5.41,5.63,5.39
5.45,5.42,5.54,5.32
5.49,5.51,5.53,5.41
5.59,5.58,5.61,5.46
5.51,5.66,5.68,5.51
5.68,5.59,5.77,5.55
5.66,5.79,5.83,5.58
5.72,5.63,5.84,5.62
5.66,5.63,5.68,5.53
5.67,5.49,5.73,5.49
5.97,5.44,5.97,5.42
5.48,5.23,5.50,5.20
5.21,5.16,5.33,5.13
5.11,5.21,5.60,4.92
5.22,4.97,5.40,4.76
4.97,4.77,5.13,4.75
4.72,4.70,4.84,4.70
4.74,4.62,4.77,4.62
4.63,4.73,4.79,4.52
4.77,4.71,4.84,4.68
4.78,4.65,4.98,4.55
4.62,4.72,4.72,4.56
4.76,4.69,4.77,4.54
4.67,4.80,4.83,4.66
4.77,4.66,4.86,4.65
4.70,4.91,4.93,4.69
4.82,4.90,4.92,4.80
4.88,4.88,4.92,4.85
4.86,4.85,4.90,4.84
4.88,4.74,4.90,4.72
4.71,4.89,4.90,4.68
4.90,4.76,4.90,4.70
4.83,4.92,4.92,4.83
4.89,5.01,5.04,4.85
5.04,5.19,5.19,5.01
5.20,5.06,5.20,5.01
5.06,4.98,5.06,4.95
5.04,4.97,5.07,4.95
4.94,5.02,5.02,4.94
5.10,5.12,5.23,5.08
5.09,5.00,5.11,5.00
5.02,5.25,5.28,5.01
5.23,5.15,5.28,5.13
5.10,5.15,5.17,5.05
5.17,5.22,5.24,5.16
5.17,5.23,5.35,5.17
5.16,5.26,5.37,5.13
5.18,5.15,5.34,5.15
5.12,5.06,5.20,5.05
5.04,5.09,5.20,5.04
5.15,5.09,5.16,5.06
5.03,4.91,5.03,4.90
4.90,4.80,4.92,4.79
4.79,4.87,4.92,4.79
4.91,4.90,5.03,4.89
4.85,5.00,5.06,4.85
4.97,5.04,5.05,4.96
5.04,5.01,5.06,4.98
5.04,5.15,5.15,5.00
5.12,5.09,5.21,5.07
5.06,5.09,5.14,5.04
5.15,5.23,5.25,5.10
5.25,5.23,5.27,5.06
5.26,5.27,5.28,5.19
