ANTM,Anthem,NASDAQ
58.69,59.75,59.81,58.38
60.59,60.40,61.25,60.17
60.12,61.38,61.53,60.12
61.68,63.66,63.78,61.23
63.59,63.94,64.07,63.01
64.28,64.31,64.88,63.87
63.80,63.46,64.31,62.63
63.76,64.97,65.01,63.47
64.95,66.22,66.48,64.68
66.34,66.65,67.23,65.62
67.82,68.06,69.49,67.39
69.37,67.68,70.00,67.20
67.88,65.50,68.36,65.32
65.87,65.10,66.78,62.25
65.45,65.55,66.46,65.17
65.00,63.88,65.10,63.88
62.71,64.62,65.33,62.11
65.00,64.42,66.47,64.34
64.47,63.72,64.75,63.71
64.10,64.20,64.88,62.60
64.46,65.05,65.18,63.98
64.53,64.07,65.13,63.38
63.37,62.83,64.15,62.78
62.59,61.69,63.07,60.31
61.63,61.65,62.66,61.10
62.15,61.45,62.29,60.44
61.45,60.01,61.59,58.56
60.00,60.52,60.58,59.35
59.83,59.33,59.85,59.06
59.28,58.46,59.57,56.99
58.55,59.70,61.09,58.55
59.11,59.11,59.88,58.25
59.12,58.47,59.27,58.39
58.35,59.44,59.78,57.91
59.32,59.01,59.76,58.54
59.34,60.14,60.37,58.50
59.80,61.45,61.61,59.22
61.49,61.87,62.99,61.49
62.49,62.06,63.46,61.20
61.27,61.90,62.89,61.19
61.34,62.36,62.70,61.12
62.23,61.23,62.23,60.07
61.28,62.25,62.31,61.17
62.13,61.96,62.75,61.62
61.58,61.43,62.07,61.29
61.25,62.48,62.92,61.25
62.41,63.55,63.73,62.07
63.95,62.58,63.95,62.19
62.46,61.52,62.56,60.61
61.43,61.97,62.02,60.67
62.15,61.94,62.38,61.03
61.69,63.82,64.30,60.82
64.35,65.07,65.84,64.25
65.21,64.39,66.33,64.12
64.37,63.61,64.53,62.94
63.31,63.40,64.17,63.09
63.90,63.59,64.26,63.01
63.81,63.05,63.91,63.03
63.30,64.19,64.38,63.03
64.25,64.69,65.15,63.84
65.13,64.38,65.21,64.31
64.47,64.71,64.84,64.18
65.11,65.34,65.57,64.70
64.98,64.61,65.81,64.61
64.31,63.26,64.58,62.79
63.05,62.09,63.21,61.54
61.94,61.26,62.05,60.31
61.18,61.34,61.64,61.00
61.07,60.18,61.40,59.90
59.79,58.96,60.00,58.62
58.73,58.58,58.90,56.98
58.36,59.08,59.35,58.22
58.89,60.55,60.77,58.83
61.49,59.84,61.49,59.39
59.75,58.64,60.02,58.30
58.35,58.41,58.56,57.40
58.29,57.98,58.32,57.43
58.29,56.56,58.41,56.12
56.31,55.92,57.02,55.69
55.43,57.45,58.19,55.23
57.99,59.08,59.93,57.79
58.08,53.80,58.14,53.50
54.59,53.52,54.90,53.03
53.24,52.60,53.53,51.82
51.01,52.53,52.90,50.68
52.40,51.30,53.34,49.10
50.89,50.94,51.52,49.79
52.68,51.14,53.00,50.43
50.67,52.11,52.81,50.50
52.31,54.04,54.06,51.65
54.21,53.16,54.21,53.05
52.78,53.09,53.18,52.15
52.97,53.52,53.69,52.38
53.68,53.08,54.40,52.99
52.80,53.40,53.72,52.41
52.36,51.17,52.78,51.13
50.60,51.25,51.57,50.08
50.99,51.10,51.72,50.60
50.13,50.70,50.87,49.82
50.86,50.89,51.68,50.73
51.79,51.72,52.03,51.03
51.80,51.30,51.84,51.16
50.92,51.05,51.72,50.82
51.11,52.37,52.41,50.87
52.51,54.45,54.56,52.51
53.70,54.14,56.34,53.69
54.36,53.57,55.48,52.45
53.73,53.27,54.28,52.60
53.40,52.31,53.90,52.16
53.00,52.79,53.33,52.26
52.36,52.65,53.28,51.93
52.92,53.10,53.89,52.71
53.34,54.03,54.08,53.22
53.54,54.71,54.95,53.50
54.93,55.05,55.13,54.53
55.02,55.22,55.35,54.80
55.54,55.24,55.98,55.02
55.16,53.72,55.56,53.62
53.75,53.03,53.78,52.76
52.79,52.37,53.32,52.10
52.37,51.75,52.82,51.63
51.91,50.79,51.98,50.78
50.43,49.57,50.63,49.37
49.54,48.93,49.71,48.86
48.73,47.79,48.73,46.52
48.01,47.43,48.09,47.11
48.01,48.11,48.62,47.62
48.31,48.91,49.00,48.21
49.17,49.87,49.88,48.94
49.90,51.17,51.18,49.67
51.06,51.28,51.35,50.38
51.77,51.61,51.94,51.38
51.38,51.97,51.99,50.86
51.74,53.15,53.16,51.48
52.81,51.39,53.19,51.37
51.63,52.49,52.73,51.63
52.19,52.61,52.78,51.43
52.69,51.49,52.91,51.20
51.90,52.46,52.75,51.63
52.18,51.99,52.46,51.63
52.15,53.19,53.19,52.00
53.30,52.80,53.87,52.64
52.62,50.83,52.80,50.20
51.18,49.88,51.46,49.45
