APDN,Applied DNA Sciences Inc - Common Stock,NASDAQ
4.20,4.05,4.20,3.60
4.20,4.20,4.20,4.05
4.20,4.50,4.50,4.05
4.50,5.10,5.10,4.50
5.10,5.10,5.39,4.81
5.39,6.10,6.18,5.16
6.10,6.60,7.73,6.00
6.90,6.12,6.90,6.00
6.60,5.70,6.60,5.22
nan,5.64,nan,nan
5.10,5.52,5.70,5.10
5.10,4.98,5.40,4.92
5.46,4.80,5.46,4.26
4.50,4.51,5.22,4.50
4.80,4.80,4.80,4.51
4.80,4.80,5.10,4.80
4.80,4.62,5.04,4.50
5.04,4.80,5.40,4.50
4.51,4.80,5.34,4.51
4.80,4.62,4.80,4.56
4.80,5.34,5.34,4.80
4.80,5.07,5.10,4.80
4.80,5.22,5.28,4.80
5.28,5.04,5.28,4.92
4.80,5.20,5.28,4.80
5.22,5.20,5.28,5.16
5.22,5.33,5.40,5.22
5.40,5.34,5.70,5.22
nan,5.40,nan,nan
5.40,5.28,5.70,5.28
4.80,5.25,5.40,4.80
5.40,5.40,5.94,5.28
5.94,5.64,5.94,5.25
5.40,5.40,5.94,4.80
5.22,5.40,5.40,5.10
5.04,5.16,5.40,5.04
5.16,5.10,5.16,4.68
5.04,5.10,5.10,5.04
5.10,5.07,5.10,4.80
5.04,4.86,5.04,4.26
5.04,4.26,5.04,4.26
4.32,4.62,4.80,4.32
4.62,4.35,4.68,4.32
4.68,4.50,4.68,4.20
4.50,4.80,5.67,4.44
4.80,4.80,4.80,4.20
4.50,4.50,4.79,4.20
4.26,4.50,4.50,4.26
4.80,4.26,4.80,4.26
4.80,4.76,4.80,4.26
4.76,4.68,4.80,4.20
4.80,4.50,4.80,4.32
4.50,4.50,4.50,4.38
4.50,4.50,4.50,3.90
4.50,4.20,4.68,4.14
4.20,4.20,4.20,4.08
4.08,4.62,5.40,4.08
4.68,4.20,4.68,3.90
4.20,4.05,4.38,4.05
4.20,4.08,4.62,4.02
4.02,4.20,4.20,4.02
N/A,N/A,N/A,N/A
4.62,4.20,4.62,4.14
4.38,4.16,4.44,4.15
4.20,4.38,4.50,4.16
4.50,4.32,4.50,4.16
4.20,4.44,4.44,4.20
4.38,4.20,4.44,4.20
4.44,4.32,4.44,4.20
4.32,4.20,4.32,4.14
3.96,3.90,4.20,3.90
4.20,3.90,4.20,3.90
3.72,3.78,4.14,3.60
3.78,3.90,3.90,3.66
3.90,3.78,3.90,3.60
4.20,3.75,4.20,3.60
3.66,3.66,3.75,3.60
3.72,3.60,3.90,3.48
3.60,3.60,3.60,3.48
3.36,3.60,3.89,3.36
3.60,3.43,3.72,3.36
3.36,3.54,3.60,3.30
3.54,3.18,3.54,3.00
3.12,3.12,3.36,3.12
3.36,3.12,3.54,3.12
3.12,3.06,3.48,3.06
3.18,3.12,3.18,3.00
3.48,3.18,3.48,3.12
3.18,3.18,3.48,3.18
