ARW,Arrow Electronics,NASDAQ
29.78,29.70,30.13,29.65
29.73,29.97,30.01,29.41
29.93,29.59,30.03,29.50
29.51,29.22,29.56,29.00
29.18,30.08,30.11,29.18
30.15,29.62,30.23,29.46
29.47,28.94,29.47,28.67
29.12,29.16,29.30,28.69
29.04,29.28,29.43,28.92
29.22,28.73,29.22,28.54
28.72,28.70,28.90,28.46
28.31,28.77,28.85,28.25
28.84,28.16,29.27,28.07
28.21,27.36,28.34,27.31
27.57,27.79,27.98,27.46
27.72,27.55,27.87,27.46
27.52,27.64,27.79,26.97
27.65,26.95,27.66,26.47
27.09,26.27,27.24,26.17
26.85,27.11,27.22,26.70
27.11,27.17,27.35,26.81
27.43,27.20,27.89,27.18
27.05,26.07,27.07,25.97
26.04,26.23,26.35,25.80
26.35,26.77,26.93,26.02
27.17,26.99,27.26,26.43
26.87,27.07,27.28,26.71
26.96,27.50,27.63,26.57
27.23,27.96,27.98,26.94
28.14,28.30,28.31,27.75
28.45,28.44,28.53,28.23
28.46,28.81,28.84,28.41
28.68,28.60,28.85,28.50
28.74,28.60,28.80,28.50
28.47,28.03,28.67,27.86
28.18,28.48,28.81,28.12
28.02,28.34,28.38,27.75
28.30,28.21,28.38,28.02
28.37,28.97,29.34,28.36
29.06,28.91,29.20,28.76
28.93,28.92,29.20,28.76
28.89,28.73,28.99,28.61
28.86,28.94,29.06,28.70
28.82,28.73,28.92,28.56
28.53,28.96,29.07,28.47
28.90,29.34,29.47,28.88
29.14,29.25,29.45,28.95
29.13,29.15,29.23,28.77
29.04,28.89,29.09,28.64
29.00,29.48,29.48,28.75
29.47,30.17,30.20,29.44
30.18,29.98,30.35,29.92
29.99,29.89,30.12,29.30
29.59,29.93,30.17,29.55
29.90,30.77,30.83,29.80
30.70,29.64,30.71,29.64
29.97,29.14,30.03,29.14
29.31,28.89,29.31,28.81
29.05,29.45,29.67,29.05
29.57,30.22,30.28,29.47
30.28,30.13,30.44,30.00
30.34,29.97,30.85,29.83
30.15,30.80,30.81,29.92
30.54,30.13,30.75,30.04
30.01,30.43,30.46,29.96
30.42,29.82,30.42,29.66
29.94,30.00,30.01,29.49
30.00,30.21,30.29,29.80
30.22,30.66,30.68,30.22
30.92,31.71,31.71,30.86
31.76,31.53,31.99,31.32
31.39,31.26,31.43,30.79
31.22,30.84,31.41,30.40
31.03,31.20,31.32,30.87
31.29,31.15,31.62,30.95
30.83,31.23,31.26,30.31
31.27,31.57,31.61,31.02
31.68,31.78,32.06,31.43
31.63,30.92,31.94,30.85
31.04,31.14,31.29,30.56
31.33,31.80,31.81,31.27
31.80,30.50,31.92,30.50
32.39,31.80,32.50,31.42
31.53,29.67,31.63,29.16
29.39,29.04,29.73,28.93
28.81,28.22,29.22,26.26
28.22,27.49,28.72,27.13
29.15,29.37,29.37,28.23
28.94,29.15,29.77,28.86
29.24,29.49,29.63,29.15
29.35,29.63,29.95,29.24
29.40,28.96,29.58,28.71
29.03,28.66,29.42,27.66
28.94,27.41,28.94,27.15
27.21,27.59,27.72,26.86
26.84,26.61,27.41,26.19
26.23,26.85,27.23,25.99
26.66,26.56,27.24,26.55
25.78,26.59,26.70,25.24
26.69,26.59,27.24,26.47
27.09,27.87,27.90,26.86
27.79,27.28,27.86,27.14
26.98,26.11,27.21,26.11
26.25,26.41,26.42,25.82
26.70,26.48,26.76,26.07
25.93,25.40,26.18,25.34
25.40,24.27,25.45,24.26
24.27,24.39,24.44,23.85
24.52,24.31,25.06,24.17
24.85,25.21,25.21,24.67
24.92,25.44,25.49,24.83
25.64,25.24,26.01,25.24
25.77,26.36,26.39,25.44
26.10,26.06,26.43,25.97
26.11,25.94,26.13,25.20
25.99,25.75,26.03,25.70
26.16,25.47,26.30,25.27
25.50,24.96,25.92,24.88
24.87,24.64,25.02,24.51
24.53,24.07,24.62,23.94
24.21,24.11,24.47,23.87
24.23,24.19,24.83,23.95
23.76,22.93,23.77,22.80
22.82,22.35,23.16,22.26
22.41,22.15,22.61,21.79
22.25,22.27,22.48,22.05
22.60,22.01,22.83,21.76
22.03,22.86,22.94,21.95
23.00,23.20,23.46,22.93
23.22,23.25,23.36,22.91
23.31,23.27,23.49,22.86
23.58,23.81,23.92,23.32
23.76,23.88,24.29,23.71
23.91,23.89,23.98,23.41
23.69,22.76,23.80,22.72
22.90,23.08,23.18,22.56
22.69,22.90,22.97,22.20
23.13,22.68,23.19,22.62
23.07,23.37,23.61,23.05
23.23,23.71,23.71,23.11
23.79,24.30,24.31,23.58
24.55,24.14,24.79,24.05
25.38,24.44,25.72,24.27
24.94,24.78,25.18,24.31
24.46,24.79,25.04,24.02
25.26,25.36,25.50,24.96
25.31,25.40,25.51,25.05
25.60,25.57,26.04,25.40
25.40,25.91,26.18,25.32
25.47,26.30,26.35,25.45
26.49,26.26,26.61,26.15
25.76,25.34,26.00,25.24
24.86,24.62,24.94,24.47
24.14,24.14,24.49,23.90
24.14,23.71,24.30,23.70
23.48,23.88,24.02,23.32
24.12,24.40,24.63,23.95
24.41,24.94,25.42,24.20
24.77,24.93,25.04,24.58
24.78,24.77,24.98,24.50
24.93,24.42,25.12,24.42
23.99,23.67,24.08,23.63
23.36,23.52,23.69,23.10
23.58,23.08,23.82,23.05
23.30,23.71,23.77,22.56
23.53,23.28,23.92,23.23
23.36,22.88,23.46,22.77
23.30,24.20,24.30,23.28
24.29,24.58,24.58,23.91
24.89,25.44,25.44,24.60
25.27,24.63,25.29,24.61
24.72,24.83,24.99,24.46
25.19,24.71,25.20,24.61
24.83,24.81,24.91,24.49
25.10,25.16,25.50,25.04
25.08,25.18,25.58,25.08
25.15,25.54,25.68,24.93
25.52,25.43,25.62,25.28
25.52,25.16,25.67,25.16
25.30,25.66,25.74,25.16
25.74,25.76,25.93,25.48
25.72,25.57,25.99,25.42
25.35,25.45,25.91,25.19
25.89,26.00,26.08,25.71
26.03,25.44,26.03,25.36
25.52,26.03,26.05,25.11
25.94,26.73,26.90,25.88
26.89,26.73,27.66,26.33
