ARWR,Arrowhead Pharmaceuticals,NASDAQ
5.30,5.40,5.40,5.20
5.50,5.12,5.50,5.10
5.50,5.30,5.50,5.20
5.40,5.31,5.50,5.30
5.30,5.15,5.40,5.10
5.40,6.00,6.00,5.15
6.00,5.60,6.30,5.60
5.73,5.70,5.90,5.55
5.84,6.00,6.04,5.82
6.00,5.85,6.30,5.85
6.30,6.00,6.30,5.80
6.50,6.30,6.60,6.02
6.20,6.10,6.30,6.10
6.05,6.60,6.80,5.60
6.40,6.80,7.30,6.40
7.10,6.41,7.10,6.41
6.00,5.80,6.20,5.80
6.00,5.59,6.09,5.50
5.60,5.70,5.85,5.60
6.00,5.70,6.00,5.70
5.70,6.00,6.10,5.70
6.00,6.25,6.35,6.00
6.40,6.00,6.40,5.90
5.70,6.00,6.00,5.70
6.00,6.00,6.30,6.00
6.10,6.20,6.39,5.81
6.20,6.20,6.20,6.00
6.10,5.80,6.30,5.80
5.70,5.80,6.00,5.70
5.80,5.90,6.30,5.70
6.20,5.80,6.28,5.80
5.80,5.95,6.00,5.80
6.20,5.90,6.20,5.90
5.90,6.00,6.10,5.80
6.00,5.80,6.10,5.80
5.80,5.70,6.00,5.70
5.70,5.50,5.70,5.50
5.50,5.30,5.60,5.30
5.40,5.10,5.50,5.10
5.10,5.40,5.50,5.00
5.50,5.30,5.80,5.20
5.60,5.20,5.60,5.20
5.20,5.30,5.60,5.20
5.10,5.25,5.60,5.10
5.15,5.20,5.30,5.10
5.20,5.20,5.50,5.20
5.30,5.40,5.50,5.23
5.40,5.40,5.50,5.30
5.70,5.40,5.70,5.40
5.60,5.60,5.60,5.22
5.75,5.50,5.75,5.30
5.50,5.40,5.65,5.30
5.30,5.40,5.65,5.30
6.30,10.40,12.80,6.20
11.30,11.40,13.30,10.40
10.30,10.20,10.70,9.66
10.20,9.27,10.20,9.02
9.40,8.30,9.44,8.11
8.50,9.50,9.50,8.30
9.30,11.70,11.70,8.72
11.70,11.40,12.40,11.00
N/A,N/A,N/A,N/A
11.70,10.90,11.70,10.80
10.60,11.10,11.30,10.60
11.50,12.10,13.80,11.20
12.20,11.70,12.90,11.40
11.90,11.30,11.90,11.20
11.70,11.80,12.30,11.50
11.60,11.90,12.10,11.40
11.70,13.40,14.40,11.70
13.50,12.60,13.60,12.60
13.60,13.00,13.60,11.80
13.00,11.90,13.00,11.90
11.80,12.90,13.00,11.60
12.90,13.10,13.30,12.50
12.80,12.90,13.40,12.50
13.30,13.10,13.50,13.00
14.30,14.10,14.30,13.20
14.10,15.20,16.00,14.00
14.70,14.70,15.40,14.70
14.70,15.50,15.50,14.70
15.50,15.30,15.60,14.70
15.30,15.20,15.30,14.50
14.40,13.90,14.90,13.50
13.60,13.30,13.90,12.60
13.40,12.50,13.80,12.00
12.60,12.90,13.00,12.20
13.60,13.50,14.40,13.40
13.40,13.60,14.00,13.00
14.00,14.80,15.10,13.80
14.90,15.10,15.10,14.20
14.90,13.60,14.90,13.30
13.70,13.30,13.90,12.80
13.30,13.70,13.80,13.00
14.20,14.20,14.70,13.50
14.00,12.80,14.00,12.60
12.70,12.70,13.00,12.50
13.10,12.90,13.10,12.70
12.60,12.50,12.90,12.50
12.60,12.50,12.99,12.50
12.70,12.90,13.20,12.60
13.30,13.50,13.50,13.00
14.70,14.73,15.20,13.60
14.50,15.00,15.00,14.00
15.00,16.90,17.40,14.81
16.80,18.50,18.50,16.00
16.30,16.60,18.00,16.30
17.10,16.50,17.20,16.20
16.50,16.20,16.90,16.10
17.20,16.60,17.39,16.60
16.60,16.40,17.00,16.10
17.10,16.70,17.10,16.60
16.70,16.70,16.70,16.20
16.70,16.40,17.00,16.00
16.70,12.30,16.70,11.40
12.70,13.00,13.00,12.40
13.50,12.60,13.70,12.30
12.40,12.40,12.80,12.30
12.70,12.50,12.90,12.40
12.60,11.90,12.60,11.80
11.80,11.80,12.50,11.80
