ASML,ASML Holding N.V. - ADS represents 1 ordinary share,NASDAQ
45.18,45.01,45.58,44.91
45.44,45.36,45.62,45.13
45.35,45.78,45.96,45.31
45.00,44.51,45.31,44.36
43.69,43.44,43.81,43.25
43.01,42.52,43.16,42.21
42.83,42.58,43.19,42.38
44.03,43.77,44.05,43.31
43.79,43.47,43.83,43.13
43.06,42.51,43.16,42.30
42.01,42.53,42.62,41.86
42.84,43.12,43.22,42.39
43.78,43.08,43.94,42.82
43.39,41.21,43.44,40.92
42.06,41.95,42.31,41.61
42.30,42.04,42.64,42.03
41.66,42.29,42.39,41.57
42.96,41.45,43.00,40.97
41.97,40.58,42.08,40.25
41.01,41.51,41.57,40.97
42.12,42.22,42.55,41.65
42.22,42.39,42.75,41.94
41.97,40.29,42.00,40.27
39.97,40.36,40.52,39.10
39.78,39.71,40.29,39.43
40.88,40.87,41.60,40.14
40.77,40.90,41.08,40.17
40.17,41.03,41.42,39.85
40.14,40.84,41.14,40.06
40.70,41.75,41.84,40.49
41.77,41.23,41.81,41.05
41.27,41.68,41.86,40.96
41.03,41.30,41.60,40.88
41.78,41.58,41.86,41.53
41.32,40.04,41.32,39.95
40.03,40.27,40.55,39.91
39.39,39.88,40.00,38.71
39.68,40.04,40.13,39.22
40.17,40.96,41.00,40.17
41.90,42.75,43.35,41.88
43.31,43.27,43.62,43.03
43.08,42.86,43.27,42.39
43.52,43.91,43.92,43.26
44.29,44.62,44.75,44.14
43.97,44.22,44.52,43.91
44.27,44.79,45.01,44.19
44.47,44.78,44.78,44.14
44.74,44.73,44.87,44.40
44.04,43.49,44.04,43.13
43.78,44.40,44.48,43.62
44.83,44.82,45.14,44.62
44.57,44.21,44.66,43.91
44.17,43.66,44.18,43.31
43.03,44.81,44.87,42.99
45.44,45.97,46.09,45.27
45.36,45.23,45.71,44.96
45.84,45.62,46.33,45.57
46.05,45.86,46.36,45.64
46.00,46.18,46.32,45.92
45.64,45.66,45.88,45.17
45.96,45.97,46.60,45.69
N/A,N/A,N/A,N/A
46.49,46.73,46.87,46.22
46.44,46.56,46.73,46.27
46.38,46.61,46.88,46.14
45.48,46.06,46.12,45.12
46.42,46.70,46.75,46.34
47.13,46.57,47.19,46.49
46.18,46.74,46.86,45.88
45.95,45.51,46.04,45.03
45.52,45.36,45.83,45.29
44.95,44.94,45.29,44.42
44.68,45.10,45.13,44.58
45.96,46.53,46.86,45.93
46.75,46.13,46.83,45.78
45.05,46.35,46.38,44.86
45.77,46.29,46.35,45.76
46.38,46.18,46.68,46.12
45.35,43.68,45.66,43.58
43.66,42.88,43.81,42.47
43.13,43.27,43.38,42.86
43.43,42.42,43.43,42.32
42.48,43.22,43.47,42.44
41.96,41.87,42.03,41.35
40.16,40.57,41.34,40.12
40.12,39.52,40.99,36.60
39.62,38.45,39.78,37.62
41.21,41.01,41.23,40.34
39.78,40.04,40.95,39.71
40.84,41.27,41.66,40.74
40.22,39.75,40.73,39.65
39.34,38.86,39.35,38.09
39.03,39.14,39.49,38.12
38.96,37.04,39.27,36.99
37.39,37.43,37.66,36.62
35.91,36.45,37.66,35.53
36.06,37.53,37.68,35.84
36.84,36.39,37.25,36.38
34.77,36.03,36.13,34.64
36.25,35.77,37.16,35.62
37.00,37.57,37.61,36.74
37.48,36.70,37.51,36.45
36.69,36.49,37.86,36.47
37.21,38.03,38.05,36.86
38.75,38.62,38.83,38.17
37.95,36.31,38.19,36.08
36.52,35.25,36.68,35.16
35.58,36.13,36.13,35.05
36.64,36.01,37.23,35.88
38.04,37.90,38.20,37.27
38.08,38.23,38.57,37.79
39.68,39.03,39.81,38.97
39.86,40.17,40.23,39.64
39.52,39.70,40.05,39.35
40.18,40.27,40.29,39.32
40.09,40.14,40.48,39.94
40.74,39.90,40.79,39.65
39.96,38.86,40.25,38.70
39.39,39.09,39.70,38.60
38.75,38.27,38.86,38.04
38.31,38.49,38.62,37.77
38.05,38.06,38.47,37.69
36.79,36.04,36.81,35.70
36.31,35.68,36.70,35.61
36.19,36.29,36.44,35.36
37.00,36.47,37.17,36.01
37.95,37.25,38.18,36.83
37.34,38.42,38.44,37.28
38.83,39.03,39.04,38.25
38.64,39.36,39.36,38.47
38.57,39.34,39.45,38.52
39.91,40.61,40.78,39.91
41.86,41.48,42.14,41.16
41.34,41.03,41.44,40.47
40.56,40.16,40.62,40.03
40.35,40.73,40.78,39.97
39.57,40.17,40.21,39.45
40.35,39.83,40.51,39.61
40.48,41.10,41.42,40.48
40.81,41.70,41.70,40.58
41.17,41.87,41.87,41.03
41.80,41.48,41.82,41.25
41.38,41.58,41.88,41.25
42.58,41.55,42.66,41.21
41.14,41.81,41.88,40.91
42.62,42.88,43.00,42.29
43.04,42.87,43.10,42.52
43.12,42.70,43.17,42.30
42.45,42.29,42.61,41.99
41.74,41.64,42.35,41.21
41.70,41.90,42.09,41.52
40.99,40.34,41.03,39.99
38.00,37.45,38.01,37.36
36.25,36.99,37.22,36.21
36.38,36.44,36.91,36.35
36.27,36.87,36.94,36.21
37.55,37.26,37.64,37.17
37.48,37.35,37.61,37.12
37.83,37.77,37.94,37.38
36.52,36.65,36.86,36.36
36.34,35.88,36.66,35.77
34.22,34.42,34.68,34.06
34.14,34.75,34.90,33.87
34.69,34.18,34.88,34.06
34.06,33.83,34.25,32.68
33.36,33.05,33.64,33.05
32.26,32.12,32.92,32.00
33.27,33.75,34.12,33.03
34.38,34.44,34.62,34.06
34.97,34.95,35.25,34.49
34.47,33.74,34.61,33.71
33.57,33.91,34.08,33.45
34.84,34.48,34.87,34.38
34.64,34.39,34.78,34.17
35.55,35.79,35.87,35.53
35.92,36.70,36.91,35.79
36.29,36.58,36.73,36.13
36.48,36.84,36.90,36.35
36.97,37.04,37.16,36.78
37.29,37.75,37.84,37.23
38.45,37.94,38.45,37.55
37.68,37.35,37.78,37.03
36.68,36.88,37.29,36.61
37.57,38.19,38.21,37.45
38.27,37.81,38.27,37.73
38.25,38.95,39.03,37.65
39.42,39.60,40.06,39.23
39.60,38.61,39.79,38.57
39.14,38.86,39.29,38.55
39.77,38.71,39.78,38.35
39.00,39.36,39.53,38.95
39.10,38.52,39.13,38.31
38.57,38.29,38.62,38.05
38.13,38.31,38.48,37.86
38.84,38.80,39.12,38.68
39.86,39.70,39.86,39.23
41.64,41.75,42.65,41.58
41.73,42.10,42.21,41.68
42.65,42.61,42.73,42.17
42.61,42.96,43.04,42.44
42.05,41.62,42.74,41.36
42.00,42.43,42.65,41.97
42.08,41.47,42.19,41.27
41.74,42.03,42.05,41.52
43.01,42.87,43.31,42.71
41.97,42.62,42.88,41.87
43.04,43.65,43.66,42.96
44.12,43.16,44.14,42.86
42.70,43.06,43.29,42.56
43.53,43.21,43.71,42.92
43.61,44.00,44.14,43.42
44.14,44.12,44.21,43.29
44.81,45.14,45.26,44.66
44.52,44.42,44.60,44.08
43.38,43.32,43.68,43.22
44.64,43.73,44.66,43.67
43.48,42.96,43.48,42.52
41.51,41.84,42.10,41.29
42.05,41.91,42.48,41.56
42.04,41.75,42.27,41.74
42.16,41.40,42.29,40.99
41.26,41.36,41.82,41.18
42.78,42.71,42.92,42.44
43.58,45.05,45.06,43.58
44.42,45.23,45.31,44.39
43.79,43.83,44.39,43.47
44.04,44.52,44.64,44.04
44.95,44.92,45.17,44.75
43.40,43.12,43.65,42.42
41.56,42.38,42.82,41.55
43.75,44.73,44.88,43.73
44.32,45.30,45.48,44.29
45.52,46.21,46.32,45.47
45.90,45.69,46.08,45.30
45.82,45.13,45.91,45.08
44.88,45.68,45.77,44.88
48.14,49.01,49.34,48.14
49.10,48.57,49.14,48.51
48.53,48.48,48.82,48.21
48.26,48.22,48.51,47.91
47.95,47.66,48.34,47.40
48.10,48.26,48.30,47.78
48.81,49.64,49.69,48.65
49.51,49.18,49.71,49.04
49.56,49.32,49.58,49.03
49.70,49.75,49.77,49.32
49.18,49.17,49.45,49.01
49.57,49.94,49.99,49.22
49.97,49.74,50.48,49.58
49.35,49.42,49.68,49.13
50.16,49.91,50.36,49.82
49.84,49.79,50.06,49.60
50.40,50.21,50.95,50.14
49.83,48.56,49.95,48.29
47.19,47.57,47.97,47.03
47.31,47.17,47.70,46.56
47.27,47.16,47.32,46.43
45.70,46.62,46.64,45.65
47.70,47.73,48.01,47.44
48.57,48.68,48.77,48.34
48.48,48.43,48.91,48.26
50.22,53.03,53.36,50.18
52.38,52.07,52.73,51.78
51.10,48.30,51.22,47.99
47.91,50.09,50.23,47.74
50.70,50.58,51.12,50.42
49.92,51.56,51.71,49.92
52.22,53.30,53.57,52.10
53.77,54.36,54.94,53.32
54.75,55.69,55.94,54.70
55.25,54.65,55.34,53.49
54.34,54.56,55.04,53.78
55.90,57.08,58.00,55.83
56.42,56.57,57.31,56.14
56.06,55.97,56.31,55.12
55.62,56.40,56.74,55.58
56.97,56.94,57.55,56.60
56.73,56.27,56.73,56.06
55.88,55.90,56.44,55.88
54.70,55.69,55.88,54.65
56.00,56.55,56.65,55.78
56.31,57.57,57.60,56.23
56.70,56.44,56.95,56.10
57.09,57.92,57.94,57.08
57.31,58.21,58.34,57.26
57.57,58.53,58.91,57.57
56.39,56.38,57.86,56.32
56.40,55.71,56.60,55.08
55.55,56.01,56.30,55.22
56.17,56.53,56.75,56.04
57.18,56.62,57.55,56.08
57.38,56.22,57.47,56.00
56.39,57.40,57.73,56.39
59.31,59.51,59.64,58.97
59.19,59.12,59.26,58.73
58.58,56.88,58.81,56.47
56.73,56.64,57.61,56.12
56.92,56.19,56.94,55.77
53.57,53.03,53.60,52.88
52.17,53.55,53.87,52.14
53.96,53.96,54.36,53.53
51.43,52.94,53.16,51.29
52.29,50.95,52.94,50.65
52.83,53.27,53.62,52.42
54.30,53.10,54.31,52.82
54.68,54.60,54.71,54.21
54.57,54.25,54.68,53.75
54.77,55.58,55.83,54.51
56.08,55.94,56.60,55.69
55.83,55.91,56.71,55.65
56.23,56.35,56.78,56.19
55.69,56.51,56.69,55.53
57.86,57.60,58.03,57.36
57.84,57.79,58.08,57.22
57.32,57.53,57.87,57.08
57.78,57.38,57.86,56.95
57.55,57.70,58.17,57.44
57.21,56.96,57.35,56.66
55.86,55.64,56.17,55.18
56.09,55.01,56.09,54.57
55.66,55.71,56.04,55.23
55.55,55.08,55.69,54.69
54.69,51.47,54.82,50.88
51.81,51.64,52.17,51.12
52.48,52.00,52.49,51.70
50.31,50.30,50.82,49.74
50.17,49.73,50.32,49.36
53.25,54.13,54.21,52.92
53.39,52.95,53.44,52.34
52.90,53.23,53.57,52.83
53.12,54.08,54.19,52.94
54.20,54.51,54.64,53.48
54.77,53.78,55.00,53.08
54.08,54.23,54.32,53.65
54.52,53.29,54.53,53.06
53.95,54.00,54.22,53.40
55.26,54.06,55.30,53.56
53.60,53.40,53.90,52.91
53.26,52.38,53.60,52.05
52.99,53.52,53.69,52.84
53.91,54.17,54.36,53.73
52.00,51.34,52.21,50.84
51.94,52.64,53.00,51.48
51.94,51.48,52.01,51.03
52.19,51.78,52.79,51.62
51.00,51.47,51.49,50.86
51.68,52.40,52.66,51.62
51.86,52.18,52.36,51.56
51.94,51.38,51.95,51.05
49.62,49.03,49.96,48.90
49.62,49.25,49.69,48.78
48.86,49.42,49.62,48.84
49.26,49.13,49.36,48.53
49.44,49.44,49.76,49.30
50.71,50.66,50.77,50.08
50.32,49.62,50.71,49.56
49.87,49.86,50.21,49.40
49.87,49.66,50.08,49.36
49.56,49.25,49.82,49.25
50.19,50.25,50.69,49.94
49.48,48.92,49.66,48.58
48.71,49.21,49.68,48.56
48.60,47.49,48.69,47.27
47.71,47.42,47.96,47.26
49.00,48.99,49.32,48.86
47.34,46.95,47.86,46.70
46.44,45.94,46.53,45.55
46.53,45.95,46.53,45.71
45.22,45.55,45.69,45.17
45.86,46.22,46.45,45.65
45.65,45.84,46.38,45.58
44.83,46.18,46.19,44.48
45.86,45.43,46.04,45.16
46.45,47.13,47.31,46.17
46.39,47.13,47.30,46.32
47.53,47.53,47.92,46.92
47.73,48.00,48.29,47.69
48.31,49.27,49.34,48.00
49.21,49.03,49.43,48.86
48.08,47.97,48.31,47.65
49.43,50.18,50.38,49.32
49.34,48.62,49.47,48.38
48.12,47.96,48.74,47.78
46.96,45.30,47.17,45.19
44.43,45.04,46.04,44.16
45.06,44.08,45.45,43.88
44.62,44.57,44.66,43.92
44.05,44.43,44.45,43.79
45.47,46.10,46.32,45.47
46.58,46.23,46.58,45.91
47.73,48.14,48.16,47.26
48.14,49.05,49.25,47.78
48.21,48.58,48.92,48.13
48.78,49.05,49.48,48.62
48.58,48.38,48.60,47.49
46.39,46.40,47.18,46.04
46.88,46.30,47.04,46.27
46.92,45.66,47.14,45.14
45.48,45.17,45.75,44.53
45.16,45.40,45.75,44.53
42.64,43.13,43.60,42.43
44.92,43.40,45.03,41.79
40.17,40.36,41.74,39.81
43.10,43.57,43.62,40.97
