ATSG,Air Transport Services Group,NASDAQ
2.65,2.80,2.82,2.65
2.79,2.62,2.79,2.62
2.63,2.47,2.74,2.46
2.48,2.69,2.70,2.47
2.68,2.66,2.79,2.56
2.68,2.69,2.69,2.60
2.66,2.58,2.67,2.56
2.59,2.62,2.64,2.50
2.60,2.70,2.77,2.58
2.71,2.72,2.76,2.62
2.71,2.79,2.83,2.66
2.76,2.64,2.79,2.60
2.67,2.55,2.71,2.55
2.54,2.47,2.61,2.45
2.48,2.41,2.49,2.39
2.40,2.36,2.46,2.35
2.36,2.38,2.43,2.36
2.39,2.43,2.44,2.30
2.45,2.31,2.45,2.31
2.32,2.32,2.43,2.31
2.33,2.34,2.36,2.25
2.33,2.26,2.42,2.25
2.26,2.23,2.30,2.23
2.27,2.22,2.29,2.20
2.23,2.15,2.23,2.15
2.20,2.21,2.22,2.15
2.20,2.18,2.27,2.15
2.17,2.24,2.25,2.17
2.23,2.35,2.35,2.20
2.33,2.53,2.53,2.33
2.54,2.42,2.54,2.39
2.43,2.41,2.46,2.35
2.41,2.51,2.52,2.39
2.51,2.48,2.55,2.48
2.48,2.50,2.55,2.41
2.51,2.54,2.55,2.50
2.50,2.46,2.50,2.42
2.47,2.54,2.59,2.43
2.54,2.61,2.65,2.53
2.63,2.68,2.70,2.55
2.67,2.65,2.70,2.55
2.66,2.66,2.67,2.50
2.66,2.78,2.80,2.65
2.77,2.72,2.77,2.68
2.71,2.70,2.74,2.68
2.69,2.74,2.78,2.69
2.72,2.75,2.80,2.70
2.75,2.69,2.80,2.69
2.68,2.58,2.72,2.56
2.59,2.59,2.61,2.54
2.59,2.58,2.63,2.55
2.55,2.54,2.59,2.53
2.56,1.90,2.58,1.84
1.90,2.09,2.14,1.78
2.13,2.17,2.21,2.09
2.19,2.22,2.25,2.18
2.22,2.27,2.38,2.21
2.28,2.27,2.30,2.24
2.28,2.24,2.32,2.21
2.25,2.31,2.35,2.25
2.47,3.34,3.49,2.47
N/A,N/A,N/A,N/A
4.20,4.06,4.25,3.65
4.04,4.00,4.04,3.89
3.95,4.13,4.30,3.95
4.06,4.21,4.24,3.98
4.20,4.08,4.20,4.05
4.08,4.77,4.89,4.01
4.77,5.04,5.04,4.58
5.04,5.42,5.44,4.95
5.37,5.40,5.50,5.31
5.43,5.40,5.59,5.16
5.38,5.49,5.57,5.34
5.49,5.47,5.57,5.41
5.50,5.39,5.50,5.35
5.28,5.44,5.45,5.23
5.45,5.39,5.48,5.25
5.40,5.48,5.64,5.39
5.48,5.22,5.54,5.18
5.22,5.43,5.50,4.85
5.47,5.61,5.62,5.42
5.64,5.50,5.75,5.47
5.49,5.52,5.66,5.21
5.39,5.42,5.49,5.29
5.25,5.50,5.59,5.10
5.50,5.36,5.52,5.18
5.27,4.95,5.44,4.68
5.04,5.36,5.40,5.04
4.77,5.29,5.49,4.45
5.28,5.64,5.66,5.20
5.71,5.80,6.03,5.60
5.74,5.63,5.74,5.40
5.64,5.63,5.75,5.48
5.68,5.60,5.86,5.56
5.56,5.38,5.70,5.37
5.20,4.95,5.20,4.78
4.78,5.19,5.43,4.75
5.16,5.01,5.30,5.00
4.80,5.11,5.19,4.71
5.16,5.34,5.67,5.16
5.70,5.69,5.70,5.51
5.69,5.62,5.75,5.57
5.53,5.42,5.71,5.42
5.48,5.62,5.62,5.45
5.70,5.59,5.75,5.38
5.30,5.06,5.43,5.03
5.14,4.75,5.23,4.73
4.77,4.53,5.21,4.31
4.62,4.59,4.88,4.38
4.77,5.08,5.09,4.66
4.96,5.07,5.22,4.90
5.20,5.33,5.47,5.13
5.42,5.51,5.62,5.25
5.43,5.44,5.55,5.35
5.45,5.35,5.45,5.32
5.40,5.50,5.51,5.36
5.55,5.41,5.55,5.41
5.46,5.30,5.57,5.29
5.29,5.05,5.29,4.97
5.00,4.88,5.11,4.85
4.93,5.24,5.26,4.84
5.08,5.27,5.34,4.90
5.13,4.91,5.14,4.90
4.94,4.76,5.07,4.71
4.78,4.93,4.99,4.48
4.97,4.80,5.00,4.69
4.93,4.66,5.00,4.64
4.67,5.09,5.10,4.64
5.21,5.13,5.21,5.02
5.11,5.28,5.29,5.05
5.24,5.22,5.32,5.10
5.33,5.35,5.37,5.23
5.29,5.33,5.37,5.27
5.33,5.18,5.33,5.02
5.10,4.93,5.12,4.90
4.97,4.93,5.24,4.71
4.81,5.12,5.12,4.71
5.19,4.84,5.20,4.82
5.00,5.23,5.24,5.00
5.23,5.34,5.34,5.16
5.35,5.34,5.36,5.27
5.39,5.31,5.39,5.21
5.28,5.27,5.35,5.23
5.33,5.40,5.49,5.30
5.30,5.31,5.49,5.27
5.44,5.31,5.48,5.10
5.26,5.25,5.42,5.20
5.28,5.37,5.49,5.27
5.25,5.27,5.35,5.14
5.11,5.13,5.24,5.01
5.20,5.33,5.38,5.07
5.22,5.20,5.30,5.05
5.02,4.96,5.17,4.96
4.86,4.85,4.99,4.81
4.81,4.75,4.96,4.71
4.71,4.93,4.94,4.70
5.04,5.14,5.24,4.97
5.12,5.11,5.21,5.00
5.05,4.82,5.11,4.82
4.80,4.71,4.82,4.60
4.78,4.70,4.85,4.64
4.60,4.50,4.74,4.50
4.49,4.69,4.70,4.48
4.72,4.53,4.77,4.52
4.63,4.64,4.65,4.49
