AU,AngloGold Ashanti Limited Common Stock,NASDAQ
42.10,42.16,42.34,41.63
42.32,42.82,43.28,42.06
43.60,44.18,44.82,43.42
43.56,43.68,44.23,43.35
44.11,44.18,44.23,43.23
44.41,44.16,44.68,43.95
42.46,41.75,42.99,41.51
42.42,42.53,42.70,41.34
41.83,42.00,42.28,41.54
41.07,40.81,41.47,40.57
40.38,40.77,40.83,40.22
39.50,39.30,39.65,38.11
39.01,38.80,39.40,38.50
37.97,38.77,39.29,37.81
38.96,38.20,39.03,37.97
37.61,38.03,38.65,37.03
37.71,37.53,37.98,36.70
37.98,37.37,38.05,36.32
37.09,35.69,37.27,35.45
36.00,37.04,37.08,35.94
37.83,37.45,38.05,37.17
37.28,36.86,37.87,36.71
36.23,35.59,36.36,35.08
35.74,37.26,37.27,35.04
36.49,35.80,36.96,35.75
36.73,37.43,37.81,36.42
37.43,36.97,37.43,36.18
37.32,38.66,38.75,36.84
37.24,38.08,38.25,37.03
38.68,39.22,39.33,38.49
39.10,38.36,39.35,37.80
37.95,37.30,38.08,37.04
36.60,36.67,37.12,36.40
36.87,35.88,36.99,35.81
35.78,34.85,35.96,34.61
34.81,34.72,35.49,34.55
34.24,36.00,36.01,34.11
36.06,36.38,36.42,35.49
36.23,36.12,36.51,35.76
36.67,36.98,37.58,36.34
37.55,37.68,38.15,37.05
37.70,37.47,37.75,37.02
37.53,38.30,38.38,37.47
38.18,37.86,38.50,37.75
37.46,37.42,37.80,37.18
37.56,37.23,38.09,36.78
36.90,37.58,37.60,36.56
37.75,37.38,38.04,37.08
37.64,37.61,37.72,37.12
38.13,38.41,38.42,37.93
38.89,38.70,39.19,38.62
38.83,38.93,39.26,38.57
38.90,38.49,38.93,38.16
38.09,38.45,38.50,37.78
38.25,38.61,38.81,37.86
37.91,36.80,37.99,36.77
37.17,36.12,37.34,36.04
36.79,37.30,37.51,36.50
37.47,37.91,38.05,37.42
37.94,37.41,38.07,37.28
37.71,37.95,38.10,37.55
38.60,39.65,39.72,38.42
40.05,40.32,40.48,39.51
40.12,40.36,40.79,40.00
40.71,41.11,41.38,40.53
40.55,40.70,40.88,40.33
41.08,41.20,41.55,40.76
40.84,40.65,41.30,40.52
40.43,39.96,40.50,39.26
40.37,40.21,40.41,39.79
39.90,39.68,40.24,39.68
39.42,38.58,39.60,37.52
38.64,38.83,39.08,38.39
39.32,38.69,39.45,38.60
38.98,38.78,39.24,38.44
38.37,39.00,39.03,38.02
38.88,39.94,40.03,38.49
40.27,40.26,40.50,40.06
39.42,40.44,40.75,39.41
40.28,41.04,41.50,40.12
41.08,41.63,42.22,41.03
42.30,41.86,42.44,41.69
41.84,41.99,42.17,41.22
42.34,41.64,42.34,40.68
40.66,40.93,42.06,40.47
40.40,40.94,41.26,39.00
41.37,41.01,41.97,40.60
41.28,41.81,41.81,40.89
42.27,43.25,43.76,42.16
43.97,43.23,44.08,43.09
43.31,42.77,43.82,42.66
43.43,42.96,43.45,41.81
42.90,42.48,43.00,41.86
42.07,41.99,42.73,41.72
40.94,40.84,41.54,39.80
40.06,39.32,40.45,38.91
38.15,38.92,39.36,38.04
39.38,38.96,39.66,38.92
39.49,40.62,40.71,38.89
42.35,42.28,43.46,41.98
42.16,42.45,42.80,41.99
42.16,41.92,42.33,41.63
42.02,41.55,42.76,41.55
42.02,42.83,42.83,41.61
42.89,42.57,42.95,41.92
41.42,41.67,42.53,41.12
41.49,43.04,43.55,41.38
42.51,42.39,43.12,41.92
42.19,42.11,42.55,41.71
42.03,42.45,42.60,41.90
42.03,42.28,42.40,41.90
42.77,42.26,43.06,42.26
42.95,43.58,43.64,42.78
42.84,43.66,43.95,42.84
44.31,44.80,44.95,44.18
45.06,44.79,45.28,44.71
44.87,43.76,44.99,43.42
