AUMN,Golden Minerals Company Common Stock,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
8.10,8.20,8.40,7.75
8.00,7.90,8.10,7.89
7.95,8.05,8.14,7.85
7.90,7.80,8.15,7.72
7.85,7.70,7.85,7.66
7.74,7.80,7.85,7.70
7.82,7.70,7.95,7.66
7.70,7.76,7.85,7.70
7.78,7.95,8.40,7.71
nan,8.00,nan,nan
8.02,7.88,8.10,7.86
7.88,7.91,8.15,7.85
7.95,7.90,8.00,7.90
7.83,7.85,7.95,7.80
7.81,7.90,7.90,7.72
7.95,8.00,8.00,7.90
8.00,7.90,8.10,7.80
8.40,8.08,8.40,7.80
8.08,8.19,8.27,8.08
8.40,8.04,8.40,8.01
8.23,8.07,8.23,8.00
8.03,7.85,8.20,7.75
7.91,7.80,7.91,7.75
7.80,7.89,8.00,7.80
7.89,7.83,7.95,7.83
7.83,7.76,7.89,7.76
7.97,7.93,8.45,7.76
7.87,7.90,7.98,7.87
7.95,8.00,8.20,7.90
7.92,7.95,8.17,7.90
8.04,8.08,8.15,8.02
8.02,7.76,8.02,7.72
7.72,7.82,7.82,7.67
7.82,7.62,7.85,7.61
7.65,7.70,7.90,7.55
7.77,8.01,8.04,7.77
7.98,8.43,8.78,7.98
8.71,8.47,9.10,8.41
8.47,8.33,8.77,8.33
8.44,8.85,9.05,8.44
8.90,8.88,8.95,8.75
9.15,9.34,9.60,8.97
9.34,8.70,9.35,8.63
8.74,8.35,8.81,8.35
8.32,8.46,8.55,8.31
8.54,8.44,8.58,8.40
8.34,8.24,8.34,8.10
8.28,8.18,8.28,8.06
8.28,8.12,8.30,8.05
nan,8.05,nan,nan
8.00,8.02,8.20,7.97
8.02,8.03,8.19,7.97
8.03,7.80,8.03,7.72
7.75,7.61,7.75,7.58
7.68,7.84,8.07,7.65
7.77,7.70,7.80,7.69
7.66,7.99,8.05,7.63
7.97,7.71,8.05,7.71
7.71,7.69,7.90,7.54
7.61,7.54,7.66,7.52
7.55,7.56,7.58,7.01
7.45,7.52,7.58,7.42
7.54,7.86,8.09,7.32
7.94,8.24,8.39,7.87
8.21,7.93,8.23,7.89
7.98,8.20,8.29,7.97
8.25,8.09,8.25,7.64
8.13,8.07,8.13,7.89
8.14,8.20,8.30,7.93
8.25,8.50,8.99,8.25
8.42,8.09,8.45,7.90
8.08,8.15,8.15,7.81
8.05,7.83,8.05,7.31
nan,7.61,nan,nan
7.67,7.43,7.71,7.35
7.38,7.41,7.49,7.31
7.48,7.25,7.69,7.20
7.29,7.67,7.81,7.29
7.83,7.65,7.96,7.61
7.68,7.62,7.78,7.35
7.62,7.54,7.77,7.48
7.50,7.28,7.59,7.22
7.18,7.29,7.29,6.83
7.49,7.42,7.60,7.30
7.42,7.45,7.49,7.36
7.45,7.45,7.55,7.40
7.56,7.30,7.56,7.24
7.38,7.50,7.50,7.30
7.50,7.35,7.50,7.25
7.40,7.21,7.40,7.11
7.35,7.27,7.37,7.05
7.27,7.27,7.27,7.11
7.21,7.47,7.48,7.17
7.33,7.31,7.46,7.26
7.30,7.29,7.31,7.05
7.45,7.36,7.54,7.21
7.39,7.50,7.50,7.33
7.35,7.31,7.45,7.15
7.30,7.31,7.42,7.30
7.25,7.33,7.35,7.13
7.21,7.17,7.25,7.13
7.19,7.43,7.43,7.19
7.36,7.19,7.36,7.16
7.23,7.19,7.27,7.16
7.31,7.17,7.40,7.17
7.36,7.32,7.37,7.26
7.42,7.64,7.72,7.35
7.64,7.55,7.70,7.35
7.69,7.45,7.90,7.45
7.45,7.49,7.59,7.40
7.48,7.51,7.57,7.33
7.55,7.61,7.61,7.43
7.63,7.55,7.63,7.44
7.51,7.55,7.60,7.51
7.60,7.58,7.60,7.47
7.60,7.64,7.72,7.52
7.52,7.64,7.72,7.38
nan,7.60,nan,nan
7.65,7.92,8.00,7.65
8.02,8.15,8.75,7.87
8.25,8.09,8.26,8.05
8.15,8.26,8.30,8.15
8.35,8.44,8.48,8.28
8.50,10.30,10.50,8.49
10.41,11.90,12.18,10.17
11.80,12.90,12.91,11.80
13.25,13.10,13.49,12.35
13.20,13.80,13.85,12.63
13.81,13.10,13.96,12.65
13.30,13.52,13.88,13.05
13.45,13.60,13.87,13.30
13.75,14.10,14.18,13.67
15.48,15.50,16.15,14.40
15.50,15.25,15.68,15.05
15.31,15.29,15.67,15.06
15.45,15.53,15.58,15.01
17.61,20.00,20.84,17.05
20.10,20.65,21.00,18.52
21.49,21.67,23.68,19.88
21.44,21.56,22.07,20.40
19.65,19.48,19.90,18.62
19.47,19.30,19.64,19.02
19.30,24.50,24.67,19.02
23.36,23.20,23.86,22.36
24.15,22.62,24.15,22.25
23.18,21.79,23.30,21.28
21.90,21.05,21.90,20.21
20.73,23.00,23.77,20.26
21.37,21.50,22.70,20.77
20.97,21.70,22.41,20.97
23.25,22.00,23.50,21.24
21.50,25.45,25.60,21.39
25.50,25.91,27.50,25.10
25.75,25.12,26.42,24.91
24.97,25.28,26.20,23.50
26.46,27.40,27.89,25.51
27.65,26.25,27.84,26.25
27.06,27.84,27.84,25.00
27.67,28.28,28.28,27.13
28.39,27.02,28.39,26.76
27.75,26.15,28.00,25.71
26.26,26.06,27.43,25.22
26.00,26.58,27.00,25.57
26.99,24.80,27.38,24.01
24.66,24.54,25.90,23.60
23.51,26.00,26.00,22.77
25.53,24.70,25.53,24.10
24.70,25.10,25.53,24.27
24.90,24.10,24.90,23.84
24.45,24.25,24.71,23.65
24.95,25.19,25.99,24.54
25.26,25.10,25.48,24.65
25.05,25.71,26.39,24.90
26.07,26.97,27.00,25.74
nan,27.40,nan,nan
27.77,27.31,27.77,26.99
27.02,27.40,27.41,26.63
27.60,28.34,28.90,27.27
28.51,27.97,28.71,27.56
28.15,27.81,28.21,27.49
27.50,28.06,28.79,27.50
28.06,27.59,28.60,27.59
27.99,26.43,28.00,26.11
26.32,26.45,26.81,25.83
26.53,26.82,26.89,26.15
26.97,26.80,27.06,26.11
27.00,27.00,27.19,26.73
26.50,26.52,26.99,26.30
26.42,25.91,26.54,25.63
25.90,25.52,25.96,25.00
25.48,26.11,26.11,25.10
25.12,25.58,25.88,24.77
25.21,25.90,25.91,24.73
25.87,25.09,25.87,25.05
nan,24.59,nan,nan
24.12,24.54,24.77,24.12
24.93,26.81,27.16,24.90
26.44,26.41,27.29,26.04
26.36,26.67,26.73,26.15
26.70,26.70,27.50,26.15
27.23,26.84,27.40,26.52
26.90,25.77,26.90,25.40
25.70,25.97,26.27,25.04
26.02,25.52,26.02,25.00
25.19,25.46,25.81,25.19
25.50,25.44,25.57,25.10
26.31,24.74,26.99,23.70
24.94,23.87,24.94,23.87
23.91,22.37,23.91,22.11
nan,21.25,nan,nan
21.50,21.16,21.60,21.15
21.20,21.05,21.50,21.05
20.71,20.55,20.71,20.43
20.63,20.26,21.70,19.64
20.00,20.00,20.30,19.70
19.98,19.45,19.98,19.35
19.60,19.75,20.76,19.48
19.78,19.95,19.95,19.65
19.85,19.82,20.29,19.66
19.88,19.60,19.88,19.60
20.00,20.95,21.02,20.00
20.86,20.92,21.20,20.72
21.12,21.55,21.71,20.50
21.99,21.40,21.99,21.12
21.29,21.58,22.13,21.29
21.93,21.94,22.19,21.85
21.98,22.17,22.55,21.97
21.99,22.85,23.00,21.96
22.59,22.55,23.27,22.50
23.06,22.52,23.06,22.42
22.84,22.80,22.98,22.40
22.74,22.49,22.76,22.27
22.54,22.02,22.55,21.79
nan,21.96,nan,nan
22.85,20.70,22.98,20.59
20.62,20.70,21.35,20.55
20.66,19.94,20.79,19.86
20.00,21.57,21.86,19.89
21.16,21.90,22.31,21.16
21.20,22.43,22.50,21.20
22.58,23.65,24.20,22.40
24.51,23.66,24.81,23.55
24.08,24.09,24.45,23.70
24.52,24.41,25.33,24.33
24.05,23.56,24.23,23.51
23.86,21.66,23.88,21.66
22.05,19.54,22.05,19.28
19.38,20.41,20.91,19.17
18.93,19.85,20.45,18.93
18.31,18.55,18.77,17.81
18.19,17.93,19.21,17.90
18.17,17.86,18.49,17.76
18.37,18.07,18.53,17.90
18.54,18.88,18.98,18.23
18.90,18.59,19.09,18.52
18.75,22.93,23.15,18.75
23.27,23.07,24.46,22.74
24.01,23.03,24.01,22.26
22.84,21.87,22.84,21.70
21.66,21.36,21.90,20.91
21.41,22.28,22.37,21.30
22.48,21.92,22.48,21.55
21.74,22.06,22.28,21.27
22.03,22.23,22.57,21.90
22.55,22.92,23.72,22.23
23.76,22.60,24.73,21.75
22.50,21.52,22.68,21.43
22.03,23.95,25.15,21.70
24.47,23.06,25.90,22.81
23.05,21.99,23.05,21.51
22.18,22.74,22.91,21.85
22.40,23.38,23.44,22.40
23.11,22.94,23.53,22.75
23.44,21.40,23.44,21.15
21.40,21.32,21.50,20.64
21.82,22.55,22.64,21.70
nan,22.84,nan,nan
23.04,22.03,23.10,21.88
21.76,21.10,21.92,21.00
20.94,21.50,21.71,20.43
21.48,20.68,21.69,20.45
20.55,20.01,20.83,20.01
19.77,19.86,20.83,19.08
19.71,19.48,20.27,19.38
19.28,19.06,19.52,18.22
18.77,18.12,19.13,18.00
18.34,18.44,18.90,18.25
18.31,19.49,19.61,18.30
19.43,18.73,19.44,18.58
18.86,18.17,18.86,17.70
17.52,17.50,17.79,17.10
17.92,17.16,17.94,16.97
16.95,16.87,17.76,16.78
16.70,16.37,16.88,16.20
16.57,17.68,17.78,16.57
17.65,17.42,17.95,17.10
17.19,17.12,17.60,16.86
16.78,17.02,17.19,16.65
17.00,16.96,17.44,16.52
16.82,17.50,17.96,16.82
17.30,17.72,17.75,17.05
nan,18.22,nan,nan
18.63,18.66,19.20,18.19
18.47,18.02,18.80,17.98
18.28,17.81,18.48,17.43
17.28,17.33,17.62,17.28
17.50,16.87,17.50,16.59
16.43,17.28,17.57,16.43
17.16,17.46,17.60,16.67
17.41,17.93,18.50,17.28
