AWH,Allied World Assurance Company Holdings,NASDAQ
15.32,15.36,15.43,15.15
15.34,15.28,15.42,14.96
15.16,15.09,15.21,15.02
15.15,15.14,15.22,14.97
15.13,15.21,15.24,15.04
15.37,15.36,15.43,15.14
15.31,15.36,15.47,15.27
15.48,15.51,15.56,15.35
15.53,15.48,15.65,15.38
15.41,15.20,15.41,15.20
15.19,15.34,15.41,15.11
15.37,15.42,15.52,15.30
15.47,15.26,15.56,15.22
15.14,15.06,15.37,15.01
15.22,15.14,15.31,15.03
15.06,15.00,15.25,14.95
14.89,15.21,15.21,14.85
15.33,15.02,15.33,14.95
15.08,14.92,15.15,14.92
15.00,15.17,15.20,14.98
15.16,15.29,15.29,15.04
15.21,15.27,15.31,15.03
15.23,15.09,15.40,15.06
15.06,14.97,15.12,14.77
14.98,14.81,14.98,14.78
14.85,14.85,14.98,14.80
14.83,14.82,14.89,14.65
14.81,15.05,15.13,14.73
15.01,15.30,15.36,14.81
15.29,15.30,15.31,15.01
15.26,15.21,15.30,15.07
15.21,15.29,15.41,15.14
15.27,15.25,15.39,15.19
15.25,15.35,15.50,15.24
15.33,15.16,15.40,15.16
15.17,15.21,15.40,15.12
15.12,15.52,15.68,15.12
15.52,15.37,15.58,15.28
15.48,15.50,15.58,15.38
15.46,15.49,15.54,15.44
15.53,15.39,15.57,15.38
15.37,15.28,15.42,15.28
15.27,15.24,15.31,15.18
15.24,15.32,15.36,15.21
15.30,15.29,15.33,15.23
15.25,15.20,15.25,15.09
15.10,15.09,15.19,15.01
15.01,15.00,15.09,14.96
15.01,14.98,15.03,14.90
15.02,14.89,15.02,14.80
14.94,14.97,15.02,14.81
14.95,15.05,15.07,14.85
15.03,15.00,15.06,14.93
14.86,14.80,14.94,14.71
14.74,14.90,14.95,14.64
14.86,14.85,14.94,14.80
15.00,14.89,15.00,14.71
14.93,14.81,14.97,14.76
14.78,14.82,14.84,14.59
14.82,14.76,14.84,14.72
14.72,14.95,14.96,14.70
14.99,14.79,14.99,14.74
14.79,14.80,14.84,14.76
14.80,14.78,14.83,14.76
14.78,14.83,14.87,14.77
14.83,14.84,14.84,14.77
14.91,14.89,14.91,14.73
14.88,14.95,14.96,14.81
14.94,15.01,15.02,14.87
15.02,15.09,15.09,14.96
15.08,15.03,15.14,15.03
14.97,15.07,15.17,14.97
