BBF,BlackRock Municipal Income Investment Trust,NASDAQ
12.87,12.86,12.87,12.79
12.84,12.93,12.93,12.81
12.91,12.87,12.91,12.78
12.81,12.90,12.90,12.81
12.90,12.95,12.95,12.90
13.03,13.03,13.07,12.95
13.05,13.04,13.05,13.00
12.93,12.93,12.95,12.85
12.99,12.94,12.99,12.87
12.92,12.95,12.95,12.92
12.99,12.99,12.99,12.98
12.99,13.06,13.08,12.93
13.03,13.05,13.05,12.97
13.06,13.06,13.06,13.06
13.02,13.09,13.09,13.02
13.03,13.09,13.10,13.03
13.12,13.09,13.14,13.06
13.13,13.08,13.14,13.02
13.10,13.10,13.13,13.05
13.11,13.10,13.13,13.00
13.10,13.16,13.16,13.10
13.13,13.19,13.19,13.08
13.14,13.16,13.18,13.13
13.15,13.22,13.24,13.10
13.24,13.27,13.27,13.20
13.08,13.21,13.21,13.08
13.15,13.19,13.19,13.15
13.17,13.25,13.25,13.10
13.22,13.20,13.22,13.18
13.14,13.19,13.25,13.11
13.21,13.22,13.28,13.17
13.17,13.15,13.17,13.01
13.13,13.14,13.22,13.08
13.15,13.06,13.15,13.04
13.09,12.93,13.09,12.91
12.99,12.91,13.01,12.91
12.95,13.05,13.06,12.95
13.01,13.06,13.06,13.01
13.10,13.05,13.11,13.00
13.06,13.11,13.11,12.97
13.10,13.12,13.18,13.10
13.12,13.07,13.18,13.05
13.08,13.15,13.23,13.08
13.11,13.14,13.24,13.10
13.20,13.26,13.29,12.35
13.24,13.35,13.35,13.21
13.26,13.15,13.26,13.10
13.15,13.17,13.17,13.15
13.17,13.09,13.20,13.09
13.08,13.08,13.09,13.03
13.08,13.16,13.16,13.06
13.11,13.20,13.20,13.11
13.15,13.15,13.18,13.10
13.12,13.23,13.23,13.12
13.24,13.23,13.28,13.23
13.21,13.23,13.31,13.16
13.30,13.27,13.34,13.26
13.28,13.36,13.36,13.28
13.37,13.40,13.43,13.33
13.43,13.51,13.51,13.43
13.48,13.57,13.57,13.48
13.65,13.80,13.89,13.60
13.81,13.84,13.84,13.72
13.84,13.90,13.90,13.81
13.92,13.91,13.92,13.80
13.91,13.76,13.97,13.75
13.80,13.83,13.89,13.78
13.85,13.83,13.88,13.82
13.79,13.74,13.79,13.67
13.72,13.61,13.72,13.61
13.56,13.55,13.64,13.51
13.56,13.58,13.63,13.48
13.58,13.48,13.59,13.45
13.48,13.57,13.75,13.45
13.64,13.64,13.69,13.59
13.65,13.72,13.74,13.56
13.74,13.94,13.98,13.70
13.97,13.90,13.98,13.89
13.92,13.88,13.92,13.88
13.89,13.88,13.89,13.84
13.89,13.77,13.89,13.73
13.74,13.73,13.79,13.72
13.87,13.85,13.87,13.83
13.86,13.80,13.86,13.80
13.82,13.80,13.86,13.77
13.78,13.45,13.93,13.34
13.46,13.39,13.58,13.38
13.45,13.54,13.62,13.45
13.58,13.70,13.70,13.58
13.64,13.67,13.73,13.64
13.67,13.68,13.76,13.65
13.76,13.54,13.76,13.54
13.56,13.82,13.94,13.56
13.83,13.64,13.85,13.63
13.64,13.80,13.90,13.64
13.70,13.59,13.70,13.58
13.57,13.58,13.60,13.50
13.60,13.62,13.68,13.56
13.62,13.48,13.62,13.32
13.46,13.44,13.60,13.44
13.46,13.54,13.60,13.44
13.58,13.83,13.92,13.58
13.87,13.88,13.90,13.76
13.88,13.95,13.95,13.78
13.94,13.95,13.95,13.85
13.95,13.94,13.98,13.94
13.99,13.82,13.99,13.75
13.82,13.77,13.82,13.77
13.77,13.74,13.77,13.73
13.75,13.66,13.75,13.61
13.58,13.64,13.66,13.56
13.69,13.78,13.80,13.69
13.77,13.72,13.79,13.70
13.77,13.81,13.81,13.77
13.75,13.65,13.75,13.50
13.74,13.68,13.74,13.64
13.66,13.66,13.71,13.64
13.65,13.65,13.65,13.57
13.65,13.63,13.68,13.58
13.62,13.68,13.70,13.62
13.68,13.70,13.70,13.68
13.60,13.70,13.70,13.60
13.65,13.69,13.69,13.62
13.68,13.68,13.69,13.68
13.70,13.75,13.75,13.64
13.79,13.73,13.79,13.69
13.76,13.71,13.76,13.71
13.73,13.73,13.78,13.73
13.93,13.85,13.93,13.76
13.85,13.88,13.97,13.85
13.88,13.97,14.02,13.88
13.90,13.89,13.90,13.88
13.85,13.88,13.92,13.82
13.87,13.85,13.87,13.78
13.90,13.77,13.91,13.71
13.77,13.83,13.84,13.77
13.86,13.78,14.07,13.68
13.78,13.79,13.80,13.72
13.79,13.75,13.80,13.75
13.74,13.82,14.05,13.74
13.81,13.92,13.92,13.80
13.92,13.90,13.92,13.81
13.91,13.98,14.05,13.90
13.99,13.90,13.99,13.71
13.89,13.90,13.94,13.87
13.95,13.94,13.95,13.90
13.89,13.95,13.95,13.85
13.95,14.00,14.06,13.91
13.94,13.92,14.01,13.85
13.92,13.96,13.96,13.85
13.96,14.04,14.09,13.96
14.05,14.23,14.28,14.05
14.22,14.22,14.25,14.13
14.18,14.22,14.24,14.05
14.23,14.20,14.23,14.14
14.20,14.23,14.32,14.14
14.30,14.32,14.35,14.27
14.32,14.35,14.35,14.32
14.33,14.16,14.33,14.16
14.20,14.32,14.32,14.13
14.29,14.29,14.35,14.28
14.28,14.24,14.34,14.01
14.24,14.21,14.25,14.12
14.21,14.28,14.28,14.17
14.27,14.33,14.39,14.27
14.32,14.45,14.46,14.32
14.45,14.53,14.53,14.45
14.56,14.43,14.60,14.39
14.41,14.39,14.41,14.25
14.37,14.36,14.37,14.24
14.39,14.35,14.41,14.22
14.36,14.31,14.36,14.31
14.32,14.33,14.40,14.27
14.34,14.39,14.39,14.31
14.32,14.32,14.50,14.32
14.30,14.30,14.39,14.30
14.30,14.10,14.34,14.10
14.14,14.06,14.14,14.06
14.08,14.17,14.17,14.08
14.16,14.12,14.22,14.12
14.13,14.35,14.50,14.12
14.32,14.35,14.41,14.32
14.33,14.25,14.45,14.16
14.18,14.19,14.25,14.06
14.22,14.24,14.28,14.22
14.24,14.15,14.27,14.11
14.11,14.18,14.21,14.11
14.20,14.30,14.42,14.19
14.34,14.29,14.34,14.29
14.33,14.26,14.33,14.26
14.38,14.31,14.39,14.31
14.30,14.31,14.35,14.25
14.34,14.28,14.34,14.20
14.23,14.23,14.28,14.20
14.30,14.34,14.35,14.29
14.34,14.40,14.40,14.34
14.37,14.37,14.47,14.29
14.38,14.34,14.44,14.26
14.39,14.35,14.48,14.35
14.38,14.38,14.60,14.35
14.43,14.38,14.55,14.38
14.42,14.42,14.54,14.35
14.42,14.49,14.49,14.40
14.37,14.25,14.44,14.25
14.22,14.22,14.25,14.16
14.29,14.29,14.31,14.22
14.33,14.27,14.34,14.20
14.40,14.30,14.40,14.18
14.32,14.33,14.33,14.22
14.39,14.35,14.39,14.32
14.41,14.43,14.43,14.37
14.46,14.53,14.53,14.43
14.53,14.42,14.53,14.42
14.50,14.42,14.52,14.42
14.42,14.25,14.42,14.23
14.26,14.20,14.28,13.98
14.16,13.80,14.19,13.74
13.81,13.40,13.81,13.24
13.40,13.49,13.50,13.33
13.49,12.67,13.49,12.62
12.51,12.86,12.86,12.10
12.89,13.11,13.14,12.82
13.12,12.95,13.12,12.68
12.98,13.10,13.14,12.98
13.12,13.31,13.42,13.05
13.27,13.27,13.50,13.06
13.30,13.35,13.38,13.26
13.36,13.69,13.69,13.36
13.73,13.56,13.73,13.45
13.59,13.58,13.60,13.49
13.58,13.38,13.63,13.38
13.40,13.24,13.40,13.15
13.31,13.28,13.37,13.25
13.25,13.16,13.35,13.15
13.15,12.89,13.15,12.85
12.77,12.75,12.85,12.66
12.80,12.57,12.84,12.50
12.60,12.41,12.61,12.28
12.34,12.19,12.36,12.04
12.19,12.18,12.39,11.91
12.18,11.99,12.18,11.91
11.99,12.25,12.31,11.99
12.34,12.46,12.49,12.34
12.49,12.04,12.49,11.99
12.14,12.03,12.15,11.99
11.95,12.08,12.08,11.92
12.17,12.11,12.20,11.97
12.16,12.12,12.16,12.01
12.09,12.05,12.12,12.02
12.00,12.09,12.14,12.00
12.12,12.13,12.19,11.98
12.13,12.34,12.38,12.13
12.35,12.35,12.35,12.22
12.39,12.45,12.48,12.38
12.43,12.27,12.47,12.26
12.31,12.29,12.34,12.21
12.35,12.30,12.35,12.30
12.38,12.27,12.38,12.18
12.27,12.16,12.27,12.15
12.09,11.85,12.09,11.80
11.89,11.65,11.89,11.48
11.59,11.32,11.59,11.22
11.13,11.55,11.55,11.13
11.55,11.32,11.56,11.28
11.36,11.43,11.50,11.32
11.48,11.72,11.75,11.48
11.80,11.88,11.89,11.75
11.92,11.96,11.96,11.82
12.06,11.98,12.06,11.94
12.02,11.98,12.02,11.86
12.02,11.92,12.02,11.85
11.91,11.93,11.96,11.81
12.01,11.94,12.01,11.92
11.96,11.99,12.00,11.96
12.03,12.04,12.09,11.99
12.08,11.89,12.08,11.74
11.89,11.95,11.98,11.85
11.98,12.08,12.08,11.97
12.08,11.99,12.11,11.99
12.01,11.90,12.03,11.89
11.77,11.91,12.01,11.77
11.91,11.81,12.00,11.80
11.88,11.96,11.96,11.84
11.97,11.99,12.00,11.85
12.01,12.04,12.04,11.95
12.06,12.03,12.09,11.96
12.01,11.91,12.06,11.91
11.96,11.95,12.08,11.94
12.01,12.05,12.08,11.81
12.09,12.09,12.09,12.00
12.14,12.06,12.17,12.06
12.11,12.25,12.33,12.08
12.21,12.21,12.26,12.21
12.29,12.16,12.30,12.16
12.20,12.22,12.22,12.16
12.23,12.27,12.28,12.18
12.30,12.30,12.37,12.27
12.37,12.30,12.38,12.30
12.36,12.29,12.36,12.24
12.27,12.12,12.27,12.09
12.17,12.09,12.17,12.06
12.09,12.03,12.13,12.03
12.08,12.03,12.12,12.02
12.08,12.04,12.11,12.02
12.10,12.01,12.11,12.00
12.08,12.04,12.08,11.99
12.07,11.97,12.07,11.96
11.99,12.07,12.07,11.96
12.09,12.07,12.11,12.03
12.09,12.12,12.16,12.09
12.17,12.29,12.38,12.17
12.29,12.27,12.31,12.22
12.31,12.29,12.40,12.27
12.23,12.20,12.31,12.20
12.25,12.40,12.40,12.25
12.70,12.47,12.70,12.37
12.43,12.39,12.51,12.35
12.48,12.54,12.55,12.46
12.59,12.30,12.72,12.24
12.33,12.33,12.36,12.24
12.36,12.40,12.44,12.26
12.38,12.40,12.42,12.32
12.37,12.18,12.39,12.17
12.21,12.08,12.21,12.03
12.13,12.16,12.17,12.08
12.16,12.15,12.16,12.10
12.17,12.06,12.19,12.05
12.07,12.13,12.16,12.07
12.15,12.15,12.19,12.08
12.16,12.23,12.23,12.11
12.26,12.16,12.28,12.16
12.21,12.27,12.30,12.17
12.32,12.42,12.42,12.32
12.47,12.58,12.59,12.47
12.68,12.65,12.69,12.62
12.69,12.63,12.75,12.61
12.69,12.75,12.75,12.65
12.80,12.80,12.84,12.77
12.90,12.73,12.92,12.73
12.75,12.78,12.82,12.74
12.86,12.89,12.89,12.81
12.85,12.80,12.96,12.80
12.82,12.68,12.82,12.64
12.76,12.78,12.79,12.76
12.82,12.79,12.82,12.79
12.78,12.90,12.92,12.78
12.94,12.80,12.94,12.80
12.85,12.80,12.85,12.76
12.84,12.80,12.84,12.72
12.83,12.80,12.84,12.79
12.87,12.72,12.89,12.72
12.79,12.75,12.79,12.70
12.82,12.86,12.86,12.75
12.89,12.92,12.92,12.85
12.91,13.11,13.11,12.91
13.15,13.16,13.19,13.08
13.14,13.09,13.18,13.09
13.09,13.12,13.15,13.03
13.15,13.11,13.18,13.09
13.15,13.23,13.31,13.11
13.13,13.20,13.25,13.13
13.12,13.11,13.22,13.10
13.12,12.99,13.13,12.99
12.96,12.84,13.03,12.84
12.91,12.84,12.94,12.84
12.81,12.82,12.89,12.79
12.87,12.86,12.88,12.84
12.88,12.89,12.99,12.86
12.95,13.05,13.05,12.90
13.11,13.12,13.16,13.11
13.18,13.17,13.19,13.13
13.19,13.24,13.25,13.18
13.25,13.20,13.34,13.19
13.26,13.22,13.30,13.11
13.23,13.34,13.36,13.23
13.39,13.35,13.48,13.35
13.40,13.27,13.40,13.27
13.36,13.33,13.48,13.20
13.26,13.34,13.35,13.25
13.38,13.37,13.38,13.31
13.44,13.46,13.53,13.41
13.44,13.50,13.60,13.41
13.50,13.42,13.50,13.36
13.44,13.43,13.44,13.39
13.41,13.38,13.41,13.38
13.40,13.25,13.40,13.25
13.26,13.21,13.26,13.21
13.24,13.19,13.24,13.10
13.21,13.14,13.21,13.14
13.15,13.20,13.21,13.15
13.21,13.20,13.23,13.19
13.28,13.27,13.28,13.22
13.26,13.24,13.26,13.18
13.23,13.12,13.23,13.11
13.13,12.89,13.17,12.86
12.79,12.86,12.95,12.79
12.89,12.73,12.89,12.70
12.90,12.96,13.05,12.90
12.97,13.10,13.15,12.97
13.14,13.25,13.25,13.14
13.35,13.25,13.55,13.20
13.19,13.19,13.25,13.04
13.22,12.29,13.22,12.20
12.36,12.83,12.93,12.27
12.82,12.96,12.96,12.75
12.77,12.90,12.90,12.68
12.86,12.96,12.96,12.81
13.03,12.99,13.03,12.88
13.07,13.05,13.07,13.00
13.08,13.14,13.14,13.05
13.11,13.11,13.11,13.00
13.06,12.96,13.14,12.91
13.02,13.02,13.08,12.97
13.09,13.05,13.09,13.04
13.15,13.09,13.16,13.07
13.12,13.05,13.13,13.05
13.09,13.07,13.12,13.05
13.15,13.09,13.20,13.09
13.15,13.20,13.21,13.09
13.29,13.25,13.41,13.25
13.36,13.40,13.42,13.36
13.40,13.40,13.44,13.30
13.39,13.52,13.52,13.35
13.56,13.52,13.58,13.48
13.57,13.81,13.81,13.57
13.81,13.75,13.90,13.65
13.75,13.76,13.83,13.67
14.05,13.72,14.05,13.65
13.81,13.80,13.82,13.75
13.79,13.65,13.80,13.60
13.66,13.70,13.70,13.57
13.63,13.78,13.78,13.63
13.75,13.73,14.02,13.73
13.74,13.65,13.79,13.64
13.64,13.73,13.75,13.63
13.85,13.90,13.96,13.81
13.91,13.81,13.99,13.81
13.87,13.76,13.90,13.76
13.86,13.90,13.92,13.86
13.91,13.92,13.92,13.86
13.91,13.87,13.92,13.79
13.90,13.88,13.95,13.86
13.81,13.66,13.87,13.60
13.63,13.65,13.74,13.60
13.68,13.81,13.81,13.65
13.83,13.77,13.88,13.68
13.77,13.80,13.86,13.77
13.88,13.86,13.95,13.86
13.77,13.94,13.94,13.76
13.86,13.89,13.94,13.85
13.86,13.89,13.94,13.86
13.88,13.78,13.88,13.76
13.75,13.65,13.78,13.65
13.65,13.76,13.77,13.65
13.70,13.72,13.77,13.69
13.70,13.76,13.76,13.64
13.77,13.63,13.77,13.59
13.55,13.64,13.67,13.54
13.66,13.66,13.72,13.65
13.71,13.79,13.79,13.71
13.77,13.89,13.89,13.76
13.94,14.00,14.00,13.89
13.99,14.01,14.03,13.96
13.98,14.09,14.11,13.98
14.17,14.25,14.25,14.11
14.16,14.05,14.16,13.99
13.92,14.00,14.02,13.92
13.98,14.12,14.12,13.98
14.04,14.09,14.09,14.00
13.96,14.03,14.03,13.93
14.00,14.10,14.10,13.98
14.10,14.08,14.15,14.04
14.05,14.09,14.10,14.03
14.01,14.03,14.10,13.99
13.99,13.93,14.09,13.93
13.90,14.10,14.10,13.90
14.10,14.13,14.13,14.04
14.16,14.03,14.16,14.00
14.02,14.11,14.11,14.00
14.13,14.19,14.21,14.13
14.12,14.22,14.23,14.08
14.14,14.13,14.23,14.13
14.12,14.03,14.15,13.95
14.08,13.98,14.10,13.94
13.94,14.04,14.11,13.94
14.05,14.10,14.10,14.05
14.04,14.17,14.18,14.04
14.11,14.23,14.23,14.11
14.23,14.15,14.24,14.15
14.22,14.08,14.25,14.08
14.10,14.24,14.24,14.10
14.11,14.20,14.23,14.11
14.25,14.27,14.27,14.19
14.19,14.14,14.28,14.13
14.14,14.08,14.23,14.08
14.08,14.18,14.22,14.08
14.16,14.12,14.28,14.11
14.11,14.17,14.23,14.11
14.22,14.30,14.30,14.22
14.29,14.30,14.30,14.26
14.30,14.25,14.30,14.25
14.20,14.27,14.27,14.20
14.27,14.27,14.27,14.19
14.29,14.30,14.30,14.25
14.29,14.19,14.29,13.84
14.24,14.29,14.30,14.17
14.24,14.30,14.30,14.23
14.25,14.37,14.39,14.25
14.38,14.50,14.50,14.38
14.47,14.44,14.47,14.37
14.35,14.28,14.38,14.25
14.29,14.30,14.41,14.28
14.30,14.44,14.48,14.30
14.43,14.37,14.43,14.34
14.44,14.49,14.50,14.44
14.49,14.61,14.61,14.49
14.64,14.59,14.64,14.54
14.63,14.58,14.65,14.58
14.58,14.59,14.67,14.49
14.59,14.70,14.70,14.59
14.70,14.91,14.91,14.70
14.93,15.00,15.00,14.91
14.99,14.87,14.99,14.86
14.91,14.99,15.00,14.91
15.00,15.08,15.13,14.98
15.05,15.18,15.18,15.02
15.18,15.12,15.20,15.06
15.06,14.96,15.06,14.92
14.98,15.03,15.09,14.98
15.12,15.15,15.23,15.08
15.16,15.18,15.25,15.16
15.10,15.18,15.18,15.09
15.11,15.19,15.19,15.10
15.20,14.86,15.22,14.86
14.84,14.82,14.92,14.77
14.82,14.66,14.88,14.65
14.64,14.74,14.74,14.61
14.74,14.78,14.90,14.74
14.79,14.85,14.86,14.79
14.88,14.71,14.88,14.64
14.76,14.80,14.82,14.73
14.80,15.02,15.02,14.80
14.98,15.07,15.07,14.98
15.07,15.15,15.15,15.07
15.16,15.19,15.19,15.06
15.18,15.20,15.20,15.14
15.21,15.11,15.21,15.07
15.08,15.02,15.12,14.93
15.08,15.00,15.10,14.96
15.00,14.95,15.07,14.95
15.05,15.05,15.11,15.01
15.04,15.04,15.09,15.02
15.02,14.91,15.04,14.86
14.93,14.62,14.93,14.61
14.62,14.28,14.62,14.22
14.19,14.02,14.19,13.95
14.04,14.29,14.31,13.89
14.29,14.38,14.38,14.23
14.38,14.41,14.49,14.38
14.50,14.42,14.51,14.33
14.47,14.33,14.47,14.33
14.46,14.22,14.48,14.21
14.30,14.28,14.36,14.17
14.30,14.53,14.53,14.29
14.56,14.52,14.67,14.52
14.61,14.59,14.67,14.59
14.64,14.64,14.77,14.64
14.69,14.51,14.71,14.51
14.57,14.52,14.70,14.50
14.61,14.48,14.65,14.48
14.50,14.62,14.62,14.50
14.67,14.71,14.71,14.65
14.75,14.74,14.86,14.73
14.79,14.74,14.82,14.72
14.86,14.77,14.87,14.77
14.86,14.85,14.94,14.85
14.95,15.01,15.01,14.89
15.09,15.11,15.13,15.06
15.15,15.16,15.22,15.12
15.16,15.20,15.23,15.16
15.23,15.16,15.25,15.14
15.19,15.20,15.22,15.16
15.22,15.23,15.24,15.15
15.23,15.18,15.24,15.18
15.23,15.31,15.31,15.16
15.40,15.19,15.44,15.17
15.36,15.36,15.46,15.35
15.33,15.34,15.49,15.33
15.70,15.35,15.70,15.27
15.38,15.43,15.47,15.31
15.70,15.34,15.72,15.32
15.45,15.35,15.46,15.28
15.50,15.40,15.90,15.40
15.56,15.32,15.60,15.31
15.43,15.31,15.44,15.28
15.38,15.15,15.39,15.15
15.24,15.34,15.39,15.24
15.30,15.18,15.30,15.15
15.22,15.09,15.22,15.05
