BBOX,Black Box Corporation - Common Stock,NASDAQ
28.79,28.72,29.10,28.56
28.77,28.53,28.77,28.13
28.55,28.22,28.55,28.01
28.15,28.09,28.31,27.77
28.09,28.26,28.32,27.90
28.48,28.03,28.54,27.70
27.93,28.09,28.29,27.70
28.23,28.55,28.77,27.96
28.43,28.60,28.71,28.32
28.73,28.47,28.87,27.63
28.57,29.06,29.33,28.25
28.77,28.56,29.15,27.88
28.66,28.13,28.91,27.97
28.19,27.70,28.52,27.63
28.00,27.89,28.00,27.60
27.89,28.25,28.70,27.66
28.36,29.29,29.62,28.36
29.41,28.31,29.41,28.20
28.28,27.49,28.65,27.35
27.57,27.02,27.62,26.93
27.09,26.91,27.49,26.76
26.80,26.80,27.19,26.54
26.70,26.49,26.91,26.49
26.62,26.58,26.64,26.13
26.63,26.39,26.63,26.20
26.61,26.50,26.65,25.80
26.32,26.25,26.48,26.08
26.25,26.68,26.70,25.99
26.50,27.12,27.15,26.21
27.29,27.02,27.29,26.56
27.18,27.04,27.18,26.68
27.02,27.70,27.78,27.02
27.71,28.49,28.57,27.45
28.65,28.97,29.02,28.29
29.02,28.95,29.28,28.50
29.01,29.06,29.49,28.78
28.64,29.13,29.13,28.24
29.11,28.93,29.11,28.80
29.16,29.88,29.91,29.16
29.96,30.65,30.69,29.52
30.61,31.34,31.43,30.52
31.45,31.18,31.45,30.79
31.23,31.98,31.98,30.42
32.00,31.81,32.16,31.75
31.62,31.85,32.14,31.62
31.99,32.54,32.63,31.97
32.29,33.24,33.27,32.29
32.49,32.70,33.31,32.49
32.57,32.99,33.19,32.17
33.00,32.57,33.26,32.23
32.72,32.63,33.06,32.55
32.51,32.55,32.91,32.35
32.74,31.85,32.74,31.52
31.78,32.23,32.30,31.35
31.59,32.26,32.36,31.59
32.07,32.16,32.37,31.94
32.25,31.77,32.38,31.72
31.87,31.59,31.94,31.43
31.57,31.61,31.74,31.34
31.62,31.70,31.80,31.19
31.50,30.76,31.72,30.76
N/A,N/A,N/A,N/A
30.72,31.93,31.93,30.36
31.67,32.33,32.63,31.61
32.15,32.55,32.82,32.15
32.35,32.46,32.55,32.04
32.36,31.98,32.68,31.85
31.90,32.12,32.21,31.86
32.05,32.39,32.44,31.91
32.51,33.34,33.38,32.43
33.24,34.26,34.31,33.09
34.16,33.97,34.47,33.79
33.74,34.56,34.69,33.64
34.78,35.18,35.44,34.39
35.07,35.55,35.59,35.01
35.05,34.48,35.10,34.25
34.35,33.73,34.49,33.65
33.62,32.82,33.65,32.71
32.71,31.39,33.05,31.38
31.68,31.72,31.85,30.81
31.97,32.97,32.99,31.51
32.84,31.19,33.13,31.17
30.95,31.94,32.27,30.72
31.49,31.05,31.49,30.82
30.77,30.30,31.30,30.30
30.08,29.38,32.52,27.78
29.36,28.73,29.85,28.29
29.74,30.37,30.41,29.64
29.98,30.72,31.22,29.98
30.87,31.78,31.91,30.77
31.79,31.74,31.98,31.27
31.57,31.47,31.57,29.51
31.50,32.21,32.23,30.59
32.48,30.81,32.48,30.79
30.69,31.23,31.32,30.04
30.61,29.57,30.61,29.13
29.01,29.44,29.78,28.30
29.47,29.56,30.19,28.91
28.81,29.25,29.45,28.17
29.37,28.87,29.59,28.61
29.45,30.37,30.37,28.89
30.17,29.49,30.40,29.32
29.34,28.81,30.12,28.81
28.89,29.60,29.73,28.68
29.67,30.05,30.27,29.30
29.38,29.11,29.85,28.90
29.23,28.60,29.27,28.57
28.70,28.08,28.76,27.74
28.42,27.60,28.66,27.34
27.99,28.21,28.23,27.70
27.98,28.73,28.73,27.98
29.09,28.53,29.41,28.05
28.60,29.65,29.76,28.36
29.34,29.74,30.02,29.12
30.03,29.87,30.04,29.50
30.10,29.92,30.10,29.50
30.40,29.51,30.73,29.24
29.55,28.90,30.11,28.88
28.78,28.52,29.03,28.15
28.27,28.29,28.59,27.91
28.33,29.45,29.69,28.06
29.31,29.11,29.63,28.92
28.54,28.70,28.85,28.12
28.62,27.89,29.02,27.82
27.89,27.68,28.41,27.01
27.80,27.29,27.80,27.13
27.65,26.53,27.96,26.40
26.71,27.44,27.50,26.63
27.63,28.02,28.02,27.26
27.96,28.51,28.51,27.96
28.34,28.11,28.45,27.74
28.51,29.26,29.40,28.19
29.12,29.58,29.86,28.95
29.53,29.28,29.86,28.93
28.98,27.95,28.98,27.87
27.95,28.21,28.24,27.49
27.81,28.57,28.67,27.70
28.82,27.94,28.83,27.92
28.42,29.50,29.55,27.63
29.28,30.51,30.62,29.26
30.51,31.02,31.28,30.13
31.34,31.21,31.69,31.02
31.19,30.10,31.21,29.92
30.33,30.18,30.49,29.51
29.61,30.44,30.79,29.54
30.96,30.90,31.04,30.31
30.11,31.37,31.43,30.11
31.59,33.42,33.42,31.59
32.94,32.21,33.17,32.20
31.88,31.69,32.63,31.33
31.83,32.04,32.37,31.34
31.59,31.96,32.33,31.59
31.24,30.74,31.61,30.63
30.13,30.22,30.70,29.80
30.03,29.18,30.09,28.99
29.00,29.21,29.39,28.79
29.50,29.84,30.00,29.16
29.74,29.60,29.86,29.11
29.52,29.26,29.68,29.25
29.07,29.03,29.28,28.94
29.19,28.17,29.41,28.15
27.90,28.30,28.54,27.69
28.08,28.94,29.11,27.88
29.14,28.92,29.35,28.67
29.32,29.71,29.81,28.63
29.53,28.73,29.53,28.66
