BC,Brunswick Corporation Common Stock,NASDAQ
12.91,13.40,13.48,12.84
13.40,13.63,13.68,13.18
13.62,13.81,13.89,13.39
13.70,13.73,13.90,13.44
13.70,13.59,13.83,13.37
13.69,13.70,13.73,13.45
13.47,13.28,13.75,13.19
13.35,13.53,13.66,13.15
13.54,13.36,13.57,13.15
13.40,12.80,13.42,12.42
12.81,13.02,13.11,12.73
12.78,12.46,12.83,12.25
12.54,12.77,12.93,11.90
12.63,12.00,12.72,11.84
12.24,11.83,12.31,11.71
11.75,11.95,12.32,11.68
11.88,12.31,12.42,11.55
11.85,11.22,12.08,10.91
11.28,10.73,11.37,10.67
10.77,10.90,11.20,10.76
10.88,11.61,11.70,10.84
11.55,11.29,11.59,11.13
11.07,10.55,11.09,10.48
10.56,10.37,10.80,10.00
10.38,10.44,11.11,10.31
10.79,11.08,11.14,10.58
11.05,10.92,11.30,10.40
10.89,11.56,11.70,10.64
11.35,11.80,11.81,11.26
11.97,12.08,12.10,11.66
12.12,12.39,12.50,12.12
12.36,12.32,12.59,12.18
12.26,12.24,12.45,12.14
12.31,11.93,12.39,11.89
11.92,11.62,11.98,11.49
11.66,11.74,11.87,11.51
11.47,11.73,11.77,11.32
11.76,11.54,11.82,11.39
11.60,11.98,12.00,11.51
12.04,12.02,12.38,11.90
12.11,11.99,12.27,11.86
12.06,12.25,12.36,11.96
12.38,12.98,13.03,12.32
13.01,13.34,13.38,13.01
13.29,14.67,14.81,13.20
14.72,15.84,15.89,14.66
15.64,15.68,16.06,15.01
15.65,15.87,16.15,15.55
15.85,15.57,15.97,15.45
15.64,16.13,16.18,15.56
16.24,16.12,16.62,15.97
16.07,16.01,16.41,15.97
16.15,15.63,16.15,15.59
15.41,15.89,15.95,15.02
15.85,16.10,16.28,15.70
15.94,15.83,16.02,15.60
15.97,15.82,16.48,15.77
15.96,16.08,16.36,15.91
16.21,16.25,16.37,16.06
16.24,16.10,16.39,15.90
15.94,15.97,16.27,15.90
15.89,15.73,15.89,14.94
15.68,16.28,16.38,15.63
16.16,16.45,16.50,15.96
16.27,16.50,16.84,16.26
16.42,16.59,16.66,16.11
16.63,16.31,16.72,16.26
16.27,16.38,16.49,16.24
16.36,16.45,16.64,16.28
16.65,17.78,17.83,16.57
17.79,17.16,17.79,17.09
17.05,16.56,17.10,16.29
16.46,16.39,16.83,15.73
16.56,16.97,17.10,16.53
16.96,17.70,17.84,16.96
17.58,17.91,18.01,17.28
17.99,18.85,18.85,17.88
18.83,19.32,19.71,18.70
19.14,18.27,19.37,18.15
18.53,17.82,18.56,17.45
18.27,22.69,22.75,18.27
22.55,20.90,22.89,20.75
21.15,21.90,22.22,20.98
21.27,20.64,21.39,20.43
20.21,19.55,20.56,19.50
19.29,19.10,20.02,17.42
18.99,18.49,19.90,18.02
19.85,20.63,21.00,19.37
20.42,21.24,21.47,19.97
21.42,22.48,22.69,21.26
22.40,21.53,22.83,21.23
21.35,20.62,21.35,20.17
20.82,20.49,21.29,19.47
20.65,19.80,21.17,19.59
19.62,19.35,20.08,18.67
18.49,18.45,19.35,18.00
