BHE,Benchmark Electronics,NASDAQ
19.10,19.54,19.54,19.10
19.53,19.30,19.58,19.04
19.18,19.46,19.46,19.18
19.40,19.37,19.50,19.05
19.38,19.51,19.58,19.34
19.57,19.45,19.65,19.24
19.87,19.45,19.87,19.30
19.59,19.72,19.91,19.32
19.66,19.72,19.88,19.55
19.73,19.77,19.85,19.38
19.75,20.18,20.35,19.75
19.97,19.42,20.04,19.20
19.51,19.28,20.03,19.28
19.31,18.86,19.58,18.81
19.01,19.20,19.31,18.81
19.07,19.12,19.35,18.86
19.07,19.32,19.65,19.02
19.42,18.77,19.47,18.39
18.88,18.22,18.97,18.16
18.25,18.65,18.65,18.18
18.61,18.74,18.82,18.39
18.60,18.76,18.95,18.42
18.55,18.05,18.90,18.02
18.15,18.60,18.65,17.67
18.60,18.25,18.60,18.16
18.46,18.60,18.72,18.10
18.49,18.43,18.63,18.08
18.31,18.98,18.98,18.14
18.73,19.35,19.35,18.70
19.45,19.59,19.60,19.15
19.76,19.87,19.92,19.53
19.90,20.41,20.50,19.73
20.41,20.36,20.57,20.22
20.38,20.41,20.53,20.25
20.43,20.10,20.58,20.03
20.13,20.28,20.68,20.13
19.94,20.11,20.14,19.65
20.13,19.80,20.13,19.61
19.87,20.47,20.71,19.85
20.50,20.35,20.66,20.18
20.45,20.26,20.55,20.12
20.36,20.22,20.38,20.10
20.38,20.89,20.97,20.20
20.94,20.73,20.99,20.71
20.63,21.00,21.22,20.55
20.92,21.16,21.41,20.91
20.99,21.23,21.31,20.92
21.38,21.29,21.47,21.11
21.31,21.17,21.45,21.02
21.19,21.26,21.27,21.01
21.20,21.51,21.66,21.07
21.45,21.57,21.74,21.41
21.70,21.22,21.72,21.12
21.02,21.66,21.69,21.01
21.73,21.98,22.02,21.41
21.89,21.20,21.89,21.19
21.32,20.96,21.50,20.94
21.08,20.97,21.28,20.85
21.03,20.92,21.23,20.75
20.88,21.10,21.22,20.79
20.97,20.74,21.24,20.74
20.92,20.76,21.12,20.52
20.91,21.27,21.30,20.69
21.07,21.35,21.48,21.01
21.26,21.40,21.49,21.00
21.34,21.41,21.48,20.88
21.47,21.38,21.47,21.01
21.49,21.43,21.58,21.32
21.44,21.21,21.44,21.07
21.40,21.90,21.90,21.27
21.93,21.70,21.93,21.53
21.69,21.65,21.90,21.41
21.61,21.68,21.74,21.10
21.85,22.35,22.38,21.76
22.31,22.25,22.43,21.93
21.96,21.95,22.04,21.59
21.93,22.32,22.36,21.76
22.27,22.45,22.60,22.15
22.30,21.95,22.82,21.91
22.17,22.40,22.59,21.99
22.40,22.19,22.50,21.59
22.22,21.64,22.59,21.63
21.82,22.00,22.15,21.71
21.75,21.76,21.84,21.28
21.58,21.59,21.97,21.47
21.45,20.99,21.84,19.08
20.91,19.51,20.91,19.35
20.23,20.60,20.71,20.23
20.31,20.58,21.05,20.22
20.69,21.20,21.21,20.57
21.07,21.18,21.31,20.90
20.99,20.20,20.99,19.92
20.36,20.08,20.51,19.51
20.29,19.41,20.55,19.36
19.29,19.08,19.60,18.83
18.51,18.11,18.78,18.03
17.78,18.52,18.71,17.74
18.45,18.55,18.89,18.10
18.06,18.29,18.40,17.70
18.50,18.17,18.79,18.09
18.68,19.03,19.05,18.43
18.92,18.48,18.94,18.30
18.25,17.80,18.50,17.79
17.93,18.26,18.28,17.63
18.47,18.57,18.61,18.19
18.09,17.21,18.20,17.15
17.27,16.93,17.41,16.88
16.97,16.59,17.06,16.26
16.72,16.45,16.87,16.36
16.81,17.20,17.21,16.68
16.95,17.49,17.69,16.89
17.70,17.50,18.04,17.36
17.69,18.18,18.22,17.58
17.99,18.17,18.37,17.92
18.27,18.12,18.27,17.87
18.18,17.98,18.27,17.91
18.31,17.85,18.37,17.74
17.89,17.68,18.16,17.59
17.71,17.88,18.14,17.42
17.71,17.42,17.83,17.38
17.50,17.46,17.71,17.13
17.49,17.37,17.75,17.22
17.02,16.36,17.02,16.23
16.40,15.85,16.57,15.80
15.85,15.20,15.85,15.13
15.30,15.28,15.40,14.56
15.38,14.97,15.69,14.87
15.01,15.62,15.64,14.84
15.76,15.97,15.99,15.61
15.98,16.08,16.11,15.84
15.99,15.87,16.15,15.73
16.15,16.59,16.65,16.11
16.56,16.73,16.88,16.56
16.70,16.59,16.74,16.25
16.37,16.15,16.42,16.11
16.22,16.41,16.42,16.08
16.13,16.34,16.34,15.85
16.40,16.18,16.61,16.17
16.50,16.92,16.99,16.45
16.78,17.32,17.37,16.70
17.33,17.66,17.67,17.21
17.76,17.53,17.85,17.49
17.43,17.30,17.63,17.14
17.43,16.91,17.54,16.48
16.67,16.70,16.87,16.36
17.06,17.16,17.23,16.74
17.12,16.82,17.19,16.78
16.88,17.03,17.16,16.81
16.82,16.94,17.10,16.80
16.69,16.82,17.02,16.44
16.98,17.22,17.28,16.91
16.96,16.70,17.01,16.51
16.31,15.60,16.31,15.55
15.22,15.43,15.56,15.07
15.32,15.07,15.37,15.05
14.93,15.41,15.42,14.88
15.64,15.73,15.85,15.45
15.66,15.58,15.79,15.45
