BIO,Bio-Rad Laboratories,NASDAQ
97.33,97.87,98.01,96.92
97.80,99.58,99.96,96.00
99.27,100.35,100.99,98.60
101.46,101.54,102.00,100.83
101.55,101.05,102.99,100.73
101.64,100.82,101.64,99.93
100.45,100.47,100.78,99.91
100.42,101.62,101.78,100.11
101.72,101.78,101.99,100.83
101.86,99.81,102.09,98.78
99.35,98.97,99.97,98.28
98.20,98.09,98.36,97.25
97.73,97.18,97.99,96.12
96.88,95.51,98.05,95.14
95.86,94.40,95.86,89.82
93.59,94.58,95.17,93.21
94.36,94.91,95.84,93.09
95.13,94.45,95.22,94.13
94.16,93.18,94.40,93.18
93.58,94.60,95.28,92.33
94.49,94.71,95.47,93.53
94.63,94.47,94.87,93.54
93.80,92.75,93.94,92.38
92.48,91.72,92.60,89.96
91.62,92.47,92.72,91.48
92.95,93.58,94.94,92.64
93.10,92.35,93.18,90.38
92.07,93.02,93.46,92.02
92.50,93.91,93.91,92.10
94.29,94.52,95.22,93.12
94.55,95.63,96.18,94.55
95.89,96.03,96.59,95.49
95.64,95.68,96.48,95.00
95.94,97.40,97.46,95.71
97.44,96.94,97.78,96.13
97.24,97.97,97.97,96.29
95.80,94.71,96.49,94.18
94.53,93.39,95.15,92.29
94.32,99.74,99.76,94.18
99.97,100.54,100.82,98.53
100.28,99.91,101.29,99.52
100.00,98.72,100.25,98.28
99.34,100.56,100.59,98.86
100.19,100.16,100.82,99.52
99.66,100.46,100.72,99.66
100.07,100.24,101.92,99.95
100.15,100.65,100.89,99.26
100.32,99.75,100.58,99.41
99.86,99.50,100.33,99.03
99.66,99.99,100.26,99.16
100.48,100.15,100.96,100.03
100.46,100.89,101.27,99.90
100.89,99.34,100.93,99.26
98.92,100.64,100.94,98.92
100.63,102.77,103.57,100.06
102.66,101.75,102.66,101.53
102.58,101.95,102.76,101.37
102.01,101.55,102.54,101.52
101.86,103.05,103.15,101.86
103.42,104.03,104.30,102.91
103.63,103.52,104.44,103.45
103.58,104.20,105.12,103.32
104.17,104.82,104.82,104.00
103.74,104.82,106.00,103.67
105.00,105.64,105.93,104.82
105.24,105.29,105.51,104.67
105.15,107.13,107.13,105.11
107.03,106.52,107.25,106.00
106.31,106.35,106.97,105.61
106.56,108.47,108.47,106.25
108.57,108.21,108.99,108.18
108.01,107.98,108.52,107.42
107.60,106.98,108.03,105.79
107.08,108.96,108.96,107.08
109.00,109.50,110.25,108.67
109.16,110.12,110.46,108.56
110.45,111.42,112.29,109.90
111.11,110.82,112.44,110.67
110.01,111.02,111.95,110.00
111.20,110.96,111.54,110.08
111.41,111.72,112.50,110.49
112.00,111.69,112.68,111.50
111.84,113.63,113.68,111.84
113.10,111.81,113.10,111.08
104.13,103.65,107.41,102.90
103.07,98.00,120.10,89.56
98.88,97.51,98.88,96.16
125.00,97.45,125.01,96.56
97.01,98.45,99.32,97.01
98.45,99.00,99.25,97.01
99.00,98.16,99.83,97.69
97.65,93.58,98.15,93.41
94.45,96.68,96.83,94.01
96.94,95.74,97.74,95.36
95.26,93.69,95.26,93.35
92.84,90.27,93.25,90.15
89.39,91.61,92.13,88.65
91.86,90.08,91.86,89.79
88.38,90.68,91.03,88.00
90.51,90.38,92.15,90.07
91.04,94.94,95.10,90.93
94.52,93.57,94.94,93.11
92.81,91.01,92.95,91.01
91.09,92.76,92.99,91.00
92.37,93.95,94.14,92.07
91.54,90.00,92.75,89.87
90.39,89.69,90.54,89.26
90.03,87.66,90.07,87.25
87.75,86.01,87.75,85.57
86.95,86.74,87.14,86.51
86.50,87.27,87.47,85.86
87.60,87.53,88.50,87.20
88.42,88.95,89.30,88.05
88.75,89.10,89.35,88.53
89.57,90.70,91.04,89.21
90.71,90.42,91.17,89.59
90.78,90.19,91.00,89.89
90.10,89.58,90.76,89.51
89.51,88.93,89.51,87.74
88.70,86.99,89.18,86.98
87.49,87.55,87.93,86.00
87.00,88.71,89.12,87.00
88.04,86.54,88.44,86.54
86.69,86.49,87.46,86.33
86.06,85.30,86.12,83.71
85.67,85.57,86.26,84.57
86.85,86.32,87.34,85.24
86.76,88.85,89.03,86.76
89.54,88.77,89.74,88.21
88.59,88.86,89.36,88.47
88.34,87.54,88.67,87.22
88.18,89.43,89.76,88.18
88.80,89.81,89.84,88.02
89.74,89.27,90.35,88.60
88.84,87.92,88.84,87.48
88.08,87.54,88.25,87.42
86.55,87.98,88.06,86.36
88.00,87.58,88.92,87.40
88.08,88.57,89.56,88.08
88.53,89.38,89.48,87.83
89.79,90.83,90.86,89.31
91.04,89.63,91.56,89.53
89.63,89.31,90.49,89.00
89.63,88.77,89.63,88.11
87.87,88.80,89.95,87.46
89.83,91.40,91.65,89.83
90.72,90.60,91.97,90.37
91.72,91.51,93.36,90.46
91.10,90.85,91.50,90.64
89.86,91.30,91.30,89.59
91.41,91.09,91.41,90.64
90.13,89.29,90.46,88.86
88.80,86.15,89.33,86.13
85.76,85.20,86.07,84.88
85.23,84.86,85.38,84.67
84.69,85.41,85.50,83.98
85.93,86.28,87.12,85.38
86.19,85.35,86.19,85.09
85.10,84.85,85.26,84.12
84.41,84.99,85.06,83.24
85.36,83.89,85.36,83.28
83.10,81.50,83.10,81.37
81.21,82.26,82.41,80.00
82.27,82.85,83.29,82.27
83.25,82.72,83.25,81.73
82.30,82.22,83.00,82.20
82.66,82.53,83.34,81.21
83.51,83.42,84.46,82.41
83.81,83.74,84.50,83.27
84.47,85.59,85.59,84.47
85.09,83.90,85.30,83.65
84.26,84.57,84.99,84.11
85.37,85.72,85.83,84.96
85.72,85.60,86.13,85.40
86.54,86.24,86.79,85.83
85.85,86.28,87.10,85.85
85.84,86.85,87.31,85.67
86.70,86.77,87.00,86.31
87.09,87.05,87.89,86.10
87.10,87.67,87.77,86.68
87.67,87.59,88.00,87.31
88.05,88.18,88.88,87.63
88.18,85.92,88.55,85.88
87.06,87.64,87.78,86.62
87.44,88.05,88.38,86.79
87.94,88.64,88.95,87.86
88.23,90.18,90.49,88.23
90.51,90.51,91.81,90.50
90.96,91.28,91.41,90.58
90.85,90.47,91.46,90.12
90.90,91.34,91.87,90.30
91.34,91.31,91.98,91.28
91.45,91.23,91.69,90.54
91.27,91.46,91.71,90.78
91.78,90.96,91.78,90.69
90.88,91.09,91.31,90.43
91.20,92.03,92.70,91.20
91.73,91.89,92.37,91.50
92.78,91.17,92.78,90.64
91.38,91.61,91.67,90.85
90.90,89.22,91.42,89.02
89.31,90.27,90.71,89.31
90.47,91.03,91.62,90.11
91.02,91.31,91.51,90.78
91.49,91.99,92.61,91.38
91.77,91.00,91.90,91.00
90.86,90.32,91.05,90.01
90.74,91.20,91.48,90.17
91.02,90.62,91.74,90.42
90.89,90.46,91.77,89.81
91.00,92.53,92.98,91.00
94.24,94.08,94.24,92.51
95.01,97.12,97.27,94.93
96.70,97.60,97.83,96.21
97.11,96.83,97.61,96.59
97.18,96.38,97.50,96.09
