BLE,BlackRock Municipal Income Trust II,NASDAQ
13.67,13.88,13.93,13.60
13.94,13.76,13.94,13.65
13.78,13.76,13.87,13.76
13.70,13.80,13.86,13.65
13.63,13.79,13.87,13.63
13.93,13.89,14.00,13.83
13.81,13.74,13.95,13.72
13.67,13.64,13.69,13.59
13.60,13.68,13.68,13.57
13.69,13.75,13.88,13.61
13.67,13.84,13.84,13.67
13.83,13.88,13.92,13.82
13.89,13.78,13.89,13.77
13.76,13.61,13.76,13.61
13.61,13.59,13.68,13.49
13.59,13.60,13.60,13.53
13.61,13.56,13.65,13.55
13.57,13.52,13.57,13.51
13.52,13.63,13.63,13.52
13.67,13.75,13.90,13.63
13.75,13.93,13.95,13.71
13.88,13.95,13.97,13.88
13.82,13.75,13.86,13.75
13.72,13.88,13.88,13.71
13.88,13.90,13.90,13.80
13.88,13.81,13.89,13.80
13.78,13.82,13.85,13.73
13.76,13.61,13.80,13.61
13.61,13.67,13.70,13.61
13.66,13.67,13.70,13.64
13.66,13.66,13.67,13.58
13.66,13.65,13.74,13.61
13.57,13.54,13.62,13.50
13.78,13.40,13.78,13.39
13.39,13.39,13.50,13.39
13.41,13.47,13.51,13.41
13.44,13.46,13.50,13.37
13.49,13.54,13.54,13.46
13.60,13.64,13.65,13.53
13.64,13.76,13.76,13.63
13.72,13.70,13.79,13.65
13.70,13.78,13.79,13.68
13.77,13.73,13.80,13.67
13.74,13.88,13.88,13.74
13.81,13.88,13.90,13.81
13.85,13.92,13.93,13.81
13.82,13.77,13.82,13.71
13.74,13.61,13.74,13.57
13.63,13.50,13.63,13.50
13.50,13.62,13.71,13.49
13.63,13.56,13.74,13.56
13.56,13.70,13.78,13.56
13.71,13.66,13.71,13.61
13.70,13.66,13.73,13.59
13.70,13.79,13.79,13.62
13.71,13.69,13.80,13.66
13.70,13.69,13.75,13.67
13.69,13.55,13.76,13.55
13.70,13.62,13.70,13.56
13.60,13.62,13.68,13.60
13.57,13.62,13.71,13.56
13.70,13.72,13.72,13.60
13.70,13.81,13.82,13.68
13.78,13.81,13.81,13.74
13.80,13.74,13.81,13.70
13.70,13.79,13.80,13.70
13.77,13.81,13.81,13.73
13.82,13.81,13.86,13.78
13.76,13.71,13.79,13.70
13.72,13.69,13.76,13.68
13.72,13.70,13.74,13.70
13.73,13.68,13.76,13.66
13.71,13.69,13.77,13.68
13.73,13.77,13.78,13.71
13.78,13.74,13.80,13.72
13.76,13.82,13.82,13.76
13.83,13.83,13.90,13.80
13.87,13.93,13.97,13.87
13.93,13.93,13.99,13.90
13.96,13.93,14.00,13.93
13.94,13.99,14.09,13.94
14.03,14.01,14.08,13.98
14.06,14.10,14.15,14.06
14.10,14.14,14.14,13.90
14.15,13.93,14.16,13.93
13.90,13.90,13.98,13.80
13.92,13.95,13.98,13.86
13.98,14.00,14.08,13.90
14.00,14.05,14.08,13.99
