BLK,BlackRock,NASDAQ
236.05,238.58,239.60,233.52
239.05,239.61,239.67,236.76
238.51,234.67,238.65,234.06
234.66,237.25,237.70,234.00
237.46,238.92,239.41,236.75
239.95,242.81,243.80,239.95
241.24,238.47,243.19,238.47
234.22,239.42,239.95,234.22
239.17,237.90,240.29,237.00
237.85,238.09,238.70,236.16
237.69,240.01,240.86,234.23
239.00,238.26,239.39,235.33
240.02,230.24,240.02,229.88
229.49,225.00,235.68,222.61
225.44,226.46,228.29,223.86
224.55,224.71,228.89,223.50
228.36,226.77,231.13,218.55
227.00,219.64,228.45,215.74
224.81,213.82,224.81,212.66
215.25,216.57,219.23,215.02
212.85,216.00,216.38,209.29
215.81,220.64,221.89,215.05
216.79,211.25,217.62,210.50
210.44,208.79,212.50,200.56
209.40,204.66,209.96,204.61
206.87,208.88,209.37,205.14
208.13,211.13,212.91,208.13
210.77,207.30,211.25,206.11
205.38,207.16,207.16,202.82
208.30,210.41,210.41,207.00
210.40,213.09,213.68,209.95
214.40,213.73,215.24,211.26
214.25,215.51,216.19,213.60
217.52,217.23,219.30,216.04
217.56,214.87,219.21,214.77
217.25,218.36,218.98,216.50
216.50,218.30,219.12,214.59
217.50,218.80,219.85,217.50
217.91,218.00,219.81,216.36
219.89,216.41,220.32,216.41
218.16,216.08,219.22,214.59
217.91,215.84,217.91,212.28
217.00,219.83,219.88,215.46
219.83,218.12,219.83,216.44
216.99,216.97,218.88,215.86
217.80,215.70,218.88,215.39
214.29,210.41,215.46,209.66
211.98,210.00,213.74,208.35
209.02,212.17,213.21,208.65
213.51,212.35,213.51,210.59
220.00,222.80,226.65,219.49
223.01,225.66,227.00,222.27
225.45,224.35,225.99,221.16
223.00,225.70,225.80,222.01
225.68,227.00,227.77,224.80
226.01,225.00,226.92,223.75
225.01,225.41,227.70,224.35
225.93,219.27,225.94,218.08
219.00,220.05,220.43,215.43
220.01,219.13,220.12,217.72
218.77,217.76,221.78,216.71
211.44,211.05,211.98,206.95
210.69,206.00,210.69,205.57
203.62,198.55,205.09,198.06
198.75,199.02,201.41,197.86
197.56,204.56,204.59,197.40
203.98,206.11,208.90,203.98
205.37,205.80,207.00,204.65
205.69,206.90,207.72,204.54
208.20,211.38,211.43,207.51
212.00,206.70,212.27,206.62
206.10,200.75,206.68,199.23
199.52,202.61,203.63,199.42
204.85,203.18,204.85,201.77
202.40,201.20,205.35,199.28
202.00,207.79,208.33,200.66
206.91,211.02,211.89,206.91
204.30,192.95,204.30,192.40
192.00,185.50,193.78,185.01
187.79,184.44,190.99,181.18
186.85,190.39,191.17,185.52
189.43,184.00,189.92,182.48
185.61,185.76,187.41,184.26
184.04,177.68,184.50,176.96
174.40,174.80,178.44,173.49
173.80,171.62,179.42,167.24
171.60,172.12,175.99,169.53
176.52,176.57,181.11,174.61
174.62,170.99,174.62,169.76
171.53,173.97,174.18,171.01
174.24,172.37,175.26,172.05
171.60,169.72,172.73,168.66
169.54,171.00,172.70,167.14
172.26,168.49,175.81,167.52
167.92,167.95,169.65,164.00
165.77,160.10,165.77,160.10
159.18,166.47,167.05,158.00
167.51,161.96,169.68,161.95
158.02,162.44,162.57,155.50
164.75,164.04,165.78,162.34
168.64,172.39,172.48,166.35
172.49,167.88,174.08,166.73
165.09,163.20,167.88,162.90
165.40,164.77,165.70,162.56
167.88,163.84,167.88,162.22
160.99,159.49,162.38,159.06
160.62,157.50,162.18,157.32
156.92,156.49,158.38,151.81
158.85,154.91,158.85,154.39
156.18,156.98,158.52,153.96
154.11,159.14,159.26,154.11
158.96,158.77,161.20,157.95
159.99,163.28,163.29,158.84
161.31,161.52,163.42,160.31
162.26,159.37,162.39,157.69
158.85,158.77,160.45,158.40
160.78,157.92,161.85,157.02
156.90,155.84,158.81,155.83
155.46,155.05,156.60,153.95
154.58,150.74,154.79,150.55
150.66,152.34,155.67,150.28
152.80,152.14,153.84,151.53
149.47,145.60,149.93,145.20
144.86,143.40,147.05,143.01
145.35,140.32,145.35,138.42
140.44,142.79,144.02,139.28
144.18,145.21,147.61,143.35
145.20,148.48,148.61,144.62
149.91,152.25,152.25,148.88
151.94,154.97,155.26,150.55
153.92,154.15,155.69,152.94
155.24,156.90,158.45,155.10
156.68,155.25,156.76,153.11
154.77,153.99,155.38,151.02
152.95,149.14,152.97,148.96
150.00,148.13,150.21,146.84
146.36,149.36,149.47,145.20
150.25,143.33,150.99,141.01
144.65,151.21,152.20,144.00
150.28,154.49,155.59,150.01
155.25,159.65,159.89,155.01
160.29,157.58,162.64,157.19
158.20,157.00,159.99,155.43
158.00,158.24,159.96,155.71
156.60,157.49,159.24,156.00
160.00,162.85,163.51,160.00
162.85,160.84,162.94,160.35
