BPFH,Boston Private Financial Holdings,NASDAQ
5.85,5.77,5.90,5.70
5.77,5.58,5.83,5.52
5.59,5.74,5.88,5.55
5.75,5.77,5.92,5.60
5.73,6.20,6.20,5.73
6.19,6.36,6.38,6.06
6.26,6.23,6.40,6.09
6.25,6.43,6.48,5.99
6.73,7.00,7.11,6.69
7.01,6.95,7.11,6.88
6.94,7.35,7.53,6.89
7.23,7.48,7.57,6.95
7.51,7.99,8.36,7.30
7.75,7.14,7.97,7.10
7.22,7.06,7.37,6.92
7.04,7.00,7.28,6.94
7.00,7.49,7.63,6.87
7.59,7.18,7.74,6.93
7.23,7.17,7.42,6.91
7.20,7.07,7.26,6.88
6.97,6.91,7.13,6.78
6.85,6.75,6.93,6.48
6.66,6.33,6.83,6.19
6.35,6.44,6.68,6.00
6.39,6.17,6.44,6.11
6.28,6.43,6.68,6.25
6.38,6.47,6.56,6.25
6.44,6.32,6.48,6.22
6.25,6.60,6.61,6.23
6.66,6.63,6.66,6.44
6.63,6.54,6.89,6.47
6.52,6.56,6.58,6.32
6.55,6.52,6.59,6.45
6.53,6.88,6.93,6.45
6.88,6.78,7.00,6.61
6.83,6.91,7.10,6.74
6.79,6.90,6.95,6.64
6.93,6.85,7.05,6.66
6.88,6.93,6.98,6.51
6.97,6.70,7.04,6.61
6.72,6.72,6.86,6.62
6.72,6.83,6.93,6.62
6.91,7.34,7.38,6.66
7.36,7.51,7.60,7.22
7.49,7.57,7.73,7.24
7.58,7.65,7.75,7.23
7.59,7.84,7.86,7.53
7.92,7.75,7.92,7.69
7.75,7.68,7.75,7.50
7.71,7.53,7.71,7.32
7.58,7.82,7.85,7.55
7.86,8.01,8.09,7.83
7.77,7.62,7.77,7.50
7.55,7.56,7.63,7.43
7.59,7.69,7.78,7.52
7.63,7.41,7.75,7.39
7.48,7.36,7.66,7.34
7.42,7.26,7.54,7.22
7.13,7.20,7.41,7.10
7.21,7.26,7.30,7.11
7.21,7.37,7.47,7.16
N/A,N/A,N/A,N/A
7.52,7.65,7.67,7.49
7.59,8.26,8.26,7.58
8.27,8.21,8.55,8.16
8.18,8.24,8.44,7.93
8.26,8.37,8.58,8.07
8.39,8.43,8.60,8.26
8.42,8.24,8.43,8.17
8.33,8.50,8.63,8.33
8.50,8.49,8.77,8.39
8.49,8.02,8.60,8.00
7.98,8.34,8.36,7.88
8.38,8.34,8.46,8.28
8.38,8.52,8.60,8.25
8.40,8.77,8.82,8.40
8.80,8.89,8.96,8.72
8.86,8.42,8.96,8.38
8.38,8.04,8.49,7.98
8.17,8.06,8.37,8.00
8.20,8.74,8.79,8.15
8.49,7.93,8.60,7.92
8.04,7.99,8.21,7.74
7.90,7.24,7.90,7.20
7.12,7.29,7.33,6.98
7.23,6.99,7.57,6.15
7.03,7.03,7.28,6.85
7.43,7.62,7.82,7.32
7.46,8.12,8.22,7.37
8.14,8.38,8.48,8.00
8.31,8.25,8.53,8.14
8.12,7.94,8.12,7.70
7.99,7.58,8.04,7.45
7.60,7.50,7.79,7.43
7.48,7.30,7.80,7.16
7.12,6.52,7.22,6.51
6.37,7.11,7.20,6.26
7.06,6.79,7.13,6.78
6.52,6.93,6.95,6.31
7.05,7.09,7.24,7.02
7.32,7.48,7.49,7.18
7.45,7.32,7.53,7.27
7.23,6.94,7.27,6.94
7.04,7.33,7.33,6.90
7.33,7.43,7.48,7.29
7.17,6.62,7.34,6.60
6.64,6.26,6.84,6.26
6.29,5.98,6.44,5.91
6.03,5.87,6.03,5.62
6.04,5.77,6.04,5.69
5.67,6.27,6.30,5.67
6.35,6.21,6.49,6.16
6.24,6.13,6.41,6.07
6.40,6.54,6.92,6.35
6.61,6.51,6.65,6.42
6.56,6.59,6.66,6.36
6.71,6.62,6.82,6.52
6.64,6.54,6.77,6.53
6.56,6.44,6.59,6.27
6.36,6.33,6.50,6.32
6.37,6.70,6.73,6.33
6.84,6.83,7.08,6.70
6.71,6.51,6.71,6.36
6.46,6.43,6.69,6.39
6.46,6.44,6.56,6.26
6.53,6.33,6.62,6.28
6.48,6.31,6.73,6.26
6.37,6.75,6.75,6.34
6.87,6.89,6.95,6.69
6.85,6.95,6.98,6.75
6.90,6.81,6.95,6.72
6.94,7.21,7.23,6.78
7.14,7.09,7.15,6.99
7.08,7.16,7.19,6.78
7.05,6.63,7.05,6.59
6.66,6.54,6.72,6.33
6.41,6.70,6.70,6.25
6.79,6.36,6.82,6.33
6.49,6.85,6.88,6.49
6.79,7.03,7.15,6.69
7.04,7.21,7.25,6.88
7.26,7.15,7.43,7.10
7.11,6.93,7.21,6.92
7.36,6.76,7.37,6.62
6.61,6.61,6.90,6.60
6.76,6.63,6.77,6.48
6.57,6.50,6.75,6.50
6.54,6.64,6.72,6.51
6.54,6.49,6.59,6.45
6.35,6.49,6.53,6.34
6.57,6.60,6.63,6.44
6.56,6.51,6.67,6.47
6.32,6.41,6.61,6.28
6.27,6.35,6.48,6.23
6.31,6.20,6.35,6.16
6.13,6.27,6.34,6.13
6.40,6.36,6.52,6.33
6.33,6.31,6.50,6.21
6.26,6.08,6.36,6.05
6.06,6.17,6.19,5.73
6.18,6.28,6.38,6.14
6.16,6.29,6.29,6.10
6.20,6.31,6.34,6.11
6.36,6.42,6.60,6.30
6.51,6.71,6.73,6.42
6.68,6.22,6.70,6.22
6.21,6.28,6.37,6.18
6.44,6.64,6.66,6.37
6.62,6.90,6.95,6.57
7.02,7.00,7.11,6.75
6.97,6.78,7.05,6.75
6.83,6.86,6.94,6.72
6.99,6.73,6.99,6.64
6.78,6.67,6.89,6.66
6.79,6.98,6.99,6.76
6.93,6.77,6.98,6.74
6.73,6.70,6.86,6.64
6.67,6.59,6.73,6.51
6.70,6.39,6.75,6.33
6.40,6.54,6.60,6.31
6.54,6.44,6.64,6.42
6.42,6.30,6.43,6.22
6.25,6.18,6.39,6.15
6.30,6.60,6.63,6.17
6.65,6.38,6.71,6.35
6.40,6.57,6.58,6.27
6.53,6.60,6.65,6.44
6.81,6.54,6.81,6.51
6.63,6.51,6.63,6.42
6.47,6.49,6.57,6.40
6.56,6.68,6.70,6.47
6.68,6.81,6.91,6.60
6.89,6.78,6.89,6.69
6.80,6.82,6.86,6.66
6.81,6.74,6.87,6.67
6.73,6.93,6.95,6.64
6.97,7.14,7.26,6.86
7.09,6.86,7.09,6.68
6.94,6.78,6.94,6.72
6.82,6.94,6.94,6.76
6.81,6.88,7.02,6.75
6.90,6.83,6.95,6.72
6.90,6.66,6.95,6.61
6.68,6.91,7.04,6.55
6.97,6.71,6.99,6.66
6.65,6.77,6.82,6.61
6.73,6.84,6.85,6.65
6.05,5.63,6.14,5.63
5.61,5.71,5.76,5.53
5.71,5.16,5.74,5.07
5.24,5.29,5.36,4.67
5.29,5.50,5.52,5.29
5.50,5.50,5.57,5.40
5.50,5.63,5.91,5.43
5.59,5.52,5.75,5.49
5.55,5.57,5.75,5.50
5.59,5.75,5.75,5.58
5.64,5.62,5.73,5.59
5.54,5.42,5.68,5.42
5.47,5.58,5.60,5.47
5.50,5.34,5.57,5.30
5.37,5.29,5.53,5.28
5.39,5.38,5.54,5.35
5.38,5.37,5.44,5.25
5.35,5.42,5.44,5.25
5.33,5.35,5.39,5.28
5.41,5.41,5.50,5.36
5.37,5.26,5.41,5.25
5.26,5.41,5.44,5.25
5.34,5.37,5.43,5.34
5.48,5.51,5.56,5.41
5.50,5.46,5.57,5.42
5.41,5.54,5.55,5.40
5.51,5.64,5.66,5.47
5.73,5.60,5.74,5.50
5.64,5.71,5.87,5.62
5.77,5.74,5.85,5.68
5.77,5.93,5.93,5.66
5.96,5.82,5.97,5.77
5.82,5.81,6.00,5.78
5.81,5.75,5.99,5.75
5.75,5.89,5.95,5.75
5.91,6.15,6.15,5.89
6.19,6.45,6.46,6.18
6.49,6.60,6.80,6.37
6.64,7.02,7.06,6.59
6.99,6.84,7.06,6.79
6.84,6.84,6.85,6.63
6.83,6.86,6.92,6.68
6.88,6.67,6.88,6.65
6.66,6.68,6.77,6.63
6.68,6.55,6.75,6.54
6.64,6.75,6.94,6.64
6.79,6.74,6.87,6.40
6.74,6.96,7.06,6.73
6.95,6.97,7.08,6.91
7.00,6.52,7.06,6.49
6.42,6.52,6.61,6.34
6.55,6.53,6.69,6.47
6.60,6.40,6.64,6.38
6.41,6.25,6.41,6.17
6.27,6.64,6.68,6.24
6.60,6.84,6.89,6.60
6.80,6.80,6.92,6.76
6.76,6.70,6.85,6.67
6.74,6.80,6.95,6.67
6.80,6.79,6.87,6.77
6.78,6.62,6.84,6.50
6.62,6.41,6.64,6.37
6.38,6.38,6.52,6.30
6.56,6.72,6.98,6.40
6.74,6.71,6.77,6.45
6.71,6.98,7.02,6.55
6.75,6.75,6.89,6.64
6.78,6.76,6.87,6.72
6.78,6.90,6.98,6.77
6.95,7.16,7.25,6.95
7.20,7.17,7.20,7.07
7.12,7.16,7.20,7.04
7.07,7.16,7.18,7.03
7.11,7.44,7.46,7.10
7.45,7.46,7.50,7.38
7.43,7.22,7.50,7.22
7.24,7.27,7.35,7.14
7.24,7.22,7.31,7.11
7.27,7.34,7.41,7.18
7.24,7.20,7.30,7.07
7.19,7.19,7.29,7.12
7.21,7.17,7.26,7.09
7.20,7.25,7.30,7.16
7.29,7.09,7.44,7.05
7.19,7.01,7.25,7.00
7.00,7.01,7.18,6.95
7.08,7.18,7.25,7.06
7.19,7.06,7.22,6.98
7.11,7.02,7.25,6.97
7.02,7.40,7.44,6.99
7.37,7.41,7.55,7.28
7.31,7.10,7.31,7.06
7.03,7.03,7.13,6.96
7.00,7.10,7.11,6.95
6.98,7.01,7.07,6.90
7.01,7.01,7.07,6.96
7.10,6.95,7.10,6.93
7.01,7.05,7.13,6.96
7.13,7.14,7.19,7.02
7.14,7.17,7.24,7.12
7.14,6.96,7.14,6.85
7.02,6.89,7.02,6.85
6.92,6.81,7.06,6.77
6.86,6.77,6.89,6.73
6.78,6.79,6.86,6.74
6.85,7.02,7.09,6.71
7.01,7.07,7.15,6.94
7.10,7.22,7.29,7.07
7.22,7.26,7.35,7.18
7.22,7.25,7.38,7.20
7.31,7.38,7.45,7.25
7.42,7.32,7.48,7.20
7.38,7.06,7.38,7.02
7.05,7.01,7.16,6.91
6.94,6.93,7.05,6.88
6.98,6.82,7.09,6.68
6.73,6.86,6.89,6.67
6.84,6.92,6.98,6.81
6.82,6.68,6.91,6.65
6.72,6.65,6.81,6.52
6.75,6.71,6.80,6.64
6.76,6.66,6.78,6.57
6.63,6.96,6.97,6.63
