BRK.B,Berkshire Hathaway Inc. New Common Stock,NASDAQ
66.00,66.20,66.50,65.90
66.39,66.54,66.59,66.15
66.50,66.20,66.50,66.19
66.20,66.46,66.51,66.14
66.50,66.40,66.50,66.30
66.64,66.50,66.87,66.16
66.22,66.00,66.54,66.00
66.22,66.00,66.46,65.99
66.20,66.00,66.20,65.80
66.30,64.94,66.30,64.72
65.52,66.64,66.76,65.24
67.50,69.50,70.00,66.80
71.13,72.72,73.43,70.51
72.90,70.10,73.27,69.36
71.48,68.84,71.77,68.22
69.33,68.00,69.68,67.87
73.28,71.36,73.28,69.91
71.94,73.75,73.99,71.79
74.55,76.43,77.79,74.42
77.79,75.41,78.00,74.62
75.70,75.51,76.17,74.91
75.43,74.36,75.51,74.15
73.80,72.61,73.80,72.05
72.25,73.57,73.69,71.61
73.99,74.23,74.50,72.93
74.72,74.53,74.72,73.90
74.54,74.42,74.58,74.25
74.50,76.69,76.80,74.15
77.15,76.90,77.86,74.57
75.88,76.05,76.16,75.65
76.34,76.25,76.41,75.44
76.19,76.64,76.70,75.86
76.62,78.74,79.35,76.50
79.28,79.56,80.09,78.32
79.30,79.15,80.06,78.98
79.54,79.68,80.00,78.81
79.02,79.40,79.40,78.63
79.67,80.13,80.18,79.10
79.99,81.91,81.94,79.14
82.29,80.77,82.73,80.75
81.36,82.95,83.15,80.75
83.10,82.68,83.33,82.42
83.21,83.36,83.40,82.82
83.57,82.79,83.57,82.65
82.65,82.47,82.72,82.02
82.54,82.07,82.84,81.65
81.74,82.36,82.39,81.41
82.63,82.24,82.85,81.69
82.22,82.17,82.50,81.82
82.28,82.30,82.51,81.74
82.49,82.50,82.64,82.01
82.50,82.35,82.55,82.00
82.78,82.06,82.98,81.80
81.55,82.37,82.38,81.20
82.45,82.33,82.45,81.70
81.96,81.44,82.00,81.00
81.67,81.70,82.28,81.36
81.68,81.30,82.15,80.95
81.54,81.75,81.96,81.54
81.54,81.60,81.82,81.43
81.20,81.27,81.49,80.81
81.60,81.65,81.95,81.03
81.92,81.16,81.95,81.00
81.00,80.91,81.02,80.52
80.81,79.95,80.84,79.51
79.45,79.68,79.74,79.11
79.82,80.49,80.55,79.51
80.80,80.48,81.09,80.13
80.21,80.45,80.69,79.70
80.56,80.89,81.05,80.27
80.78,80.07,80.80,79.80
79.85,78.72,80.23,75.52
78.17,79.48,79.59,77.58
79.87,80.01,80.12,79.32
80.20,78.87,80.20,78.11
78.25,78.68,78.85,77.35
78.56,78.95,79.09,77.95
78.99,79.24,79.67,78.95
78.32,76.69,78.67,76.57
77.00,77.17,77.68,76.90
77.71,78.09,78.14,77.64
77.90,77.00,78.46,77.00
77.70,78.44,78.62,77.46
78.05,76.61,78.05,76.29
75.80,76.70,76.98,75.51
76.41,74.59,77.25,71.50
74.25,74.41,75.85,72.73
77.07,78.23,78.30,76.63
77.43,77.61,78.80,76.86
77.69,78.00,78.55,77.21
77.89,77.27,78.10,77.17
77.15,76.23,77.21,75.31
76.06,76.31,76.53,75.02
76.36,75.47,77.36,75.25
75.05,75.83,76.30,74.26
74.40,72.28,74.61,72.25
71.14,73.01,73.25,70.00
72.31,70.78,72.53,70.70
69.89,70.73,70.87,68.48
71.48,70.32,71.48,70.16
71.09,73.35,73.42,71.09
72.40,70.55,72.74,70.55
70.05,70.26,71.94,69.95
70.51,72.25,72.33,70.17
72.40,72.34,72.65,71.30
70.91,70.19,71.25,69.78
70.29,70.04,70.98,69.80
70.20,72.64,72.86,69.61
72.87,71.81,73.57,71.36
72.31,74.10,74.20,72.30
73.60,74.41,74.73,73.25
74.87,74.92,75.77,74.59
75.33,77.25,77.32,74.80
76.86,77.51,77.54,76.49
77.72,79.23,79.30,77.56
79.45,79.93,79.98,79.16
80.10,79.81,80.45,79.15
79.54,79.53,80.32,79.11
79.45,79.14,79.89,77.81
78.87,78.86,79.75,78.00
79.35,81.90,81.90,79.25
81.26,81.02,81.36,80.89
80.30,80.03,81.42,79.55
79.80,79.69,80.78,79.38
79.56,78.81,79.67,77.93
79.05,77.24,79.47,76.67
77.60,77.57,78.90,76.72
77.76,79.92,79.99,77.16
79.61,79.41,79.92,78.73
79.27,79.75,79.85,78.89
79.57,79.47,79.80,78.66
79.75,79.86,80.23,79.10
79.92,79.35,79.92,79.05
79.49,79.71,79.99,78.47
79.30,77.10,79.43,77.00
77.37,77.31,77.85,76.44
76.40,78.24,78.50,76.30
78.52,76.63,78.70,76.21
77.48,78.35,78.46,77.25
78.21,78.71,78.93,77.82
78.74,78.72,79.43,78.28
78.90,78.51,78.98,78.30
78.32,77.82,78.74,77.55
78.47,78.04,78.79,77.25
77.29,78.12,78.44,77.29
78.78,79.92,79.98,78.56
79.84,79.83,80.08,79.57
79.99,80.76,80.85,79.80
80.20,80.83,80.87,79.90
80.19,80.47,80.74,78.81
80.83,80.70,80.90,79.84
79.96,79.73,80.44,79.08
78.92,77.50,79.00,77.41
77.00,77.02,77.49,76.64
76.92,76.78,77.56,76.74
76.50,76.84,77.25,76.04
77.47,77.53,78.19,77.00
77.70,78.79,79.48,77.44
78.53,77.54,78.65,77.36
76.85,77.73,78.15,76.85
77.88,77.23,78.05,77.21
76.40,76.58,77.51,76.32
76.24,76.80,77.04,75.62
77.11,76.37,77.21,76.00
76.86,78.78,78.78,76.67
78.22,77.90,79.00,77.87
77.81,78.78,79.03,77.48
79.30,80.91,80.98,78.99
80.76,81.19,81.36,80.22
81.37,81.61,81.65,80.44
80.89,80.79,81.52,80.71
81.14,81.69,81.75,81.09
81.98,82.31,82.43,81.65
82.17,82.72,82.72,82.06
82.98,83.34,83.37,82.74
83.26,83.05,83.58,82.90
82.98,83.48,83.54,82.34
83.42,83.54,83.54,82.93
83.85,82.72,84.15,82.72
82.84,83.51,83.70,82.82
83.49,83.09,83.83,82.82
83.18,82.42,83.48,82.36
82.06,81.24,82.76,80.98
82.09,83.32,85.86,82.00
83.60,82.87,83.87,82.80
82.85,83.07,83.39,82.11
82.66,82.44,83.33,82.20
82.83,82.68,83.77,82.51
83.30,82.71,83.48,82.33
82.41,82.11,82.85,81.48
82.59,83.43,83.73,81.75
83.26,83.54,83.54,82.82
83.83,83.17,83.85,82.58
83.41,83.16,83.42,82.63
83.05,82.95,83.30,82.58
82.64,83.30,83.35,82.30
83.52,83.66,83.87,83.21
83.79,83.61,84.45,83.19
84.11,83.37,84.25,82.97
83.22,83.50,84.00,83.11
82.91,82.36,83.43,82.01
82.55,82.92,83.24,82.25
82.83,83.01,83.48,82.50
83.07,83.34,83.43,82.58
83.52,83.33,84.00,83.28
83.00,82.22,83.11,81.25
81.67,80.55,81.72,80.13
81.08,80.10,81.10,80.07
80.04,79.56,80.18,78.72
79.76,79.90,81.31,79.58
80.32,80.42,80.61,80.00
80.79,81.27,81.50,80.24
82.15,82.96,83.09,81.69
82.64,83.72,83.80,82.46
83.05,82.32,83.27,81.89
82.27,80.85,82.41,80.60
80.64,81.93,82.17,80.64
81.30,81.13,81.60,80.90
80.95,80.25,80.96,80.16
80.48,80.19,80.99,80.07
80.06,79.91,80.30,79.65
80.13,79.53,80.33,79.52
80.20,80.86,80.97,80.03
80.52,80.77,81.03,80.30
80.11,80.00,80.55,79.70
79.49,79.09,79.90,79.02
79.98,80.30,80.35,79.43
79.41,79.76,79.86,79.40
79.04,79.51,79.89,78.82
79.06,79.68,80.58,79.05
80.72,80.68,81.92,80.25
80.94,81.42,81.42,80.76
80.80,80.90,81.17,80.20
80.73,80.38,81.39,80.21
80.84,79.87,81.15,79.79
79.77,80.54,80.54,79.50
80.66,80.49,80.75,79.85
80.47,80.68,80.72,79.84
80.66,80.34,80.88,80.16
80.33,80.24,80.66,79.91
79.96,79.55,80.17,79.48
79.61,79.88,79.93,79.20
79.73,79.95,80.05,79.32
79.95,79.57,80.03,79.30
79.70,80.49,80.58,79.59
80.41,80.14,80.74,79.80
80.11,79.86,80.11,79.67
79.81,80.16,80.18,79.58
80.14,79.99,80.22,79.87
79.93,79.89,80.06,79.75
80.05,79.40,80.05,79.29
79.27,80.11,80.11,79.20
80.50,80.41,80.84,80.22
80.33,80.17,80.39,79.72
79.99,80.91,80.91,79.80
80.93,80.37,80.98,80.37
80.61,79.74,80.70,79.50
79.52,79.65,79.97,79.14
79.69,79.40,80.02,79.21
79.92,80.74,80.74,79.71
80.73,80.76,80.89,80.29
80.63,81.65,81.67,80.58
81.52,81.82,82.10,81.50
81.81,80.92,81.82,80.50
80.82,80.73,81.37,80.50
81.18,80.45,81.18,80.22
81.35,82.94,83.39,81.29
82.84,83.25,83.27,82.17
83.33,83.07,83.48,82.91
82.74,83.03,83.24,82.65
83.23,81.56,83.35,81.47
81.93,81.75,82.31,81.52
82.06,83.35,83.50,82.06
83.01,82.45,83.88,82.40
82.30,83.02,83.39,82.21
82.90,83.17,83.19,82.48
83.28,84.10,84.11,83.28
84.01,84.27,84.65,83.71
83.89,83.89,84.18,83.35
83.75,84.45,84.48,83.40
84.27,84.91,84.96,83.67
84.94,85.30,85.50,84.84
85.19,84.98,85.49,84.52
85.18,84.96,85.36,84.61
84.78,84.93,85.30,84.60
85.07,85.05,85.18,84.71
84.16,83.17,84.68,83.01
83.30,82.86,83.60,82.10
82.84,83.36,83.89,82.47
83.65,84.87,85.25,83.41
86.46,87.28,87.65,85.55
87.54,85.25,87.61,85.13
85.00,85.02,85.77,84.62
