BRKL,Brookline Bancorp,NASDAQ
10.00,9.99,10.10,9.90
10.01,9.61,10.06,9.45
9.63,9.30,9.63,9.25
9.30,9.64,9.65,9.28
9.60,9.68,9.81,9.59
9.75,9.54,9.78,9.49
9.49,9.54,9.58,9.44
9.59,9.66,9.68,9.42
9.58,9.64,9.76,9.53
9.69,9.62,9.69,9.36
9.61,9.81,9.83,9.54
9.69,9.83,9.95,9.50
9.82,10.13,10.23,9.74
10.12,10.17,10.77,10.07
10.29,10.34,10.39,9.96
10.34,10.36,10.57,10.30
10.29,10.66,10.69,10.18
10.65,10.30,10.74,10.27
10.31,10.01,10.52,9.98
10.01,10.01,10.06,9.80
9.99,9.91,10.04,9.81
9.84,9.69,9.93,9.59
9.65,9.57,9.76,9.43
9.56,9.63,9.82,9.43
9.59,9.48,9.63,9.47
9.63,9.49,9.69,9.45
9.44,9.42,9.50,9.37
9.42,9.40,9.55,9.36
9.36,9.39,9.42,9.32
9.47,9.60,9.63,9.35
9.64,9.51,9.64,9.49
9.56,9.77,9.77,9.48
9.77,9.76,9.87,9.67
9.76,9.86,9.86,9.68
9.89,10.45,10.64,9.89
10.47,10.50,10.51,10.32
10.37,10.48,10.49,10.34
10.46,10.28,10.46,10.24
10.31,10.31,10.40,10.18
10.35,10.31,10.40,10.25
10.36,10.30,10.44,10.22
10.30,10.29,10.44,10.23
10.32,10.46,10.49,10.28
10.46,10.33,10.50,10.32
10.27,10.38,10.44,10.27
10.35,10.50,10.56,10.35
10.44,10.53,10.58,10.44
10.58,10.60,10.68,10.49
10.63,10.66,10.67,10.41
10.68,10.71,10.72,10.49
10.70,10.84,11.00,10.70
10.88,10.76,11.00,10.73
10.82,10.95,10.98,10.72
10.89,11.06,11.07,10.83
11.07,10.97,11.07,10.85
10.95,10.78,11.02,10.76
10.82,10.83,11.13,10.77
10.89,10.78,11.03,10.76
10.84,10.80,10.91,10.71
10.84,10.80,10.88,10.64
10.73,10.64,10.95,10.62
N/A,N/A,N/A,N/A
10.66,10.67,10.68,10.56
10.59,10.92,10.92,10.56
10.88,10.90,10.98,10.70
10.84,10.86,10.95,10.57
10.83,10.82,10.98,10.73
10.79,10.85,10.89,10.60
10.80,10.75,10.85,10.66
10.84,10.97,10.98,10.78
10.97,10.88,11.00,10.79
10.88,10.60,10.89,10.55
10.58,10.73,10.91,10.58
10.74,10.85,10.85,10.68
10.85,10.90,10.93,10.75
10.82,11.22,11.23,10.79
11.20,11.39,11.63,11.13
11.43,11.07,11.63,11.05
11.01,10.82,11.24,10.80
10.85,10.86,10.90,10.61
10.91,11.24,11.32,10.78
11.21,10.99,11.23,10.98
