BSET,Bassett Furniture Industries,NASDAQ
3.46,3.47,3.60,3.35
3.45,3.50,3.64,3.45
3.51,3.60,3.65,3.36
3.59,3.48,3.59,3.35
3.43,3.40,3.43,3.40
3.42,3.41,3.49,3.34
3.38,3.40,3.43,3.38
3.37,3.39,3.47,3.30
3.34,3.62,3.68,3.33
4.15,4.20,4.20,3.60
4.13,3.94,4.13,3.81
3.95,3.70,3.95,3.65
3.69,3.71,3.77,3.56
3.72,4.08,4.10,3.44
4.20,4.25,4.42,4.12
4.15,3.90,4.15,3.75
3.98,4.11,4.11,3.89
4.09,4.39,4.45,4.09
4.40,4.36,4.50,4.31
4.36,4.27,4.42,4.15
4.24,4.33,4.40,4.24
4.30,4.33,4.36,4.28
4.31,4.30,4.34,4.27
4.20,4.23,4.35,4.20
4.31,4.15,4.49,4.12
4.23,4.49,4.55,3.97
4.41,4.25,4.45,4.21
3.99,4.51,4.55,3.89
4.49,4.52,4.52,4.29
4.49,4.43,4.50,4.41
4.39,4.46,4.50,4.31
4.44,4.50,4.54,4.44
4.46,4.40,4.46,4.27
4.44,4.33,4.55,4.14
4.13,4.53,4.53,4.13
4.51,4.16,4.51,4.16
4.16,4.49,4.54,4.16
4.49,4.10,4.52,4.10
4.23,4.54,4.54,4.23
4.49,4.42,4.50,4.41
4.45,4.58,4.65,4.45
4.60,4.80,4.80,4.60
4.80,4.80,4.88,4.71
4.81,4.99,4.99,4.81
4.98,4.89,5.00,4.84
4.93,5.10,5.10,4.86
5.05,5.11,5.20,5.05
5.18,5.40,5.40,5.18
5.40,5.80,5.80,5.33
5.80,6.14,6.30,5.80
6.14,6.15,6.24,6.00
6.21,6.16,6.22,5.80
6.14,5.00,6.14,4.59
5.04,5.02,5.10,4.90
4.98,5.28,5.31,4.98
5.38,5.47,5.58,5.36
5.46,5.58,5.66,5.21
5.53,5.60,5.84,5.53
5.75,5.74,5.85,5.62
5.66,5.74,5.92,5.62
5.76,5.64,5.88,5.64
N/A,N/A,N/A,N/A
5.98,6.08,6.15,5.93
6.11,6.13,6.22,5.91
6.15,6.14,6.19,6.02
6.17,6.20,6.25,6.12
6.19,6.10,6.19,5.85
6.03,6.10,6.19,5.97
6.00,6.12,6.20,6.00
6.11,6.08,6.20,5.98
6.01,6.11,6.17,6.01
6.00,6.14,6.16,5.94
6.04,5.90,6.12,5.73
5.83,5.89,6.00,5.77
6.07,5.89,6.08,5.61
5.77,5.97,5.99,5.71
5.86,5.86,5.98,5.79
5.85,5.81,6.05,5.81
5.92,5.97,5.97,5.90
6.03,6.03,6.04,5.96
6.03,6.06,6.06,5.98
6.07,5.99,6.11,5.93
5.99,5.90,6.06,5.86
5.79,5.81,5.85,5.68
5.78,5.56,5.90,5.52
5.60,5.34,5.80,4.69
5.28,5.03,5.43,5.00
5.10,5.20,5.31,5.10
5.18,5.77,5.80,5.07
5.79,5.80,5.88,5.69
5.72,5.80,5.92,5.72
5.71,5.59,5.71,5.46
5.61,5.56,5.74,5.35
5.43,5.41,5.58,5.28
5.49,5.67,5.71,5.27
5.52,5.18,5.58,5.10
5.03,5.08,5.24,4.90
5.19,5.24,5.35,5.08
5.14,5.18,5.32,5.05
5.24,5.18,5.49,5.11
5.12,5.32,5.35,5.11
5.23,5.33,5.95,5.11
5.36,5.64,5.91,5.00
5.50,5.70,5.75,5.39
5.65,5.50,5.73,5.47
5.45,5.47,5.60,5.20
5.47,5.29,5.47,5.28
5.21,5.11,5.35,5.09
5.11,5.17,5.25,5.10
5.25,5.19,5.30,5.12
5.17,5.33,5.45,5.17
5.31,5.14,5.31,5.14
5.14,5.48,5.58,5.07
5.14,5.21,5.26,5.14
5.47,5.28,5.48,5.10
5.11,5.23,5.29,5.09
5.10,5.14,5.25,5.08
5.08,5.00,5.10,5.00
5.02,4.80,5.20,4.64
4.84,4.78,4.89,4.70
4.83,4.65,5.20,4.65
4.67,4.56,4.70,4.50
4.52,4.35,4.55,4.32
4.27,4.28,4.53,4.23
4.26,4.09,4.49,4.04
3.83,4.00,4.13,3.83
4.07,3.91,4.07,3.85
3.97,4.05,4.07,3.92
4.03,3.77,4.08,3.77
3.96,4.54,4.74,3.96
4.59,4.69,4.75,4.59
4.73,4.34,4.77,3.98
4.36,4.38,4.39,4.25
4.39,4.50,4.54,4.39
4.57,4.46,4.63,4.46
4.48,4.49,4.65,4.40
4.42,4.53,4.53,4.15
4.46,4.47,4.59,4.33
4.47,4.47,4.54,4.47
4.47,4.52,4.54,4.47
4.35,4.54,4.56,4.35
4.55,4.57,4.61,4.51
4.61,4.69,4.72,4.61
4.71,4.76,4.78,4.68
4.80,4.81,4.85,4.75
4.86,4.95,4.95,4.86
4.95,4.86,4.95,4.72
4.92,4.85,4.97,4.85
4.88,4.96,4.97,4.86
4.95,4.93,4.97,4.75
4.90,4.97,4.97,4.90
4.89,4.97,4.97,4.89
4.96,4.98,4.99,4.96
4.88,5.00,5.00,4.88
4.99,4.96,5.00,4.96
4.96,4.90,4.96,4.75
4.91,4.77,4.98,4.77
4.77,4.86,4.94,4.75
4.81,4.91,4.91,4.81
4.87,4.88,4.91,4.81
4.88,4.71,4.88,4.71
4.76,4.80,4.86,4.71
4.81,4.75,4.81,4.66
4.76,4.77,4.77,4.65
4.72,4.67,4.77,4.67
