BSV,Vanguard Short-Term Bond ETF,NASDAQ
79.67,79.61,79.67,79.51
79.69,79.81,79.83,79.65
79.88,79.75,79.90,79.69
79.89,79.77,79.89,79.69
79.82,79.75,79.95,79.75
80.00,79.96,80.00,79.81
80.00,80.05,80.09,79.97
79.97,79.94,80.11,79.92
80.08,80.07,80.10,80.00
nan,80.19,nan,nan
80.12,80.12,80.15,80.03
80.13,80.15,80.20,80.11
80.13,80.26,80.26,80.07
80.26,80.27,80.28,80.15
80.26,80.26,80.31,80.20
80.29,80.26,80.31,80.17
80.31,80.19,80.33,80.14
80.19,80.25,80.25,80.11
80.17,80.34,80.34,80.13
80.17,80.13,80.18,80.06
80.16,80.16,80.17,80.09
80.15,80.05,80.15,80.01
80.13,80.22,80.24,80.10
80.26,80.35,80.39,80.21
80.33,80.27,80.33,80.15
80.32,80.21,80.32,80.16
80.22,80.12,80.24,80.09
80.12,80.12,80.14,80.06
nan,80.23,nan,nan
80.20,80.25,80.26,80.15
80.22,80.16,80.26,80.15
80.24,80.12,80.24,80.05
80.07,80.06,80.07,79.96
80.05,80.11,80.12,80.05
80.16,80.24,80.24,80.09
80.26,80.28,80.29,80.20
80.35,80.36,80.40,80.31
80.36,80.40,80.44,80.30
80.30,80.28,80.33,80.21
80.26,80.35,80.35,80.23
80.31,80.27,80.32,80.22
80.27,80.27,80.28,80.20
80.20,80.19,80.20,80.11
80.14,80.22,80.24,80.12
80.20,80.20,80.24,80.15
80.20,80.17,80.20,80.11
80.11,80.11,80.14,80.03
80.06,80.11,80.11,80.01
80.11,80.11,80.12,80.04
80.18,80.21,80.22,80.07
80.24,80.24,80.24,80.17
80.24,80.18,80.24,80.13
80.12,80.08,80.15,80.05
80.13,80.14,80.14,80.08
80.19,80.17,80.20,80.11
80.05,79.93,80.06,79.89
79.93,79.91,79.93,79.81
79.91,79.97,79.97,79.85
79.99,79.92,79.99,79.87
79.98,79.96,79.99,79.87
80.00,80.00,80.06,79.93
nan,79.79,nan,nan
79.63,79.47,79.67,79.45
79.51,79.50,79.55,79.45
79.55,79.64,79.71,79.54
79.75,79.71,79.79,79.67
79.73,79.76,79.76,79.64
79.70,79.80,79.83,79.70
79.85,79.85,79.88,79.77
79.80,79.84,79.90,79.79
79.84,79.87,79.93,79.80
80.00,80.11,80.14,79.93
80.11,80.04,80.11,80.00
80.03,80.03,80.04,79.98
80.01,80.07,80.08,79.98
80.07,80.00,80.13,79.96
79.88,79.94,79.97,79.88
79.96,79.94,79.99,79.89
80.03,80.15,80.17,79.95
80.10,80.07,80.14,79.96
80.10,80.14,80.14,79.97
80.19,80.20,80.24,80.12
80.06,80.02,80.13,79.95
80.13,80.10,80.13,80.05
80.14,80.14,80.29,80.14
80.25,80.42,81.00,80.16
80.21,80.34,80.45,80.17
80.36,80.19,80.50,80.16
80.29,80.26,80.32,80.17
80.26,80.24,80.27,80.19
80.27,80.30,80.30,80.15
80.35,80.40,80.41,80.32
80.42,80.39,80.49,80.30
80.42,80.55,80.55,80.37
80.46,80.57,80.60,80.46
80.69,80.48,80.69,80.48
80.71,80.59,80.71,80.48
80.61,80.58,80.62,80.51
80.55,80.53,80.64,80.50
80.46,80.44,80.47,80.30
80.25,80.30,80.32,80.21
nan,80.37,nan,nan
80.33,80.37,80.37,80.25
80.29,80.32,80.37,80.27
80.28,80.19,80.31,80.19
80.38,80.49,80.49,80.32
80.53,80.54,80.54,80.42
80.52,80.50,80.54,80.44
80.42,80.49,80.49,80.40
80.42,80.35,80.43,80.33
80.32,80.45,80.47,80.32
80.42,80.46,80.46,80.34
80.47,80.40,80.47,80.36
80.46,80.46,80.46,80.37
80.52,80.60,80.62,80.48
80.53,80.54,80.58,80.48
80.47,80.57,80.57,80.44
80.61,80.67,80.69,80.56
80.70,80.78,80.78,80.66
80.82,80.78,80.83,80.72
80.77,80.86,80.86,80.76
80.83,80.89,80.94,80.83
80.93,80.96,81.02,80.90
81.02,81.02,81.02,80.93
80.85,80.78,80.90,80.78
nan,80.83,nan,nan
80.75,80.87,80.95,80.75
80.94,80.89,80.97,80.87
80.79,80.90,80.91,80.78
80.88,80.88,80.89,80.80
80.93,80.91,80.93,80.86
80.89,80.86,80.89,80.82
80.85,80.97,81.00,80.85
81.05,81.05,81.08,80.95
81.06,81.14,81.17,81.04
81.15,81.16,81.17,81.12
81.18,81.18,81.21,81.15
81.17,81.23,81.23,81.08
81.19,81.21,81.25,81.14
81.21,81.16,81.23,81.12
81.12,81.15,81.16,81.06
81.06,81.05,81.11,81.05
81.13,81.24,81.24,81.07
81.27,81.34,81.34,81.23
81.45,81.43,81.45,81.37
81.29,81.26,81.29,81.20
81.37,81.31,81.37,81.25
81.34,81.28,81.34,81.25
81.31,81.36,81.37,81.28
81.47,81.45,81.47,81.32
81.42,81.37,81.45,81.34
81.37,81.41,81.48,81.25
81.55,81.50,81.56,81.47
81.53,81.44,81.53,81.41
81.38,81.48,81.49,81.38
81.58,81.59,81.62,81.51
81.55,81.57,81.58,81.52
81.59,81.57,81.61,81.54
81.57,81.62,81.64,81.52
81.57,81.58,81.62,81.53
81.59,81.61,81.61,81.52
81.73,81.69,81.74,81.61
81.71,81.61,81.74,81.57
81.62,81.63,81.65,81.56
81.62,81.48,81.63,81.44
81.52,81.63,81.66,81.48
81.66,81.67,81.73,81.61
81.57,81.38,81.57,81.38
81.40,81.45,81.46,81.36
nan,81.41,nan,nan
81.46,81.38,81.47,81.37
81.43,81.42,81.45,81.36
81.40,81.30,81.40,81.27
81.23,81.27,81.29,81.20
81.25,81.37,81.40,81.24
81.37,81.46,81.49,81.35
81.47,81.39,81.50,81.39
81.47,81.46,81.47,81.40
81.53,81.43,81.53,81.43
81.50,81.49,81.53,81.45
81.53,81.63,81.64,81.48
81.68,81.69,81.73,81.64
81.71,81.67,81.71,81.62
81.65,81.60,81.66,81.57
81.67,81.70,81.70,81.63
81.73,81.79,81.80,81.69
81.79,81.71,81.80,81.71
81.81,81.75,81.81,81.65
81.60,81.68,81.68,81.58
81.72,81.72,81.74,81.65
81.74,81.73,81.78,81.70
81.77,81.81,81.84,81.76
81.83,81.91,81.91,81.83
81.95,81.85,81.95,81.85
81.97,81.98,81.99,81.81
81.94,81.84,81.96,81.83
81.89,81.91,81.93,81.83
81.79,81.81,81.86,81.79
81.88,81.76,81.88,81.75
81.87,81.93,81.95,81.81
81.92,81.94,81.96,81.88
81.96,81.97,82.00,81.90
81.95,81.94,81.97,81.91
81.90,81.90,81.93,81.86
81.99,81.93,81.99,81.87
81.86,81.82,81.88,81.77
81.79,81.72,81.79,81.71
81.84,81.90,81.90,81.80
81.87,81.98,81.99,81.87
81.83,81.82,82.00,81.82
81.88,81.90,81.91,81.83
81.90,81.97,81.98,81.88
81.95,82.01,82.06,81.94
81.97,81.94,82.02,81.91
81.88,81.89,81.92,81.85
81.90,81.72,81.90,81.70
81.68,81.66,81.71,81.53
81.77,81.66,81.78,81.56
81.65,81.51,81.65,81.49
81.45,81.22,81.45,81.22
81.34,81.41,81.41,81.24
81.41,81.38,81.49,81.38
81.30,81.41,81.42,81.27
81.34,81.35,81.42,81.32
81.38,81.53,81.54,81.33
81.59,81.53,81.64,81.52
nan,81.35,nan,nan
81.35,81.39,81.40,81.32
81.37,81.44,81.44,81.32
81.44,81.51,81.54,81.44
81.18,81.08,81.23,81.08
81.11,81.04,81.11,80.99
81.16,81.22,81.26,81.09
81.22,81.28,81.33,81.22
81.24,80.98,81.25,80.96
80.86,80.75,80.86,80.65
80.77,80.71,80.79,80.69
80.71,80.63,80.74,80.62
80.61,80.75,80.75,80.50
80.72,80.59,80.75,80.52
80.59,80.50,80.67,80.46
80.55,80.57,80.58,80.46
80.65,80.74,80.80,80.59
80.78,80.82,80.87,80.74
80.77,80.77,80.84,80.74
80.77,80.74,80.82,80.69
nan,80.69,nan,nan
80.23,80.33,80.34,80.10
80.22,80.16,80.30,80.10
80.10,80.35,80.36,80.07
80.35,80.31,80.37,80.24
80.32,80.46,80.48,80.28
80.34,80.42,80.42,80.27
80.45,80.40,80.49,80.36
80.24,80.21,80.29,80.17
80.22,80.31,80.31,80.21
80.40,80.54,80.54,80.36
80.55,80.59,80.59,80.51
80.56,80.54,80.61,80.50
80.48,80.47,80.55,80.35
80.50,80.57,80.60,80.44
nan,80.62,nan,nan
80.57,80.53,80.59,80.47
80.52,80.63,80.66,80.52
80.57,80.49,80.57,80.45
80.45,80.52,80.52,80.43
80.50,80.49,80.55,80.46
80.50,80.54,80.61,80.47
80.59,80.57,80.65,80.50
80.63,80.61,80.65,80.55
80.63,80.76,80.78,80.60
80.75,80.75,80.80,80.71
80.54,80.50,80.55,80.45
80.45,80.39,80.51,80.36
80.27,80.24,80.30,80.23
80.18,80.06,80.18,80.05
80.00,80.08,80.09,79.94
80.04,79.92,80.05,79.90
79.92,80.04,80.05,79.92
79.99,79.94,80.00,79.91
80.01,79.95,80.05,79.93
79.96,79.94,80.00,79.94
79.95,80.04,80.04,79.94
80.00,80.01,80.06,79.96
80.06,80.13,80.16,80.06
nan,80.21,nan,nan
80.21,80.35,80.37,80.20
80.38,80.34,80.39,80.32
80.31,80.28,80.41,80.28
80.33,80.42,80.42,80.29
80.42,80.43,80.47,80.40
80.30,80.36,80.39,80.27
80.39,80.35,80.44,80.34
80.22,80.09,80.22,80.09
80.19,80.36,80.36,80.19
80.27,80.29,80.35,80.23
80.26,80.25,80.28,80.19
80.34,80.34,80.40,80.31
80.38,80.50,80.52,80.38
80.56,80.49,80.56,80.48
80.59,80.56,80.67,80.56
80.74,80.59,80.74,80.59
80.65,80.68,80.78,80.62
80.71,80.73,80.75,80.65
80.73,80.71,80.73,80.62
80.56,80.54,80.62,80.52
80.51,80.52,80.55,80.48
80.48,80.48,80.54,80.45
80.43,80.33,80.44,80.33
80.40,80.27,80.41,80.22
80.24,80.25,80.26,80.20
80.25,80.20,80.25,80.17
80.22,80.21,80.25,80.19
80.26,80.16,80.30,80.16
79.94,80.03,80.07,79.89
80.13,80.15,80.17,80.11
80.14,79.97,80.14,79.97
80.04,79.94,80.04,79.93
80.01,80.03,80.08,79.98
80.02,80.02,80.05,79.96
80.00,79.98,80.04,79.96
80.08,80.23,80.23,80.08
80.18,80.26,80.29,80.16
80.27,80.23,80.29,80.21
80.28,80.34,80.36,80.28
80.40,80.40,80.46,80.39
80.47,80.50,80.50,80.43
80.48,80.43,80.48,80.43
nan,80.51,nan,nan
80.51,80.54,80.55,80.49
80.57,80.59,80.60,80.54
80.56,80.61,80.63,80.49
80.66,80.72,80.74,80.66
80.70,80.78,80.78,80.68
80.66,80.65,80.68,80.59
80.65,80.64,80.68,80.62
80.61,80.67,80.70,80.60
80.65,80.72,80.74,80.65
80.68,80.79,80.82,80.68
80.86,80.84,80.86,80.82
80.81,80.73,80.81,80.72
80.72,80.81,80.82,80.68
80.82,80.77,80.82,80.71
80.82,80.84,80.90,80.80
80.81,80.90,80.90,80.81
80.92,80.93,80.94,80.89
80.92,80.83,80.95,80.82
80.74,80.87,80.88,80.71
80.89,80.87,80.92,80.87
80.99,80.89,80.99,80.89
80.90,80.91,80.93,80.86
80.94,80.98,80.99,80.93
80.97,81.06,81.06,80.97
nan,81.14,nan,nan
81.06,81.15,81.17,81.05
81.09,81.13,81.15,81.07
81.13,81.05,81.13,81.04
81.15,81.13,81.16,81.08
81.09,81.13,81.13,81.09
81.13,81.17,81.18,81.10
81.25,81.27,81.27,81.19
81.19,81.15,81.20,81.11
81.15,81.21,81.23,81.15
81.15,81.19,81.20,81.15
81.08,81.02,81.09,81.01
81.09,81.23,81.23,81.09
81.25,81.23,81.28,81.19
81.24,81.25,81.30,81.22
81.28,81.26,81.30,81.20
81.24,81.21,81.26,81.18
81.25,81.25,81.31,81.22
81.30,81.31,81.36,81.28
81.33,81.40,81.42,81.32
81.41,81.32,81.43,81.30
81.25,81.13,81.26,81.09
81.09,81.08,81.12,81.02
81.13,81.03,81.13,80.94
nan,80.80,nan,nan
80.91,80.97,81.00,80.90
81.02,81.07,81.07,81.02
80.93,80.94,80.95,80.90
81.13,81.13,81.19,81.09
81.16,81.26,81.31,81.16
81.30,81.23,81.32,81.23
81.25,81.32,81.34,81.24
81.22,81.26,81.30,81.22
81.20,81.26,81.31,81.20
81.26,81.28,81.31,81.24
81.28,81.31,81.32,81.21
81.26,81.28,81.31,81.22
81.24,81.15,81.25,81.13
81.25,81.18,81.25,81.18
81.16,81.14,81.26,81.14
81.15,81.21,81.22,81.14
81.18,81.13,81.22,81.09
81.18,81.19,81.25,81.18
81.32,81.40,81.41,81.28
81.23,81.35,81.42,81.23
81.40,81.53,81.53,81.38
81.42,81.50,81.52,81.42
81.48,81.65,81.65,81.48
81.52,81.42,81.61,81.41
81.48,81.57,81.57,81.34
81.45,81.77,81.93,81.41
81.86,81.87,81.92,81.79
81.70,81.65,81.70,81.45
81.73,81.61,81.76,81.57
81.62,81.57,81.72,81.55
81.56,81.67,81.72,81.56
81.74,81.80,81.80,81.67
81.81,81.73,81.84,81.65
81.62,81.76,81.76,81.61
81.68,81.68,81.72,81.62
81.60,81.61,81.66,81.54
81.61,81.56,81.61,81.52
81.54,81.69,81.74,81.52
81.79,81.68,81.79,81.68
81.58,81.67,81.72,81.56
81.69,81.78,81.88,81.67
81.88,81.80,81.88,81.71
81.73,81.76,81.79,81.58
81.71,81.68,81.72,81.57
81.60,81.70,81.70,81.60
81.57,81.67,81.68,81.51
81.72,81.71,81.72,81.60
81.71,81.68,81.76,81.68
81.66,81.62,81.73,81.62
81.60,81.56,81.64,81.53
81.55,81.62,81.66,81.55
81.58,81.58,81.58,81.50
81.47,81.61,81.62,81.47
81.66,81.65,81.69,81.65
81.70,81.60,81.70,81.60
81.63,81.65,81.75,81.60
81.63,81.67,81.68,81.58
81.61,81.53,81.61,81.47
81.45,81.52,81.54,81.45
81.42,81.50,81.52,81.42
81.42,81.47,81.48,81.35
81.36,81.36,81.37,81.33
81.41,81.42,81.42,81.33
81.33,81.39,81.40,81.24
81.40,81.23,81.41,81.16
81.20,81.17,81.20,81.10
81.05,81.01,81.14,81.01
81.00,81.12,81.13,80.96
81.13,80.88,81.13,80.87
80.95,81.05,81.06,80.95
81.05,80.93,81.05,80.85
81.06,81.09,81.16,80.97
81.10,81.14,81.15,81.08
81.15,81.16,81.20,81.07
81.25,81.16,81.25,81.09
81.20,81.13,81.20,81.08
81.17,81.20,81.24,81.12
81.25,81.13,81.25,81.11
81.13,81.18,81.19,81.11
81.16,81.30,81.34,81.16
81.30,81.29,81.36,81.25
81.17,81.25,81.34,81.15
81.23,81.30,81.30,81.16
81.36,81.48,81.50,81.35
81.37,81.45,81.47,81.31
81.54,81.44,81.54,81.37
81.52,81.50,81.52,81.48
81.47,81.53,81.54,81.42
81.50,81.41,81.52,81.41
81.42,81.47,81.50,81.38
81.47,81.37,81.47,81.34
81.35,81.46,81.47,81.35
81.33,81.43,81.48,81.32
81.43,81.44,81.45,81.40
81.44,81.34,81.45,81.33
81.41,81.40,81.42,81.35
81.35,81.34,81.35,81.26
81.33,81.26,81.33,81.26
81.31,81.28,81.31,81.25
81.32,81.21,81.32,81.19
nan,81.30,nan,nan
81.24,81.24,81.27,81.17
81.16,81.23,81.25,81.15
81.24,81.22,81.27,81.16
81.27,81.25,81.27,81.21
81.20,81.16,81.20,81.08
81.08,81.22,81.22,81.08
81.22,81.23,81.23,81.13
81.20,81.16,81.20,81.15
81.27,81.26,81.30,81.23
81.31,81.32,81.34,81.26
81.36,81.30,81.37,81.27
81.30,81.31,81.32,81.28
81.31,81.33,81.35,81.21
81.30,81.29,81.30,81.22
81.29,81.29,81.31,81.27
81.35,81.39,81.40,81.34
81.38,81.38,81.39,81.34
81.33,81.32,81.33,81.29
81.34,81.30,81.34,81.29
81.31,81.29,81.31,81.24
nan,80.94,nan,nan
80.87,80.76,80.87,80.76
80.62,80.78,80.79,80.60
80.80,80.77,80.83,80.75
nan,80.84,nan,nan
80.85,80.85,80.86,80.76
80.90,80.85,80.90,80.79
80.88,80.83,80.94,80.80
80.89,80.89,80.94,80.86
80.88,80.97,80.98,80.88
80.97,80.99,81.01,80.93
81.03,80.98,81.07,80.94
80.99,80.95,81.05,80.93
nan,80.94,nan,nan
81.05,81.09,81.12,80.95
81.12,81.04,81.12,81.00
81.07,81.02,81.08,81.00
81.08,81.10,81.11,81.03
81.11,81.10,81.11,81.01
81.04,81.10,81.10,81.00
81.09,81.23,81.23,81.07
81.28,81.34,81.35,81.27
81.23,81.22,81.34,81.22
81.30,81.34,81.34,81.26
81.33,81.30,81.36,81.30
81.27,81.26,81.32,81.17
81.28,81.29,81.29,81.22
81.25,81.18,81.30,81.17
81.28,81.32,81.33,81.21
81.30,81.30,81.31,81.26
81.25,81.19,81.27,81.18
81.18,81.09,81.21,81.06
81.10,81.16,81.17,81.07
81.18,81.08,81.20,81.08
81.17,81.15,81.18,81.10
81.17,81.22,81.23,81.14
81.20,81.16,81.21,81.11
81.13,81.10,81.17,81.10
81.12,81.14,81.14,81.11
81.16,81.17,81.17,81.13
81.17,81.10,81.17,81.09
81.14,81.10,81.16,81.08
81.21,81.11,81.22,81.11
81.18,81.20,81.21,81.16
81.22,81.20,81.22,81.16
81.04,81.08,81.08,80.98
81.06,81.14,81.17,81.06
81.16,81.15,81.16,81.10
81.17,81.15,81.18,81.13
81.16,81.16,81.16,81.12
81.15,81.09,81.16,81.09
81.11,81.07,81.11,81.05
81.08,81.07,81.10,81.06
81.04,80.97,81.04,80.97
80.97,80.81,80.97,80.79
80.80,80.81,80.86,80.79
80.79,80.86,80.87,80.78
80.86,80.80,80.86,80.73
80.80,80.75,80.81,80.67
80.81,80.79,80.83,80.77
80.85,80.80,80.85,80.77
80.85,80.90,80.90,80.84
80.91,80.94,80.94,80.88
80.95,81.00,81.00,80.94
80.99,80.98,81.01,80.94
81.00,80.99,81.02,80.97
81.00,80.95,81.03,80.93
80.96,80.88,80.98,80.82
