BSX,Boston Scientific Corporation Common Stock,NASDAQ
8.86,9.01,9.13,8.78
8.99,9.04,9.10,8.94
9.07,9.16,9.28,8.99
9.20,9.09,9.24,9.04
8.94,9.00,9.13,8.93
9.08,9.07,9.16,9.00
9.04,9.14,9.28,8.98
9.17,9.15,9.19,8.99
9.12,9.51,9.52,9.09
9.50,9.43,9.50,9.24
9.45,9.62,9.62,9.41
9.61,9.48,9.79,9.40
9.36,9.20,9.44,9.04
9.16,9.00,9.24,9.00
9.08,9.01,9.20,8.98
8.99,9.03,9.15,8.93
9.02,8.93,9.08,8.86
8.93,8.72,8.99,8.66
8.74,8.63,8.82,8.62
8.48,8.42,8.83,8.24
8.45,8.40,8.48,8.25
8.35,8.36,8.40,8.26
8.31,8.18,8.40,8.16
8.16,8.21,8.21,8.06
8.17,8.15,8.25,8.07
8.22,8.23,8.25,8.08
8.23,8.29,8.42,8.10
7.77,7.47,7.78,7.39
7.34,7.39,7.43,7.25
7.41,7.41,7.43,7.19
7.48,7.75,7.82,7.47
7.67,7.79,7.92,7.66
7.65,7.69,7.73,7.61
7.74,7.87,7.93,7.69
7.83,7.75,7.85,7.72
7.78,7.80,7.85,7.75
7.69,7.73,7.75,7.64
7.71,7.74,7.86,7.70
7.78,7.77,7.84,7.72
7.64,7.82,7.83,7.64
7.85,7.90,8.03,7.79
7.89,7.92,8.03,7.81
7.98,7.89,7.98,7.85
7.92,7.90,7.95,7.82
7.84,7.74,7.92,7.70
7.70,7.65,7.76,7.64
7.80,7.86,7.86,7.68
7.89,7.78,7.96,7.76
6.41,6.80,6.98,6.31
6.92,7.09,7.18,6.84
7.17,6.95,7.19,6.89
7.01,7.07,7.09,6.80
7.20,7.13,7.24,7.04
7.17,6.95,7.17,6.94
6.97,7.02,7.08,6.81
6.96,7.04,7.08,6.94
7.10,6.96,7.12,6.70
6.95,7.01,7.03,6.91
7.04,7.19,7.20,6.97
7.07,7.25,7.27,7.01
7.22,7.22,7.26,7.16
7.29,7.23,7.32,7.15
7.24,7.21,7.24,7.15
7.15,7.14,7.22,7.09
7.11,7.15,7.16,7.05
7.09,6.98,7.13,6.97
