BWL.A,Bowl America,NASDAQ
13.05,12.75,13.05,12.75
11.85,11.85,11.85,11.85
13.00,13.00,13.00,12.75
12.75,12.75,12.75,12.75
13.00,13.25,13.25,13.00
13.00,12.76,13.00,12.76
12.75,12.56,12.75,12.56
13.00,13.00,13.00,13.00
12.38,12.38,12.38,12.38
12.06,12.06,12.06,12.06
13.00,12.80,13.00,12.80
13.00,13.00,13.00,12.75
13.20,13.36,13.67,13.20
13.62,13.13,13.74,13.13
13.55,12.75,13.55,12.75
13.40,13.00,13.40,13.00
13.44,13.20,13.44,12.78
13.00,13.00,13.00,13.00
11.80,11.80,11.80,11.80
11.59,11.59,11.59,11.59
13.28,13.00,13.28,13.00
13.00,13.00,13.00,13.00
12.07,12.07,12.07,12.07
13.00,13.00,13.00,13.00
13.11,14.16,14.16,13.00
13.93,13.21,13.93,13.21
13.35,13.70,13.84,13.00
12.08,12.08,12.08,12.08
12.08,12.08,12.08,12.08
13.30,12.86,13.30,12.81
13.40,13.00,13.40,13.00
11.80,11.80,11.80,11.80
13.80,13.80,13.80,13.80
13.99,14.02,14.49,13.99
12.37,12.37,12.37,12.37
12.37,12.37,12.37,12.37
13.62,13.00,13.62,13.00
13.40,12.79,13.40,12.79
13.10,13.10,13.10,13.10
13.10,13.60,13.60,13.10
13.96,13.20,13.96,13.20
11.85,11.85,11.85,11.85
13.70,14.19,14.19,13.70
13.79,13.39,13.79,13.39
11.55,11.55,11.55,11.55
13.89,13.49,13.89,13.49
11.89,11.89,11.89,11.89
11.89,11.89,11.89,11.89
11.89,11.89,11.89,11.89
11.89,11.89,11.89,11.89
11.91,11.91,11.91,11.91
13.11,12.80,13.11,12.61
13.01,13.25,13.48,13.00
13.60,13.60,13.60,13.60
11.99,11.99,11.99,11.99
11.99,11.99,11.99,11.99
11.99,11.99,11.99,11.99
13.94,13.54,13.94,13.54
11.93,11.93,11.93,11.93
12.26,12.26,12.26,12.26
13.29,13.00,13.29,13.00
12.03,12.03,12.03,12.03
13.05,13.05,13.05,13.05
12.07,12.07,12.07,12.07
12.07,12.07,12.07,12.07
13.05,13.05,13.05,13.05
12.07,12.07,12.07,12.07
11.85,11.85,11.85,11.85
13.87,13.87,13.87,13.87
12.23,12.23,12.23,12.23
12.23,12.23,12.23,12.23
12.23,12.23,12.23,12.23
12.55,12.55,12.55,12.55
13.51,13.10,13.51,13.10
11.62,11.62,11.62,11.62
13.51,13.00,13.51,13.00
13.40,13.05,13.40,13.00
13.25,13.25,13.25,13.25
12.03,12.03,12.03,12.03
11.85,11.85,11.85,11.85
13.10,13.05,13.10,13.05
13.05,13.05,13.05,13.05
13.45,13.05,13.46,13.05
13.25,12.34,13.25,12.34
12.97,12.91,12.97,12.80
12.75,12.57,12.75,12.57
12.97,12.57,12.97,12.57
12.62,12.60,12.62,12.60
12.60,12.60,12.60,12.60
13.05,12.75,13.05,12.65
12.57,12.57,12.75,12.25
11.44,11.44,11.44,11.44
11.44,11.44,11.44,11.44
12.75,12.57,12.75,12.57
11.44,11.44,11.44,11.44
12.57,12.51,12.57,12.50
12.91,12.51,13.28,12.51
11.53,11.53,11.53,11.53
11.26,11.26,11.26,11.26
12.51,12.51,12.51,12.11
11.40,11.40,11.40,11.40
11.44,11.44,11.44,11.44
12.50,12.50,12.50,12.50
12.50,12.54,12.54,12.50
9.24,9.24,9.24,9.24
9.04,9.04,9.04,9.04
9.24,9.24,9.24,9.24
11.40,11.40,11.40,11.40
12.60,13.00,13.00,12.60
11.44,11.44,11.44,11.44
11.44,11.44,11.44,11.44
12.68,12.68,12.68,12.68
12.60,12.50,12.93,12.50
11.36,11.36,11.36,11.36
11.36,11.36,11.36,11.36
13.00,13.40,13.40,13.00
11.80,11.80,11.80,11.80
