BWV,iPath Goldman Sachs Barclays Bank PLC iPath Exchange Traded Notes Linked to the CBOE S&P 500 BuyWrite Index Structured Product,NASDAQ
45.72,45.76,45.76,45.72
45.76,45.76,45.76,45.76
45.62,45.62,45.62,45.62
45.63,45.67,45.68,45.63
45.87,45.87,45.87,45.87
nan,45.93,nan,nan
nan,45.93,nan,nan
45.83,45.83,45.83,45.83
45.94,45.73,47.00,45.73
nan,45.51,nan,nan
45.52,45.52,45.52,45.52
45.66,45.24,45.66,45.24
45.02,45.02,45.02,45.02
44.89,44.04,44.91,44.04
44.30,44.32,44.51,43.36
44.45,44.45,44.45,44.45
43.98,43.85,43.98,42.71
44.39,44.18,44.46,43.87
44.17,43.66,45.20,43.56
43.81,43.81,43.81,43.81
44.57,44.57,44.57,44.57
44.55,44.50,44.55,44.50
44.27,43.24,44.27,43.19
42.26,43.19,43.28,42.25
43.50,43.50,43.50,43.50
43.54,43.60,43.60,43.48
44.90,43.53,44.90,43.44
43.46,43.70,43.73,43.40
nan,43.57,nan,nan
45.00,44.60,45.00,44.15
45.00,44.55,45.00,44.49
44.70,45.08,45.08,44.59
45.22,45.38,45.38,45.22
45.38,45.24,45.38,45.20
44.93,44.72,45.05,44.72
45.09,45.24,45.75,45.09
44.50,45.15,45.15,44.48
45.22,44.99,45.22,44.99
45.16,45.50,45.59,45.16
45.72,45.64,45.72,45.63
45.72,45.72,45.72,45.63
45.73,45.58,45.73,45.58
45.76,45.95,45.96,45.76
45.81,45.99,46.03,45.81
46.03,45.89,46.03,45.89
46.08,46.04,46.08,45.89
46.08,46.08,46.08,46.08
nan,45.94,nan,nan
nan,45.94,nan,nan
nan,45.94,nan,nan
nan,45.94,nan,nan
46.15,45.96,46.15,45.96
45.97,45.82,45.97,45.35
45.55,45.65,45.65,45.55
45.58,45.85,45.85,45.58
45.93,45.81,45.93,45.78
45.85,45.83,46.01,45.67
45.63,45.60,45.92,45.60
nan,45.94,nan,nan
nan,45.94,nan,nan
45.68,46.00,46.00,45.68
nan,46.10,nan,nan
45.90,46.23,46.24,45.90
46.28,46.29,46.30,46.28
46.04,46.10,46.10,46.04
46.32,46.30,46.32,46.18
46.44,46.13,46.44,46.13
46.46,46.22,46.46,46.22
46.46,46.49,46.49,46.46
nan,46.40,nan,nan
nan,46.40,nan,nan
nan,46.40,nan,nan
45.98,45.98,45.98,45.98
46.40,46.40,46.40,46.40
nan,46.27,nan,nan
nan,46.27,nan,nan
46.40,46.41,46.41,46.40
46.54,46.56,46.57,46.51
46.02,46.02,46.04,45.77
45.96,45.98,46.02,45.62
45.37,46.32,46.33,45.37
45.97,46.00,46.00,45.97
45.94,46.38,46.38,45.94
45.50,45.50,45.50,45.50
44.95,44.95,44.95,44.95
44.49,43.75,44.49,43.67
42.76,43.20,43.92,42.76
44.97,44.68,44.97,44.68
45.03,44.95,45.26,44.95
45.33,45.44,45.44,45.29
45.33,45.33,45.33,45.33
44.00,44.17,44.24,44.00
nan,43.93,nan,nan
nan,43.93,nan,nan
43.33,43.63,43.63,43.00
42.68,42.10,42.68,42.10
41.18,41.48,42.01,40.33
42.45,42.52,42.58,42.45
41.60,42.10,42.25,41.60
42.86,42.54,42.86,42.54
nan,42.71,nan,nan
nan,42.71,nan,nan
42.37,42.37,42.37,42.37
42.81,43.13,43.13,42.81
43.08,43.26,43.26,42.98
nan,42.54,nan,nan
nan,42.54,nan,nan
nan,42.25,nan,nan
nan,42.25,nan,nan
43.00,43.00,43.00,43.00
43.20,43.20,43.20,43.20
nan,43.62,nan,nan
nan,43.62,nan,nan
nan,43.62,nan,nan
nan,43.65,nan,nan
nan,43.65,nan,nan
44.11,44.00,44.11,44.00
43.72,43.72,43.72,43.72
43.72,43.72,43.72,43.72
42.72,42.52,42.98,42.52
nan,42.49,nan,nan
nan,42.49,nan,nan
41.49,41.50,41.50,41.49
41.50,40.99,41.50,40.99
nan,40.69,nan,nan
nan,40.69,nan,nan
nan,40.69,nan,nan
nan,42.28,nan,nan
nan,42.28,nan,nan
42.77,42.77,42.77,42.77
42.71,42.71,42.71,42.71
43.39,43.60,43.60,43.39
43.62,43.53,43.68,43.47
nan,43.34,nan,nan
nan,43.34,nan,nan
42.65,42.82,42.82,42.65
42.73,43.08,43.08,42.73
43.10,43.10,43.10,43.10
nan,43.40,nan,nan
nan,43.40,nan,nan
43.51,43.60,43.60,43.51
43.73,43.73,43.73,43.73
43.64,43.64,43.64,43.64
43.44,43.46,43.46,43.44
43.04,43.79,43.79,43.04
43.79,43.79,43.79,43.79
nan,43.93,nan,nan
nan,43.93,nan,nan
44.27,43.91,44.27,43.88
43.87,43.87,43.87,43.87
44.01,44.02,44.02,44.01
44.17,44.17,44.17,44.17
43.90,43.75,43.90,43.75
43.61,43.61,43.61,43.61
43.69,43.73,43.73,43.69
nan,43.83,nan,nan
nan,43.83,nan,nan
44.02,44.12,44.12,44.02
44.04,44.04,44.04,44.04
43.64,43.64,43.64,43.64
43.76,44.00,44.00,43.76
43.65,43.40,43.65,43.34
nan,43.45,nan,nan
nan,43.45,nan,nan
43.77,43.77,43.77,43.77
43.75,43.75,43.75,43.75
43.65,43.60,43.70,43.58
44.17,44.37,44.38,44.17
44.53,44.51,44.53,44.51
nan,44.66,nan,nan
44.80,44.71,44.80,44.71
44.79,44.77,44.79,44.77
44.93,44.86,44.94,44.85
44.74,44.74,44.74,44.74
44.96,44.97,44.97,44.90
44.97,44.96,44.97,44.96
45.04,45.03,45.04,44.97
45.04,45.04,45.04,45.04
45.18,44.76,45.18,44.72
44.76,45.12,45.14,44.76
45.10,45.05,45.17,44.98
45.12,44.98,45.13,44.90
44.83,44.75,44.99,44.71
45.07,45.20,45.21,45.07
45.17,45.25,45.27,45.17
45.12,45.29,45.29,45.01
45.26,45.23,45.31,45.17
45.38,45.22,45.38,45.13
45.40,45.37,45.40,45.19
45.40,45.22,45.40,45.17
45.45,45.60,45.61,45.43
45.62,45.59,45.64,45.55
45.77,45.65,45.77,45.58
45.67,45.69,45.72,45.66
45.72,45.83,45.83,45.72
45.77,45.73,45.77,45.73
45.76,45.76,45.78,45.76
45.78,45.77,45.81,45.76
45.73,45.51,45.74,45.41
45.74,45.74,45.74,45.56
45.52,45.33,45.59,45.23
45.62,45.66,45.71,45.57
45.79,45.68,45.79,45.49
45.79,45.78,45.80,45.70
45.99,45.90,45.99,45.84
45.71,45.74,45.82,45.66
45.55,45.72,45.72,45.55
45.99,45.80,45.99,45.68
45.76,45.73,45.76,45.73
45.89,45.83,45.92,45.71
46.01,45.97,46.04,45.95
45.91,46.10,46.15,45.91
46.36,46.37,46.38,46.36
46.60,46.42,46.60,46.37
46.40,46.45,46.47,46.40
46.49,46.44,46.49,46.44
46.38,46.46,46.46,46.38
46.43,46.43,46.44,46.43
46.24,46.24,46.24,46.24
46.50,46.43,46.50,46.42
46.10,46.17,46.21,46.10
46.29,46.37,46.39,46.24
46.52,46.51,46.52,46.51
46.53,46.61,46.82,46.44
46.54,46.57,46.63,46.35
46.32,46.23,46.35,46.19
nan,46.60,nan,nan
46.43,46.43,46.47,46.43
45.87,46.46,46.46,45.87
46.15,46.21,46.38,46.13
46.88,46.83,46.88,46.83
47.00,47.07,47.08,47.00
47.10,47.20,47.23,47.09
47.25,47.21,47.25,47.13
47.28,47.28,47.33,47.26
47.32,47.32,47.32,47.32
47.31,47.31,47.31,47.31
47.36,47.35,47.39,47.35
nan,47.39,nan,nan
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
47.40,47.47,47.47,47.40
47.39,47.35,47.42,47.35
47.25,47.57,47.60,47.25
nan,47.69,nan,nan
N/A,N/A,N/A,N/A
nan,47.70,nan,nan
nan,47.83,nan,nan
N/A,N/A,N/A,N/A
47.82,47.82,47.82,47.82
nan,47.83,nan,nan
N/A,N/A,N/A,N/A
47.89,48.13,48.13,47.89
nan,48.08,nan,nan
N/A,N/A,N/A,N/A
48.02,48.15,48.25,48.02
48.10,48.10,48.10,48.10
48.01,48.06,48.06,48.01
48.26,48.23,48.28,48.19
48.28,48.28,48.28,48.28
