BYD,Boyd Gaming Corporation Common Stock,NASDAQ
8.43,8.60,8.64,8.43
8.69,8.66,8.89,8.51
8.68,8.69,8.70,8.53
8.66,8.79,8.79,8.52
8.78,8.45,8.78,8.33
8.52,8.34,8.56,8.29
8.25,8.21,8.49,8.11
8.30,8.49,8.52,8.23
8.50,8.60,8.71,8.42
8.57,8.64,8.69,8.40
8.61,8.82,8.82,8.56
8.79,8.83,8.84,8.64
8.84,8.76,8.95,8.67
8.73,8.38,8.80,8.34
8.58,8.32,8.58,8.15
8.28,8.14,8.35,8.14
8.14,7.99,8.18,7.86
8.00,7.91,8.13,7.72
7.92,7.80,8.05,7.72
7.86,8.04,8.07,7.74
8.08,8.41,8.41,8.03
8.31,8.14,8.36,8.07
8.01,7.52,8.05,7.45
7.50,7.64,7.66,7.45
7.68,7.49,7.68,7.42
7.63,7.61,7.75,7.54
7.61,7.61,7.75,7.53
7.60,7.78,7.78,7.53
7.65,7.99,7.99,7.60
8.04,8.04,8.09,7.90
8.07,7.77,8.07,7.73
7.70,7.59,7.72,7.51
7.51,7.75,7.79,7.50
7.79,7.79,7.85,7.75
7.72,7.71,7.82,7.66
7.72,7.64,7.72,7.59
7.50,7.51,7.61,7.40
7.51,7.64,7.68,7.42
7.71,7.67,7.85,7.60
7.85,8.17,8.35,7.72
8.26,8.25,8.44,8.07
8.24,7.95,8.24,7.89
8.03,8.16,8.19,8.00
8.17,8.50,8.55,8.07
8.47,8.50,8.78,8.32
8.60,8.70,8.74,8.47
8.60,8.60,8.69,8.51
8.67,8.72,8.77,8.58
8.78,8.45,8.78,8.44
8.49,8.70,8.73,8.41
8.74,8.86,9.02,8.72
8.90,9.15,9.22,8.87
9.15,9.03,9.28,8.94
8.94,9.55,9.61,8.58
9.58,9.44,9.70,9.22
9.46,9.58,10.07,9.31
9.71,9.69,10.01,9.60
9.72,10.11,10.34,9.72
10.15,9.86,10.30,9.76
9.87,9.93,10.12,9.86
9.88,9.88,10.15,9.87
10.05,9.93,10.24,9.77
10.00,10.35,10.35,9.98
10.50,10.93,10.96,10.40
10.78,10.87,11.00,10.70
10.75,12.23,12.30,10.61
12.29,12.33,12.37,11.75
12.21,12.35,12.45,12.00
12.32,12.11,12.62,12.10
12.08,12.10,12.20,11.93
11.81,11.72,12.19,11.43
11.64,11.26,11.70,10.90
11.23,11.09,11.57,10.71
11.28,11.65,11.75,11.00
11.62,11.36,11.67,11.25
11.16,11.57,11.66,11.07
11.63,11.83,12.09,11.56
11.98,12.29,12.38,11.98
12.15,12.01,12.48,11.97
12.19,12.25,12.35,12.02
12.40,13.23,13.40,12.40
13.25,12.70,13.57,12.66
12.87,13.47,13.58,12.72
13.10,13.18,13.75,12.88
13.05,13.27,13.92,12.57
13.21,12.30,13.60,10.96
12.60,11.97,12.60,11.21
12.77,12.39,13.12,12.30
12.19,12.55,12.72,12.00
12.69,13.45,13.49,12.69
13.33,13.69,13.90,13.14
13.98,13.20,14.07,13.02
13.18,13.24,13.40,12.62
13.78,13.78,14.85,13.56
13.61,13.30,14.10,13.03
12.89,12.03,12.98,12.00
11.74,12.58,12.80,11.59
12.60,12.60,13.04,12.52
12.06,12.31,12.35,11.73
12.64,12.48,13.69,12.34
12.94,13.25,13.25,12.80
