BYM,Blackrock Municipal Income Quality Trust Common Shares of Beneficial Interest,NASDAQ
13.56,13.64,13.73,13.56
13.66,13.70,13.74,13.62
13.69,13.65,13.72,13.61
13.63,13.69,13.69,13.62
13.66,13.72,13.73,13.63
13.74,13.72,13.80,13.71
13.70,13.69,13.79,13.69
13.70,13.64,13.71,13.58
13.60,13.62,13.67,13.59
13.59,13.67,13.69,13.59
13.60,13.60,13.68,13.59
13.67,13.62,13.70,13.60
13.66,13.66,13.67,13.60
13.66,13.64,13.70,13.64
13.65,13.70,13.70,13.57
13.78,13.70,13.78,13.60
13.74,13.70,13.75,13.66
13.69,13.72,13.75,13.67
13.71,13.75,13.77,13.69
13.88,13.78,13.96,13.76
13.84,13.81,13.84,13.78
13.84,13.82,13.86,13.78
13.83,13.86,13.88,13.76
13.87,13.63,13.87,13.61
13.63,13.70,13.77,13.63
13.71,13.89,13.89,13.71
13.83,13.84,13.86,13.82
13.84,13.69,13.86,13.68
13.66,13.53,13.72,13.39
13.46,13.44,13.52,13.42
13.49,13.50,13.50,13.47
13.56,13.50,13.56,13.44
13.47,13.51,13.56,13.45
13.46,13.46,13.54,13.45
13.46,13.58,13.58,13.46
13.50,13.64,13.70,13.50
13.61,13.61,13.73,13.58
13.60,13.70,13.70,13.58
13.79,13.78,13.82,13.68
13.71,13.77,13.82,13.68
13.68,13.81,13.82,13.68
13.86,13.75,13.86,13.75
13.72,13.80,13.84,13.72
13.87,13.92,13.92,13.80
13.94,13.99,13.99,13.85
13.99,14.01,14.01,13.91
14.01,13.87,14.01,13.86
13.92,13.91,13.93,13.80
13.97,13.87,13.97,13.83
13.97,13.94,14.00,13.92
13.97,13.95,14.00,13.95
13.99,14.03,14.07,13.94
14.00,13.91,14.07,13.84
14.00,13.83,14.07,13.80
13.93,13.96,14.03,13.84
13.93,13.86,13.99,13.85
13.89,13.96,13.99,13.87
13.98,14.04,14.04,13.95
14.06,14.10,14.14,13.99
14.14,13.99,14.20,13.99
14.06,14.23,14.29,13.95
14.40,14.09,14.42,14.07
14.17,14.00,14.17,13.95
14.04,14.16,14.17,14.04
14.18,14.20,14.29,14.14
14.24,14.40,14.42,14.22
14.47,14.36,14.48,14.34
14.44,14.34,14.74,14.33
14.37,14.17,14.37,14.17
14.12,13.97,14.15,13.96
14.03,13.95,14.03,13.93
13.95,13.96,13.96,13.94
13.95,13.95,13.96,13.92
13.95,14.00,14.00,13.92
14.00,14.04,14.10,13.98
14.04,14.10,14.12,14.00
14.15,14.34,14.54,13.95
14.37,14.29,14.40,14.29
14.26,14.16,14.28,14.14
14.21,14.31,14.32,14.19
14.41,14.21,14.41,14.21
14.17,14.16,14.25,14.07
14.24,14.20,14.32,14.20
14.20,14.30,14.33,14.20
14.25,14.38,14.38,14.25
14.39,14.21,14.40,14.20
14.26,14.30,14.33,14.19
14.35,14.42,14.56,14.35
14.47,14.51,14.56,14.44
14.43,14.55,14.55,14.39
14.55,14.55,14.58,14.49
14.54,14.44,14.55,14.41
14.45,14.38,14.46,14.35
14.38,14.38,14.40,14.31
14.43,14.42,14.55,14.27
14.44,14.31,14.48,14.20
14.35,14.35,14.44,14.27
14.41,14.45,14.45,14.15
14.44,14.42,14.58,14.31
14.52,14.54,14.56,14.48
14.59,14.55,14.60,14.54
14.58,14.47,14.60,14.46
14.54,14.46,14.54,14.27
14.40,14.67,14.67,14.40
14.63,14.65,14.70,14.57
14.60,14.67,14.69,14.56
14.70,14.63,14.77,14.62
14.77,14.68,14.78,14.56
14.66,14.65,14.70,14.62
14.65,14.57,14.65,14.54
14.49,14.57,14.66,14.48
14.54,14.52,14.56,14.40
14.55,14.43,14.55,14.39
