CAB,Cabela's Inc Class A Common Stock,NASDAQ
14.48,14.85,14.97,14.43
14.85,14.69,14.85,14.36
14.75,14.90,15.01,14.72
14.93,15.16,15.18,14.69
15.15,16.05,16.19,15.02
16.04,16.17,16.17,15.90
16.09,15.98,16.16,15.92
16.01,16.21,16.25,15.87
16.18,16.61,16.84,16.12
16.63,16.47,16.78,16.36
16.34,16.57,16.62,16.32
16.39,16.34,16.53,16.23
16.32,16.56,16.73,16.22
16.43,16.41,16.56,16.25
16.53,16.46,16.53,16.18
16.36,16.23,16.46,16.07
16.04,16.46,16.48,16.02
16.47,16.22,16.47,16.09
16.23,16.12,16.60,16.02
16.23,16.54,16.60,16.13
16.59,16.58,16.63,16.30
16.47,16.37,16.59,16.26
16.34,16.36,16.58,16.10
16.31,15.88,16.31,15.49
15.91,15.95,16.10,15.55
16.12,16.18,16.20,15.85
16.11,16.58,16.65,16.04
16.54,17.00,17.26,16.36
16.80,16.86,16.87,16.50
17.00,17.19,17.23,16.94
17.19,17.75,18.00,17.00
16.40,15.90,16.40,15.45
15.99,15.63,16.08,15.54
15.71,15.67,15.87,15.56
15.67,15.34,15.69,14.99
15.34,15.28,15.41,15.22
15.09,15.36,15.40,14.93
15.39,15.46,15.57,15.18
15.55,15.84,15.88,15.46
15.82,16.18,16.20,15.82
16.22,16.27,16.55,16.04
16.33,16.54,16.55,16.24
16.58,16.95,17.06,16.56
16.96,16.67,16.97,16.58
16.61,17.01,17.16,16.61
17.37,17.07,17.37,17.07
17.00,16.89,17.10,16.75
17.01,17.01,17.16,16.49
17.05,16.84,17.09,16.53
16.83,16.95,17.02,16.70
17.04,17.32,17.32,16.96
17.26,17.56,17.67,17.26
17.56,17.29,17.74,17.16
17.21,17.93,18.08,17.05
17.94,18.00,18.02,17.67
17.90,17.42,17.95,17.36
17.51,17.86,18.05,17.47
17.94,17.95,17.99,17.81
18.04,17.82,18.04,17.70
17.85,17.70,17.94,17.53
17.62,17.49,17.83,17.45
17.64,17.82,17.92,17.58
17.89,18.06,18.07,17.75
18.06,18.11,18.20,18.01
18.04,18.12,18.17,17.86
18.11,17.83,18.11,17.62
17.79,17.68,17.83,17.54
17.73,17.73,17.79,17.50
17.75,17.68,17.75,17.53
17.75,17.80,17.80,17.66
17.71,18.35,18.42,17.70
18.35,18.21,18.65,18.17
18.18,18.03,18.38,17.66
18.19,18.36,18.48,18.14
18.25,18.38,18.43,18.09
18.27,18.83,18.89,18.12
18.79,19.40,19.40,18.79
19.38,19.10,19.45,19.03
19.00,18.44,19.14,18.37
18.49,18.23,18.53,18.11
18.36,18.85,18.85,18.26
18.80,18.16,18.91,18.15
18.31,18.92,18.99,18.24
18.63,21.24,21.52,18.24
20.96,20.97,21.46,20.61
20.92,19.85,21.11,18.42
19.87,19.76,20.31,19.41
20.11,20.03,20.73,19.72
19.86,19.36,20.07,19.32
19.41,19.47,19.60,19.03
19.76,18.87,19.76,18.76
18.80,17.85,18.86,17.73
17.90,17.67,18.24,17.25
17.82,17.07,17.96,16.84
16.98,16.89,17.22,16.55
16.48,16.29,16.70,16.22
15.99,16.51,16.71,15.95
16.38,16.44,16.98,16.38
16.05,16.26,16.27,15.66
16.29,16.07,16.75,16.05
16.33,16.96,17.00,16.30
17.50,17.21,17.74,17.06
17.07,16.39,17.09,16.38
16.39,16.47,16.48,16.03
16.66,16.66,16.84,16.50
16.47,15.80,16.52,15.66
15.69,14.83,15.85,14.80
14.83,14.80,14.95,14.18
14.80,15.26,15.69,14.80
15.53,16.27,16.27,15.43
16.17,16.53,16.72,16.16
16.73,16.57,17.19,16.54
16.57,17.00,17.06,16.53
16.84,16.65,16.86,16.51
16.66,16.67,16.81,16.38
16.69,16.29,16.69,16.26
16.44,16.08,16.51,15.99
16.18,15.66,16.44,15.63
15.59,15.64,15.87,15.28
15.50,15.25,15.57,15.22
15.27,15.18,15.51,15.00
15.10,15.22,15.47,15.03
14.94,14.52,15.09,14.48
14.48,14.14,14.60,14.08
14.21,13.89,14.21,13.46
13.97,13.42,13.97,13.31
13.84,12.97,13.84,12.83
13.12,13.59,13.61,13.01
13.72,13.31,13.76,13.16
13.26,14.20,14.23,13.26
14.42,14.51,14.92,14.37
14.74,15.07,15.12,14.69
15.05,14.89,15.12,14.75
14.93,15.04,15.16,14.60
14.93,14.32,15.01,14.27
14.40,14.34,14.66,14.21
14.19,15.14,15.19,14.17
15.19,15.05,15.48,14.94
15.29,15.89,15.94,15.29
15.78,16.30,16.31,15.63
16.28,16.89,16.91,16.24
17.06,16.64,17.14,16.55
16.55,16.35,16.73,16.16
15.70,15.76,15.90,14.32
15.51,15.59,15.98,15.43
15.87,16.25,16.33,15.71
16.14,15.59,16.18,15.46
15.60,15.89,16.10,15.59
15.73,15.81,15.86,15.58
15.58,15.71,15.74,15.23
15.83,15.93,16.07,15.76
15.72,15.49,15.75,15.25
15.15,14.33,15.15,14.32
14.06,14.27,14.46,13.93
14.25,14.17,14.38,14.00
14.17,14.75,14.90,14.10
14.88,14.85,15.20,14.73
14.84,15.33,15.39,14.84
15.28,15.22,15.44,15.01
15.20,15.90,16.00,15.06
16.00,15.27,16.20,15.27
15.01,14.91,15.12,14.39
14.83,15.37,15.41,14.74
15.41,15.29,15.64,15.25
15.47,15.74,15.78,15.14
15.63,15.44,16.04,15.44
15.42,15.58,15.85,15.13
15.86,16.07,16.33,15.76
16.14,16.74,16.82,16.04
16.89,16.97,17.17,16.53
16.82,17.05,17.15,16.82
17.15,16.78,17.37,16.77
17.05,16.74,17.09,16.50
16.75,16.70,16.94,16.53
16.87,17.28,17.35,16.84
17.23,17.42,17.59,17.23
17.38,17.39,17.51,16.99
17.37,17.29,17.41,17.15
17.38,17.12,17.47,16.98
17.16,18.11,18.12,17.10
18.07,17.82,18.11,17.48
17.72,17.62,18.03,17.34
17.43,17.61,18.11,17.36
17.89,18.44,18.48,17.70
18.44,18.25,18.57,18.10
18.25,18.43,18.50,17.87
18.40,18.82,19.09,18.20
19.04,18.98,19.24,18.73
19.24,19.17,19.65,18.84
19.17,19.11,19.44,18.98
19.34,19.03,19.40,19.01
19.09,18.40,19.09,18.21
18.49,18.70,18.82,18.14
18.76,19.08,19.30,18.69
19.12,19.08,19.35,19.07
19.08,18.91,19.11,18.73
19.02,18.80,19.14,18.65
18.83,19.01,19.13,18.65
19.19,19.03,19.32,18.92
19.02,19.37,19.37,18.89
19.14,18.69,19.34,18.57
18.73,18.90,19.00,18.73
19.00,18.98,19.28,18.65
19.00,19.12,19.18,18.87
19.31,19.19,19.53,19.17
19.03,19.09,19.31,18.88
18.91,18.67,19.04,18.21
18.85,18.51,18.90,18.23
18.48,18.54,18.89,18.38
18.71,18.28,19.04,18.19
19.52,22.07,22.22,19.16
22.08,22.66,22.99,22.00
22.94,23.04,23.04,22.67
22.96,23.11,23.22,22.88
22.96,22.95,23.33,22.88
23.09,22.87,23.22,22.62
22.85,23.06,23.06,22.20
22.84,22.91,23.02,22.37
22.63,22.33,22.68,21.92
22.70,22.28,22.89,22.22
22.18,21.19,22.18,20.96
21.25,21.45,21.51,20.92
21.77,21.62,21.89,21.56
21.44,21.86,21.97,21.42
21.71,21.95,22.13,21.64
