CADC,China Advanced Construction Materials Group,NASDAQ
81.48,71.40,81.48,64.56
77.40,89.76,90.84,76.98
89.76,89.40,91.20,78.12
90.96,87.24,90.96,84.84
90.00,85.20,93.00,84.96
87.60,87.36,90.00,84.00
90.00,87.12,90.00,82.20
85.80,83.33,86.02,79.20
82.44,83.40,85.20,81.00
84.60,82.92,84.60,82.82
89.88,85.20,90.00,84.60
83.52,76.56,83.52,69.00
80.40,70.80,80.40,70.29
69.96,64.56,69.96,63.24
65.76,73.68,84.00,65.76
74.40,70.56,78.48,69.00
69.72,67.80,72.00,66.00
68.64,66.36,68.64,63.96
72.00,63.60,72.00,63.48
63.60,61.56,68.34,61.20
63.06,64.20,64.92,60.12
65.28,64.68,67.74,64.20
61.56,54.24,66.60,54.00
66.60,53.40,66.60,48.12
56.40,54.48,56.40,54.00
57.60,61.80,74.40,52.20
63.48,60.00,65.88,58.80
61.08,61.20,61.44,57.00
65.88,59.76,65.88,58.92
59.52,57.96,60.48,57.12
60.00,58.92,61.80,58.80
58.20,61.80,61.80,58.20
60.84,62.16,62.76,58.92
62.16,60.96,62.16,58.32
62.16,55.68,62.16,54.12
55.32,55.68,56.40,55.20
55.56,56.16,56.64,55.08
56.40,56.40,56.88,56.16
59.28,57.00,59.29,56.40
59.28,56.88,59.28,56.52
58.68,56.88,58.92,56.88
57.48,56.40,57.48,56.16
56.88,64.20,64.20,56.88
67.68,65.16,67.68,64.68
66.00,65.52,68.16,65.04
68.28,62.28,68.28,61.56
63.36,60.48,63.36,59.76
64.80,62.40,64.80,61.80
63.24,62.40,64.80,60.96
63.36,63.60,64.20,62.40
65.28,61.56,65.28,60.84
62.40,60.00,62.40,60.00
60.00,58.56,60.12,58.08
57.84,58.44,59.04,57.60
59.40,61.49,62.40,58.80
62.40,61.20,62.40,60.84
60.12,61.08,61.80,60.12
61.08,61.20,61.20,60.00
62.40,58.92,62.40,58.32
62.04,61.80,62.40,58.80
61.80,61.80,62.28,61.20
N/A,N/A,N/A,N/A
62.76,63.00,64.68,62.52
64.68,63.12,64.68,63.00
63.84,63.36,64.68,63.12
64.08,61.56,64.08,61.32
62.88,64.20,64.20,61.80
64.56,67.44,67.44,63.60
67.68,65.04,67.80,63.12
65.52,63.60,65.52,61.92
64.68,61.20,64.68,61.20
62.28,60.36,62.28,59.52
60.00,59.04,60.96,56.76
60.00,56.40,60.00,55.92
57.60,58.08,58.80,56.52
59.28,56.88,59.28,56.88
58.80,58.80,58.80,57.36
57.24,56.40,58.68,55.80
55.44,54.84,56.45,54.12
55.20,49.92,55.68,49.32
52.08,52.20,53.52,50.04
53.16,50.76,53.64,50.76
51.00,48.48,53.28,46.92
48.00,44.28,48.00,42.12
42.36,42.48,44.76,39.00
41.28,39.00,44.40,38.88
38.88,39.96,40.20,38.64
43.68,45.60,45.60,42.12
45.72,45.60,47.52,45.00
46.20,44.64,46.20,44.16
45.36,48.24,48.84,45.36
46.80,49.56,50.40,46.80
49.56,47.16,49.56,45.72
48.12,46.20,50.88,46.08
46.80,45.60,47.76,44.62
44.40,41.92,47.40,41.64
41.04,42.60,43.80,40.20
42.48,42.96,43.56,41.40
40.80,42.84,46.08,39.12
43.80,43.80,45.00,43.80
46.20,46.08,46.20,44.40
47.28,46.08,47.28,44.76
47.40,46.68,47.40,45.12
46.44,49.08,49.40,45.92
50.76,47.99,51.36,47.16
46.92,45.00,49.44,44.64
44.76,44.13,46.44,43.20
