CATM,Cardtronics plc - Common Stock,NASDAQ
11.21,11.00,11.25,10.20
10.94,10.41,11.00,10.25
10.41,10.48,10.67,10.40
10.42,10.41,10.46,10.32
10.45,11.15,11.27,10.45
11.18,10.83,11.56,10.62
10.68,11.34,11.45,10.61
11.35,11.03,11.35,10.84
10.95,11.28,11.35,10.89
11.28,11.15,11.28,10.97
11.15,11.21,11.27,11.02
11.11,11.00,11.12,10.53
11.00,10.98,11.04,10.71
10.95,10.99,11.00,10.73
11.09,11.00,11.20,10.66
10.91,10.95,11.09,10.65
10.90,10.95,11.00,10.81
10.95,10.97,11.17,10.88
11.01,10.89,11.23,10.85
10.93,11.03,11.08,10.41
11.01,11.41,11.47,10.90
11.40,12.00,12.12,11.40
11.98,11.82,12.03,11.58
11.87,12.02,12.07,11.59
12.07,11.77,12.78,11.72
12.02,12.00,12.33,11.88
11.97,12.12,12.37,11.97
11.23,10.61,11.50,10.05
10.46,10.60,10.65,10.23
10.82,10.51,10.82,10.07
10.57,10.54,10.57,10.37
10.49,10.25,10.58,10.20
10.19,9.91,10.24,9.68
9.91,9.89,9.94,9.75
9.90,9.82,9.92,9.72
9.81,9.99,10.10,9.70
9.87,9.90,9.91,9.54
9.94,9.88,10.17,9.81
9.79,9.64,9.90,9.51
9.69,9.76,9.88,9.51
9.83,10.02,10.35,9.72
10.10,10.40,10.44,10.04
10.53,10.69,10.85,10.42
10.74,11.01,11.18,10.70
10.93,11.22,11.30,10.90
11.16,11.17,11.30,11.02
11.03,11.06,11.14,10.93
11.14,11.00,11.19,10.77
10.93,10.63,10.95,10.50
10.63,10.52,10.63,10.45
10.56,10.50,10.85,10.47
10.55,10.32,10.69,10.27
10.38,10.04,10.46,10.04
9.85,10.00,10.15,9.70
9.97,10.40,10.41,9.86
10.33,10.88,10.89,10.26
10.94,11.56,11.78,10.91
11.48,11.84,11.90,11.45
11.85,12.90,13.44,11.74
12.80,12.62,12.88,12.27
12.37,12.57,13.05,12.31
N/A,N/A,N/A,N/A
12.60,13.01,13.08,12.49
12.93,13.03,13.20,12.90
12.88,12.69,13.00,12.64
12.55,13.18,13.50,12.45
13.25,13.15,13.30,12.79
13.10,13.17,13.25,12.77
13.08,13.05,13.18,13.00
13.11,13.49,13.58,13.09
13.40,12.86,13.48,12.75
12.85,12.95,13.08,12.51
12.86,12.81,13.10,12.71
12.90,13.09,13.22,12.76
13.08,13.11,13.15,12.89
13.01,13.03,13.24,12.96
13.15,13.03,13.15,12.95
13.07,14.24,14.58,13.07
14.24,13.84,14.45,13.60
13.90,13.42,13.90,13.29
13.51,13.61,13.68,12.91
14.40,13.94,14.44,13.86
14.08,14.16,14.34,13.91
13.99,14.02,14.20,13.68
13.90,13.66,14.00,13.43
13.56,12.24,13.71,10.49
12.26,11.62,12.26,10.40
11.98,11.55,12.39,11.43
11.43,11.74,12.00,11.35
11.75,12.00,12.11,11.75
11.94,12.22,12.41,11.73
12.02,11.02,12.02,10.67
11.07,10.93,11.43,10.63
11.02,10.71,11.08,10.69
10.68,11.96,12.10,10.68
11.63,11.75,11.96,11.36
11.59,12.96,13.19,11.59
12.99,13.16,13.42,12.82
12.82,12.55,13.07,12.28
12.65,12.78,13.11,12.32
13.05,13.27,13.38,12.97
13.27,12.95,13.37,12.94
12.87,12.64,13.02,12.54
12.77,12.78,12.79,12.34
12.71,12.98,13.07,12.70
12.69,12.17,12.99,12.09
12.20,11.85,12.34,11.80
11.85,11.77,11.88,11.30
11.93,12.30,12.65,11.71
12.49,12.75,12.78,12.05
12.61,12.77,12.80,12.36
12.84,12.87,13.14,12.17
12.93,12.65,13.02,12.41
12.54,12.58,12.66,12.17
12.58,12.46,12.58,12.08
12.51,12.96,12.98,11.84
13.07,12.64,13.37,12.41
12.65,12.25,12.86,12.21
12.21,12.03,12.28,11.87
11.94,11.78,11.97,11.71
11.79,12.65,12.68,11.59
12.54,13.17,13.25,12.52
12.90,13.06,13.30,12.90
13.04,12.96,13.66,12.85
12.93,12.49,13.05,11.81
12.61,12.01,12.61,11.82
12.20,11.86,12.27,11.68
11.96,12.43,12.53,11.68
12.62,12.50,12.89,12.32
12.52,12.62,12.73,12.20
12.55,12.31,12.65,12.15
12.51,12.97,13.00,12.43
12.89,12.67,12.98,12.48
12.65,12.49,12.67,11.98
12.32,11.87,12.50,11.83
11.90,11.98,12.01,11.55
11.85,12.38,12.38,11.77
12.47,11.78,12.47,11.76
11.96,12.45,12.49,11.89
12.44,12.71,13.12,12.27
12.78,13.00,13.05,12.40
13.08,12.94,13.43,12.88
12.95,12.88,13.02,12.78
12.94,12.93,13.04,12.46
12.74,12.95,13.17,12.53
13.09,13.26,13.30,12.95
13.20,13.27,13.34,12.99
13.27,13.10,13.50,13.00
