CDR,Cedar Realty Trust,NASDAQ
6.88,6.70,7.02,6.50
6.71,6.66,7.10,6.59
6.63,6.63,7.01,6.58
6.63,6.70,6.80,6.53
6.70,6.98,6.99,6.70
7.16,7.28,7.47,7.10
7.22,7.35,7.44,7.17
7.42,7.35,7.42,7.24
7.34,7.25,7.41,7.15
7.20,7.28,7.38,7.05
7.33,7.51,7.67,7.27
7.40,7.34,7.43,7.13
7.39,7.36,7.52,7.10
7.37,7.35,7.45,7.17
7.39,7.56,7.69,7.15
7.48,7.29,7.48,7.25
7.27,7.36,7.41,7.11
7.36,7.26,7.36,6.91
7.26,6.98,7.30,6.92
6.96,7.17,7.18,6.96
6.59,6.76,6.79,6.57
6.71,6.61,6.77,6.60
6.60,6.51,6.66,6.50
6.56,6.65,6.67,6.48
6.62,6.56,6.71,6.53
6.66,6.49,6.66,6.26
6.47,6.44,6.53,6.31
6.40,6.51,6.53,6.32
6.44,6.53,6.61,6.33
6.58,6.52,6.63,6.41
6.52,6.50,6.54,6.37
6.51,6.48,6.58,6.36
6.48,6.61,6.63,6.39
6.61,6.56,6.64,6.49
6.58,6.49,6.59,6.34
6.50,6.62,6.64,6.42
6.52,6.55,6.70,6.45
6.54,6.59,6.70,6.41
6.67,6.85,6.87,6.57
6.90,6.94,6.98,6.84
6.94,6.91,6.97,6.85
6.91,6.80,6.91,6.78
6.88,6.78,6.88,6.71
6.75,6.93,6.93,6.74
6.93,7.26,7.27,6.92
7.30,7.57,7.60,7.28
7.53,7.50,7.60,7.43
7.48,7.53,7.57,7.36
7.55,7.42,7.55,7.37
7.44,7.35,7.50,7.17
7.35,7.57,7.60,7.35
7.59,7.87,7.90,7.57
7.93,7.87,7.95,7.53
7.78,8.03,8.08,7.74
8.05,7.98,8.20,7.93
7.91,7.97,8.01,7.90
8.05,8.02,8.12,7.98
8.06,7.95,8.07,7.93
7.99,7.87,8.01,7.81
7.90,7.81,7.94,7.73
7.80,7.91,8.03,7.70
7.98,7.86,8.01,7.76
7.92,7.87,7.94,7.70
7.85,8.04,8.08,7.80
8.02,8.03,8.16,7.95
8.01,7.91,8.01,7.79
7.91,7.97,7.99,7.83
7.92,7.85,7.97,7.82
7.85,8.00,8.03,7.82
8.05,8.27,8.32,8.01
8.03,8.15,8.25,7.91
8.15,7.95,8.18,7.76
7.86,7.83,7.90,7.62
7.86,7.90,8.04,7.74
7.90,7.98,8.04,7.85
7.87,7.95,8.00,7.65
7.96,7.96,8.00,7.85
7.93,8.10,8.19,7.92
8.08,7.88,8.25,7.85
7.90,7.88,8.02,7.84
7.98,8.29,8.31,7.96
8.29,7.96,8.39,7.95
8.05,8.21,8.27,8.01
8.06,7.87,8.06,7.79
7.83,7.55,7.87,7.45
7.43,7.02,7.46,6.82
6.88,6.75,7.25,6.73
6.97,7.07,7.12,6.87
6.97,7.28,7.32,6.80
7.29,7.58,7.61,7.23
7.52,7.64,7.74,7.42
7.55,7.48,7.56,7.34
7.53,7.68,7.71,7.15
7.77,7.25,7.89,7.16
7.20,7.02,7.39,6.93
6.82,6.59,7.02,6.49
6.45,6.52,6.60,6.19
6.48,6.39,6.51,6.27
6.22,6.25,6.30,6.01
6.32,6.29,6.50,6.20
6.45,6.83,6.85,6.42
6.81,6.87,6.99,6.78
6.83,6.52,6.92,6.51
6.54,6.52,6.58,6.39
6.56,6.67,6.81,6.51
6.51,6.20,6.51,6.20
6.23,6.18,6.39,6.15
6.23,6.20,6.35,6.16
6.27,6.11,6.34,6.03
6.31,6.41,6.43,6.14
6.36,6.69,6.72,6.35
6.77,6.61,6.89,6.51
6.69,6.81,6.84,6.67
6.81,6.89,6.93,6.57
6.96,6.88,7.05,6.84
6.85,6.70,6.92,6.53
6.80,6.59,6.87,6.52
6.59,6.36,6.75,6.32
6.34,6.12,6.35,6.12
6.06,5.89,6.12,5.87
5.91,6.23,6.55,5.90
6.24,6.02,6.27,6.01
5.91,5.90,5.98,5.85
5.91,6.02,6.10,5.88
5.83,5.84,5.94,5.51
5.85,5.67,5.85,5.66
5.84,5.51,5.86,5.50
5.54,5.70,5.71,5.51
5.75,5.77,5.79,5.58
5.71,5.90,5.93,5.69
5.87,5.77,5.92,5.70
5.88,6.01,6.06,5.76
5.97,6.04,6.08,5.86
6.07,5.95,6.08,5.78
5.91,5.78,5.94,5.76
5.79,5.67,5.86,5.57
5.61,5.90,5.91,5.56
5.96,5.69,6.00,5.63
5.79,5.96,5.97,5.72
5.91,6.18,6.20,5.84
6.22,6.44,6.46,6.16
6.51,6.54,6.62,6.45
6.54,6.44,6.67,6.39
6.49,6.16,6.49,6.05
6.04,6.20,6.25,5.91
6.28,6.11,6.28,6.10
6.11,6.17,6.25,6.07
