CGNT,Cogentix Medical,NASDAQ
6.45,6.25,6.95,6.20
6.50,6.35,6.60,6.25
6.35,6.15,6.35,6.15
6.15,5.80,6.15,5.65
6.00,5.85,6.30,5.80
6.10,5.90,6.35,5.80
6.15,6.25,6.25,5.90
6.30,5.90,7.05,5.85
6.00,6.00,6.15,5.95
6.40,6.40,6.40,5.85
6.05,6.40,6.75,6.00
6.30,6.65,6.65,6.30
6.55,6.35,6.60,6.35
6.30,6.05,6.30,6.05
6.25,6.06,6.25,6.05
6.10,6.25,6.38,6.00
6.20,6.00,6.20,6.00
6.00,5.55,6.00,5.45
5.55,5.80,5.80,5.45
5.65,5.90,5.90,5.50
5.85,5.80,5.85,5.80
5.81,6.05,6.05,5.80
6.01,5.75,6.01,5.75
5.75,5.70,5.75,5.50
5.85,6.00,6.00,5.50
6.15,5.75,6.15,5.65
5.50,5.70,6.60,5.35
5.70,5.30,5.70,5.20
5.20,5.15,5.35,4.40
4.55,4.95,5.20,4.40
5.15,5.20,5.40,5.00
5.20,5.20,5.20,4.70
5.05,4.80,5.05,4.70
4.80,5.00,5.00,4.80
4.90,4.90,5.07,4.85
5.00,5.00,5.10,5.00
4.85,5.00,5.00,4.80
4.85,5.15,5.15,4.85
5.10,5.00,5.60,4.85
5.00,5.95,6.25,5.00
5.85,5.00,5.85,4.95
5.00,4.96,5.50,4.96
5.00,5.00,5.25,4.82
5.00,4.85,5.30,4.85
4.95,5.00,5.30,4.95
5.00,4.95,5.10,4.80
5.40,5.00,5.40,4.90
5.00,4.95,5.05,4.81
4.92,4.90,5.05,4.90
5.05,4.95,5.50,4.95
5.00,5.00,5.60,4.91
5.00,4.80,5.05,4.80
5.00,5.45,5.45,4.82
5.50,4.90,5.50,4.90
5.00,4.85,5.25,4.85
5.00,5.05,5.05,4.90
5.00,4.90,5.00,4.90
4.95,4.95,4.99,4.90
4.75,4.70,4.85,4.70
4.70,4.65,4.70,4.65
4.70,4.65,4.80,4.65
N/A,N/A,N/A,N/A
4.80,4.85,4.85,4.66
4.85,4.65,4.85,4.65
4.65,4.84,4.85,4.65
