CHDN,Churchill Downs,NASDAQ
37.74,38.57,38.57,37.48
38.63,37.59,38.68,37.40
37.43,37.00,37.43,36.52
36.92,36.83,37.12,36.61
36.75,36.96,37.04,36.62
37.09,37.18,37.20,36.79
37.08,37.32,37.49,37.08
37.62,37.13,37.74,37.13
37.11,37.11,37.42,36.91
37.78,37.43,38.04,37.00
37.51,37.74,37.76,37.41
37.35,37.41,37.52,36.80
37.40,37.00,37.40,36.85
37.01,37.05,37.40,36.72
37.45,37.13,37.70,37.00
37.04,36.95,37.47,36.90
36.80,37.44,37.50,36.80
37.40,36.67,37.40,36.67
36.67,36.30,37.27,35.95
36.35,35.90,36.67,35.81
35.82,35.85,36.07,35.55
35.81,35.89,36.00,35.40
35.70,34.85,35.70,34.85
34.87,34.67,34.96,33.95
34.51,34.18,34.99,34.11
34.25,34.29,34.50,34.08
34.07,34.06,35.82,33.93
34.05,34.86,34.88,33.88
34.40,34.81,35.04,34.40
35.01,35.07,35.12,34.53
35.22,35.24,35.30,35.00
35.10,35.55,35.57,34.87
35.56,35.86,36.08,35.39
36.37,35.95,36.37,35.51
35.78,35.70,35.95,35.63
35.73,35.91,36.09,35.64
33.61,35.04,35.27,33.61
35.14,35.58,35.91,34.74
35.89,35.93,35.98,35.62
36.01,36.11,36.30,35.15
36.00,35.81,36.00,34.62
35.87,36.67,36.67,35.60
36.81,38.15,38.44,36.80
38.64,38.16,38.64,37.97
38.14,38.20,38.54,36.99
38.20,38.52,38.66,38.00
38.26,37.38,38.49,37.14
37.39,36.80,37.39,36.40
36.82,36.84,36.88,36.47
36.86,36.91,36.95,35.97
36.87,37.21,37.56,36.81
37.10,36.95,38.53,36.67
37.22,36.94,37.57,36.62
36.75,37.14,37.25,36.60
37.10,37.29,37.36,36.60
37.00,36.55,37.11,36.50
36.94,37.06,37.70,36.67
37.25,37.74,37.75,36.71
37.74,38.31,38.38,37.56
38.33,38.32,38.37,37.55
38.06,37.50,38.31,37.50
N/A,N/A,N/A,N/A
37.50,38.35,38.43,37.50
37.89,38.15,38.40,37.89
38.00,38.34,38.45,37.97
37.33,39.20,39.38,37.33
39.07,39.22,39.32,38.90
39.25,39.58,39.75,39.08
39.38,39.79,39.81,39.24
39.48,40.39,40.40,39.48
40.46,40.67,40.67,40.04
40.67,39.87,40.92,39.52
39.70,38.86,40.04,38.78
39.13,39.15,39.17,38.16
39.08,39.24,39.65,38.50
38.77,39.79,39.82,38.62
39.60,39.85,40.51,39.60
39.74,39.52,39.83,39.30
39.24,38.94,39.50,38.50
39.29,38.91,39.31,38.70
39.28,39.42,39.45,39.07
39.28,38.33,39.33,38.27
38.70,39.38,39.60,38.15
38.80,38.33,38.90,38.08
38.00,37.88,38.61,37.88
37.68,36.89,38.11,36.70
36.89,35.85,37.06,35.55
37.55,36.68,37.55,36.00
36.25,37.59,37.73,36.02
37.56,38.64,38.78,37.44
38.42,37.62,38.42,37.42
37.23,36.61,37.63,36.17
36.96,36.78,37.54,36.35
37.33,36.10,37.42,36.02
36.02,35.13,36.24,35.11
34.87,33.36,35.12,33.25
33.02,34.16,34.44,32.93
34.85,33.52,34.85,33.40
32.89,33.28,33.41,32.68
34.22,33.08,34.22,33.00
33.83,33.91,34.57,33.27
33.90,33.53,34.43,33.19
33.21,32.04,33.49,32.02
33.09,32.85,33.09,31.99
32.00,33.34,33.35,31.62
32.75,31.96,33.54,31.94
32.05,30.86,32.10,30.86
31.00,31.27,31.30,30.33
31.74,31.70,32.50,31.47
32.21,32.82,32.83,31.51
32.18,33.62,33.71,32.18
33.83,33.75,34.55,33.62
34.07,34.62,34.70,34.07
34.21,34.41,34.75,34.21
34.67,34.33,34.73,33.95
34.59,34.40,34.63,33.90
34.87,33.98,34.87,33.83
34.20,33.25,34.26,33.15
33.14,33.27,33.71,33.14
33.12,32.88,33.36,32.82
33.13,34.02,34.02,32.92
33.95,33.37,34.15,33.22
32.73,33.18,33.26,32.65
33.27,32.80,33.44,32.78
32.80,32.86,33.00,32.28
33.13,32.85,33.13,32.35
33.16,32.45,33.47,31.87
32.65,32.42,33.15,32.15
32.81,32.42,32.86,31.84
32.83,33.08,33.09,32.31
33.36,32.86,33.36,32.60
33.41,33.96,34.00,33.12
33.78,33.52,33.88,33.17
33.50,33.08,33.50,32.80
33.00,32.16,33.26,32.14
32.50,32.73,32.76,32.07
32.26,33.46,33.50,32.26
33.55,33.04,33.55,33.00
33.50,34.12,34.28,33.42
33.91,35.06,35.21,33.88
35.07,36.13,36.41,34.62
36.50,35.82,36.50,35.37
35.63,35.11,35.83,34.87
35.67,35.59,36.11,34.90
35.00,36.37,36.49,34.46
36.89,37.21,37.25,36.40
36.94,36.45,37.44,35.60
36.55,37.24,37.24,36.40
36.80,36.01,36.80,35.49
35.44,35.96,36.07,35.25
36.03,36.54,36.59,35.77
36.05,35.65,36.55,35.26
35.10,34.92,35.20,34.60
34.53,35.08,35.25,34.53
35.00,35.56,35.70,34.85
35.27,35.58,35.72,34.96
36.07,36.36,36.65,35.84
35.89,36.08,36.82,35.56
35.83,34.76,35.92,34.76
34.66,34.57,34.66,34.03
34.72,34.47,34.98,34.29
34.00,34.18,34.55,33.88
34.01,35.54,35.59,33.99
35.58,34.65,35.58,34.59
34.91,35.90,36.00,34.41
35.67,34.61,35.73,34.58
34.50,34.37,34.99,33.91
34.92,35.13,35.28,33.84
35.00,35.73,35.91,34.61
36.23,36.39,36.49,35.79
36.34,34.89,36.34,34.61
35.09,35.09,35.48,35.01
35.72,35.51,35.85,34.97
35.51,35.37,35.72,34.77
35.65,35.80,36.16,35.31
35.64,35.23,35.70,34.87
35.13,35.18,35.32,34.65
35.10,34.82,35.15,34.50
35.24,34.73,35.24,34.51
34.71,35.43,35.50,34.50
35.48,35.15,35.48,35.09
35.02,34.91,35.33,34.75
34.75,34.21,35.02,34.15
34.78,35.64,35.64,34.60
35.75,35.19,35.75,35.04
35.29,35.51,35.60,34.85
35.31,35.81,36.06,35.28
36.09,35.72,36.09,35.33
36.05,36.00,36.20,35.49
35.96,35.41,36.15,35.12
35.90,36.63,36.66,35.58
36.52,36.70,36.80,36.41
37.00,36.50,37.00,36.36
36.48,37.10,37.25,36.33
36.22,36.93,37.00,36.19
36.71,36.73,37.00,35.03
36.84,37.05,37.17,36.44
37.17,36.99,37.17,36.60
37.27,36.42,37.27,36.42
36.62,36.75,36.89,36.42
36.13,36.18,36.91,35.88
36.38,36.24,36.75,36.22
36.50,35.70,36.70,35.34
35.99,35.73,35.99,35.56
35.80,35.84,36.31,35.65
35.54,35.98,36.25,35.25
35.85,35.89,36.04,35.45
36.25,35.94,36.25,35.78
35.79,36.23,36.38,35.78
36.31,36.12,36.37,35.73
36.42,36.73,36.73,36.16
36.56,36.65,36.75,36.29
36.75,37.96,37.97,36.70
38.00,38.13,38.20,37.59
37.83,37.72,37.86,37.28
37.86,37.51,37.86,37.20
37.65,38.34,38.75,37.34
37.91,38.24,38.77,37.91
37.82,37.51,38.29,37.49
37.83,37.90,38.49,37.57
37.50,37.29,37.87,36.93
37.46,37.16,37.63,36.90
37.69,37.95,38.50,37.45
38.02,38.21,38.50,37.77
38.11,38.27,38.42,37.38
37.87,37.87,38.00,37.41
38.09,38.84,38.85,38.00
38.59,39.11,39.21,38.43
38.73,39.38,39.59,38.46
38.85,39.59,39.75,38.36
39.98,40.98,41.16,39.90
41.03,40.57,41.03,40.18
40.36,41.00,41.00,40.36
40.94,40.68,40.99,40.34
41.00,41.40,41.40,40.72
41.48,40.80,41.50,40.72
41.13,41.65,41.71,40.44
41.74,41.45,41.74,40.66
41.50,41.27,41.78,40.97
41.51,41.37,41.51,41.27
41.27,41.21,41.50,40.92
41.19,41.56,41.56,41.03
41.65,41.96,42.00,41.13
42.00,42.09,42.44,41.69
42.22,42.58,42.69,41.93
42.54,43.20,43.25,42.48
43.34,43.61,43.80,43.31
43.45,43.76,43.86,43.42
43.71,44.02,44.25,43.60
43.76,44.20,44.50,43.75
44.09,44.12,44.50,44.09
44.14,43.40,44.23,43.22
43.93,44.41,44.50,43.45
44.49,42.56,44.49,42.47
42.79,42.79,43.13,42.18
42.70,43.49,43.50,42.63
43.50,43.74,43.75,43.13
43.46,43.53,43.75,43.23
43.74,43.62,43.77,43.31
43.51,41.90,43.63,41.72
41.79,42.11,42.30,41.31
41.95,42.22,42.22,41.47
41.89,42.41,42.43,41.59
42.20,41.89,42.20,41.37
41.54,41.94,42.25,41.51
42.08,41.78,42.11,41.58
41.88,42.21,42.21,41.71
41.93,42.43,42.50,41.84
42.50,42.94,43.18,42.35
42.70,42.82,43.13,42.20
42.82,41.88,42.89,41.27
41.60,41.41,42.20,41.40
41.70,41.86,42.24,41.06
41.65,41.79,42.01,41.57
41.79,42.01,42.02,41.40
41.82,41.94,42.07,41.35
41.87,42.06,42.10,41.78
41.89,42.03,42.03,41.47
41.77,41.92,42.00,41.48
41.81,42.04,42.10,41.64
41.88,42.16,42.25,41.65
42.05,42.00,42.12,41.71
41.71,41.96,42.19,41.63
42.10,42.11,42.15,41.88
42.03,42.45,42.50,41.81
42.50,42.23,42.50,41.90
41.82,41.47,42.27,41.41
41.54,40.77,41.57,40.69
40.98,40.45,41.19,40.24
40.47,40.89,40.89,40.30
41.27,41.75,42.50,41.02
41.95,41.98,42.71,41.75
41.95,42.13,42.46,41.45
42.50,42.42,42.67,42.18
42.22,41.57,42.22,41.18
41.62,40.61,41.62,39.84
40.59,41.38,41.50,40.54
41.36,41.26,41.57,41.18
40.65,40.00,40.65,39.60
39.95,40.24,40.48,39.79
39.71,39.71,40.33,39.36
37.58,39.09,39.67,37.58
39.19,38.97,39.68,38.41
39.76,39.29,39.76,38.80
39.53,40.10,40.25,39.53
40.47,41.20,41.20,40.47
41.30,40.77,41.48,40.63
40.57,40.72,40.91,40.15
40.70,40.82,40.98,40.52
40.88,41.42,41.73,40.70
41.89,40.98,41.89,40.84
40.02,41.17,41.30,40.02
40.26,41.89,42.00,40.26
40.69,41.50,41.98,40.69
41.76,41.48,41.76,41.27
41.68,41.31,41.68,40.92
41.17,41.49,41.50,41.05
41.93,42.13,42.20,41.19
42.13,41.32,42.36,41.30
41.56,40.86,41.73,40.72
40.79,40.86,40.93,40.46
41.59,39.82,41.59,39.82
39.73,40.15,41.16,39.21
40.00,40.19,40.37,39.57
39.95,41.15,41.24,39.95
40.52,40.64,40.71,40.06
40.70,40.06,40.70,39.85
40.50,40.79,40.80,40.31
40.99,40.74,40.99,40.26
40.51,40.75,41.21,40.51
41.02,40.81,41.21,40.34
40.76,40.96,41.09,40.76
40.95,41.30,41.37,40.88
41.36,41.71,41.99,41.36
41.31,40.86,41.40,40.67
41.09,40.84,41.10,40.60
40.74,40.53,40.75,40.27
40.27,40.60,41.03,40.23
41.03,40.22,41.07,40.21
40.08,40.79,40.96,39.65
41.65,44.00,44.06,41.39
43.65,44.20,44.67,43.64
44.09,46.19,46.29,44.09
46.14,44.86,46.45,44.77
44.70,43.98,45.17,43.72
43.92,43.92,44.27,43.63
43.92,43.80,44.00,43.61
43.91,44.00,44.51,43.50
43.71,43.39,43.79,42.90
42.56,42.76,43.34,42.43
42.96,42.24,42.96,42.07
42.30,42.48,42.71,42.13
42.41,43.00,43.82,42.34
43.00,42.77,43.00,42.60
43.01,43.68,43.73,42.46
43.50,43.40,44.61,43.09
43.51,43.15,43.51,42.88
42.72,42.22,43.51,42.08
42.14,42.07,42.81,41.26
42.26,41.88,42.57,41.53
41.64,41.77,41.91,41.30
41.54,41.74,42.33,41.49
41.42,41.23,41.60,40.96
41.53,41.45,41.92,41.05
41.68,42.06,42.18,41.55
41.65,41.91,42.58,41.65
41.87,42.91,43.21,41.87
43.13,42.86,43.71,42.60
42.77,43.92,44.22,42.77
44.00,44.64,44.88,44.00
44.48,43.66,44.76,43.64
43.38,43.28,43.47,42.47
43.24,42.95,43.50,42.50
42.86,43.73,43.81,42.23
