CHII,Global X China Industrials ETF,NASDAQ
15.51,15.87,15.94,15.51
16.00,16.08,16.15,16.00
16.29,16.31,16.31,16.24
16.34,16.23,16.34,16.16
16.25,16.36,16.36,16.19
16.59,16.67,16.79,16.47
16.74,16.39,16.74,16.26
16.24,16.11,16.24,15.97
16.18,16.08,16.18,15.99
nan,15.82,nan,nan
16.07,16.35,16.37,15.97
16.12,16.04,16.27,15.90
15.80,15.28,15.80,15.24
14.99,14.72,15.04,14.67
15.18,15.03,15.30,14.94
14.58,14.54,14.75,14.52
14.32,14.38,14.38,14.17
14.40,14.23,14.40,14.14
14.27,14.06,14.35,14.04
14.45,14.60,14.60,14.40
14.62,14.80,14.80,14.60
14.83,14.76,14.89,14.70
14.50,14.09,14.50,14.09
13.92,13.92,13.92,13.57
13.85,13.75,13.95,13.75
13.93,14.05,14.17,13.87
14.26,14.36,14.42,14.18
14.42,14.57,14.58,14.33
nan,14.30,nan,nan
14.44,14.62,14.62,14.44
14.57,14.60,14.61,14.52
14.61,14.66,14.66,14.50
14.41,14.52,14.54,14.35
14.48,14.36,14.48,14.36
14.40,14.22,14.42,14.20
14.40,14.60,14.62,14.40
14.29,14.44,14.44,14.14
14.44,14.56,14.56,14.36
14.84,14.82,14.86,14.80
14.99,15.04,15.08,14.99
15.13,15.16,15.36,15.13
14.98,14.98,15.08,14.92
15.23,15.33,15.37,15.20
15.37,15.45,15.50,15.37
15.42,15.44,15.56,15.37
15.50,15.47,15.56,15.42
15.38,15.45,15.45,15.25
15.41,15.28,15.44,15.25
15.13,15.07,15.23,15.01
15.12,15.19,15.21,15.07
15.28,15.27,15.37,15.24
15.27,15.19,15.27,15.18
15.32,15.22,15.33,15.18
15.03,15.20,15.22,15.03
15.16,15.15,15.16,15.00
14.97,14.95,15.05,14.95
15.06,14.81,15.06,14.81
15.11,15.04,15.19,14.99
15.16,15.22,15.24,15.15
15.34,15.40,15.41,15.29
15.19,15.25,15.31,15.17
nan,15.69,nan,nan
15.85,15.90,15.95,15.83
15.80,15.96,15.98,15.80
15.90,15.72,15.90,15.65
15.71,15.80,15.81,15.58
15.84,15.93,15.93,15.84
15.72,15.71,15.79,15.64
15.52,15.59,15.60,15.44
15.70,15.80,15.83,15.70
15.69,15.74,15.78,15.69
15.45,15.16,15.45,15.10
14.87,14.98,14.99,14.82
15.11,15.10,15.12,15.03
15.17,15.11,15.17,15.01
15.08,15.19,15.19,14.99
15.10,15.16,15.16,15.08
15.30,15.23,15.32,15.23
14.97,14.60,14.97,14.60
14.69,14.67,14.76,14.58
14.75,14.95,14.96,14.75
14.88,14.64,14.92,14.64
14.81,14.76,14.81,14.61
14.40,14.14,14.41,14.05
14.03,13.93,14.14,13.84
13.70,13.10,13.70,12.79
13.40,13.17,13.45,13.06
13.99,14.06,14.06,13.90
13.83,13.82,14.00,13.80
13.89,13.93,13.98,13.82
14.01,13.93,14.11,13.93
13.68,13.68,13.68,13.54
13.48,13.20,13.48,13.17
13.63,13.35,13.63,13.27
12.99,13.07,13.12,12.91
12.57,12.56,12.67,12.47
12.26,12.82,12.84,12.26
13.13,12.98,13.23,12.91
12.41,12.80,12.80,12.38
12.96,12.86,13.07,12.86
13.37,13.58,13.58,13.37
nan,13.69,nan,nan
13.33,13.37,13.49,13.33
13.44,13.57,13.57,13.35
13.55,13.47,13.65,13.40
13.30,13.24,13.52,13.20
13.36,13.01,13.36,13.01
13.09,13.24,13.25,13.03
13.30,13.15,13.40,13.15
13.20,13.34,13.37,13.20
13.29,13.40,13.41,13.25
13.67,13.52,13.70,13.52
13.75,13.81,13.86,13.75
13.70,13.87,13.87,13.70
13.73,13.74,13.74,13.69
13.81,13.71,13.82,13.71
14.24,14.11,14.36,14.11
14.08,13.96,14.19,13.96
13.95,14.02,14.08,13.95
13.94,13.86,13.94,13.85
13.77,13.84,13.89,13.77
13.87,13.85,13.91,13.84
