CHL,China Mobile Limited Common Stock,NASDAQ
47.02,47.10,47.30,47.01
47.18,47.19,47.29,46.80
47.40,47.42,47.61,47.28
47.30,47.36,47.43,47.07
47.76,48.01,48.09,47.63
48.35,48.64,48.72,48.05
49.04,49.01,49.18,48.35
49.77,49.90,50.08,49.53
50.81,50.54,50.91,50.51
50.68,50.00,50.68,49.94
49.97,50.49,50.59,49.95
49.19,49.05,49.53,48.75
48.33,47.84,48.57,47.58
47.63,46.87,47.93,46.80
48.32,47.87,48.47,47.77
47.56,47.74,48.12,47.20
47.38,47.57,47.68,47.00
47.94,47.27,48.07,46.94
47.73,46.95,47.75,46.76
47.92,48.42,48.50,47.84
48.49,49.23,49.40,48.48
49.14,48.91,49.22,48.75
47.83,46.97,47.83,46.97
47.30,47.38,47.43,46.42
48.42,47.96,48.61,47.92
48.81,48.95,49.40,48.54
48.42,48.20,48.49,47.60
48.69,49.18,49.27,48.31
48.25,48.59,48.68,47.83
48.65,49.01,49.16,48.52
49.34,49.36,49.44,49.14
49.11,49.65,49.78,48.92
48.62,48.79,49.02,48.48
49.40,49.09,49.40,48.79
49.11,48.65,49.22,48.48
49.26,49.45,49.69,49.09
48.92,49.17,49.26,48.50
49.35,49.43,49.54,48.77
49.58,49.55,49.75,49.38
49.43,49.14,49.43,48.97
48.15,47.78,48.47,47.49
46.92,47.29,47.33,46.83
47.41,47.40,47.70,47.06
47.53,48.26,48.43,47.53
47.65,47.90,48.19,47.57
47.99,48.08,48.15,47.74
48.22,48.89,48.96,48.22
48.62,48.51,48.86,48.38
48.35,48.55,48.64,48.28
48.51,48.78,48.85,48.43
48.85,48.48,48.90,48.24
49.05,49.45,49.48,49.00
49.30,48.96,49.31,48.81
48.49,48.81,49.05,48.41
48.70,48.93,48.96,48.50
48.41,48.19,48.42,47.95
48.11,47.79,48.23,47.76
48.01,48.04,48.42,47.88
48.30,48.56,48.62,48.20
48.57,48.77,48.92,48.34
48.13,48.12,48.41,47.95
48.56,48.57,48.97,48.27
48.88,49.19,49.19,48.61
49.22,49.25,49.48,49.07
49.25,48.89,49.25,48.65
49.62,50.50,50.90,49.56
50.92,51.26,51.44,50.92
50.89,50.70,50.97,50.58
50.92,50.99,51.19,50.67
51.50,51.78,51.82,51.30
51.81,52.07,52.12,51.76
51.10,50.30,51.13,49.93
50.26,50.21,50.40,49.64
51.37,50.69,51.50,50.35
50.66,50.64,50.82,50.25
50.30,50.65,50.74,49.87
50.59,50.93,50.99,50.52
51.06,50.78,51.13,50.72
50.35,49.62,50.53,49.44
49.97,49.85,50.20,49.46
49.45,49.29,49.85,49.15
49.54,48.90,49.65,48.83
49.10,49.38,49.49,48.87
47.73,47.45,48.16,47.10
47.15,47.36,47.82,46.98
47.83,46.78,48.28,44.36
46.90,47.22,47.84,46.13
48.56,49.04,49.08,48.42
48.25,48.64,49.20,48.25
48.97,48.69,49.14,48.43
48.53,48.22,48.69,48.20
47.75,47.27,47.75,47.00
47.25,47.80,47.98,46.99
48.01,47.57,48.29,47.36
47.26,47.53,47.77,47.08
46.94,46.48,47.28,46.25
45.92,46.83,46.89,45.60
47.25,46.96,47.54,46.95
45.97,46.95,47.01,45.70
46.46,46.27,47.12,46.17
46.66,47.39,47.42,46.51
47.02,46.57,47.05,46.14
46.97,46.61,47.70,46.61
47.01,47.61,47.61,46.64
47.51,47.63,47.78,47.10
46.88,46.42,47.23,46.29
47.43,47.11,47.85,47.07
47.97,48.34,48.34,47.64
49.05,48.95,49.64,48.81
49.61,49.92,49.93,49.36
49.28,50.01,50.01,49.21
50.00,49.43,50.20,49.38
49.45,50.08,50.08,49.42
49.57,50.09,50.20,49.57
49.98,49.94,50.04,49.52
50.02,49.87,50.02,49.58
50.41,50.60,50.91,50.27
50.55,50.26,50.75,50.12
50.99,51.18,51.55,50.85
50.95,50.45,50.96,50.29
50.55,50.67,50.98,50.32
50.74,50.60,50.80,50.34
49.50,49.27,49.82,49.11
49.68,49.41,50.14,49.35
49.35,49.66,49.74,48.84
50.09,49.98,50.31,49.72
50.11,50.19,50.87,50.00
49.81,50.30,50.34,49.49
50.36,50.49,50.63,50.08
50.77,50.94,51.10,50.65
51.10,50.93,51.24,50.77
51.09,51.34,51.47,51.01
50.93,50.95,50.98,50.63
50.37,50.36,50.51,49.87
49.67,49.21,49.67,48.91
49.44,49.61,49.88,49.40
49.39,50.20,50.34,49.26
50.52,50.14,50.62,49.95
50.74,50.95,51.03,50.45
50.48,50.94,50.95,50.06
50.30,50.67,50.73,50.12
50.81,50.75,50.98,50.48
50.91,50.67,50.91,50.52
50.62,50.51,50.82,50.15
50.10,50.94,51.13,50.10
51.12,51.52,51.71,51.05
51.22,51.35,51.37,50.87
52.27,52.65,52.77,52.07
52.62,52.78,52.82,52.37
52.56,53.20,53.28,52.51
53.68,53.46,53.88,53.29
51.95,52.84,52.93,50.87
52.39,52.11,52.51,52.01
53.50,53.53,53.93,53.37
52.97,52.69,53.11,52.49
53.49,54.08,54.20,53.49
54.61,54.40,54.70,54.19
54.09,54.40,54.60,54.07
52.69,52.61,53.12,52.21
52.90,53.18,53.25,52.65
52.39,52.69,53.05,52.39
51.72,51.62,51.76,51.20
51.23,51.52,51.67,50.86
51.93,51.72,52.08,51.68
52.43,52.78,53.05,52.16
52.00,51.63,52.15,51.52
50.96,51.32,51.72,50.86
51.40,51.73,51.90,51.08
51.22,51.68,51.79,51.22
52.16,52.33,52.74,52.00
51.87,50.25,51.87,50.13
49.57,49.65,50.25,49.03
49.87,49.88,50.10,49.78
49.37,48.57,49.50,48.45
50.09,50.09,50.32,49.90
50.08,50.27,50.47,49.86
49.73,49.90,50.09,49.72
49.86,50.17,50.27,49.78
50.61,50.43,50.78,50.25
50.94,51.34,51.40,50.93
51.41,51.49,51.61,51.24
51.32,51.44,51.75,51.24
51.11,51.28,51.44,50.82
51.51,52.03,52.09,51.51
52.09,51.62,52.13,51.51
51.42,51.40,51.48,50.98
51.46,51.26,51.46,51.07
50.95,51.13,51.45,50.75
51.40,51.54,51.75,51.26
51.72,51.75,51.92,51.39
52.24,52.99,53.36,52.05
52.62,53.10,53.20,52.62
53.39,53.17,53.46,52.95
52.86,53.10,53.26,52.76
53.00,53.18,53.26,53.00
52.76,52.70,52.76,52.25
53.07,53.28,53.57,53.00
53.67,53.46,53.80,53.20
53.55,53.67,53.87,53.03
53.18,53.71,53.81,53.18
53.31,53.35,53.68,52.96
53.19,53.27,53.51,52.85
52.48,52.45,52.55,52.00
52.05,52.07,52.12,51.78
52.01,52.03,52.19,51.83
51.84,51.96,52.08,51.47
51.10,51.26,51.28,50.51
51.03,50.91,51.08,50.70
50.96,51.37,51.37,50.85
51.33,51.33,51.53,51.10
51.40,51.29,51.57,51.16
51.45,51.40,51.54,51.03
52.43,53.02,53.32,52.12
52.89,53.04,53.12,52.74
53.24,53.13,53.28,52.90
53.15,52.47,53.22,52.32
52.45,52.72,52.82,52.01
52.05,51.94,52.13,51.80
51.39,51.28,51.55,51.03
51.28,51.30,51.60,51.23
50.80,50.38,50.85,50.22
50.30,50.21,50.59,50.19
50.50,50.39,50.61,50.34
50.33,50.42,50.46,50.01
50.46,50.61,50.84,50.27
50.10,49.94,50.18,49.70
50.12,50.51,50.57,50.01
50.20,50.37,50.53,50.08
50.05,50.25,50.39,49.71
49.62,49.85,50.18,49.59
50.49,50.49,50.63,50.30
50.47,50.63,50.83,50.31
50.23,50.40,50.42,50.15
50.34,50.33,50.44,50.14
50.92,50.68,51.22,50.67
50.29,50.18,50.38,49.75
50.28,50.05,50.31,50.00
50.04,50.07,50.28,50.00
50.39,50.08,50.52,50.08
49.88,49.82,50.00,49.67
49.57,49.26,49.63,49.23
