CIGI,Colliers International Group Inc.  - Subordinate Voting Shares,NASDAQ
19.45,19.34,19.63,19.20
19.48,19.91,19.99,19.46
19.87,19.99,19.99,19.54
19.59,19.93,20.00,19.59
19.99,20.06,20.23,19.82
19.92,19.97,20.04,19.87
19.63,20.10,20.10,19.45
20.04,20.07,20.41,19.90
20.10,20.22,20.22,20.10
20.22,20.23,20.32,20.08
20.15,20.70,20.70,20.12
20.28,20.25,20.34,19.91
20.19,20.22,20.35,20.13
20.23,19.92,20.47,19.84
19.76,19.68,19.82,19.56
19.40,19.48,19.62,19.34
19.44,19.60,19.60,19.31
19.55,19.62,19.69,19.50
19.98,19.38,20.05,19.38
19.18,19.54,19.59,19.01
19.74,19.76,19.93,19.74
19.87,19.72,19.91,19.68
19.62,19.46,19.66,19.20
19.44,19.46,19.46,19.15
19.57,19.58,20.33,19.55
19.99,19.52,19.99,19.52
19.71,19.59,19.71,19.40
19.88,19.81,19.89,19.65
19.71,19.79,19.83,19.66
19.76,19.64,20.01,19.64
19.66,19.61,19.78,19.58
19.65,19.76,19.76,19.55
19.91,19.89,19.92,19.76
19.86,19.57,19.86,19.32
19.61,19.01,19.62,19.01
18.94,18.93,18.94,18.36
18.86,19.36,19.37,18.73
19.41,19.15,19.51,19.15
19.24,19.68,19.71,19.24
19.99,19.59,19.99,19.43
19.80,19.58,19.93,19.58
19.58,19.73,19.81,19.53
19.89,19.94,20.01,19.81
20.02,19.98,20.07,19.88
19.64,19.82,19.82,19.53
19.92,19.96,20.05,19.80
19.90,20.18,20.18,19.66
20.33,20.62,20.69,20.25
20.50,20.50,20.68,20.35
20.45,20.60,20.67,20.33
20.60,20.66,20.85,20.50
20.70,20.99,21.00,20.70
21.13,21.20,21.45,21.01
20.93,21.45,21.49,20.80
21.57,22.13,22.14,21.49
21.95,21.96,22.13,21.95
22.00,21.85,22.09,21.80
21.81,22.21,22.22,21.77
22.37,22.71,22.78,22.32
22.94,22.36,22.97,22.34
22.46,22.86,22.86,21.98
N/A,N/A,N/A,N/A
23.20,23.28,23.49,23.03
23.11,23.71,24.02,23.11
23.73,23.42,23.76,23.42
23.52,23.31,23.69,23.31
23.58,23.26,23.60,23.05
23.27,23.27,23.27,23.05
23.29,23.30,23.35,22.97
23.62,23.78,24.17,23.62
23.90,24.05,24.05,23.84
24.02,24.26,24.27,23.96
24.09,24.45,24.45,24.09
24.42,24.27,24.42,24.19
24.30,24.46,24.47,24.17
24.03,24.29,24.61,23.92
24.11,24.34,24.50,24.07
24.46,24.47,24.69,24.38
24.59,23.81,24.59,23.74
23.71,24.15,24.26,23.29
24.26,24.08,24.26,24.08
23.99,23.87,24.20,23.80
24.22,24.20,24.22,23.79
23.77,23.44,23.77,23.22
23.21,24.02,24.28,22.97
23.67,22.65,23.73,21.83
23.12,22.23,23.16,22.22
22.50,22.89,23.35,22.50
23.07,23.13,23.34,22.77
23.19,23.37,23.42,23.16
23.19,23.34,23.45,23.10
22.58,22.86,22.99,22.57
22.81,23.17,23.19,22.59
23.26,22.90,23.37,22.74
22.93,22.90,23.25,22.66
22.63,21.82,22.63,21.65
21.81,22.02,22.53,20.97
22.28,21.62,22.28,21.60
21.37,21.94,21.94,21.09
21.91,21.72,22.50,21.72
21.99,22.33,22.33,21.88
22.21,22.26,22.48,22.10
21.72,21.60,22.02,21.60
21.68,22.06,22.15,21.65
21.94,22.12,22.16,21.85
21.81,21.63,21.98,21.60
21.85,21.39,21.89,21.36
21.33,21.73,21.74,21.08
21.73,21.57,22.09,21.50
21.71,22.39,22.61,21.71
22.38,22.30,22.50,22.13
22.14,22.31,22.57,22.14
22.30,22.67,22.68,22.30
22.66,22.88,22.97,22.59
22.95,22.52,22.95,22.21
22.45,22.37,22.60,22.25
22.50,22.34,22.60,22.28
22.26,21.86,22.50,21.86
21.81,21.75,21.81,21.49
21.60,21.20,21.61,21.20
21.11,21.56,21.96,21.11
21.49,21.78,21.83,21.47
21.54,20.88,21.54,20.88
20.81,20.83,20.97,20.74
20.51,20.49,20.64,20.20
20.49,20.24,20.49,19.76
19.99,19.95,20.43,19.95
20.00,20.90,20.90,20.00
21.10,20.55,21.23,20.49
20.74,20.72,20.89,20.43
20.55,21.17,21.17,20.55
21.47,21.62,21.79,21.35
21.65,21.47,21.81,21.47
21.56,21.49,21.71,21.06
21.24,20.97,21.25,20.85
21.12,20.81,21.12,20.79
20.84,20.88,21.12,20.72
21.04,20.62,21.12,20.62
20.93,20.83,21.09,20.68
20.89,21.27,21.28,20.86
21.30,21.32,21.49,21.10
21.50,21.67,21.77,21.42
21.65,21.85,21.93,21.59
21.86,21.92,21.97,21.73
21.86,22.02,22.13,21.73
22.34,22.09,22.45,21.96
22.11,22.09,22.29,22.00
21.79,21.55,21.79,21.44
21.55,21.69,21.93,21.55
21.54,21.66,22.07,21.39
21.65,22.20,22.21,21.65
21.83,22.02,22.45,21.82
21.74,21.36,22.08,21.36
21.20,21.62,21.70,20.87
21.66,21.98,22.12,21.66
22.04,21.95,22.09,21.90
22.24,21.86,22.34,21.86
21.95,22.11,22.11,21.80
21.91,21.64,22.11,21.41
21.49,20.98,21.49,20.82
20.92,20.89,20.97,20.80
20.62,20.46,20.79,20.46
20.56,20.72,20.76,20.42
20.65,20.61,20.80,20.53
20.72,20.89,20.98,20.72
20.83,20.59,20.83,20.56
20.21,20.56,20.75,20.21
20.96,21.32,21.32,20.85
21.41,21.38,21.67,20.89
21.47,21.72,21.72,21.34
21.53,21.80,21.80,21.28
21.72,21.84,22.08,21.72
22.22,22.36,22.40,21.99
22.42,21.98,22.42,21.89
22.26,22.49,22.64,22.26
22.55,22.48,22.64,22.43
22.50,22.49,22.56,22.39
22.50,22.89,22.93,22.32
23.01,23.28,23.30,22.84
23.36,23.51,24.00,23.36
23.65,23.60,23.77,23.41
23.76,23.49,23.76,23.22
23.35,23.01,23.36,23.01
23.26,23.34,23.34,23.00
23.60,23.89,24.18,23.49
24.05,24.16,24.28,23.72
24.30,24.19,24.38,24.18
24.43,24.12,24.57,24.07
24.35,24.60,24.87,24.27
24.69,24.87,24.95,24.54
24.85,25.09,25.20,24.85
25.10,25.73,25.80,25.10
25.66,25.52,25.98,25.48
25.57,25.91,26.00,25.40
25.88,25.67,26.40,25.65
25.76,25.88,26.00,25.46
25.90,26.20,26.26,25.90
26.21,25.87,26.34,25.72
25.85,25.91,26.10,25.63
25.79,25.74,26.00,25.53
25.18,25.24,25.39,25.10
25.22,25.50,25.53,25.11
25.74,25.62,25.74,25.49
25.55,25.50,25.57,25.36
25.52,25.42,25.70,25.41
25.88,25.88,25.88,25.25
25.90,25.47,25.90,25.17
25.50,25.30,25.53,25.27
25.30,25.32,25.49,25.20
25.59,25.82,26.07,25.59
26.14,26.59,26.59,26.02
26.60,26.62,26.63,26.33
26.53,27.00,27.08,26.38
26.94,27.27,27.33,26.92
27.04,27.42,27.53,27.04
27.32,27.20,27.60,27.08
27.30,27.33,27.54,27.14
27.19,27.37,27.65,26.99
26.52,27.03,27.12,26.51
27.12,27.00,27.17,26.86
26.99,27.18,27.32,26.80
27.30,27.02,27.40,27.02
27.23,27.10,27.29,26.98
26.94,26.80,27.02,26.59
26.91,26.89,27.00,26.72
26.71,26.56,26.71,26.44
26.58,26.61,26.72,26.52
26.57,26.72,26.72,26.48
26.43,26.50,26.56,26.29
26.40,26.31,26.47,25.93
26.60,26.62,27.02,26.50
26.83,27.00,27.00,26.52
27.01,27.15,27.33,26.97
27.32,28.09,28.14,27.32
28.40,27.93,28.42,27.86
27.76,27.97,28.11,27.76
27.95,28.24,28.35,27.95
28.51,28.49,28.60,28.35
28.66,28.37,29.00,28.35
28.13,28.30,28.48,28.13
28.09,28.66,28.85,27.52
28.79,28.62,29.04,28.62
28.57,28.30,28.59,28.11
28.29,28.36,28.41,28.17
28.21,28.59,28.63,28.14
28.55,29.40,29.40,28.48
29.46,29.42,29.89,28.86
29.08,29.76,29.77,29.08
29.46,30.38,30.51,29.46
29.76,29.54,29.91,29.45
29.64,30.05,30.10,29.58
30.11,30.18,30.43,30.11
30.51,30.61,30.71,30.46
30.56,30.20,30.88,30.15
29.97,30.02,30.39,29.90
30.02,29.88,30.23,29.77
29.88,29.92,29.92,29.61
29.63,29.37,29.67,29.36
29.43,30.33,30.33,29.30
30.35,30.40,30.47,30.16
30.45,30.36,30.49,30.06
30.61,30.31,30.61,30.26
30.15,30.26,30.45,30.15
30.28,30.37,30.37,30.01
30.28,29.51,30.35,29.50
29.85,29.68,29.97,28.75
29.85,29.91,30.02,29.84
29.85,29.16,29.94,29.07
29.12,29.14,29.26,29.01
29.12,29.04,29.35,29.01
29.14,29.05,29.21,29.00
29.05,28.50,29.07,28.50
28.66,28.98,29.16,28.26
28.95,29.09,29.23,28.95
28.99,28.86,29.04,28.86
28.98,29.50,29.54,28.81
29.81,29.50,29.88,29.42
29.56,29.34,29.66,29.20
29.30,29.30,29.30,29.04
29.29,29.04,29.29,29.01
28.83,29.05,29.09,28.83
30.04,29.67,30.15,29.36
29.89,29.95,30.13,29.75
28.61,29.85,30.22,28.61
29.76,29.95,30.22,29.57
30.18,30.84,30.84,30.18
30.56,30.31,30.65,30.16
30.02,30.32,30.40,30.02
30.54,30.58,30.58,30.47
30.53,30.99,30.99,30.52
30.99,31.26,32.00,30.96
31.40,32.08,32.08,31.30
31.75,32.10,32.24,31.73
32.32,32.95,32.95,32.06
32.98,32.62,33.11,32.53
32.75,32.62,32.98,32.42
32.50,32.63,32.79,32.35
32.46,32.63,32.63,32.36
32.74,32.78,32.79,32.26
32.55,33.17,33.17,32.50
32.95,32.59,32.95,32.43
32.25,32.68,32.69,31.74
32.60,32.50,32.82,32.38
32.55,33.27,33.32,32.55
33.35,33.75,33.83,33.25
34.25,34.62,35.57,34.25
34.80,34.72,34.96,34.28
34.82,34.96,35.15,34.65
34.98,35.24,35.31,34.80
35.33,35.67,36.04,35.33
36.11,36.74,36.91,36.00
36.81,36.67,36.86,36.19
36.81,37.33,37.38,36.67
37.20,38.03,38.31,37.20
38.32,39.51,39.91,38.15
39.31,39.97,40.57,38.93
39.91,39.72,40.37,39.61
39.82,39.34,39.86,39.34
39.00,38.53,39.46,38.28
38.81,39.88,40.44,38.81
39.64,38.88,39.70,38.57
38.51,38.24,38.52,37.89
38.36,38.30,38.43,37.96
38.38,39.62,39.70,38.27
39.91,39.83,40.14,39.72
39.69,39.58,39.69,38.96
40.13,39.95,40.25,39.71
40.56,40.08,40.56,39.89
39.93,39.97,40.08,39.76
39.95,39.28,40.06,39.26
39.38,39.39,39.56,39.05
39.41,38.79,39.41,38.58
38.43,38.14,38.43,37.82
37.98,38.18,38.75,37.36
38.00,38.05,38.22,38.00
38.05,37.81,38.11,36.92
37.75,37.47,37.79,37.33
37.28,37.21,37.49,37.03
37.50,37.03,37.64,37.00
36.39,36.96,36.97,36.39
37.04,37.36,37.69,36.84
37.38,37.42,37.63,37.14
37.17,37.60,37.70,36.93
37.32,36.98,37.32,36.84
36.82,35.92,36.93,35.76
35.27,35.91,35.98,35.27
36.00,36.25,36.51,36.00
36.55,37.56,37.65,36.29
37.73,37.10,37.95,36.90
36.60,36.66,37.07,36.45
37.30,37.03,37.35,36.88
36.80,36.86,37.81,36.48
36.64,36.91,36.92,36.64
36.85,36.67,36.85,36.42
37.66,37.06,37.89,36.78
36.50,36.66,37.57,36.27
36.99,37.48,37.51,36.71
36.97,36.88,37.19,36.85
36.88,36.82,37.18,36.77
37.10,37.52,37.75,37.02
33.76,36.98,37.13,32.50
37.39,37.27,37.39,36.88
36.98,36.78,36.98,36.54
