CLF,Cliffs Natural Resources Inc Common Stock,NASDAQ
47.12,48.21,48.88,46.94
48.40,48.95,49.20,48.05
49.22,50.64,50.70,49.11
50.26,49.88,50.71,49.12
49.69,53.12,53.20,49.56
54.70,52.88,55.40,52.38
51.80,50.24,52.18,49.50
50.72,51.55,51.75,48.70
51.34,51.75,52.98,51.34
51.39,49.75,51.55,49.65
49.73,51.56,51.60,49.40
50.19,49.18,50.19,48.68
49.39,44.74,49.41,44.66
44.11,42.37,45.49,42.18
43.37,42.89,43.88,42.40
41.97,41.60,43.12,41.06
42.00,41.01,42.66,39.19
41.65,40.04,41.89,39.59
40.66,39.95,41.88,39.52
40.86,43.07,43.16,40.85
43.77,44.54,44.74,42.22
43.95,44.55,46.18,43.75
43.49,40.23,43.67,40.18
40.52,41.69,41.74,39.13
41.90,40.53,42.86,40.51
41.97,42.75,42.77,40.90
42.64,43.12,43.91,42.00
43.33,45.81,45.95,43.03
44.63,45.87,46.28,44.10
47.30,48.17,48.95,47.16
48.64,47.40,48.78,46.55
47.39,50.90,51.44,47.31
50.74,53.60,54.45,50.69
54.35,54.49,55.34,53.20
53.76,52.72,54.20,52.18
53.31,53.95,54.50,53.14
52.36,55.53,55.69,51.80
55.78,56.40,56.46,54.63
57.04,59.08,59.32,56.22
59.54,58.65,59.89,58.16
59.24,57.41,60.30,57.01
57.49,58.65,58.94,56.46
59.42,60.65,60.69,59.32
61.17,60.17,61.50,59.64
59.31,59.18,60.33,58.60
59.66,59.71,60.49,58.66
59.07,60.31,60.46,58.41
61.50,64.34,64.74,61.28
63.71,63.15,63.93,62.12
64.97,66.27,66.97,64.79
67.22,65.43,67.53,65.09
65.71,64.56,65.97,64.21
64.93,64.01,65.30,62.40
62.85,65.24,65.45,61.87
66.23,69.72,69.84,65.72
70.09,71.76,72.77,69.68
72.92,69.03,73.38,68.74
70.28,71.26,72.00,69.69
72.79,72.85,73.95,72.23
73.27,71.25,73.75,70.77
70.34,70.95,72.09,70.27
72.47,72.35,73.50,71.39
73.42,74.85,75.00,72.76
74.26,74.02,76.17,73.97
73.92,72.41,74.39,71.80
71.76,73.26,73.50,71.01
74.98,74.83,75.58,73.99
75.29,73.98,75.48,73.53
73.42,73.47,74.45,72.51
74.61,75.43,75.55,73.15
75.00,73.79,75.94,73.31
72.99,70.24,74.30,69.77
69.69,68.71,70.55,67.25
69.91,70.10,71.26,69.80
70.52,68.87,70.59,67.50
67.41,69.61,70.04,66.56
71.78,72.85,73.94,71.15
73.80,73.00,74.75,72.43
72.01,68.54,72.24,68.06
69.86,70.21,70.70,68.34
70.60,64.33,71.15,63.25
65.13,62.53,65.86,62.25
61.89,58.95,62.41,58.66
56.93,54.55,57.03,53.29
52.90,58.73,60.12,52.20
59.31,56.00,60.46,50.80
56.30,56.12,58.12,52.75
60.09,61.18,61.40,59.50
59.81,56.79,59.81,56.64
57.21,57.34,58.24,55.61
57.94,56.30,59.25,55.93
55.00,53.98,55.47,52.12
53.64,52.92,53.87,50.56
54.60,51.04,55.00,50.90
50.10,50.91,52.15,48.79
48.89,47.35,49.90,46.65
46.40,50.47,51.10,46.40
51.94,50.26,52.16,50.04
48.13,51.69,51.97,46.64
53.23,53.26,54.79,52.33
55.81,57.69,57.70,54.75
57.34,55.86,57.93,54.75
54.23,51.30,54.84,51.26
52.25,54.35,54.36,51.63
55.48,53.22,55.48,51.60
