CMA,Comerica Incorporated Common Stock,NASDAQ
29.95,30.50,30.62,29.68
30.41,30.61,30.73,30.21
30.57,31.29,31.49,30.43
31.15,32.99,33.43,31.13
32.97,32.57,33.38,32.29
32.62,32.22,33.01,32.18
32.58,32.55,33.25,31.95
32.87,33.16,33.55,32.13
33.51,34.13,34.59,33.51
33.99,32.86,34.00,32.54
32.64,33.04,33.05,32.29
32.84,33.57,33.89,32.55
34.35,35.82,37.32,34.35
36.05,35.62,36.15,34.60
35.92,35.50,36.17,34.57
35.25,34.78,35.96,34.67
34.78,35.39,35.58,34.34
35.64,35.20,36.17,34.60
35.41,34.51,35.75,34.47
35.32,35.45,35.49,34.81
35.50,35.20,35.66,34.82
35.07,34.54,35.07,34.18
34.23,33.34,34.23,33.33
33.34,34.03,34.07,32.77
34.08,33.42,34.47,33.29
33.82,34.05,34.27,33.37
33.98,34.62,35.38,33.84
34.51,35.04,35.09,34.39
34.81,35.00,35.00,34.45
35.32,35.60,35.61,34.60
35.78,35.21,35.78,34.82
35.17,34.76,35.21,34.60
34.72,35.55,35.60,34.52
35.56,36.16,36.45,35.55
35.96,35.17,36.08,35.16
35.21,36.02,36.25,35.21
35.58,35.79,35.85,35.27
35.89,36.08,36.17,35.66
36.16,35.73,36.23,35.39
35.85,35.67,36.29,35.57
35.69,35.52,35.93,35.43
35.73,35.74,35.97,35.58
36.00,36.74,36.91,35.91
36.84,36.29,36.88,36.16
35.55,35.70,35.90,35.25
35.80,36.49,36.55,35.77
36.48,36.59,36.60,36.00
36.75,36.86,37.35,36.72
36.70,37.26,37.38,36.70
37.39,37.75,38.23,37.27
37.85,38.24,38.66,37.69
38.24,37.98,38.44,37.65
38.10,38.14,38.36,37.64
37.80,38.11,38.23,37.36
38.11,38.11,38.26,37.49
38.00,38.43,38.62,37.95
38.79,38.22,39.36,38.08
38.29,37.56,38.74,37.28
37.76,37.88,37.96,37.30
38.01,37.86,38.09,37.21
37.71,38.04,38.44,37.58
38.26,37.97,38.44,37.66
38.10,38.94,38.94,38.03
38.72,40.57,40.82,38.72
40.81,40.79,41.11,40.23
40.59,41.00,41.07,40.04
41.05,41.56,41.62,41.01
41.50,41.73,41.98,41.42
41.43,41.34,41.44,40.59
41.77,42.43,42.51,41.69
42.40,42.11,43.09,41.92
41.59,40.77,41.90,39.65
40.45,40.92,41.27,39.83
41.07,42.22,42.50,40.77
44.67,43.40,45.84,42.54
43.54,44.60,45.02,43.06
44.51,44.28,44.59,43.76
44.17,42.62,44.49,42.46
42.30,41.50,42.89,41.50
42.57,41.46,42.57,41.00
42.14,41.91,42.35,41.57
41.86,42.00,42.46,41.38
42.41,43.15,43.18,42.36
42.55,42.08,42.75,41.75
41.24,42.60,42.91,40.88
42.18,41.43,42.85,39.44
40.28,40.29,40.93,39.49
42.42,42.63,42.93,41.69
41.82,43.15,43.89,41.82
43.44,43.67,43.74,42.97
43.52,43.35,44.17,43.30
42.85,42.22,42.87,41.70
42.44,42.06,42.78,41.28
42.28,40.81,42.36,40.36
40.74,40.65,41.52,39.87
39.93,37.74,39.93,37.68
37.01,38.65,38.77,37.01
38.03,37.32,38.45,37.21
36.31,37.98,38.03,36.04
38.65,37.98,39.10,37.60
38.71,39.08,39.11,38.12
38.84,38.10,39.01,37.98
37.68,37.26,38.42,37.18
37.63,38.57,38.59,37.24
38.79,37.99,39.06,37.82
37.15,36.25,37.39,36.05
36.53,35.94,36.84,35.89
36.20,36.76,36.91,35.44
36.99,36.61,37.61,36.45
37.33,37.72,37.75,36.84
37.09,37.44,37.56,36.78
37.70,37.66,38.70,37.38
38.08,38.75,38.80,37.73
38.42,38.56,39.06,38.16
38.63,38.39,38.90,37.87
38.56,39.22,39.72,38.24
39.81,39.03,39.98,38.81
39.12,38.31,39.27,38.25
37.77,37.80,38.52,37.45
37.61,36.86,37.69,36.80
37.35,38.43,38.52,36.94
38.60,38.58,38.76,38.06
38.01,37.25,38.24,37.01
37.18,36.83,37.96,36.70
36.79,36.42,37.35,35.43
36.58,35.28,36.70,35.12
35.97,36.04,36.90,35.60
36.21,38.44,38.48,36.05
38.66,38.18,39.08,37.56
38.39,39.15,39.25,38.16
39.01,38.93,39.07,38.43
39.33,40.08,40.21,39.26
39.55,39.17,39.57,38.57
39.10,38.79,39.54,37.90
38.25,36.17,38.35,35.96
36.23,36.21,36.66,35.68
35.31,36.81,36.89,35.18
37.57,36.22,38.20,36.06
36.84,37.34,37.52,36.82
37.09,37.74,37.81,37.09
37.82,38.69,38.77,37.50
39.09,39.16,39.73,38.86
39.04,38.96,39.35,38.23
39.26,38.79,39.49,38.43
38.25,38.36,38.85,37.94
39.04,39.40,39.50,38.78
39.12,39.25,39.65,38.99
39.43,38.83,39.43,38.62
38.58,38.22,38.70,38.08
37.68,37.16,37.85,36.38
37.47,37.32,37.49,36.38
36.82,37.60,37.93,36.73
36.99,36.25,37.18,36.25
36.11,36.25,36.63,35.73
36.12,35.87,36.59,35.87
35.69,36.01,36.22,35.65
36.47,36.33,36.53,35.86
36.27,36.39,36.68,35.95
36.18,35.52,36.48,35.13
35.21,35.34,35.50,34.76
35.45,35.04,35.86,34.98
34.54,34.20,34.76,34.19
34.00,33.82,34.17,33.35
34.00,33.31,34.23,33.16
33.47,34.06,34.06,33.11
33.86,33.44,33.91,33.44
33.81,34.41,34.84,33.59
34.69,35.53,35.75,34.56
35.74,36.32,36.35,35.48
36.70,36.93,37.05,36.41
36.71,36.07,36.71,35.87
36.14,36.60,36.89,36.12
37.31,36.76,37.88,36.53
37.29,36.70,37.51,36.51
37.30,38.02,38.39,37.25
37.90,37.50,37.97,37.11
37.30,37.79,37.80,36.91
37.40,37.15,37.55,36.98
37.42,36.88,37.55,36.76
37.03,37.67,37.73,36.56
37.70,36.66,37.78,36.62
36.41,35.97,36.46,35.68
35.57,35.31,36.31,35.27
35.97,36.33,36.39,35.81
36.31,35.37,36.35,35.34
35.41,36.62,36.62,35.15
36.48,36.52,36.72,35.85
36.86,37.15,37.65,36.81
37.66,37.16,37.94,36.76
37.07,37.11,37.42,36.76
37.35,38.66,38.96,37.15
39.08,39.14,39.45,38.86
39.29,38.63,39.50,38.31
38.61,38.70,38.98,38.33
38.71,38.60,39.00,38.46
38.58,38.89,39.09,38.30
39.16,38.47,39.56,38.38
38.30,38.60,38.78,37.53
38.97,38.18,39.01,37.70
38.12,39.25,39.36,37.90
38.87,38.39,39.61,38.17
35.06,35.94,35.96,34.43
35.80,35.68,36.00,35.29
35.71,36.26,36.34,35.51
36.50,35.23,36.57,35.20
35.09,35.50,36.10,35.02
35.27,36.29,36.32,35.15
36.42,35.70,36.83,35.39
35.82,35.78,36.28,35.65
36.00,35.89,36.18,35.38
36.17,35.95,36.28,35.61
35.98,37.00,37.03,35.84
37.45,38.01,38.06,37.18
38.08,38.64,40.23,37.85
38.56,38.82,39.13,38.22
39.01,37.98,39.13,37.91
38.08,38.29,38.36,37.39
37.94,37.99,38.42,37.72
37.72,37.27,38.40,37.22
37.45,37.66,38.19,37.45
37.14,36.74,37.43,36.54
37.87,36.94,38.01,36.76
37.54,37.41,37.77,36.97
37.28,37.12,37.57,36.88
37.05,37.06,37.14,36.55
