CNP,CenterPoint Energy,NASDAQ
14.59,14.52,14.65,14.50
14.56,14.41,14.61,14.29
14.45,14.27,14.45,14.18
14.30,14.41,14.42,14.09
14.33,14.24,14.38,14.18
14.30,14.34,14.34,14.21
14.32,14.43,14.68,14.32
14.42,14.55,14.55,14.37
14.57,14.62,14.64,14.41
14.55,14.61,14.64,14.35
14.63,14.82,14.90,14.62
14.75,14.86,14.89,14.61
14.83,14.56,14.90,14.44
14.51,14.20,14.56,14.19
14.36,14.33,14.42,14.20
14.30,14.20,14.33,14.19
14.26,14.08,14.26,13.90
14.11,14.10,14.22,13.84
14.11,13.95,14.24,13.93
14.01,14.26,14.29,13.90
14.30,14.46,14.49,14.13
14.44,14.38,14.50,14.33
14.32,13.89,14.39,13.89
13.88,13.92,13.98,13.72
13.98,13.75,14.00,13.74
13.89,14.01,14.17,13.80
14.02,13.83,14.05,13.71
13.67,13.74,13.77,13.48
13.64,13.65,13.70,13.51
13.70,13.95,13.98,13.70
13.96,14.06,14.09,13.95
14.05,14.39,14.40,14.00
14.34,14.53,14.59,14.23
14.53,14.45,14.61,14.41
14.40,14.31,14.47,14.28
14.32,14.21,14.36,13.99
14.05,14.10,14.16,13.95
14.04,13.38,14.04,13.36
13.47,13.60,13.68,13.47
13.66,13.83,13.91,13.65
13.92,13.77,13.96,13.75
13.83,14.02,14.02,13.76
14.01,14.01,14.16,14.00
14.02,14.15,14.19,14.02
14.15,14.11,14.22,14.04
14.14,14.12,14.15,14.01
14.17,14.28,14.28,14.10
14.34,14.24,14.39,14.16
14.25,14.23,14.32,14.10
14.21,14.43,14.46,14.16
14.50,14.46,14.52,14.41
14.52,14.41,14.52,14.33
14.43,14.43,14.52,14.33
14.38,14.28,14.44,14.27
14.28,14.30,14.35,14.21
14.25,14.19,14.35,14.17
14.23,14.13,14.29,14.13
14.21,14.19,14.28,14.07
14.24,14.47,14.50,14.18
14.42,14.44,14.50,14.32
14.37,14.36,14.50,14.31
14.37,14.50,14.62,14.37
14.56,14.64,14.69,14.51
14.60,14.74,14.77,14.56
14.76,14.47,14.76,14.41
14.38,14.37,14.48,14.30
14.46,14.50,14.56,14.31
14.58,14.53,14.63,14.51
14.55,14.50,14.58,14.40
14.51,14.52,14.55,14.35
14.57,14.62,14.63,14.51
14.59,14.32,14.64,14.28
14.27,14.25,14.36,14.17
14.30,14.36,14.38,14.23
14.34,14.38,14.44,14.28
14.34,14.36,14.43,14.25
14.38,14.57,14.58,14.31
14.53,14.55,14.63,14.50
14.45,14.18,14.53,14.18
14.26,14.34,14.39,14.16
14.43,14.39,14.49,14.35
14.44,14.36,14.65,14.36
14.44,14.57,14.63,14.42
14.46,14.34,14.60,14.30
14.40,14.38,14.65,14.28
14.39,13.88,14.39,0.01
13.87,13.75,14.04,13.38
14.18,14.14,14.43,13.94
14.00,14.18,14.38,13.99
14.08,14.29,14.41,13.90
14.26,14.25,14.51,14.18
14.19,14.15,14.31,14.01
14.18,14.18,14.24,13.89
14.25,13.98,14.35,13.94
13.87,13.76,13.97,13.62
13.52,13.27,13.62,13.24
13.14,13.33,13.36,12.95
13.30,13.20,13.44,13.18
12.93,13.06,13.06,12.75
13.16,13.15,13.36,13.04
13.31,13.52,13.54,13.28
13.55,13.62,13.81,13.54
13.54,13.28,13.63,13.26
13.36,13.58,13.58,13.29
13.57,13.72,13.76,13.57
13.48,13.20,13.59,13.14
13.24,13.29,13.49,13.20
13.25,13.33,13.35,13.19
13.21,12.90,13.24,12.87
13.17,13.16,13.31,13.02
13.12,13.27,13.27,13.05
13.35,13.34,13.52,13.28
13.44,13.60,13.62,13.41
13.50,13.78,13.86,13.43
13.79,13.95,13.95,13.71
13.96,14.01,14.03,13.88
14.10,13.99,14.15,13.90
13.98,13.64,14.04,13.62
13.68,13.52,13.75,13.43
13.50,13.54,13.71,13.46
13.58,13.52,13.66,13.40
13.59,13.72,13.80,13.50
13.62,13.31,13.66,13.23
13.26,13.16,13.44,13.11
13.11,13.06,13.20,12.96
13.11,13.03,13.13,12.96
13.20,13.24,13.36,13.08
13.25,13.71,13.71,13.25
13.74,13.97,13.97,13.66
13.94,14.05,14.07,13.87
13.98,14.07,14.08,13.91
14.19,14.19,14.32,14.10
14.18,14.18,14.27,13.98
14.20,14.30,14.33,14.07
14.19,13.93,14.26,13.90
14.01,14.05,14.10,13.88
13.87,14.17,14.19,13.87
14.18,13.91,14.23,13.82
14.00,14.19,14.26,13.93
14.16,14.25,14.28,14.06
14.26,14.40,14.40,14.25
14.41,14.60,14.61,14.34
14.56,14.54,14.58,14.45
14.62,14.33,14.64,14.21
14.24,14.23,14.33,14.12
14.36,14.53,14.59,14.36
14.50,14.46,14.62,14.41
14.50,14.73,14.75,14.32
14.70,14.81,14.81,14.60
14.71,14.84,14.84,14.51
14.89,14.96,15.00,14.83
14.87,15.06,15.08,14.67
14.89,14.74,14.89,14.69
14.39,14.48,14.58,14.19
