COG,Cabot Oil & Gas Corporation Common Stock,NASDAQ
11.16,11.56,11.58,11.16
11.36,11.54,11.56,11.21
11.56,11.49,11.62,11.44
11.44,11.39,11.44,11.15
11.31,11.36,11.37,11.13
11.58,11.07,11.58,10.89
10.87,10.78,10.89,10.72
10.84,10.96,10.98,10.63
11.00,10.95,11.11,10.84
10.94,10.75,10.97,10.69
10.72,10.96,10.97,10.72
10.75,10.82,10.88,10.58
10.86,10.75,11.06,10.69
10.71,10.49,10.78,10.46
10.61,10.58,10.78,10.54
10.42,10.33,10.49,10.29
10.20,9.94,10.29,9.78
10.00,9.75,10.06,9.59
9.85,9.57,9.99,9.50
9.72,9.98,9.99,9.72
10.02,10.24,10.29,9.82
10.22,10.11,10.32,10.08
9.98,9.61,9.98,9.56
9.61,9.61,9.62,9.30
9.62,9.42,9.70,9.41
9.58,9.60,9.79,9.53
9.58,9.58,9.64,9.33
9.56,9.76,9.78,9.50
9.58,9.88,9.90,9.53
10.03,10.21,10.26,10.03
10.24,10.10,10.27,9.96
10.07,10.24,10.25,10.02
10.22,10.33,10.42,10.15
10.56,10.28,10.72,10.25
10.22,9.93,10.29,9.91
9.97,10.04,10.15,9.96
9.85,10.11,10.16,9.75
10.00,10.04,10.19,9.88
10.12,10.19,10.21,10.08
10.32,10.19,10.32,10.14
10.25,10.22,10.32,10.19
10.22,10.06,10.30,9.96
10.18,10.34,10.38,10.14
10.42,10.35,10.49,10.34
10.26,10.23,10.44,10.17
10.20,10.43,10.56,10.18
10.36,10.32,10.43,10.30
10.35,10.46,10.48,10.33
10.41,10.21,10.43,10.02
10.23,10.29,10.29,10.06
10.32,10.40,10.49,10.30
10.21,9.88,10.33,9.85
9.88,9.54,9.98,9.35
9.43,9.39,9.54,9.34
9.39,9.56,9.60,9.36
9.47,9.54,9.67,9.38
9.69,9.24,9.69,9.22
9.27,9.10,9.27,8.99
9.16,9.28,9.37,9.13
9.27,9.16,9.27,9.10
9.15,9.20,9.31,9.14
9.32,9.44,9.50,9.32
9.51,9.71,9.74,9.44
9.66,9.75,9.81,9.59
9.70,9.54,9.77,9.50
9.48,9.60,9.62,9.36
9.88,9.99,10.06,9.87
9.98,9.91,10.02,9.87
9.90,10.11,10.17,9.81
10.19,10.13,10.23,9.99
10.17,10.10,10.24,10.07
10.02,9.74,10.04,9.68
9.62,9.64,9.65,9.47
9.74,9.75,9.80,9.65
9.77,9.74,9.80,9.66
9.59,9.87,9.89,9.51
9.90,9.98,10.10,9.74
10.00,9.86,10.06,9.85
9.78,9.39,9.86,9.34
9.51,9.55,9.64,9.41
9.50,8.94,9.53,8.85
9.10,9.03,9.24,8.94
9.11,9.32,9.37,9.08
9.11,9.10,9.14,8.92
8.88,8.70,9.01,8.65
8.63,8.20,8.80,7.50
8.00,7.97,8.25,7.75
8.42,8.42,8.55,8.28
8.28,8.28,8.48,8.26
8.32,8.58,8.61,8.32
8.53,8.55,8.76,8.41
8.42,8.46,8.47,8.26
8.47,8.25,8.52,8.09
8.40,8.22,8.51,8.19
8.18,8.22,8.27,8.00
7.94,7.68,7.96,7.67
7.55,7.84,7.88,7.42
7.79,7.58,7.84,7.58
7.34,7.88,7.91,7.22
8.11,8.10,8.25,8.08
8.29,8.70,8.70,8.29
8.65,8.67,8.82,8.51
8.47,8.23,8.75,8.21
8.29,8.83,8.84,8.26
8.99,9.29,9.34,8.78
9.10,8.74,9.59,8.64
8.82,8.64,8.99,8.61
8.64,8.62,8.80,8.37
8.75,8.54,8.90,8.50
8.78,9.09,9.11,8.78
8.90,9.25,9.26,8.90
9.40,9.25,9.48,9.22
9.36,9.60,9.62,9.36
9.50,9.56,9.68,9.38
9.60,9.35,9.60,9.24
9.34,9.11,9.37,9.07
9.32,8.98,9.43,8.90
8.95,8.30,9.01,8.25
8.27,8.23,8.32,8.17
8.22,8.12,8.40,8.09
8.17,8.23,8.28,8.00
8.27,8.34,8.71,8.27
8.23,7.90,8.23,7.84
7.90,7.83,7.98,7.80
7.87,7.82,7.96,7.50
7.90,7.73,7.96,7.68
7.93,7.80,8.10,7.74
7.84,8.08,8.09,7.79
8.21,8.40,8.44,8.14
8.30,8.37,8.44,8.27
8.34,8.29,8.48,8.20
8.42,8.38,8.49,8.36
8.30,8.38,8.48,8.22
8.37,8.33,8.37,8.13
8.24,7.97,8.25,7.91
7.99,7.98,8.09,7.83
7.86,8.30,8.32,7.78
8.35,8.18,8.54,8.15
8.32,8.19,8.54,8.03
8.20,7.96,8.20,7.80
8.01,7.92,8.02,7.83
7.95,7.61,8.00,7.56
7.61,7.50,7.70,7.45
7.55,7.63,7.68,7.42
7.54,7.62,7.68,7.46
7.80,7.82,7.90,7.74
7.82,8.07,8.20,7.76
8.06,8.19,8.25,8.04
8.14,8.12,8.19,8.02
8.02,7.96,8.07,7.80
8.01,8.08,8.10,7.95
7.98,8.06,8.12,7.88
7.87,7.74,7.89,7.69
7.57,7.69,7.78,7.52
7.70,7.67,7.82,7.62
7.62,7.54,7.66,7.52
7.63,7.58,7.66,7.46
7.54,7.54,7.59,7.42
7.40,7.40,7.42,7.23
7.30,7.32,7.35,7.21
7.32,7.38,7.47,7.29
7.23,7.17,7.23,7.07
7.10,6.99,7.10,6.85
7.06,6.98,7.11,6.94
7.08,7.17,7.19,6.87
7.17,7.04,7.34,7.04
7.00,6.96,7.13,6.92
7.08,7.20,7.26,7.06
7.21,7.22,7.23,7.06
7.30,7.32,7.38,7.23
7.26,7.14,7.28,7.09
7.14,7.15,7.26,7.09
7.27,7.11,7.31,7.11
7.16,7.28,7.31,7.13
7.40,7.32,7.45,7.23
7.32,7.33,7.45,7.26
7.28,7.20,7.34,7.19
7.03,6.96,7.16,6.87
6.97,6.75,6.98,6.74
6.75,6.92,6.92,6.66
6.92,7.00,7.00,6.83
6.99,6.86,7.08,6.84
6.77,7.00,7.10,6.74
7.10,7.17,7.22,7.02
7.18,7.10,7.28,7.09
7.12,7.18,7.20,7.04
7.13,7.55,7.57,7.11
7.62,7.53,7.66,7.38
7.62,7.64,7.74,7.60
7.63,7.44,7.68,7.38
7.57,7.68,7.80,7.57
7.69,7.88,7.95,7.69
7.92,7.84,7.92,7.76
7.84,8.01,8.05,7.81
8.02,7.88,8.06,7.85
7.84,7.66,7.85,7.48
7.73,7.79,7.84,7.71
7.79,7.68,7.80,7.62
7.76,7.63,7.79,7.56
7.62,7.76,7.79,7.55
7.60,7.48,7.64,7.43
7.46,7.62,7.64,7.45
7.64,7.61,7.76,7.50
7.62,7.72,7.73,7.61
7.81,7.73,7.90,7.65
7.62,7.16,7.62,7.12
7.07,7.17,7.18,6.95
7.22,7.07,7.25,7.01
7.04,7.24,7.30,7.00
7.38,7.54,7.70,7.38
7.64,7.64,7.65,7.46
7.68,7.76,7.79,7.60
7.88,7.96,8.00,7.86
8.01,8.05,8.06,7.93
8.00,8.14,8.20,7.98
