CRAI,CRA International,NASDAQ
26.96,27.78,28.38,26.70
27.67,26.65,27.69,26.38
26.55,25.87,26.70,25.84
25.98,26.87,27.25,25.86
26.72,26.41,26.93,26.39
26.59,26.30,26.63,26.19
26.19,26.23,26.42,25.94
27.00,26.80,27.14,26.26
27.99,26.98,28.40,26.82
27.11,26.31,27.23,25.84
26.43,27.76,27.96,26.43
27.52,26.88,27.57,26.44
27.36,26.58,27.36,26.41
26.64,26.37,27.18,26.16
26.48,26.83,27.13,26.08
26.68,25.53,26.69,25.51
25.36,26.50,26.50,25.36
26.58,25.69,26.58,24.79
25.74,25.95,26.10,25.23
26.06,25.76,26.06,25.54
25.48,25.90,26.32,25.23
25.74,25.99,26.79,25.74
25.99,25.33,26.74,25.29
25.45,26.56,26.77,25.31
26.48,25.11,26.48,25.11
25.40,26.04,26.19,25.13
25.89,25.86,25.91,25.27
25.72,25.80,26.13,25.39
25.54,25.04,26.06,24.75
25.01,25.80,25.82,24.92
25.88,26.61,26.65,25.88
26.66,26.85,27.12,26.58
26.81,27.00,27.17,26.73
26.63,27.05,27.22,26.63
27.12,27.00,27.25,26.79
27.30,27.22,27.39,27.00
27.00,26.83,27.09,26.67
26.90,26.60,26.90,26.27
27.62,27.00,27.84,26.72
27.22,26.85,27.22,26.70
26.97,26.52,27.16,26.51
27.26,26.78,27.26,26.67
26.85,27.33,27.40,26.48
27.50,27.11,27.91,27.04
26.96,28.00,28.20,26.77
27.92,28.28,28.44,27.60
28.07,28.87,28.87,27.87
28.52,27.93,28.88,27.88
27.98,27.42,27.98,26.73
27.50,27.73,27.90,26.75
28.52,28.02,28.52,27.80
22.80,22.57,23.10,19.70
22.50,22.49,22.89,21.56
22.25,22.12,22.26,21.58
22.06,22.83,22.83,22.00
22.69,23.02,23.10,22.34
23.13,22.95,23.20,22.84
22.95,23.12,23.20,22.66
23.08,23.08,23.14,22.82
23.17,23.15,23.33,22.96
23.02,22.92,23.34,22.86
N/A,N/A,N/A,N/A
23.40,23.73,23.81,23.23
22.32,23.55,23.60,22.32
23.47,23.67,23.90,23.29
23.58,24.00,24.06,22.65
24.00,24.04,24.18,23.46
24.20,24.07,24.35,23.91
24.06,24.16,24.16,23.73
24.18,24.34,24.35,23.90
24.30,24.23,24.30,24.00
24.24,24.21,24.43,23.78
24.05,23.50,24.08,23.30
23.66,24.21,24.25,23.36
24.16,23.79,24.16,23.50
23.51,23.97,24.26,22.95
24.21,24.28,24.36,23.90
24.15,24.09,24.36,24.05
24.04,23.47,24.25,23.37
23.53,23.89,23.99,23.24
24.12,24.29,24.31,23.68
24.22,23.23,24.24,23.22
23.33,23.97,24.05,22.79
23.69,23.18,23.69,22.94
23.35,22.77,23.44,22.53
