CRAY,Cray Inc - Common Stock,NASDAQ
6.53,6.76,6.82,6.53
6.78,6.68,6.85,6.64
6.65,6.60,6.79,6.50
6.51,6.48,6.68,6.37
6.43,6.46,6.64,6.40
6.52,6.47,6.53,6.33
6.38,5.71,6.38,5.68
5.70,5.67,5.84,5.55
5.69,5.65,5.83,5.52
5.67,5.38,5.68,5.28
5.40,5.55,5.55,5.34
5.51,5.38,5.60,5.31
5.38,5.15,5.50,5.11
5.15,4.98,5.34,4.95
5.03,5.01,5.15,4.95
5.00,4.92,5.11,4.91
4.93,5.03,5.13,4.91
5.04,4.75,5.07,4.73
4.79,4.72,4.89,4.71
4.76,4.71,4.78,4.56
4.70,4.99,5.08,4.55
4.97,5.02,5.10,4.84
4.99,4.62,5.16,4.52
4.62,4.87,4.93,4.62
4.88,4.61,4.88,4.61
4.69,4.83,4.87,4.65
4.79,5.00,5.00,4.70
5.00,5.23,5.24,4.91
5.18,5.18,5.28,4.99
5.21,5.35,5.35,4.98
5.38,5.32,5.38,5.17
5.28,5.43,5.44,5.23
5.42,5.25,5.45,5.15
5.26,5.28,5.33,5.20
5.28,5.17,5.28,5.11
5.17,5.32,5.33,5.17
5.21,5.25,5.29,5.09
5.23,5.24,5.33,5.21
5.27,5.36,5.60,5.26
5.38,5.74,5.75,5.35
5.72,5.79,5.85,5.61
5.74,5.76,5.83,5.57
5.77,5.94,5.95,5.77
5.96,5.79,6.02,5.77
5.75,5.90,6.03,5.68
5.94,5.88,6.06,5.83
5.88,5.84,5.93,5.82
5.90,5.79,5.92,5.73
5.79,5.75,5.86,5.71
5.76,5.82,5.88,5.75
5.83,6.03,6.22,5.83
6.05,6.01,6.22,6.00
6.06,5.87,6.08,5.75
5.80,6.16,6.19,5.74
6.14,6.19,6.21,6.00
6.07,6.07,6.19,6.01
6.13,6.11,6.28,6.09
6.21,6.23,6.26,6.11
6.25,6.07,6.25,6.05
6.07,6.00,6.13,5.91
5.96,5.95,6.12,5.94
N/A,N/A,N/A,N/A
6.40,6.17,6.82,6.11
6.25,6.17,6.25,6.11
6.18,6.27,6.27,6.14
6.22,6.36,6.44,6.15
6.35,6.37,6.40,6.23
6.35,6.62,6.66,6.30
6.63,6.60,6.67,6.50
6.63,6.65,6.73,6.61
6.65,6.79,6.80,6.65
6.79,6.71,6.86,6.64
6.64,6.75,6.77,6.61
6.80,6.79,6.90,6.75
6.83,6.93,6.95,6.81
6.82,7.22,7.28,6.75
7.24,7.39,7.40,7.13
7.39,7.34,7.45,7.30
7.27,6.92,7.30,6.84
6.96,7.10,7.37,6.94
7.17,7.17,7.21,7.04
7.15,6.76,7.15,6.76
6.80,7.05,7.08,6.80
6.91,6.69,7.02,6.54
6.10,5.90,6.12,5.67
5.90,5.70,5.99,5.14
5.69,5.25,5.87,5.19
5.59,5.63,5.96,5.44
5.58,5.47,5.65,5.41
5.48,5.65,5.77,5.48
5.60,5.28,5.61,5.25
5.24,5.08,5.26,5.05
5.11,5.03,5.23,4.94
5.12,4.96,5.28,4.88
4.91,4.94,5.06,4.81
4.88,4.83,4.98,4.75
4.73,4.76,4.92,4.65
4.77,4.68,4.91,4.63
4.54,4.74,4.77,4.51
4.78,4.73,4.92,4.71
4.92,5.01,5.08,4.78
5.00,4.76,5.02,4.70
4.71,4.75,4.88,4.70
4.77,4.93,4.96,4.68
4.98,5.22,5.28,4.85
5.00,4.92,5.12,4.81
4.96,4.83,5.01,4.80
4.84,4.96,4.97,4.81
5.04,5.15,5.21,4.96
5.24,5.43,5.43,5.10
5.32,5.68,5.70,5.27
5.80,5.47,5.82,5.41
5.54,5.54,5.60,5.33
5.48,6.40,6.42,5.43
6.40,6.23,6.43,6.10
6.28,6.33,6.47,6.24
6.44,6.43,6.84,6.34
6.45,6.14,6.55,6.14
6.14,6.01,6.14,5.81
5.94,5.90,6.05,5.87
5.93,5.87,6.02,5.80
5.83,5.80,5.96,5.80
5.74,5.63,5.78,5.62
5.63,5.58,5.84,5.54
5.58,5.42,5.65,5.32
5.47,5.34,5.47,5.28
5.50,5.29,5.56,5.25
5.33,5.59,5.62,5.31
5.70,5.77,5.79,5.57
5.74,5.83,5.84,5.70
5.79,5.76,5.87,5.67
5.89,6.26,6.28,5.84
6.18,6.32,6.35,6.10
6.30,6.09,6.30,5.99
6.09,5.84,6.20,5.84
5.86,5.94,5.99,5.65
5.83,6.07,6.07,5.72
6.11,5.97,6.14,5.95
6.10,6.15,6.15,6.04
6.09,6.49,6.50,6.06
6.50,6.53,6.75,6.48
6.57,6.68,6.72,6.49
6.65,6.43,6.68,6.35
6.53,6.45,6.53,6.20
6.30,6.66,6.67,6.27
6.77,6.71,6.90,6.66
6.68,6.62,6.74,6.55
6.65,6.60,6.68,6.46
6.51,6.49,6.60,6.43
