CRD.B,Crawford & Company Common Stock,NASDAQ
3.97,4.14,4.17,3.97
4.15,4.00,4.15,3.97
3.99,3.94,4.16,3.92
3.94,3.88,3.99,3.88
3.85,3.89,3.94,3.85
3.90,4.01,4.18,3.90
3.99,3.81,3.99,3.71
3.81,3.87,3.90,3.81
3.87,3.98,4.02,3.87
4.00,3.76,4.05,3.76
3.78,3.86,3.88,3.75
3.81,3.75,3.95,3.65
3.75,3.57,3.78,3.57
3.55,3.63,3.75,3.55
3.65,3.44,3.70,3.42
3.42,3.16,3.50,3.15
3.14,3.27,3.31,3.09
3.27,3.42,3.55,3.27
3.44,3.47,3.57,3.44
3.48,3.52,3.56,3.31
3.51,3.39,3.61,3.38
3.38,3.39,3.55,3.38
3.37,3.10,3.41,3.00
3.10,3.10,3.17,3.00
3.45,3.19,3.46,3.16
3.23,3.23,3.28,3.14
3.20,3.10,3.22,3.03
3.08,3.13,3.20,3.02
3.10,3.12,3.23,3.03
3.14,3.33,3.34,3.11
3.33,3.35,3.37,3.17
3.35,3.48,3.48,3.29
3.48,3.55,3.59,3.48
3.56,3.71,3.87,3.56
3.70,3.90,4.12,3.70
3.93,3.89,3.93,3.83
3.84,3.91,3.91,3.82
3.90,3.83,3.90,3.79
4.40,3.78,4.40,3.55
3.80,3.85,3.86,3.59
3.85,3.86,4.03,3.83
3.88,3.98,4.02,3.76
4.00,4.11,4.11,3.98
4.11,4.20,4.23,4.02
4.04,4.19,4.21,3.86
4.18,4.20,4.26,4.12
4.16,4.25,4.25,4.14
4.28,4.29,4.34,4.08
4.30,4.38,4.38,4.28
4.40,4.31,4.43,4.15
4.31,4.27,4.39,4.26
4.21,4.33,4.35,4.21
4.37,4.30,4.37,4.17
4.27,4.34,4.40,4.15
4.33,4.45,4.47,4.08
4.44,4.41,4.47,4.39
4.46,4.40,4.48,4.24
4.40,4.31,4.45,4.17
4.34,4.26,4.34,4.18
4.29,4.28,4.35,4.21
4.28,4.07,4.38,4.01
4.08,4.06,4.14,3.98
4.06,4.14,4.31,4.05
4.14,4.11,4.14,4.07
4.07,4.04,4.16,4.00
4.01,4.11,4.14,3.95
4.11,4.03,4.11,3.92
4.04,4.05,4.11,3.98
4.05,4.02,4.06,3.98
4.05,4.30,4.35,4.05
4.28,4.48,4.49,4.28
4.48,4.48,4.49,4.38
4.46,4.38,4.46,4.31
4.39,4.50,4.50,4.36
4.26,4.60,4.61,4.18
4.53,4.61,4.63,4.48
4.61,4.55,4.61,4.48
4.56,4.54,4.66,4.40
4.50,4.64,4.70,4.50
4.70,4.59,4.70,4.52
4.64,4.71,4.72,4.59
4.69,4.50,4.72,4.47
4.70,4.48,4.70,4.39
4.40,4.13,4.43,4.09
4.07,4.13,4.28,4.05
4.11,4.00,4.29,4.00
4.01,3.84,4.11,3.80
3.45,4.02,4.15,3.45
3.96,3.91,4.04,3.90
3.91,4.00,4.02,3.78
4.38,3.96,4.38,3.93
3.85,3.75,3.94,3.67
3.79,3.75,3.87,3.70
3.84,3.82,4.33,3.74
3.82,3.90,3.97,3.76
3.78,3.55,3.78,3.55
3.48,3.48,3.55,3.45
3.50,3.40,3.56,3.40
