CRK,Comstock Resources,NASDAQ
207.75,216.60,216.60,207.40
215.60,219.10,219.30,215.30
218.40,218.75,221.15,217.30
217.30,218.50,219.10,213.55
217.45,220.00,220.15,215.60
221.80,210.85,222.60,209.25
208.60,207.45,209.45,205.80
206.80,205.95,209.40,202.65
205.20,203.75,207.95,202.30
202.80,201.75,203.75,198.85
202.40,206.00,206.15,200.40
203.50,207.90,208.35,201.85
206.60,205.70,211.90,205.70
204.30,202.50,207.15,201.30
203.65,206.30,207.90,203.65
202.95,202.95,206.75,200.70
201.85,196.85,202.90,194.10
198.05,196.65,198.25,193.35
198.35,194.95,203.54,193.90
198.10,202.90,203.25,196.20
203.75,204.45,206.70,203.45
203.75,198.50,203.75,198.25
195.00,186.70,195.35,184.65
186.50,185.40,187.00,180.00
185.95,186.60,187.95,182.55
190.90,184.15,191.20,181.55
182.70,181.95,183.75,179.70
182.15,182.95,184.85,180.65
179.75,181.00,182.72,178.64
183.90,186.65,187.65,182.95
188.50,188.50,189.25,185.41
188.45,187.45,189.50,185.40
186.70,188.05,189.00,186.40
188.35,184.20,189.75,182.05
182.20,176.95,182.85,176.25
176.50,174.40,178.90,172.70
171.55,173.65,173.80,169.15
173.40,172.60,175.00,169.75
172.95,175.70,175.85,172.80
176.70,178.65,179.50,176.20
179.85,177.05,180.20,176.90
177.40,168.85,177.40,168.40
170.40,169.20,171.90,166.15
168.50,165.25,170.00,164.55
163.65,164.50,165.85,163.50
164.90,162.55,165.10,162.08
162.15,165.65,165.95,161.65
166.85,169.05,169.05,166.18
167.70,165.00,168.00,161.95
165.20,166.30,166.30,163.60
166.40,169.30,169.40,165.55
168.45,168.25,174.90,168.00
167.95,161.80,168.40,160.10
160.45,160.55,160.55,157.30
161.00,161.55,163.20,160.10
160.00,158.80,163.00,158.25
160.50,150.45,160.55,150.00
150.50,149.75,151.15,148.15
152.10,156.05,158.45,150.65
155.95,156.80,157.40,153.45
156.35,159.00,160.40,156.20
163.20,169.00,171.05,163.05
170.20,177.00,177.85,170.20
176.80,177.00,179.75,175.65
175.35,173.75,177.05,173.05
171.60,172.70,172.95,168.15
173.00,174.65,174.85,172.30
174.40,175.25,177.80,174.40
175.20,176.80,177.40,172.40
178.00,176.80,178.35,174.10
176.70,177.40,180.95,176.15
176.00,171.20,177.05,170.35
170.10,168.80,170.10,167.05
170.00,173.50,173.90,169.15
174.10,169.90,174.15,168.75
167.55,171.05,172.40,165.25
171.80,176.70,177.30,168.60
176.05,173.25,176.80,172.40
172.25,165.80,172.95,165.50
166.55,164.50,167.05,163.00
166.00,162.25,167.65,158.80
162.75,160.30,166.15,160.25
160.85,165.35,166.15,159.00
162.55,157.60,165.75,155.30
154.20,155.55,158.85,152.10
154.15,148.00,157.15,140.45
147.95,141.90,150.00,140.85
150.80,151.95,152.00,148.40
150.15,150.10,151.75,148.97
150.55,152.30,154.30,150.40
151.70,156.40,157.10,149.52
154.75,156.40,156.90,150.50
157.00,152.95,158.10,149.05
155.15,152.45,157.85,152.15
151.10,150.10,153.75,146.15
145.00,142.25,146.20,141.70
139.45,146.85,147.75,138.70
146.55,138.70,146.55,138.50
134.40,138.85,139.20,133.35
140.05,141.25,144.45,140.05
145.50,150.00,150.00,145.50
149.35,149.20,152.15,147.45
146.40,141.50,149.75,141.35
142.80,149.60,149.65,141.90
151.80,158.55,159.30,150.00
153.75,157.50,164.90,149.55
158.45,157.05,162.15,156.15
157.95,160.25,160.65,155.25
162.25,157.70,170.00,157.05
161.25,162.80,164.55,157.00
161.30,164.05,165.30,160.80
166.60,162.10,167.65,161.65
163.75,167.65,168.21,163.75
165.65,166.95,168.50,164.10
167.65,165.60,168.30,163.30
164.50,165.40,166.50,162.30
168.40,163.30,169.70,162.10
164.05,156.95,164.25,155.85
157.85,156.30,158.35,154.25
155.40,153.80,156.95,153.40
154.40,156.45,157.75,152.35
156.20,148.80,156.25,148.35
146.15,138.50,146.40,137.05
137.15,138.60,141.40,136.35
138.50,136.70,140.10,133.55
137.50,135.05,138.60,133.45
137.25,132.80,139.75,131.95
133.00,136.40,136.50,132.55
138.55,136.05,139.60,132.80
135.40,135.15,136.15,133.55
134.60,132.95,136.60,131.25
135.10,131.70,135.10,130.25
131.40,130.40,131.45,129.25
130.85,137.50,138.05,128.40
136.70,132.00,137.65,131.40
132.20,129.60,132.70,125.95
127.85,134.10,134.40,126.80
135.00,128.95,135.00,127.65
131.40,131.45,134.25,130.70
131.20,131.55,132.70,129.15
131.60,132.40,133.75,130.45
133.25,129.50,134.20,128.00
129.50,127.70,130.75,127.05
128.40,126.15,129.00,124.55
124.15,126.55,127.60,123.40
129.05,129.95,130.35,126.75
128.80,124.50,128.95,123.45
123.55,122.25,125.60,116.70
120.65,125.60,127.25,113.55
124.65,125.50,125.85,122.80
126.00,126.95,127.40,124.05
124.20,122.75,124.80,121.65
119.45,115.25,119.45,113.85
112.95,112.30,115.50,110.90
112.20,110.25,114.15,109.40
110.10,108.00,110.80,107.50
109.55,112.95,113.90,108.70
112.35,111.35,112.65,109.92
110.70,109.50,110.95,109.00
108.70,106.80,109.10,105.75
107.60,105.40,108.00,105.20
103.85,104.90,105.10,102.40
103.40,104.75,104.80,101.40
105.55,104.75,106.30,102.65
105.80,108.80,109.15,103.80
108.30,109.30,110.05,107.40
108.55,108.85,110.55,107.85
110.15,108.40,111.80,107.65
109.15,109.30,111.05,107.75
110.95,110.15,111.70,109.60
109.35,105.60,109.35,105.25
105.70,105.70,107.35,105.50
107.45,104.65,107.45,103.15
105.25,104.50,106.50,104.00
106.05,103.65,106.35,103.20
103.70,103.20,105.50,103.00
102.40,103.45,103.75,100.60
103.40,101.25,104.25,100.95
101.75,99.40,101.75,97.70
99.60,101.45,104.15,97.70
103.15,103.95,109.50,103.15
103.75,105.00,106.25,103.75
104.30,107.00,108.40,103.50
108.70,111.20,112.15,108.15
111.40,111.10,112.40,110.15
111.20,109.25,111.20,107.20
108.90,111.50,111.50,108.25
112.55,112.45,114.00,110.35
113.75,113.50,114.55,112.00
113.05,109.75,113.40,108.95
111.05,113.80,113.85,110.45
113.50,119.05,119.20,113.50
119.60,118.90,119.65,117.40
118.65,120.00,121.05,118.50
119.95,117.85,121.10,117.50
117.50,117.80,118.70,114.50
118.80,119.25,120.25,117.70
118.85,119.60,120.60,118.05
120.45,117.65,120.80,117.10
117.75,121.10,121.70,117.40
119.00,114.80,119.00,113.65
115.00,117.15,117.65,113.75
117.45,115.85,120.20,113.75
116.30,113.65,117.10,112.60
114.35,113.70,116.05,113.05
112.80,107.80,113.55,107.55
106.95,108.35,108.70,104.10
109.40,109.15,109.60,106.70
108.60,111.75,112.55,108.45
112.90,117.00,119.20,112.90
112.90,116.00,117.95,110.20
116.25,118.85,118.95,115.00
120.75,121.50,122.90,119.60
121.25,121.15,122.75,119.65
121.00,123.20,124.80,120.80
124.90,127.70,133.00,124.90
128.65,130.75,131.05,124.50
129.85,134.00,134.40,129.55
132.50,129.05,133.20,128.70
130.30,125.25,131.60,125.00
124.90,122.95,125.50,121.05
123.05,122.35,124.30,121.90
123.95,122.95,125.25,121.60
123.05,123.80,124.00,120.05
123.55,126.25,127.25,121.55
124.60,123.10,124.60,121.80
124.15,125.65,125.80,122.70
124.25,123.70,125.10,122.80
122.90,124.75,125.65,122.00
122.90,122.50,124.73,121.40
124.85,124.75,125.10,123.20
124.95,128.80,128.85,124.65
127.85,132.00,132.70,127.80
131.45,130.00,132.80,129.80
131.80,127.85,133.05,127.50
128.20,125.65,129.20,124.90
126.10,124.25,127.10,123.80
124.25,123.45,125.40,122.40
124.40,125.75,126.55,124.20
126.10,123.25,126.15,120.75
122.40,121.75,123.05,120.75
121.75,110.60,121.75,110.30
110.50,110.00,113.25,109.60
110.30,111.35,111.55,109.20
112.20,118.80,119.60,112.10
119.25,120.85,121.60,118.55
120.90,118.40,120.90,118.05
118.15,120.35,120.65,116.25
120.45,123.70,124.85,119.65
124.20,125.15,127.05,122.75
125.25,125.05,127.15,124.45
125.00,122.80,125.05,122.75
124.30,123.70,124.75,123.30
123.40,120.35,124.30,119.75
119.80,120.50,121.05,119.00
120.95,121.75,122.40,120.00
121.40,120.75,121.40,118.80
120.00,122.90,123.70,118.40
123.50,123.40,125.60,122.25
124.65,126.70,127.40,123.05
126.85,125.05,127.25,124.65
125.10,128.30,128.50,124.30
128.40,128.85,128.85,126.60
128.75,126.35,129.00,125.95
125.40,125.60,126.05,122.40
126.55,125.30,127.00,124.55
