CRVP,Crystal Rock Holdings,NASDAQ
0.57,0.53,0.57,0.50
0.57,0.54,0.61,0.54
0.54,0.54,0.54,0.54
0.54,0.52,0.54,0.50
0.52,0.55,0.56,0.52
0.55,0.60,0.60,0.52
0.60,0.55,0.60,0.52
0.55,0.52,0.60,0.52
0.51,0.54,0.54,0.51
0.50,0.50,0.50,0.50
0.54,0.54,0.54,0.54
0.52,0.55,0.55,0.52
0.55,0.58,0.59,0.55
0.55,0.55,0.55,0.55
0.60,0.54,0.60,0.54
0.59,0.60,0.61,0.59
0.55,0.55,0.58,0.55
0.57,0.58,0.58,0.57
0.58,0.60,0.60,0.56
0.59,0.64,0.64,0.59
0.65,0.66,0.66,0.65
0.66,0.64,0.66,0.60
0.65,0.60,0.66,0.56
0.60,0.58,0.61,0.58
0.60,0.58,0.60,0.54
0.60,0.58,0.61,0.58
0.56,0.59,0.61,0.56
0.61,0.59,0.62,0.59
0.61,0.59,0.62,0.59
0.61,0.57,0.62,0.56
0.60,0.58,0.60,0.50
0.63,0.64,0.66,0.63
0.64,0.66,0.66,0.64
0.66,0.68,0.70,0.66
0.68,0.65,0.68,0.65
0.65,0.68,0.68,0.65
0.68,0.65,0.68,0.59
0.65,0.68,0.68,0.60
0.68,0.67,0.70,0.62
0.67,0.70,0.70,0.67
0.70,0.76,0.79,0.70
0.78,0.80,0.80,0.77
0.79,0.78,0.80,0.78
0.69,0.79,0.79,0.69
0.79,0.80,0.80,0.79
0.80,0.81,0.81,0.79
0.80,0.72,0.81,0.69
0.77,0.72,0.77,0.67
0.71,0.73,0.77,0.71
0.76,0.72,0.76,0.72
0.72,0.76,0.76,0.72
0.77,0.74,0.77,0.73
0.77,0.74,0.80,0.74
0.74,0.74,0.79,0.74
0.74,0.75,0.80,0.70
0.76,0.78,0.78,0.75
0.78,0.76,0.78,0.75
0.75,0.71,0.77,0.70
0.72,0.70,0.75,0.70
0.70,0.70,0.71,0.70
0.71,0.70,0.72,0.70
0.71,0.65,0.71,0.64
0.80,0.65,0.80,0.65
0.67,0.68,0.68,0.67
0.68,0.69,0.69,0.64
0.70,0.68,0.78,0.60
0.66,0.71,0.71,0.66
0.73,0.74,0.74,0.71
0.75,0.74,0.75,0.74
0.77,0.68,0.77,0.68
0.68,0.65,0.68,0.63
0.67,0.70,0.70,0.67
0.69,0.69,0.70,0.69
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.72,0.72,0.72,0.72
0.72,0.72,0.72,0.72
0.70,0.77,0.77,0.70
0.80,0.73,0.80,0.73
0.71,0.71,0.71,0.71
0.71,0.71,0.72,0.70
0.72,0.67,0.73,0.63
0.70,0.72,0.75,0.69
0.71,0.69,0.72,0.67
0.68,0.67,0.69,0.64
0.66,0.64,0.67,0.60
0.65,0.68,0.68,0.64
0.68,0.68,0.74,0.66
0.68,0.69,0.70,0.68
0.68,0.79,0.80,0.68
0.81,0.86,0.88,0.80
0.87,0.82,0.87,0.78
0.80,0.77,0.80,0.75
0.77,0.79,0.79,0.76
0.76,0.73,0.76,0.70
0.76,0.72,0.76,0.72
0.78,0.78,0.78,0.78
0.78,0.78,0.78,0.78
0.75,0.73,0.75,0.73
0.74,0.77,0.77,0.73
0.74,0.75,0.75,0.73
0.73,0.73,0.73,0.73
0.72,0.82,0.85,0.72
0.83,0.79,0.85,0.79
0.79,0.82,0.83,0.72
0.80,0.78,0.80,0.78
0.82,0.77,0.84,0.77
0.74,0.76,0.76,0.73
0.75,0.73,0.75,0.73
0.73,0.75,0.75,0.73
0.77,0.78,0.84,0.77
0.72,0.72,0.76,0.65
0.75,0.76,0.76,0.75
0.75,0.76,0.76,0.75
0.75,0.78,0.78,0.75
0.80,0.82,0.82,0.80
0.84,0.76,0.84,0.76
0.66,0.74,0.76,0.66
0.74,0.76,0.76,0.74
