CTRP,Ctrip.com International,NASDAQ
9.21,9.06,9.27,8.92
9.14,9.57,9.59,9.13
9.62,9.37,9.62,9.26
9.24,9.14,9.56,9.06
9.15,9.10,9.15,8.88
9.25,9.20,9.35,9.16
9.12,8.85,9.18,8.78
8.93,8.77,8.93,8.56
8.86,9.17,9.22,8.79
9.14,9.09,9.17,8.94
9.09,9.12,9.17,9.01
9.06,8.84,9.08,8.80
8.81,8.24,9.05,8.13
8.16,7.96,8.30,7.88
8.02,8.16,8.30,7.98
8.05,8.17,8.20,7.88
8.18,8.06,8.22,7.65
8.13,8.24,8.37,8.00
8.35,7.82,8.37,7.74
8.00,8.12,8.20,7.83
8.22,8.31,8.49,8.18
7.75,7.96,8.42,7.75
7.90,7.54,7.95,7.48
7.49,7.64,7.72,7.48
7.67,7.64,7.82,7.54
7.80,7.86,7.94,7.58
7.90,8.20,8.30,7.86
8.25,8.46,8.51,8.05
8.28,8.48,8.53,8.09
8.47,8.73,8.78,8.34
8.81,8.78,9.11,8.69
8.80,8.96,8.99,8.76
8.84,8.83,8.87,8.76
9.00,8.86,9.18,8.86
8.87,8.93,9.12,8.72
9.03,9.12,9.16,8.88
8.70,9.19,9.24,8.63
9.26,9.56,9.62,9.18
9.64,9.77,9.95,9.57
9.79,9.48,9.90,9.41
9.33,9.10,9.46,9.08
9.25,9.42,9.51,9.19
9.54,9.66,9.75,9.50
9.71,9.85,9.93,9.66
9.88,9.68,10.12,9.60
9.68,9.72,9.78,9.61
9.75,9.70,9.75,9.55
9.85,9.66,9.85,9.62
9.62,9.49,9.65,9.29
9.50,9.30,9.54,9.29
9.36,9.16,9.39,9.04
9.19,9.23,9.28,9.13
9.25,9.00,9.30,8.99
8.98,9.19,9.20,8.71
9.27,9.41,9.42,9.13
9.40,9.82,9.87,9.32
9.82,10.12,10.32,9.81
9.96,9.88,10.12,9.72
9.88,10.10,10.20,9.87
10.10,10.17,10.22,9.92
10.10,9.80,10.10,9.80
N/A,N/A,N/A,N/A
10.15,10.08,10.22,10.01
10.00,9.93,10.08,9.71
9.94,9.83,10.13,9.75
9.87,9.76,9.87,9.69
9.78,9.49,9.85,9.42
9.50,9.67,9.80,9.50
9.60,9.67,9.77,9.54
9.81,9.85,10.00,9.77
9.88,10.00,10.12,9.88
9.94,9.77,10.06,9.68
9.65,9.28,9.65,9.11
9.43,9.28,9.56,9.24
9.33,9.01,9.50,8.90
9.00,9.52,9.54,9.00
9.62,9.62,9.67,9.46
9.66,9.86,9.92,9.66
9.84,9.43,9.84,9.37
9.55,9.48,9.69,9.35
9.62,9.38,9.70,9.22
9.48,9.12,9.54,9.09
9.11,9.26,9.33,9.04
9.18,9.15,9.25,8.95
9.00,8.87,9.05,8.66
8.76,8.50,8.92,8.10
8.50,8.23,8.70,8.12
8.88,9.28,9.37,8.87
8.94,9.14,9.31,8.91
9.60,10.00,10.00,9.51
9.89,10.14,10.40,9.80
9.90,9.50,9.95,9.38
9.42,9.48,9.69,9.12
9.56,9.49,9.78,9.40
9.24,9.50,9.56,9.14
9.20,8.74,9.21,8.69
8.61,9.16,9.17,8.56
9.13,9.37,9.46,9.13
8.67,9.29,9.29,8.62
9.38,9.35,9.71,9.24
9.66,10.12,10.14,9.51
9.98,9.85,10.08,9.76
9.56,9.51,9.81,9.50
9.51,9.98,10.00,9.51
10.00,9.70,10.07,9.52
9.66,9.31,9.80,9.27
9.27,9.06,9.41,8.97
9.13,9.10,9.19,9.01
9.29,9.07,9.37,9.02
9.18,9.29,9.32,9.18
9.12,9.47,9.48,9.07
9.53,9.85,9.90,9.53
9.89,10.60,10.62,9.86
10.50,10.81,10.97,10.48
10.94,10.65,10.96,10.60
10.65,10.64,10.76,10.50
11.09,11.45,11.75,11.09
11.23,11.05,11.50,10.98
11.24,11.20,11.28,10.72
11.25,10.87,11.25,10.80
10.98,11.02,11.08,10.60
10.95,10.69,11.07,10.66
9.82,9.40,9.89,9.24
9.60,9.39,9.92,9.37
9.39,9.40,9.49,9.12
9.40,9.52,9.64,9.36
9.73,8.20,9.77,7.84
8.08,8.60,8.74,8.08
8.65,8.81,8.91,8.62
8.89,9.18,9.20,8.84
9.19,8.85,9.24,8.72
9.05,9.18,9.22,8.95
9.21,9.24,9.28,9.07
9.06,9.20,9.24,9.02
9.24,9.12,9.24,9.00
9.25,9.28,9.35,9.18
9.25,9.73,9.76,9.22
9.73,9.50,9.73,9.46
9.64,9.86,9.93,9.52
9.80,10.12,10.24,9.80
10.09,9.96,10.12,9.86
10.18,9.89,10.22,9.76
9.80,9.80,10.00,9.71
9.92,9.85,9.96,9.66
9.83,10.06,10.09,9.75
10.18,10.06,10.24,9.95
10.00,9.87,10.06,9.67
10.00,10.42,10.49,9.94
10.50,10.50,10.76,10.43
10.34,10.63,10.66,10.20
10.75,10.63,10.84,10.51
10.37,10.28,10.37,9.73
9.96,9.91,10.10,9.78
9.72,10.04,10.21,9.63
10.08,10.00,10.15,9.96
9.89,10.08,10.17,9.84
10.24,10.33,10.54,10.15
10.38,10.30,10.60,10.28
10.30,10.29,10.44,10.18
10.29,10.52,10.54,10.18
10.44,10.27,10.52,10.24
9.94,9.64,10.00,9.61
9.61,9.72,9.77,9.38
9.72,9.97,10.18,9.72
10.12,10.33,10.44,9.95
10.30,10.36,10.50,10.18
10.20,10.12,10.39,10.06
10.31,10.32,10.46,10.16
10.31,10.75,10.77,10.18
10.82,10.57,10.88,10.50
10.55,10.25,10.55,10.04
10.20,10.14,10.25,10.08
10.31,10.10,10.44,10.00
10.10,10.30,10.32,10.04
10.48,10.70,10.75,10.43
10.74,10.62,10.76,10.60
10.61,10.76,10.79,10.52
10.68,10.74,10.78,10.63
10.88,10.80,11.05,10.75
10.89,10.96,11.00,10.80
11.00,11.00,11.06,10.87
10.98,11.10,11.20,10.88
10.88,11.21,11.37,10.78
11.34,11.73,11.82,11.27
11.72,12.14,12.31,11.64
12.13,11.94,12.14,11.71
11.98,12.00,12.12,11.90
12.06,11.94,12.25,11.75
12.00,11.86,12.24,11.64
11.75,11.58,11.86,11.44
11.78,11.89,11.89,11.47
11.88,11.52,11.88,11.40
11.48,11.63,11.64,11.22
11.62,11.50,11.80,11.36
11.87,11.68,11.87,11.33
11.55,11.78,11.81,11.44
11.86,12.13,12.22,11.83
12.20,12.07,12.25,11.99
12.25,12.44,12.72,12.24
12.44,12.70,12.74,12.32
12.54,12.29,12.54,12.08
12.32,12.51,12.74,12.27
12.65,12.75,12.84,12.55
12.71,12.73,12.77,12.67
12.76,13.00,13.22,12.76
13.00,12.82,13.13,12.80
12.72,12.63,12.78,12.44
12.80,12.68,12.90,12.46
12.78,13.02,13.06,12.64
13.06,13.03,13.29,13.00
13.06,13.04,13.14,12.76
12.50,12.09,13.08,11.98
12.24,11.93,12.49,11.76
11.82,11.88,12.24,11.81
12.13,11.85,12.13,11.75
12.06,11.77,12.06,11.70
11.71,11.66,11.75,11.35
11.61,12.13,12.22,11.49
12.00,11.98,12.04,11.76
11.96,11.58,11.98,11.42
11.53,11.34,11.77,11.26
11.46,11.48,11.68,11.38
11.63,11.65,11.73,11.60
11.73,11.84,11.90,11.66
11.89,11.75,11.96,11.64
11.50,11.60,11.69,11.47
11.77,12.01,12.06,11.72
11.82,11.77,11.86,11.54
11.86,11.60,11.91,11.48
11.38,10.94,11.38,10.92
11.25,10.68,11.37,10.60
10.68,11.00,11.21,10.65
10.86,11.06,11.15,10.76
10.88,11.08,11.16,10.88
11.30,11.56,11.72,11.18
11.49,10.97,11.63,10.80
11.11,11.10,11.18,10.93
11.06,11.29,11.34,11.05
11.50,11.13,11.60,11.08
11.14,9.66,11.14,9.64
10.00,10.43,10.61,9.98
10.28,10.19,10.44,9.95
10.16,10.27,10.35,10.13
10.22,10.08,10.34,9.99
10.28,10.24,10.31,10.04
10.25,10.55,10.61,10.22
10.53,10.44,10.54,10.21
10.43,10.43,10.48,10.13
10.43,10.50,10.58,10.42
10.56,10.48,10.56,10.34
10.49,10.34,10.54,10.33
10.34,10.11,10.40,10.10
10.10,10.41,10.42,10.06
10.53,11.12,11.17,10.50
11.06,11.15,11.27,10.88
11.29,11.32,11.70,11.10
11.30,11.11,11.39,10.94
11.04,11.41,11.48,10.96
11.48,11.52,11.76,11.26
11.49,10.88,11.54,10.69
10.94,10.78,10.99,10.69
10.77,10.52,10.80,10.49
10.52,10.76,10.78,10.52
10.69,10.75,10.83,10.61
10.70,10.70,10.80,10.60
10.72,10.77,10.85,10.62
10.76,10.69,10.76,10.53
10.59,10.86,10.89,10.54
10.88,11.14,11.15,10.88
11.14,10.80,11.25,10.76
11.00,10.16,11.00,10.13
10.20,10.29,10.37,10.11
10.33,10.55,10.62,10.28
10.50,10.30,10.60,10.30
10.30,10.40,10.44,10.19
10.40,10.36,10.52,10.32
10.41,10.53,10.57,10.38
10.50,10.25,10.50,10.00
10.25,10.37,10.55,10.24
10.32,10.34,10.41,10.12
10.31,10.74,10.92,10.26
10.08,10.16,10.33,9.78
10.10,10.02,10.15,9.97
10.02,9.80,10.04,9.78
9.81,10.03,10.17,9.78
10.05,9.87,10.10,9.77
9.72,9.58,9.74,9.37
9.56,9.33,9.64,9.28
9.53,9.76,9.81,9.30
9.78,9.94,10.02,9.76
10.03,9.69,10.04,9.54
9.71,9.50,9.77,9.47
9.50,9.57,9.76,9.44
9.69,9.72,9.78,9.56
9.68,9.76,9.80,9.58
9.84,9.52,9.86,9.39
9.52,9.65,9.76,9.38
9.69,9.73,9.75,9.55
9.61,9.67,9.77,9.55
9.59,9.68,9.76,9.56
9.61,9.75,9.81,9.54
9.36,9.58,9.73,9.16
9.54,9.25,9.55,9.18
9.39,9.32,9.44,9.22
9.42,9.32,9.44,9.23
9.38,9.50,9.59,9.34
9.46,9.40,9.48,9.31
9.36,9.32,9.40,9.19
9.39,9.75,9.80,9.35
9.77,9.87,9.91,9.72
9.92,9.92,10.04,9.91
9.88,10.07,10.16,9.88
10.11,10.21,10.26,10.08
10.22,10.37,10.42,10.18
10.43,10.41,10.48,10.28
10.44,10.71,10.72,10.38
10.88,11.18,11.34,10.75
11.22,11.03,11.39,10.93
11.00,11.35,11.42,10.99
11.34,11.42,11.52,11.34
11.39,11.31,11.44,11.24
11.17,11.16,11.38,11.10
11.22,11.22,11.32,11.16
11.16,11.29,11.45,11.01
11.31,11.40,11.45,11.20
11.28,11.44,11.49,11.00
11.44,11.89,12.09,11.43
12.00,12.30,12.40,12.00
12.16,12.58,12.64,11.94
12.57,12.25,12.57,12.20
12.17,12.14,12.32,11.94
12.13,12.05,12.22,11.95
12.07,12.08,12.12,11.94
12.09,12.18,12.42,12.05
12.28,12.18,12.43,12.02
12.11,11.63,12.33,11.48
11.56,11.56,11.73,11.32
11.44,11.75,11.87,11.38
11.92,12.01,12.29,11.86
12.00,12.08,12.17,11.85
12.15,12.16,12.19,12.00
12.09,11.84,12.20,11.68
11.84,12.13,12.17,11.72
12.14,11.88,12.37,11.72
11.75,11.59,11.95,11.57
10.81,11.04,11.16,10.43
10.94,10.82,11.05,10.81
10.94,11.20,11.25,10.75
11.16,11.20,11.28,11.06
10.96,10.72,11.06,10.64
10.71,10.78,10.94,10.68
10.79,10.70,11.05,10.65
10.75,10.74,10.86,10.69
