CUT,Guggenheim MSCI Global Timber ETF,NASDAQ
18.19,18.22,18.48,18.19
18.36,18.67,18.75,18.36
18.67,18.87,19.01,18.67
18.87,18.73,19.02,18.60
18.65,18.83,18.94,18.63
19.04,18.80,19.04,18.76
18.75,18.56,18.78,18.47
18.77,18.80,18.81,18.60
18.86,18.61,18.86,18.53
nan,18.42,nan,nan
18.50,18.65,18.65,18.43
18.25,18.30,18.62,18.05
18.35,17.63,18.38,17.63
17.70,17.27,17.70,17.20
17.40,17.51,17.68,17.39
17.34,17.27,17.59,17.23
17.24,17.20,17.34,16.93
17.34,16.91,17.34,16.76
17.00,16.75,17.08,16.62
16.86,17.18,17.23,16.78
17.35,17.49,17.54,17.24
17.60,17.18,17.60,17.05
16.88,16.48,16.93,16.48
16.34,16.38,16.42,15.99
16.30,16.32,16.61,16.30
16.49,16.73,16.86,16.47
16.74,16.67,16.81,16.52
16.77,16.92,16.97,16.59
nan,16.75,nan,nan
16.82,17.25,17.27,16.81
17.41,17.19,17.41,17.12
17.24,17.36,17.41,17.20
17.30,17.28,17.40,17.14
17.22,17.31,17.39,17.16
17.32,17.07,17.36,17.04
17.08,17.18,17.25,17.08
17.00,17.12,17.12,16.84
17.13,17.06,17.13,16.98
17.10,17.50,17.50,17.10
17.47,17.66,17.70,17.47
17.79,17.88,18.00,17.69
17.93,17.83,17.93,17.72
17.90,18.09,18.21,17.90
18.19,18.12,18.20,18.05
17.93,18.05,18.16,17.93
18.12,18.15,18.19,17.99
18.15,18.25,18.25,17.96
18.47,18.50,18.50,18.34
18.40,18.35,18.42,18.15
18.30,18.60,18.60,18.30
18.54,18.77,18.81,18.52
18.82,18.62,18.82,18.54
18.58,18.38,18.69,18.35
18.16,18.56,18.61,18.02
18.59,18.73,18.73,18.52
18.56,18.52,18.62,18.49
18.55,18.33,18.69,18.32
18.39,18.52,18.64,18.39
18.63,18.63,18.65,18.55
18.73,18.70,18.80,18.62
18.55,18.63,18.77,18.55
nan,19.00,nan,nan
18.89,19.09,19.20,18.80
19.05,19.25,19.25,18.98
19.28,19.27,19.36,19.19
19.29,19.35,19.39,19.20
19.43,19.60,19.60,19.41
19.63,19.59,19.63,19.50
19.55,19.56,19.61,19.41
19.77,19.96,19.97,19.66
19.89,19.93,19.98,19.84
19.86,19.58,19.86,19.36
19.40,19.61,19.62,19.26
19.81,19.89,19.91,19.71
19.77,20.03,20.07,19.77
19.81,20.19,20.23,19.78
20.23,20.47,20.51,20.23
20.55,20.45,20.65,20.42
20.25,19.54,20.25,19.51
19.75,19.41,19.75,19.34
19.72,19.86,19.86,19.68
20.00,19.57,20.00,19.57
19.69,19.93,19.94,19.67
19.51,18.90,19.52,18.86
18.55,18.53,18.91,18.38
18.40,17.84,19.05,0.10
17.76,17.51,17.97,17.34
18.51,18.65,18.95,18.43
18.76,18.52,18.80,18.35
18.79,19.04,19.04,18.74
18.97,18.69,18.97,18.63
18.50,18.31,18.50,18.14
18.37,18.39,18.47,17.94
18.56,18.04,18.79,17.97
17.90,17.94,18.04,17.57
17.31,17.10,17.52,17.02
17.00,17.49,17.51,16.78
17.36,17.18,17.56,17.18
16.61,17.14,17.14,16.48
17.26,17.05,17.49,16.94
17.42,17.88,17.88,17.42
nan,17.65,nan,nan
17.59,17.21,17.87,17.20
17.47,17.87,17.87,17.37
17.93,17.76,17.96,17.58
17.30,16.98,17.44,16.98
17.00,16.67,17.10,16.67
16.63,16.93,16.95,16.61
17.01,16.94,17.32,16.93
17.52,17.76,17.76,17.43
17.65,18.04,18.04,17.55
18.31,18.13,18.44,18.04
18.31,18.46,18.59,18.24
18.27,18.28,18.40,18.16
18.34,18.37,18.37,18.12
18.28,18.48,18.55,18.28
18.84,18.55,18.84,18.41
18.64,18.18,18.68,18.17
18.32,18.32,18.32,18.00
18.25,17.80,18.25,17.80
17.84,18.03,18.05,17.76
17.84,17.82,17.97,17.68
17.40,17.08,17.43,16.94
17.03,16.94,17.23,16.91
16.91,16.96,17.07,16.65
nan,16.83,nan,nan
17.15,17.00,17.32,16.88
17.07,17.43,17.43,17.02
17.45,17.63,17.64,17.38
17.59,17.73,17.73,17.59
17.62,17.55,17.70,17.48
17.81,17.91,18.00,17.79
17.96,17.89,17.98,17.79
17.87,17.93,17.97,17.70
17.77,17.41,17.77,17.38
17.53,17.57,17.61,17.34
17.54,17.91,17.91,17.40
18.05,17.75,18.11,17.69
18.04,18.40,18.46,18.04
18.40,18.66,18.66,18.24
18.56,18.87,18.88,18.56
19.02,18.82,19.02,18.71
18.68,18.65,18.75,18.55
18.84,18.55,18.84,18.46
18.43,18.62,18.64,18.43
19.02,19.20,19.22,18.95
19.17,19.08,19.19,19.00
19.18,19.27,19.27,19.12
19.22,19.27,19.27,19.15
19.06,19.23,19.24,19.02
19.33,19.32,19.36,19.26
18.98,19.02,19.09,18.75
18.53,18.11,18.54,18.11
18.03,18.24,18.28,17.91
18.28,18.25,18.34,18.22
18.08,18.27,18.37,18.08
18.50,18.73,18.83,18.50
18.73,18.78,18.86,18.62
18.77,18.40,18.77,18.30
18.15,18.12,18.17,17.96
18.12,17.99,18.20,17.99
17.72,17.55,17.72,17.54
17.41,17.58,17.63,17.26
17.70,17.56,17.80,17.54
17.70,17.91,17.97,17.62
17.90,17.72,17.90,17.72
17.60,17.73,17.82,17.59
18.03,18.38,18.44,18.03
18.59,18.71,18.71,18.49
nan,18.77,nan,nan
18.68,18.47,18.68,18.44
18.59,18.60,18.68,18.55
18.77,18.62,18.84,18.57
18.61,18.69,18.74,18.61
19.01,19.05,19.09,18.93
19.06,19.13,19.19,18.98
19.04,19.04,19.07,18.96
19.00,19.04,19.04,18.94
19.00,18.97,19.14,18.92
19.09,19.07,19.09,18.85
19.15,18.99,19.16,18.85
19.04,18.83,19.10,18.80
18.63,18.57,18.74,18.48
18.86,19.13,19.13,18.86
19.21,19.03,19.21,18.99
19.05,19.30,19.31,18.96
19.31,19.32,19.43,19.23
19.51,19.30,19.54,19.16
19.54,19.52,19.57,19.40
19.30,19.08,19.30,18.96
19.44,19.75,19.79,19.42
19.75,19.82,19.84,19.73
19.97,19.68,19.97,19.63
19.66,19.84,19.87,19.63
19.92,19.85,19.92,19.79
19.67,19.85,19.87,19.54
19.98,20.04,20.19,19.87
20.07,20.05,20.21,19.98
20.05,19.94,20.18,19.87
19.97,20.11,20.13,19.87
19.81,19.62,19.85,19.51
19.76,20.09,20.16,19.76
20.27,20.23,20.40,20.04
20.25,20.35,20.36,20.25
20.63,20.47,20.66,20.46
20.44,20.39,20.45,20.32
20.22,20.29,20.39,20.11
20.29,20.24,20.29,20.10
20.24,20.40,20.42,20.19
20.50,20.39,20.59,20.25
20.52,20.53,20.67,20.52
20.67,20.76,20.78,20.47
20.82,21.17,21.17,20.82
21.01,20.98,21.07,20.90
20.91,21.03,21.04,20.78
21.21,20.78,21.26,20.70
20.90,20.99,20.99,20.72
20.92,20.86,20.92,20.71
20.77,20.53,20.82,20.42
20.53,20.45,20.76,20.45
20.23,19.90,20.24,19.82
19.97,20.09,20.23,19.97
20.34,20.48,20.53,20.34
20.46,20.55,20.55,20.31
20.30,20.37,20.41,20.15
19.98,19.84,20.06,19.79
nan,20.18,nan,nan
19.86,19.85,19.86,19.79
19.67,19.76,19.80,19.42
19.43,19.53,19.62,19.39
19.84,19.95,20.05,19.81
20.07,20.65,20.65,20.05
20.48,20.83,20.83,20.48
20.69,20.73,20.77,20.60
20.97,20.64,20.97,20.58
20.62,20.64,20.72,20.50
20.68,20.57,20.68,20.45
20.58,20.69,20.72,20.53
20.73,20.85,20.95,20.73
20.84,20.80,20.98,20.77
20.68,20.54,20.76,20.48
20.55,20.55,20.55,20.40
20.42,20.48,20.50,20.33
20.43,20.48,20.50,20.35
