CVLT,CommVault Systems,NASDAQ
23.94,24.24,24.51,23.92
24.19,23.94,24.33,23.72
23.86,23.95,24.10,23.71
24.01,23.89,24.16,23.36
23.82,23.94,24.19,23.56
24.00,23.79,24.00,23.48
23.75,23.46,23.82,23.26
23.59,23.44,23.59,23.28
23.32,23.54,23.72,23.23
23.65,23.49,23.89,22.77
23.59,23.37,23.96,23.26
23.18,22.87,23.29,22.35
22.82,22.23,23.00,22.01
22.17,21.31,22.31,21.23
21.36,21.24,21.76,20.80
21.13,21.26,21.40,20.95
21.09,21.49,21.84,21.06
21.55,21.37,21.69,21.17
21.42,21.19,21.75,20.95
21.22,22.20,22.20,21.14
22.26,21.85,22.50,21.84
21.90,22.39,22.47,21.33
22.36,21.63,22.47,21.57
21.60,20.94,21.65,20.42
21.00,21.35,21.44,20.86
21.51,21.46,21.69,21.25
21.40,21.86,21.86,21.36
21.75,22.31,22.33,21.62
22.10,22.63,22.63,22.02
22.73,22.63,22.97,22.36
22.64,22.65,22.83,22.42
22.57,22.89,22.90,22.42
22.90,22.84,22.97,22.64
22.95,22.74,22.97,22.61
22.60,22.39,22.73,22.31
22.50,22.55,22.76,22.30
22.30,22.16,22.31,22.05
22.24,21.90,22.24,21.83
22.29,21.86,22.29,21.65
21.83,21.76,22.03,21.71
21.85,21.01,22.16,20.90
21.16,21.40,21.46,20.82
21.43,21.73,21.80,21.31
21.78,21.92,22.14,21.63
21.83,22.19,22.29,21.81
22.14,22.35,22.35,22.00
22.19,22.45,22.47,21.93
22.45,22.62,22.62,22.05
22.64,22.52,22.92,22.48
22.46,22.78,22.78,22.41
22.33,23.12,23.28,21.90
23.01,22.70,23.06,22.67
22.81,22.29,22.86,22.09
22.13,22.66,22.73,21.95
22.60,22.56,22.77,22.45
22.54,22.10,22.56,22.04
22.26,21.28,22.26,21.23
21.39,21.23,21.56,20.80
21.33,20.90,21.38,20.50
21.00,21.38,21.45,20.90
21.27,21.35,21.67,21.22
N/A,N/A,N/A,N/A
20.45,20.78,20.92,20.39
20.75,20.78,20.85,20.49
20.83,20.75,20.99,20.58
20.76,20.87,20.92,20.53
20.93,20.92,21.07,20.66
20.92,21.43,21.48,20.77
21.47,21.29,21.62,21.13
21.42,21.86,21.90,21.42
21.78,21.88,21.98,21.75
21.87,21.37,21.98,21.24
21.26,21.32,21.49,20.85
21.36,21.62,21.84,21.36
21.68,21.55,21.80,21.41
21.31,21.56,21.57,20.96
