CWCO,Consolidated Water Co. Ltd. - Ordinary Shares,NASDAQ
14.51,14.41,14.52,14.04
14.36,13.96,14.42,13.87
13.99,14.11,14.37,13.99
14.14,13.96,14.25,13.65
13.97,14.13,14.40,13.93
14.15,13.95,14.29,13.88
13.83,13.74,14.09,13.60
13.74,13.90,13.99,13.62
13.80,13.99,14.13,13.73
14.06,13.69,14.06,13.60
13.69,13.85,13.90,13.57
13.80,13.39,13.80,13.26
13.37,13.02,13.37,12.98
13.04,12.91,13.19,12.77
12.95,12.92,13.01,12.80
12.83,12.86,13.17,12.63
12.80,12.94,13.05,12.80
13.01,13.81,13.99,13.01
13.42,13.49,13.90,13.00
13.50,13.77,13.85,13.50
13.82,13.97,14.10,13.81
13.92,13.74,13.92,13.65
13.71,13.55,13.82,13.29
13.51,13.29,13.70,13.02
13.31,12.88,13.31,12.87
13.03,12.82,13.05,12.65
12.75,12.85,12.89,12.68
12.87,12.90,12.93,12.62
12.75,12.51,12.82,12.42
12.69,12.50,12.72,12.42
12.48,12.84,12.93,12.40
12.81,12.77,12.91,12.35
12.78,12.85,12.99,12.57
12.84,12.74,12.84,12.55
12.76,12.24,12.79,12.20
12.27,12.40,12.53,12.26
12.27,12.31,12.48,12.19
12.35,12.15,12.42,12.14
12.24,12.39,12.42,12.16
12.40,12.63,12.63,12.38
12.65,13.10,13.28,12.50
13.09,12.95,13.20,12.85
12.97,13.38,13.38,12.91
13.44,13.67,13.75,13.18
13.67,14.15,14.30,13.57
14.11,14.24,14.40,13.84
14.30,14.39,14.40,14.03
14.45,14.50,14.54,14.16
14.52,14.32,14.60,14.18
14.32,14.16,14.32,13.96
14.11,13.74,14.11,13.37
13.56,13.57,13.95,13.42
13.68,13.77,13.78,13.40
13.70,14.12,14.17,13.51
14.13,14.04,14.21,13.84
14.00,13.90,14.10,13.77
13.94,13.39,14.07,13.35
13.47,13.27,13.50,13.22
13.60,14.30,14.41,13.42
14.39,13.85,14.39,13.76
13.76,13.58,14.12,13.56
N/A,N/A,N/A,N/A
14.08,14.21,14.31,13.83
14.11,14.32,14.35,13.92
14.30,14.56,14.59,14.30
14.48,14.69,14.87,14.48
14.65,14.44,14.65,13.99
14.49,14.15,14.49,14.05
14.10,14.57,14.75,14.10
14.69,14.70,14.85,14.44
14.73,14.85,14.90,14.49
14.85,14.68,14.85,14.31
14.58,14.46,14.66,14.31
14.56,14.64,14.71,14.32
14.61,14.04,14.64,13.90
13.90,14.43,14.53,13.90
14.64,15.00,15.00,14.49
15.00,14.93,15.05,14.84
14.90,14.71,15.09,14.54
14.84,14.59,14.99,14.53
14.66,14.52,14.66,14.25
14.48,14.15,14.74,14.14
14.19,14.99,15.00,14.15
14.74,14.35,14.85,14.29
14.25,14.07,14.66,14.00
14.00,13.50,14.48,13.42
13.56,12.14,13.65,12.12
12.76,13.03,13.04,12.53
12.85,13.48,13.57,12.69
13.56,14.14,14.16,13.26
14.02,13.80,14.02,13.42
13.61,13.20,13.61,13.05
13.27,13.37,13.43,12.91
13.43,13.05,13.69,12.97
12.95,12.92,13.01,12.62
12.50,12.24,12.66,12.19
12.05,12.10,12.40,11.91
12.03,12.23,12.71,12.03
11.77,11.98,12.28,11.52
12.00,11.89,12.73,11.82
12.17,12.30,12.30,12.00
12.33,11.99,12.45,11.90
11.88,11.75,12.05,11.71
12.00,12.24,12.27,11.90
12.21,12.43,12.55,12.20
12.15,11.52,12.23,11.50
11.52,11.26,11.56,11.26
11.28,11.17,11.50,11.04
11.35,11.68,11.69,11.05
11.90,12.06,12.06,11.46
11.80,12.45,12.46,11.80
12.54,12.48,12.60,12.09
12.58,12.72,12.76,12.02
12.65,12.36,12.65,12.30
12.40,12.36,12.44,12.00
12.46,12.17,12.48,12.10
12.29,11.80,12.30,11.76
11.87,11.72,12.19,11.72
11.72,11.92,12.09,11.64
11.81,11.61,12.07,11.60
11.62,12.16,12.18,11.55
