CWEI,Clayton Williams Energy,NASDAQ
35.78,37.53,37.55,35.67
35.64,37.96,38.16,35.64
37.94,36.94,38.16,36.01
36.75,37.72,37.72,36.43
37.41,38.75,39.33,37.33
39.39,39.46,39.70,38.72
38.90,38.14,39.72,38.00
37.88,37.42,37.88,35.70
37.10,36.65,37.77,35.89
36.76,36.81,37.12,34.83
36.78,37.46,37.71,35.96
36.96,35.88,37.03,35.83
36.07,35.72,36.55,35.09
35.64,36.57,37.75,34.86
36.94,36.46,37.30,36.12
36.18,35.06,36.84,35.03
35.24,34.41,35.94,33.88
34.61,33.55,34.61,32.51
33.84,32.82,34.29,32.72
33.20,34.53,35.11,33.20
34.72,35.50,35.81,34.51
35.48,35.93,36.22,35.04
35.63,34.98,35.63,34.04
35.00,33.53,35.00,32.34
33.57,34.52,34.95,32.58
35.32,34.73,36.25,34.32
34.46,34.37,34.86,33.80
34.40,35.56,35.67,34.00
34.91,35.56,35.56,34.41
36.15,36.63,36.84,35.88
36.92,36.55,36.92,36.23
36.57,36.66,36.86,36.00
36.62,36.84,37.23,36.62
37.04,36.68,37.07,36.41
36.75,35.47,36.80,35.00
35.80,36.25,36.75,35.73
35.57,37.07,37.15,35.51
37.22,37.29,37.74,36.39
37.51,37.79,38.07,37.32
37.78,39.11,39.21,37.48
39.33,39.83,40.00,39.21
39.67,39.39,39.85,38.76
39.77,41.37,41.75,39.18
41.37,40.65,41.68,40.38
40.31,40.64,41.05,40.11
38.73,39.17,39.64,37.45
38.70,38.07,39.01,38.03
38.41,37.32,38.41,37.00
37.13,35.36,37.72,35.15
35.64,35.80,35.84,35.02
35.85,35.99,36.75,35.45
36.10,34.88,36.10,34.84
35.14,34.15,35.64,33.61
33.85,33.12,33.85,32.64
33.03,34.52,34.59,32.99
34.38,33.54,34.38,33.28
33.78,33.41,34.09,33.30
33.50,33.69,33.92,33.15
33.89,34.90,34.95,33.74
34.56,35.24,35.38,34.56
35.07,34.98,35.52,34.87
35.39,36.07,36.49,35.07
35.88,38.29,38.49,35.88
38.07,38.31,38.92,37.66
38.13,38.29,38.89,38.00
37.81,38.08,38.18,36.72
38.10,38.20,38.77,37.72
38.20,38.15,38.36,37.81
38.06,38.14,38.20,37.74
38.49,39.73,39.73,37.79
39.75,41.02,41.10,39.63
40.52,40.60,40.76,38.41
40.14,40.61,41.47,39.96
40.78,42.77,42.92,40.78
42.72,42.72,43.51,42.22
42.27,43.92,43.98,42.00
43.83,46.49,46.68,43.32
46.27,45.58,46.86,45.48
45.12,45.02,46.38,44.52
45.88,47.47,48.40,45.57
47.50,46.10,47.76,45.99
46.24,46.46,47.52,45.56
46.69,49.16,49.76,46.55
48.34,50.87,51.72,47.78
51.37,49.59,52.20,49.26
49.26,47.28,50.15,44.88
47.13,45.35,48.93,44.78
47.72,48.87,49.04,47.04
48.19,51.08,51.49,48.19
51.14,52.69,52.97,50.17
52.70,53.75,54.50,51.20
53.38,51.36,53.62,50.76
51.95,50.42,52.18,49.59
51.40,48.89,52.43,48.70
48.72,45.96,48.72,45.52
45.00,41.19,45.00,41.16
40.23,42.69,43.76,40.02
42.76,41.46,43.14,41.24
40.08,41.64,41.86,39.64
41.94,42.86,44.29,41.25
44.20,46.00,46.55,44.20
46.03,45.40,47.13,44.79
44.64,44.57,46.95,44.40
45.08,47.96,48.07,44.45
48.84,51.02,51.38,48.25
49.83,49.31,51.30,48.66
49.50,48.43,50.44,48.37
48.71,49.35,50.39,48.44
49.98,49.75,50.80,49.19
50.60,51.40,51.49,50.14
50.68,52.04,52.09,50.50
52.50,51.68,53.20,51.10
52.36,52.81,52.97,51.67
52.27,52.81,53.50,52.00
53.34,51.68,53.46,51.15
51.65,51.05,51.65,50.52
52.00,50.55,52.12,50.19
50.65,49.03,51.34,48.87
49.08,49.10,49.88,48.26
48.69,47.48,49.45,47.48
47.65,48.39,49.00,47.35
48.61,46.83,48.61,46.70
45.60,43.36,45.94,43.00
43.34,42.12,44.04,41.82
42.36,41.83,42.36,39.75
42.13,40.80,42.24,39.84
41.59,40.43,42.29,39.92
40.44,41.98,42.10,40.32
42.37,42.10,42.90,41.51
41.88,43.00,43.19,41.88
42.76,42.07,43.15,41.66
42.72,43.16,43.55,42.55
43.13,43.37,44.05,42.96
43.34,42.68,43.85,41.47
42.10,40.10,42.10,39.83
40.22,38.89,40.64,38.24
38.34,40.49,40.70,37.83
41.00,40.59,41.50,40.12
40.59,42.35,42.58,40.59
41.97,43.42,43.50,41.80
43.75,45.00,45.15,42.97
45.50,44.65,45.54,44.38
44.50,45.02,45.25,44.25
45.35,44.71,45.80,43.64
44.34,44.51,45.18,44.14
45.57,46.47,46.76,45.28
46.04,46.92,48.24,46.04
47.31,47.05,47.84,46.74
46.36,47.02,47.65,46.35
