CWST,Casella Waste Systems,NASDAQ
4.11,4.35,4.36,4.10
4.32,4.30,4.35,4.19
4.27,4.34,4.40,4.27
4.30,4.36,4.39,4.25
4.34,4.41,4.44,4.34
4.45,4.40,4.53,4.36
4.40,4.51,4.53,4.34
4.52,4.61,4.67,4.50
4.63,4.69,4.77,4.60
4.70,4.79,4.79,4.60
4.80,4.71,4.80,4.61
4.71,4.75,4.79,4.61
4.77,4.66,4.77,4.62
4.68,4.65,4.70,4.50
4.65,4.62,4.75,4.55
4.62,4.58,4.62,4.50
4.54,4.44,4.60,4.35
4.44,4.51,4.53,4.39
4.50,4.35,4.52,4.35
4.38,4.38,4.40,4.03
4.39,4.34,4.39,4.30
4.30,4.24,4.30,4.05
4.21,4.23,4.29,4.20
4.23,4.22,4.34,4.22
4.20,4.21,4.25,4.18
4.66,4.41,4.70,4.36
4.44,4.24,4.44,4.15
4.20,4.47,4.53,4.18
4.48,4.48,4.63,4.48
4.41,4.40,4.45,4.31
4.40,4.41,4.45,4.36
4.42,4.66,4.78,4.37
4.66,4.72,4.89,4.59
4.76,4.72,4.84,4.68
4.75,4.78,4.81,4.65
4.79,4.77,4.79,4.72
4.70,4.71,4.79,4.68
4.69,4.53,4.69,4.31
4.57,4.80,4.80,4.54
4.73,4.79,4.80,4.68
4.80,4.80,4.85,4.70
4.74,4.72,4.79,4.67
4.73,4.75,4.81,4.63
4.75,4.84,4.85,4.65
4.85,4.93,5.00,4.73
4.96,4.90,5.09,4.90
4.94,4.95,4.95,4.85
4.99,5.14,5.14,4.95
5.15,5.12,5.15,5.08
5.14,5.14,5.14,5.10
5.14,5.18,5.30,5.08
5.22,5.10,5.22,5.10
5.09,4.85,5.10,4.85
4.87,4.83,5.00,4.58
4.80,4.84,5.05,4.80
4.80,4.82,4.89,4.79
4.88,4.95,5.10,4.86
5.00,5.02,5.04,4.95
5.00,5.01,5.02,4.86
5.05,5.04,5.11,5.04
5.06,5.02,5.08,5.00
N/A,N/A,N/A,N/A
5.15,5.20,5.34,5.10
5.18,5.23,5.23,5.13
5.19,5.15,5.24,5.00
5.12,5.19,5.19,5.06
5.20,5.18,5.22,5.14
5.15,5.18,5.20,5.10
5.17,5.17,5.17,5.10
5.15,5.07,5.17,5.07
5.10,5.13,5.16,5.06
5.10,5.08,5.12,5.00
5.04,5.05,5.12,5.00
5.10,5.06,5.10,5.00
5.05,5.07,5.07,4.96
5.03,5.06,5.07,5.00
5.00,5.08,5.10,5.00
5.10,5.04,5.10,5.00
5.05,4.96,5.05,4.90
4.96,4.94,5.01,4.93
5.02,5.08,5.10,4.98
5.06,5.16,5.24,5.06
5.24,5.30,5.39,5.22
5.28,5.05,5.34,5.00
5.07,5.03,5.08,5.00
5.01,4.66,5.07,3.20
4.70,4.47,4.91,4.23
4.74,4.83,4.91,4.69
4.72,5.08,5.12,4.72
5.10,5.20,5.29,5.10
5.23,5.20,5.29,5.18
5.13,5.06,5.19,4.95
5.02,5.02,5.12,4.91
5.03,4.98,5.09,4.74
4.93,4.75,4.98,4.64
4.66,4.41,4.68,4.37
4.39,4.30,4.45,4.14
4.27,4.38,4.38,4.27
4.30,4.15,4.30,4.01
4.21,4.28,4.38,4.16
4.34,4.37,4.37,4.27
4.37,4.49,4.53,4.33
4.42,4.17,4.42,4.11
4.17,4.18,4.20,3.99
4.19,4.16,4.23,4.10
4.02,4.14,4.20,4.00
4.10,4.05,4.28,4.00
3.99,3.55,4.01,3.40
3.55,3.47,3.62,3.32
3.56,3.46,3.56,3.36
3.40,4.00,4.00,3.39
4.00,4.41,4.48,4.00
4.41,4.45,4.48,4.01
4.38,4.20,4.45,4.11
4.19,4.28,4.42,4.15
4.28,4.31,4.37,4.23
4.40,4.04,4.45,4.00
4.15,3.98,4.15,3.98
3.95,4.05,4.15,3.91
4.00,3.87,4.07,3.81
3.96,4.11,4.18,3.72
4.08,3.83,4.10,3.83
3.78,3.73,3.83,3.68
3.74,3.82,3.89,3.69
3.85,3.69,3.85,3.66
3.72,3.90,3.92,3.60
3.95,3.81,3.98,3.63
3.83,3.80,3.86,3.73
3.85,3.87,3.93,3.74
3.85,4.03,4.05,3.80
4.03,4.04,4.07,3.88
4.10,3.97,4.10,3.85
3.95,3.90,3.97,3.84
3.90,3.96,3.98,3.80
3.92,3.69,3.92,3.66
3.71,3.78,3.80,3.61
3.76,3.93,3.94,3.68
3.94,3.73,3.94,3.65
3.79,4.04,4.04,3.74
4.01,4.14,4.14,3.98
4.13,4.38,4.39,4.06
4.42,4.42,4.53,4.24
4.40,4.32,4.44,4.30
4.35,4.19,4.35,4.11
4.12,3.99,4.12,3.93
4.06,3.97,4.07,3.96
3.95,3.96,4.00,3.92
3.97,4.00,4.01,3.95
3.98,3.98,4.03,3.91
3.95,3.93,3.98,3.70
3.96,4.18,4.19,3.93
4.13,4.07,4.24,4.00
4.00,3.85,4.05,3.79
3.80,3.99,4.01,3.78
3.99,4.00,4.01,3.96
3.97,3.92,3.99,3.86
3.97,4.12,4.15,3.90
4.10,4.11,4.15,4.04
4.10,4.01,4.10,3.98
4.01,4.11,4.13,3.99
4.13,4.10,4.17,4.09
4.03,4.16,4.16,4.03
4.16,4.18,4.20,4.14
4.18,4.25,4.29,4.18
4.30,4.34,4.35,4.22
4.32,4.14,4.35,4.13
4.15,4.44,4.48,4.15
4.51,4.54,4.70,4.42
4.64,4.40,4.64,4.36
4.44,4.55,4.55,4.40
4.55,4.48,4.55,4.45
4.50,4.44,4.54,4.34
4.50,4.32,4.50,4.26
4.35,4.39,4.40,4.32
4.44,4.49,4.50,4.39
4.49,4.43,4.50,4.41
4.43,4.40,4.46,4.39
4.44,4.35,4.45,4.26
4.40,4.19,4.40,4.18
4.20,4.40,4.40,4.20
4.41,4.40,4.45,4.33
4.38,4.26,4.43,4.18
4.22,4.24,4.30,4.18
4.29,4.31,4.34,4.29
4.32,4.37,4.38,4.31
4.37,4.43,4.43,4.30
4.41,4.37,4.44,4.31
4.38,4.20,4.44,4.18
4.22,4.39,4.40,4.22
4.39,4.41,4.48,4.27
4.46,4.48,4.50,4.32
4.45,4.61,4.62,4.45
4.65,4.63,4.67,4.55
4.56,4.69,4.75,4.56
4.70,4.75,4.77,4.66
4.73,4.81,4.84,4.73
4.85,4.92,4.99,4.78
4.90,4.94,4.97,4.88
5.00,4.85,5.00,4.81
4.85,4.97,4.98,4.82
