CWT,California Water Service Group Common Stock,NASDAQ
18.59,18.49,18.68,18.34
18.50,17.95,18.52,17.87
17.98,17.81,18.12,17.75
17.85,17.92,17.95,17.66
17.92,18.24,18.24,17.78
18.26,18.30,18.40,18.03
18.16,18.42,18.50,18.16
18.40,18.52,18.64,18.32
18.47,18.90,18.98,18.40
18.94,18.85,19.03,18.52
18.92,18.94,19.04,18.84
18.88,18.64,18.88,18.42
18.68,18.34,18.84,18.28
18.28,18.24,18.63,18.20
18.30,18.34,18.52,18.12
18.22,18.10,18.30,18.08
18.00,18.12,18.19,17.98
18.20,18.00,18.31,17.99
18.03,18.16,18.29,18.03
18.19,18.16,18.34,18.00
18.23,18.11,18.27,18.00
18.02,18.26,18.30,17.92
18.36,18.02,18.36,18.00
18.08,18.02,18.24,17.92
18.14,17.80,18.14,17.80
17.92,17.74,17.93,17.67
17.75,17.80,17.84,17.62
17.80,17.93,17.98,17.63
17.87,17.96,18.00,17.78
18.09,18.20,18.20,18.02
18.28,18.28,18.30,18.11
18.31,18.50,18.50,18.20
18.44,18.70,18.84,18.44
18.78,18.64,18.80,18.56
18.67,18.64,18.79,18.55
18.62,18.62,18.68,18.53
18.44,18.38,18.63,18.25
18.36,17.94,18.36,17.94
17.99,17.80,18.16,17.70
17.82,17.74,18.02,17.67
17.82,18.28,18.50,17.82
18.26,18.26,18.42,18.16
18.31,18.45,18.48,18.18
18.44,18.30,18.50,18.28
18.28,18.34,18.40,18.26
18.38,18.28,18.38,18.16
18.17,18.36,18.36,18.13
18.36,18.28,18.38,18.13
18.31,18.38,18.44,18.29
18.38,18.41,18.64,18.22
18.44,18.59,18.69,18.36
18.54,18.62,18.70,18.52
18.60,18.54,18.70,18.35
18.48,18.50,18.54,18.34
18.48,18.56,18.57,18.28
18.55,18.36,18.58,18.28
18.39,18.20,18.46,18.18
18.28,18.40,18.40,18.17
18.46,18.77,18.77,18.38
18.74,18.86,18.92,18.68
18.75,18.80,18.98,18.74
18.81,19.16,19.32,18.81
19.31,19.45,19.45,19.27
19.46,19.64,19.78,19.46
19.14,18.98,19.56,18.80
18.94,18.86,18.98,18.75
18.86,19.04,19.04,18.71
19.00,19.00,19.04,18.90
18.94,19.26,19.26,18.88
19.25,19.28,19.30,19.08
19.22,19.42,19.42,19.18
19.38,19.36,19.40,19.22
19.18,19.32,19.35,19.18
19.34,19.53,19.53,19.30
19.48,19.64,19.66,19.44
19.50,19.39,19.50,19.24
