CYB,WisdomTree Chinese Yuan Strategy Fund,NASDAQ
25.21,25.22,25.28,25.19
25.22,25.20,25.23,25.20
25.25,25.25,25.49,25.22
25.24,25.26,25.26,25.24
25.28,25.30,25.38,25.26
25.28,25.31,25.31,25.26
25.31,25.33,25.34,25.30
25.32,25.32,25.33,25.30
25.33,25.32,25.34,25.30
nan,25.32,nan,nan
25.33,25.31,25.33,25.28
25.32,25.28,25.32,25.26
25.31,25.28,25.31,25.26
25.30,25.28,25.30,25.25
25.28,25.30,25.30,25.27
25.29,25.29,25.29,25.25
25.25,25.30,25.30,25.25
25.30,25.29,25.31,25.28
25.32,25.33,25.35,25.31
25.31,25.32,25.32,25.30
25.32,25.31,25.32,25.29
25.29,25.29,25.31,25.27
25.26,25.26,25.28,25.23
25.26,25.21,25.26,25.16
25.22,25.24,25.25,25.20
25.24,25.26,25.27,25.22
25.27,25.29,25.31,25.27
25.25,25.23,25.25,25.17
nan,25.22,nan,nan
25.24,25.24,25.26,25.21
25.24,25.25,25.25,25.23
25.27,25.26,25.27,25.24
25.25,25.26,25.26,25.24
25.25,25.24,25.27,25.23
25.26,25.23,25.26,25.21
25.25,25.24,25.25,25.22
25.22,25.18,25.25,25.18
25.23,25.25,25.25,25.22
25.26,25.25,25.27,25.25
25.26,25.25,25.27,25.23
25.25,25.24,25.25,25.23
25.22,25.22,25.25,25.20
25.21,25.25,25.25,25.21
25.27,25.27,25.27,25.25
25.26,25.27,25.27,25.25
25.27,25.27,25.27,25.24
25.26,25.27,25.27,25.25
25.27,25.29,25.29,25.26
25.26,25.22,25.26,25.21
25.23,25.20,25.23,25.18
25.22,25.18,25.22,25.15
25.20,25.18,25.20,25.16
25.18,25.17,25.18,25.15
25.16,25.09,25.16,25.08
25.12,25.10,25.13,25.09
25.13,25.14,25.14,25.11
25.14,25.09,25.14,25.07
25.06,25.13,25.14,25.06
25.13,25.16,25.16,25.12
25.17,25.17,25.17,25.15
25.17,25.15,25.17,25.15
nan,25.16,nan,nan
25.17,25.20,25.21,25.16
25.22,25.22,25.23,25.19
25.23,25.21,25.68,25.18
25.25,25.29,25.29,25.22
25.31,25.30,25.31,25.28
25.28,25.25,25.28,25.23
25.22,25.20,25.23,25.17
25.22,25.23,25.24,25.19
25.24,25.26,25.26,25.22
25.24,25.19,25.24,25.18
25.18,25.17,25.19,25.14
25.18,25.21,25.21,25.17
25.22,25.18,25.22,25.18
25.20,25.22,25.23,25.19
25.23,25.23,25.23,25.20
25.21,25.21,25.23,25.21
25.22,25.21,25.22,25.18
25.18,25.17,25.19,25.15
25.17,25.22,25.22,25.17
25.22,25.20,25.24,25.20
25.21,25.22,25.22,25.20
25.19,25.12,25.20,25.12
25.10,25.06,25.15,25.03
25.07,24.86,25.08,24.53
24.93,24.92,24.99,24.87
24.99,25.02,25.05,24.99
25.02,25.05,25.08,25.02
25.08,25.09,25.11,25.06
25.08,25.08,25.09,25.06
25.08,25.06,25.10,25.02
25.02,25.00,25.04,25.00
25.06,25.01,25.06,24.99
24.99,24.95,25.01,24.94
24.82,24.87,24.88,24.80
24.85,24.84,24.87,24.82
24.88,24.88,24.95,24.87
24.80,24.79,24.81,24.69
24.85,24.79,24.85,24.79
24.80,24.83,24.96,24.80
nan,24.80,nan,nan
24.77,24.78,24.80,24.76
24.77,24.75,24.77,24.74
24.77,24.81,24.81,24.76
24.73,24.70,24.76,24.70
24.71,24.70,24.72,24.70
24.72,24.73,24.77,24.70
24.72,24.70,24.75,24.67
24.76,24.82,24.82,24.75
24.82,24.84,24.86,24.81
24.83,24.84,24.87,24.83
24.85,24.85,24.85,24.81
24.82,24.81,24.84,24.81
24.84,24.83,24.84,24.83
24.89,24.95,24.95,24.89
25.22,25.09,25.22,25.07
