DDP,DB Commodity Short ETN due April 1,NASDAQ
37.86,37.86,37.86,37.86
37.86,37.86,37.86,37.86
37.50,37.51,37.51,37.50
36.28,37.17,37.36,36.28
37.15,37.15,37.15,37.15
36.80,37.14,37.14,36.00
37.14,37.14,37.14,37.14
38.05,38.64,39.15,38.05
38.64,38.64,38.64,38.64
39.39,39.32,39.39,38.65
40.00,39.76,40.00,39.69
39.76,39.76,39.76,39.76
39.46,39.46,39.46,39.46
39.83,39.83,39.83,39.83
39.86,39.86,39.86,39.86
39.86,39.86,39.86,39.86
41.88,42.31,42.39,41.88
42.17,41.39,42.20,41.38
41.70,42.25,42.36,41.67
42.56,41.42,42.56,41.23
42.59,40.20,43.59,40.20
38.90,40.99,40.99,38.90
41.14,42.34,42.45,40.77
42.40,42.98,44.49,42.39
43.60,42.55,45.18,42.04
43.33,41.75,43.33,40.85
42.74,41.44,42.74,41.21
40.45,41.77,42.65,40.22
41.78,42.43,42.43,41.70
44.97,40.47,44.97,40.00
38.06,40.17,40.45,38.06
38.23,39.43,40.03,38.23
39.01,40.07,40.07,39.01
37.13,38.89,39.27,37.13
39.64,39.80,39.80,39.50
39.80,39.80,39.80,39.80
39.80,39.80,39.80,39.80
38.05,39.36,39.83,38.05
37.78,39.57,39.92,37.50
37.80,39.28,39.81,37.80
39.10,38.78,39.10,37.98
39.08,38.98,39.08,38.98
38.66,38.67,38.74,38.64
36.98,38.81,38.87,36.92
39.00,38.89,39.00,38.73
38.79,38.94,39.02,38.79
38.79,38.84,38.84,38.79
38.63,39.13,39.16,38.63
39.47,39.47,39.47,39.47
38.71,38.88,38.88,38.71
38.50,38.25,38.50,37.24
38.25,38.25,38.25,38.25
39.28,39.28,39.28,38.59
40.00,38.96,40.00,38.96
39.02,39.02,39.02,39.02
39.57,39.58,39.58,39.57
39.40,39.71,39.71,39.40
39.76,39.76,39.76,39.76
39.00,38.92,39.00,38.92
38.92,39.00,39.00,38.92
38.57,38.81,38.81,38.49
38.20,38.07,38.20,38.07
37.89,37.76,37.93,37.73
37.46,37.46,37.46,37.42
37.70,37.43,37.71,37.43
37.43,37.43,37.43,37.43
37.64,37.72,37.75,37.64
37.47,37.47,37.47,37.47
37.93,37.71,38.21,37.71
37.63,37.25,37.63,37.25
37.23,37.03,37.23,37.03
37.41,37.75,37.90,37.41
40.01,38.49,40.02,38.30
37.94,37.93,37.94,37.93
38.03,38.03,38.03,38.03
38.02,38.02,38.06,38.02
38.26,37.89,38.26,37.85
37.70,38.20,38.20,37.70
38.39,38.93,38.95,38.17
38.73,38.54,38.91,38.54
37.80,37.80,37.80,37.80
37.69,37.46,37.87,37.42
37.38,37.52,37.52,37.31
37.77,38.33,38.34,37.77
39.33,39.09,39.33,39.08
39.26,41.56,41.90,39.26
42.00,40.23,42.00,39.98
39.30,39.70,39.77,39.30
39.96,39.63,39.96,39.63
39.63,39.63,39.63,39.63
39.63,39.63,39.63,39.63
40.44,40.44,40.44,40.44
41.22,41.62,41.62,41.22
41.62,41.62,41.62,41.62
41.99,42.10,42.52,41.88
42.67,42.60,42.97,42.50
43.06,42.46,46.00,41.78
42.35,42.23,42.35,42.18
43.12,42.84,43.14,42.84
42.35,42.26,42.35,42.23
41.72,41.39,41.72,41.39
41.20,41.56,41.56,41.04
41.98,42.27,43.45,41.51
42.40,42.31,42.40,42.31
42.07,41.86,42.34,41.86
42.93,43.18,43.57,42.93
43.28,43.15,43.35,43.13
42.96,42.92,42.96,42.92
42.20,42.39,42.39,42.20
41.94,41.89,41.98,41.79
42.19,41.95,42.19,41.95
41.70,41.65,41.70,41.47
41.50,41.10,41.50,41.10
40.51,40.61,40.61,40.51
40.61,40.61,40.61,40.61
40.61,40.61,40.61,40.61
39.94,40.62,40.62,39.94
40.76,41.11,41.11,40.76
41.50,41.58,41.65,41.49
41.67,41.67,41.67,41.67
41.16,40.72,41.18,40.67
41.17,41.17,41.17,41.17
42.17,42.23,42.26,42.17
41.82,41.79,42.01,41.69
42.29,42.66,42.89,42.29
42.58,42.60,42.60,42.52
42.10,42.67,42.67,41.90
42.67,42.67,42.67,42.67
41.11,41.06,41.11,41.06
40.93,41.04,41.14,40.93
41.04,41.04,41.04,41.04
40.74,40.59,40.74,40.59
40.45,40.45,40.51,40.45
40.16,40.41,40.63,40.16
40.95,40.83,40.95,40.83
40.67,41.49,41.49,40.67
41.49,41.49,41.49,41.49
40.85,40.80,40.85,38.77
40.22,39.79,41.51,39.72
39.89,39.89,39.89,39.89
39.81,40.05,40.17,39.81
39.68,40.44,40.65,39.68
40.42,40.42,40.42,40.42
39.49,39.49,39.49,39.49
38.64,38.64,38.64,38.64
37.53,37.58,37.69,37.45
37.58,37.60,37.60,37.43
37.38,36.85,37.38,36.84
36.88,36.77,36.88,36.70
37.00,37.14,37.14,37.00
37.43,37.43,37.43,37.43
37.43,37.43,37.43,37.43
38.76,38.71,38.76,38.71
38.71,38.71,38.71,38.71
38.71,38.71,38.71,38.71
39.16,39.16,39.16,39.16
39.15,39.37,39.37,39.15
39.25,39.25,39.25,39.25
39.54,39.54,39.54,39.54
39.54,39.54,39.54,39.54
39.85,39.81,40.13,39.81
39.81,39.81,39.81,39.81
39.81,39.81,39.81,39.81
39.75,39.75,39.75,39.75
39.53,39.86,39.86,39.53
39.86,39.86,39.86,39.86
39.86,39.86,39.86,39.86
39.16,39.17,39.17,39.16
39.17,39.17,39.17,39.17
39.17,39.17,39.17,39.17
38.92,38.22,38.92,38.18
38.25,38.28,38.28,38.19
38.28,38.28,38.28,38.28
38.28,38.28,38.28,38.28
38.28,38.28,38.28,38.28
37.96,37.96,37.96,37.96
37.47,37.31,37.47,37.31
37.55,37.64,37.64,37.55
38.00,37.82,38.00,37.82
37.17,37.17,37.17,37.17
37.58,37.62,37.63,36.94
37.51,37.56,37.65,37.45
38.03,38.03,38.03,38.03
37.33,37.63,37.63,37.33
37.63,37.63,37.63,37.63
37.63,37.63,37.63,37.63
37.34,37.06,37.34,37.06
37.06,37.06,37.06,37.06
36.57,36.57,36.57,36.57
36.57,36.57,36.57,36.57
36.23,35.82,36.23,35.82
35.78,35.81,35.98,35.68
35.81,35.81,35.81,35.81
35.75,35.07,35.75,35.07
33.87,33.87,33.87,33.86
35.29,35.29,35.29,35.28
35.29,35.29,35.29,35.29
34.81,34.82,34.82,34.81
34.82,34.82,34.82,34.82
34.82,34.82,34.82,34.82
35.82,36.19,36.28,35.74
36.18,35.31,36.18,35.31
35.31,35.31,35.31,35.31
35.66,35.66,35.66,35.66
35.58,35.58,35.58,35.58
35.58,35.58,35.58,35.58
35.58,35.58,35.58,35.58
35.58,35.58,35.58,35.58
35.58,35.58,35.58,35.58
35.58,35.58,35.58,35.58
35.58,35.58,35.58,35.58
35.58,35.58,35.58,35.58
33.04,33.85,34.00,33.04
33.85,33.85,33.85,33.85
33.85,33.85,33.85,33.85
33.42,33.97,34.12,33.42
33.97,33.97,33.97,33.97
33.55,33.55,33.55,33.55
33.55,33.55,33.55,33.55
31.44,34.99,34.99,31.44
35.69,35.92,36.10,35.61
36.10,36.20,36.30,36.10
36.20,36.20,36.20,36.20
36.31,36.31,36.31,36.31
36.31,36.31,36.31,36.31
36.63,36.43,36.63,36.16
35.73,35.62,35.73,35.61
35.62,35.62,35.62,35.62
35.62,35.62,35.62,35.62
35.18,35.23,35.26,35.14
35.00,34.60,35.00,34.60
33.92,33.90,33.97,33.90
33.66,33.78,33.78,33.64
33.78,33.78,33.78,33.78
33.80,33.80,33.80,33.80
34.02,34.03,34.03,34.02
33.59,33.59,33.59,33.59
33.59,33.59,33.59,33.59
33.24,33.24,33.24,33.24
33.24,33.24,33.24,33.24
33.24,33.24,33.24,33.24
33.24,33.24,33.24,33.24
