DEI,Douglas Emmett,NASDAQ
14.32,14.12,14.43,13.95
14.14,14.29,14.42,14.14
14.33,14.25,14.55,14.21
14.24,14.49,14.57,14.16
14.37,14.32,14.46,14.24
14.36,14.51,14.58,14.32
14.41,14.35,14.45,14.05
14.32,14.71,14.74,14.29
14.58,14.55,14.65,14.42
14.53,14.65,14.91,14.51
14.68,15.05,15.07,14.55
14.96,14.73,15.08,14.54
14.70,14.48,14.78,14.40
14.48,14.23,14.66,14.15
14.35,14.14,14.43,13.93
14.35,13.98,14.39,13.94
13.98,14.02,14.07,13.71
13.98,13.91,14.17,13.72
14.06,13.83,14.09,13.64
13.82,13.94,14.11,13.81
13.90,14.22,14.25,13.79
14.15,14.05,14.21,13.93
13.88,13.39,13.93,13.29
13.39,13.65,13.67,13.14
13.65,13.25,13.93,13.25
13.48,13.00,13.48,12.95
13.28,13.09,13.51,12.78
13.10,13.09,13.16,12.94
12.91,13.30,13.35,12.86
13.38,13.63,13.70,13.38
13.70,13.74,13.82,13.61
13.70,13.92,13.94,13.64
13.77,13.86,14.00,13.76
14.01,13.93,14.01,13.76
13.93,13.78,14.04,13.76
13.79,13.94,13.95,13.67
13.74,13.97,13.97,13.62
13.97,14.09,14.22,13.91
14.07,14.05,14.12,13.90
14.12,13.88,14.19,13.83
13.92,14.14,14.23,13.89
14.14,14.24,14.26,14.06
14.36,14.65,14.73,14.25
14.69,14.91,15.04,14.58
14.89,15.01,15.40,14.80
14.99,15.04,15.16,14.92
14.96,15.40,15.42,14.86
15.56,15.50,15.63,15.36
15.45,15.40,15.57,15.12
15.40,15.72,15.81,15.37
15.80,16.07,16.15,15.70
16.03,15.96,16.22,15.91
15.62,15.62,16.06,15.60
15.50,15.65,15.70,15.43
15.56,15.52,15.63,15.34
15.44,15.52,15.71,15.40
15.62,15.58,15.83,15.48
15.70,15.57,15.76,15.45
15.60,15.41,15.60,15.26
15.46,15.54,15.68,15.35
15.54,15.37,15.54,15.30
15.47,15.47,15.59,15.33
15.57,15.87,15.93,15.52
15.80,16.40,16.40,15.71
16.34,16.04,16.47,15.97
16.04,16.13,16.20,15.96
16.44,16.65,16.71,16.38
16.72,16.84,17.14,16.62
16.83,17.19,17.29,16.78
17.31,16.98,17.32,16.83
16.98,16.60,17.06,16.60
16.60,16.20,16.73,16.20
16.08,16.27,16.36,15.96
16.30,16.56,16.58,16.20
16.48,16.91,17.01,16.40
16.75,17.05,17.13,16.64
17.12,17.36,17.46,16.86
17.32,17.68,17.83,17.25
17.56,17.03,17.75,17.02
17.23,17.03,17.39,16.96
17.23,17.75,17.79,17.23
17.71,16.74,17.81,16.74
16.78,17.21,17.27,16.78
16.92,16.57,16.92,16.41
16.33,16.50,16.83,16.10
16.44,15.91,16.53,15.06
16.05,15.63,16.40,15.44
16.52,16.58,16.69,16.30
16.28,16.66,16.77,16.15
16.68,17.04,17.11,16.58
17.07,17.12,17.17,16.91
16.98,16.45,16.98,16.19
16.31,16.42,16.60,15.78
16.67,15.95,16.78,15.92
15.86,15.63,16.14,15.36
15.45,14.72,15.58,14.68
14.48,14.84,15.08,14.32
14.75,14.60,14.97,14.56
14.03,14.61,14.67,14.01
14.76,14.82,15.11,14.66
15.21,15.81,15.84,15.05
15.81,15.48,15.92,15.38
15.37,15.09,15.53,15.05
15.17,15.33,15.33,14.91
15.40,15.56,15.63,15.25
15.10,14.63,15.30,14.53
14.75,14.49,14.97,14.47
14.49,14.68,14.75,14.11
14.83,14.92,15.25,14.73
15.25,15.70,15.71,15.10
15.46,15.97,15.97,15.38
16.16,16.01,16.36,15.84
16.16,16.40,16.43,16.00
16.29,16.12,16.41,15.99
15.99,15.98,16.06,15.71
16.05,15.99,16.11,15.89
16.21,16.01,16.45,15.91
16.08,15.05,16.19,14.98
15.01,15.10,15.29,14.84
14.94,14.90,15.14,14.78
14.97,15.43,15.54,14.82
15.36,15.11,15.42,15.02
14.83,14.54,14.89,14.43
14.56,14.22,14.77,14.11
14.00,13.97,14.18,13.65
14.05,13.67,14.12,13.57
13.94,13.27,14.07,13.10
13.22,14.16,14.16,13.22
14.34,14.13,14.48,13.86
14.14,14.56,14.56,14.09
14.57,14.64,14.65,14.28
14.88,15.00,15.08,14.74
15.12,14.83,15.12,14.61
14.80,14.68,14.88,14.42
14.55,14.07,14.55,13.99
14.11,14.29,14.35,13.84
14.05,14.51,14.53,13.89
14.66,14.41,14.72,14.35
14.60,15.20,15.27,14.58
15.17,15.29,15.29,14.84
15.35,15.76,15.79,15.06
15.87,15.76,15.94,15.58
15.70,15.70,15.94,15.51
15.79,15.75,15.91,15.53
15.47,15.81,16.02,15.47
16.16,16.49,16.62,16.05
16.40,16.31,16.50,16.18
16.70,16.51,16.70,16.02
16.37,16.37,16.59,16.28
16.24,16.38,16.41,15.99
16.35,16.68,16.71,16.20
16.41,16.26,16.48,16.12
15.92,15.74,16.06,15.59
15.49,15.51,15.81,15.45
15.44,15.43,15.69,15.42
15.32,15.39,15.63,15.27
15.52,15.83,15.95,15.49
15.87,15.90,16.00,15.66
15.83,15.65,15.85,15.55
15.60,15.80,15.85,15.48
15.83,15.77,15.96,15.75
15.50,15.75,15.92,15.45
15.58,16.12,16.18,15.58
16.26,15.90,16.37,15.86
16.06,16.05,16.26,15.71
16.00,15.90,16.08,15.90
15.85,16.12,16.19,15.75
16.36,16.72,16.73,16.26
16.77,17.10,17.23,16.75
17.31,17.29,17.39,17.09
17.18,16.97,17.23,16.95
17.25,16.95,17.31,16.93
17.23,16.74,17.24,16.74
16.83,16.90,17.03,16.72
17.16,17.06,17.21,16.97
17.03,17.05,17.22,16.98
16.90,17.08,17.17,16.89
17.07,17.03,17.17,16.98
17.08,17.05,17.14,16.92
17.14,17.50,17.55,17.14
17.55,17.39,17.62,17.30
17.34,17.35,17.49,17.16
17.17,17.01,17.19,16.94
17.22,17.69,17.69,17.22
17.67,17.50,17.68,17.50
17.48,17.47,17.51,17.12
17.41,17.43,17.54,17.34
17.58,17.51,17.74,17.39
17.71,17.69,17.77,17.47
17.69,17.95,17.96,17.67
18.10,17.98,18.23,17.90
17.95,17.96,18.06,17.76
18.15,17.97,18.21,17.96
17.97,17.99,18.08,17.89
18.03,17.84,18.06,17.80
17.81,17.94,18.01,17.71
18.09,18.06,18.31,17.95
18.07,18.28,18.43,18.06
18.25,17.99,18.35,17.91
18.02,18.39,18.47,18.02
18.18,18.01,18.47,17.99
18.12,18.56,18.73,18.09
18.61,18.39,18.80,18.24
18.47,18.44,18.56,18.13
18.58,18.39,18.62,18.30
18.24,18.12,18.29,18.01
18.01,18.03,18.13,17.83
18.12,17.85,18.18,17.58
17.78,17.94,18.03,17.74
18.09,18.13,18.32,17.93
18.26,17.88,18.33,17.84
17.99,17.61,18.06,17.40
17.73,17.95,17.99,17.52
17.91,18.24,18.50,17.90
18.17,18.13,18.27,18.05
18.10,17.34,18.14,17.23
17.36,17.28,17.59,17.14
17.11,17.13,17.38,17.09
17.05,17.09,17.28,17.01
17.11,16.80,17.23,16.76
16.63,16.27,16.73,16.15
16.31,16.44,16.55,16.23
16.63,16.60,16.77,16.53
16.59,16.49,16.64,16.32
16.42,16.40,16.56,16.30
16.19,16.27,16.44,16.15
16.41,16.81,16.81,16.41
16.64,16.85,16.90,16.57
16.74,16.88,16.90,16.65
16.65,16.70,16.91,16.51
16.93,16.82,16.95,16.58
16.82,16.87,16.91,16.78
16.81,16.79,16.82,16.59
16.78,17.16,17.24,16.61
17.36,17.00,17.37,16.87
17.01,16.55,17.02,16.39
16.62,16.18,16.69,16.12
16.22,16.28,16.44,16.14
16.34,16.27,16.36,16.15
16.26,16.09,16.42,15.99
16.05,15.93,16.24,15.93
15.97,15.87,16.07,15.79
15.91,15.95,16.04,15.85
16.00,16.22,16.34,15.95
16.31,16.35,16.36,16.11
16.33,16.65,16.77,16.33
16.64,16.73,16.79,16.55
16.71,16.88,16.89,16.55
16.89,16.83,16.94,16.75
16.79,16.86,16.89,16.75
16.86,16.89,17.04,16.78
16.78,16.60,16.89,16.52
16.78,17.33,17.36,16.70
17.40,17.10,17.46,17.01
17.11,17.15,17.22,16.94
17.16,17.02,17.29,16.98
17.04,17.00,17.16,16.72
16.97,17.19,17.30,16.84
17.28,17.26,17.33,16.98
17.31,17.46,17.46,17.20
17.47,17.45,17.53,17.21
17.37,17.30,17.51,17.27
17.37,17.27,17.37,17.14
17.25,16.86,17.29,16.75
16.75,17.01,17.07,16.75
17.06,17.14,17.17,16.99
17.14,17.53,17.67,17.14
17.43,17.65,17.78,17.42
17.70,17.82,17.82,17.51
17.83,18.35,18.45,17.80
18.36,18.11,18.36,17.98
18.24,18.43,18.63,18.21
18.47,18.29,18.52,18.10
18.23,18.25,18.31,18.09
18.24,18.25,18.41,18.17
18.32,18.08,18.32,17.92
18.19,18.35,18.44,18.14
18.36,18.34,18.59,18.27
18.35,18.44,18.44,17.74
18.27,18.90,18.98,18.19
18.87,19.25,19.31,18.74
19.21,19.07,19.30,18.95
19.01,18.89,19.07,18.67
18.95,18.89,19.10,18.75
18.84,18.70,18.87,18.64
18.79,18.62,18.79,18.58
18.52,18.41,18.65,18.31
18.46,18.13,18.48,17.98
18.07,17.99,18.19,17.82
18.10,18.30,18.32,18.08
18.41,18.75,18.76,18.30
18.73,18.28,18.80,18.21
18.25,18.13,18.39,18.02
18.26,18.43,18.47,18.15
18.44,18.34,18.54,18.22
18.37,18.40,18.50,18.22
18.34,18.65,18.78,18.30
18.59,18.48,18.64,18.39
